Date,Time,Open,High,Low,Close,Volume
20200821,00:00:00,1952.57,1955.77,1951.61,1955.48,380670
20200821,00:05:00,1955.45,1955.71,1950.84,1951.98,281480
20200821,00:10:00,1952.13,1953.00,1951.89,1952.84,144810
20200821,00:15:00,1953.08,1953.75,1951.95,1952.72,169430
20200821,00:20:00,1952.67,1952.94,1950.05,1950.46,238920
20200821,00:25:00,1950.46,1950.94,1950.30,1950.52,121970
20200821,00:30:00,1950.43,1951.48,1949.95,1951.13,115190
20200821,00:35:00,1951.13,1951.94,1950.65,1951.57,180450
20200821,00:40:00,1951.59,1952.01,1950.95,1951.17,132860
20200821,00:45:00,1951.19,1952.04,1951.13,1951.72,141150
20200821,00:50:00,1951.93,1953.13,1951.82,1953.04,158010
20200821,00:55:00,1953.02,1954.02,1950.33,1950.77,299960
20200821,01:00:00,1950.77,1951.74,1947.05,1947.36,607339
20200821,01:05:00,1947.37,1948.51,1945.26,1946.65,606620
20200821,01:10:00,1946.65,1947.32,1942.54,1942.94,539930
20200821,01:15:00,1942.94,1943.89,1940.90,1942.96,352710
20200821,01:20:00,1942.98,1944.46,1942.12,1942.64,387500
20200821,01:25:00,1942.65,1943.11,1940.47,1942.83,382970
20200821,01:30:00,1942.82,1945.23,1942.82,1943.99,337020
20200821,01:35:00,1943.98,1946.92,1943.84,1946.91,335220
20200821,01:40:00,1946.92,1947.81,1945.92,1946.85,337070
20200821,01:45:00,1946.85,1947.21,1944.88,1945.69,261220
20200821,01:50:00,1945.69,1946.36,1944.63,1946.23,313390
20200821,01:55:00,1946.23,1946.69,1944.84,1945.46,284929
20200821,02:00:00,1945.47,1947.32,1944.83,1946.61,308060
20200821,02:05:00,1946.61,1946.79,1945.46,1946.06,151960
20200821,02:10:00,1946.14,1947.94,1946.11,1947.10,233750
20200821,02:15:00,1947.07,1948.05,1946.95,1947.89,148960
20200821,02:20:00,1947.84,1947.84,1946.53,1946.58,151800
20200821,02:25:00,1946.62,1946.97,1945.65,1945.79,162929
20200821,02:30:00,1945.80,1946.13,1945.03,1946.09,214230
20200821,02:35:00,1946.06,1946.68,1945.39,1945.63,242350
20200821,02:40:00,1945.65,1947.64,1945.36,1947.62,228790
20200821,02:45:00,1947.63,1948.60,1947.34,1947.55,214970
20200821,02:50:00,1947.55,1947.93,1947.32,1947.38,104080
20200821,02:55:00,1947.38,1947.85,1946.31,1946.50,104450
20200821,03:00:00,1946.50,1947.44,1946.39,1946.95,188370
20200821,03:05:00,1946.95,1948.47,1946.87,1948.36,146520
20200821,03:10:00,1948.36,1950.33,1948.22,1949.46,296750
20200821,03:15:00,1949.45,1950.17,1949.42,1950.05,135470
