datetime,open,high,low,close,volume,pure_bond_value,convert_value,pure_bond_premium_rate,convert_premium_rate
2007-07-12,132.1,133.0,126.8,128.57,6039630.0,91.6157,86.8036,40.3362,48.1159
2007-07-13,128.57,130.86,127.25,127.78,889750.0,91.6164,87.1197,39.4728,46.6717
2007-07-16,128.32,128.33,126.81,126.83,221100.0,91.6117,86.132,38.443,47.2508
2007-07-17,127.0,127.8,126.82,127.53,269350.0,91.6882,86.5666,39.091,47.3201
2007-07-18,127.54,128.8,127.5,128.69,172300.0,91.7027,87.7519,40.3339,46.6521
2007-07-19,128.5,130.9,128.0,128.89,192530.0,91.7127,86.2505,40.5367,49.4368
2007-07-20,128.89,130.2,128.89,129.8,340640.0,91.0366,89.2533,42.58,45.4289
2007-07-23,130.19,135.0,129.97,134.48,482960.0,91.0098,94.6661,47.7644,42.0571
2007-07-24,134.48,137.84,133.45,136.94,566050.0,90.9124,95.2983,50.6285,43.6962
2007-07-25,136.22,139.8,136.22,139.65,769650.0,90.9527,96.6416,53.5414,44.5029
2007-07-26,140.29,144.98,136.02,138.4,91130.0,91.0683,96.0095,51.9738,44.1524
2007-07-27,140.0,140.5,137.12,138.52,219990.0,91.0054,97.9455,52.2107,41.4256
2007-07-30,137.62,141.85,137.5,140.3,219420.0,91.0418,101.8175,54.105,37.7956
2007-07-31,139.4,143.48,139.4,142.58,203770.0,90.7135,106.6377,57.1761,33.7051
2007-08-01,141.51,142.99,139.0,139.01,133630.0,90.7046,99.3678,53.2557,39.8944
2007-08-02,139.99,141.0,139.18,140.4,84070.0,90.4708,103.4769,55.1882,35.6825
2007-08-03,140.37,142.6,140.37,142.12,86780.0,90.3116,107.823,57.3662,31.8086
2007-08-06,142.11,144.39,142.11,142.85,239660.0,90.3326,112.8803,58.1378,26.55
2007-08-07,143.1,148.0,142.6,143.97,113910.0,90.1799,111.774,59.6475,28.8045
2007-08-08,142.35,146.0,142.2,143.03,39350.0,90.155,107.7835,58.6491,32.7012
2007-08-09,143.0,144.0,143.0,143.48,36690.0,90.1588,108.2181,59.1415,32.5841
2007-08-10,142.5,145.0,141.04,144.91,35470.0,90.1693,109.5614,60.7088,32.2637
