time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,16.14,16.15,15.49,15.75,34,0,7240
2003-09-11T00:00:00+00:00,15.42,15.69,15.35,15.67,5,0,1000
2003-09-12T00:00:00+00:00,15.3,15.7,15.07,15.58,62,0,17900
2003-09-15T00:00:00+00:00,15.43,15.43,15.19,15.19,7,0,1300
2003-09-16T00:00:00+00:00,15.49,15.5,15.38,15.46,17,0,3600
2003-09-17T00:00:00+00:00,15.6,15.8,15.53,15.71,24,0,9500
2003-09-18T00:00:00+00:00,15.92,16.33,15.72,16.13,24,0,5600
2003-09-19T00:00:00+00:00,16.75,16.75,16.05,16.6,20,0,3700
2003-09-22T00:00:00+00:00,16.32,16.66,16.32,16.64,56,0,9622
2003-09-23T00:00:00+00:00,16.25,16.9,16.2,16.9,52,0,13900
2003-09-24T00:00:00+00:00,16.71,16.85,16.6,16.76,148,0,40734
2003-09-25T00:00:00+00:00,16.72,16.77,16.3,16.63,12,0,2600
2003-09-26T00:00:00+00:00,16.63,16.67,16.29,16.29,15,0,2200
2003-09-29T00:00:00+00:00,16.35,16.35,16.08,16.24,25,0,8200
2003-09-30T00:00:00+00:00,16.15,16.23,16.12,16.14,7,0,1500
2003-10-01T00:00:00+00:00,16.14,16.24,16.03,16.14,42,0,15240
2003-10-02T00:00:00+00:00,16.08,16.3,16.08,16.26,13,0,3700
2003-10-03T00:00:00+00:00,15.9,16.33,15.81,16.29,34,0,13296
2003-10-06T00:00:00+00:00,16.08,16.36,16.08,16.3,14,0,5000
2003-10-07T00:00:00+00:00,16.17,16.49,16.14,16.22,16,0,3600
2003-10-08T00:00:00+00:00,15.65,16.41,15.65,16.41,9,0,1300
2003-10-09T00:00:00+00:00,16.12,16.15,15.75,15.75,18,0,4700
2003-10-10T00:00:00+00:00,16.04,16.19,16.02,16.19,8,0,1100
2003-10-13T00:00:00+00:00,16.24,16.83,16.24,16.55,26,0,16300
2003-10-14T00:00:00+00:00,16.18,16.21,15.85,15.87,23,0,5700
2003-10-15T00:00:00+00:00,15.98,16.07,15.85,15.85,14,0,2300
2003-10-16T00:00:00+00:00,15.54,15.99,15.51,15.84,40,0,8982
2003-10-20T00:00:00+00:00,16.08,16.08,15.84,15.84,8,0,1100
2003-10-21T00:00:00+00:00,15.93,15.93,15.67,15.9,18,0,5500
2003-10-22T00:00:00+00:00,16.06,16.06,15.39,15.57,37,0,9100
2003-10-23T00:00:00+00:00,15.65,15.65,15.23,15.32,22,0,2500
2003-10-24T00:00:00+00:00,15.27,15.46,15.21,15.45,15,0,2500
2003-10-27T00:00:00+00:00,15.65,15.65,15.12,15.12,14,0,3090
2003-10-28T00:00:00+00:00,15.18,15.43,15.17,15.38,29,0,3100
2003-10-29T00:00:00+00:00,15.23,15.29,15.23,15.29,2,0,300
2003-10-30T00:00:00+00:00,15.5,15.5,15.4,15.42,4,0,800
2003-10-31T00:00:00+00:00,15.86,16.5,15.86,16.5,19,0,7000
2003-11-03T00:00:00+00:00,16.06,16.82,15.94,16.82,19,0,6200
2003-11-04T00:00:00+00:00,16.38,16.99,16.38,16.99,24,0,21400
2003-11-05T00:00:00+00:00,16.78,17.0,16.78,16.92,10,0,2000
2003-11-06T00:00:00+00:00,16.98,16.98,16.72,16.72,4,0,1780
2003-11-07T00:00:00+00:00,16.88,16.95,16.82,16.87,39,0,10681
2003-11-10T00:00:00+00:00,16.75,17.04,16.74,16.93,48,0,17268
2003-11-11T00:00:00+00:00,16.72,16.98,16.72,16.98,8,0,3800
2003-11-12T00:00:00+00:00,17.05,17.05,16.87,16.87,19,0,8024
2003-11-13T00:00:00+00:00,16.96,16.96,16.96,16.96,6,0,1000
2003-11-14T00:00:00+00:00,17.03,17.6,17.03,17.6,82,0,12550
2003-11-17T00:00:00+00:00,17.5,17.58,17.32,17.54,41,0,17687
2003-11-18T00:00:00+00:00,17.64,17.64,17.61,17.61,6,0,1500
2003-11-19T00:00:00+00:00,17.68,17.7,17.51,17.65,16,0,5800
2003-11-20T00:00:00+00:00,17.66,17.93,17.65,17.93,17,0,9370
2003-11-21T00:00:00+00:00,17.75,17.9,17.75,17.8,18,0,4500
2003-11-24T00:00:00+00:00,17.27,18.28,15.8,15.98,254,0,98771
2003-11-25T00:00:00+00:00,16.2,16.23,15.66,15.7,71,0,26061
2003-11-26T00:00:00+00:00,15.86,16.43,15.5,15.71,74,0,19787
2003-11-28T00:00:00+00:00,15.71,15.85,15.68,15.68,13,0,2630
2003-12-01T00:00:00+00:00,15.6,15.6,15.36,15.45,33,0,10850
2003-12-02T00:00:00+00:00,15.48,15.48,15.3,15.32,13,0,2486
2003-12-03T00:00:00+00:00,15.65,15.73,15.65,15.65,6,0,1100
2003-12-04T00:00:00+00:00,15.58,15.61,15.56,15.56,6,0,1900
2003-12-05T00:00:00+00:00,15.49,15.57,15.48,15.57,3,0,900
2003-12-08T00:00:00+00:00,15.66,15.66,15.4,15.4,15,0,3450
2003-12-09T00:00:00+00:00,15.26,15.43,15.16,15.43,30,0,5800
2003-12-10T00:00:00+00:00,15.7,15.7,15.12,15.31,23,0,4300
2003-12-11T00:00:00+00:00,15.67,15.73,15.06,15.42,44,0,18500
2003-12-12T00:00:00+00:00,15.4,15.43,15.21,15.21,17,0,6167
2003-12-15T00:00:00+00:00,15.11,15.11,14.73,14.76,95,0,50210
2003-12-16T00:00:00+00:00,14.7,14.95,14.6,14.6,76,0,31900
2003-12-17T00:00:00+00:00,14.59,14.59,14.0,14.39,59,0,11600
2003-12-18T00:00:00+00:00,14.88,14.88,14.52,14.69,95,0,38832
2003-12-19T00:00:00+00:00,14.53,14.68,14.46,14.46,16,0,2651
2003-12-22T00:00:00+00:00,14.64,14.64,14.4,14.61,50,0,21053
2003-12-23T00:00:00+00:00,14.09,14.67,14.08,14.4,72,0,21310
2003-12-24T00:00:00+00:00,14.31,14.71,14.31,14.71,11,0,6310
2003-12-26T00:00:00+00:00,14.74,14.91,14.74,14.91,4,0,700
2003-12-29T00:00:00+00:00,15.0,15.0,14.55,14.79,16,0,4900
2003-12-30T00:00:00+00:00,14.99,15.21,14.84,15.21,43,0,20422
2003-12-31T00:00:00+00:00,15.15,15.54,15.11,15.2,149,0,29143
2004-01-02T00:00:00+00:00,15.24,15.35,15.18,15.35,19,0,2300
2004-01-05T00:00:00+00:00,15.48,15.5,15.37,15.47,59,0,15601
2004-01-06T00:00:00+00:00,15.47,15.8,15.46,15.71,37,0,9600
2004-01-07T00:00:00+00:00,15.64,15.83,15.64,15.83,10,0,4000
2004-01-08T00:00:00+00:00,15.9,16.33,15.9,16.1,27,0,8598
