time,open,high,low,close,tick_volume,spread,real_volume
2023-12-07T00:00:00+00:00,6.14,8.19,4.4,4.7,395,0,588330000
2023-12-08T00:00:00+00:00,3.98,3.98,2.22,2.3,1209,0,2585660000
2023-12-11T00:00:00+00:00,1.6600000000000001,1.8,1.05,1.12,1671,0,5857690000
2023-12-12T00:00:00+00:00,0.88,0.92,0.78,0.8,1083,0,5299650000
2023-12-13T00:00:00+00:00,0.69,0.75,0.63,0.73,1381,0,8274570000
2023-12-14T00:00:00+00:00,0.72,0.79,0.67,0.67,1269,0,7752890000
2023-12-15T00:00:00+00:00,0.64,0.67,0.58,0.58,1171,0,5999750000
2023-12-18T00:00:00+00:00,0.57,0.58,0.46,0.49,956,0,5121160000
2023-12-19T00:00:00+00:00,0.47,0.95,0.46,0.75,13672,0,92509160000
2023-12-20T00:00:00+00:00,0.71,1.15,0.65,1.0,7460,0,46524360000
2023-12-21T00:00:00+00:00,1.0,1.25,0.93,1.08,5124,0,23404560000
2023-12-22T00:00:00+00:00,1.06,1.21,0.95,1.03,2248,0,10035870000
2023-12-26T00:00:00+00:00,1.04,1.25,1.01,1.23,1666,0,8120110000
2023-12-27T00:00:00+00:00,1.25,1.44,1.2,1.22,2599,0,12375990000
2023-12-28T00:00:00+00:00,1.21,1.32,1.2,1.22,577,0,3566350000
2023-12-29T00:00:00+00:00,1.26,1.26,1.06,1.17,794,0,3316670000
2024-01-02T00:00:00+00:00,1.22,1.22,1.0,1.06,612,0,3562920000
2024-01-03T00:00:00+00:00,1.1,1.21,1.02,1.16,1135,0,3289210000
2024-01-04T00:00:00+00:00,1.15,1.21,1.04,1.09,559,0,2135470000
2024-01-05T00:00:00+00:00,1.13,1.16,1.0,1.07,608,0,2448750000
2024-01-08T00:00:00+00:00,1.05,1.07,0.96,0.99,455,0,1806210000
2024-01-09T00:00:00+00:00,1.02,1.06,0.97,1.0,235,0,1195050000
2024-01-10T00:00:00+00:00,1.0,1.0,0.79,0.87,1305,0,5980030000
2024-01-11T00:00:00+00:00,0.85,0.9,0.8,0.83,999,0,5972610000
2024-01-12T00:00:00+00:00,0.84,0.97,0.84,0.93,299,0,1149640000
2024-01-16T00:00:00+00:00,0.93,0.94,0.67,0.84,926,0,5125410000
2024-01-17T00:00:00+00:00,0.84,0.84,0.76,0.82,115,0,561160000
2024-01-18T00:00:00+00:00,0.83,0.84,0.8,0.82,102,0,416640000
2024-01-19T00:00:00+00:00,0.85,0.86,0.81,0.83,71,0,289530000
2024-01-22T00:00:00+00:00,0.83,0.83,0.79,0.81,60,0,159700000
2024-01-23T00:00:00+00:00,0.82,0.9,0.7,0.88,251,0,1030780000
2024-01-24T00:00:00+00:00,0.87,0.95,0.85,0.93,183,0,821890000
2024-01-25T00:00:00+00:00,0.96,0.98,0.87,0.92,214,0,740130000
2024-01-26T00:00:00+00:00,0.92,0.97,0.9,0.92,129,0,487850000
2024-01-29T00:00:00+00:00,0.94,1.09,0.93,1.07,274,0,1208430000
2024-01-30T00:00:00+00:00,1.12,1.13,1.01,1.12,383,0,1779610000
2024-01-31T00:00:00+00:00,1.12,1.12,0.96,1.05,374,0,1285910000
2024-02-01T00:00:00+00:00,1.05,1.06,1.0,1.02,69,0,281620000
2024-02-02T00:00:00+00:00,1.03,1.05,0.97,1.01,52,0,174500000
2024-02-05T00:00:00+00:00,1.03,1.04,0.96,0.98,153,0,753630000
2024-02-06T00:00:00+00:00,1.01,1.01,0.86,0.9,418,0,1309490000
2024-02-07T00:00:00+00:00,0.88,0.97,0.84,0.86,248,0,944390000
2024-02-08T00:00:00+00:00,0.96,0.96,0.9,0.94,148,0,284020000
2024-02-09T00:00:00+00:00,0.96,0.96,0.86,0.91,74,0,189460000
2024-02-12T00:00:00+00:00,0.93,0.93,0.87,0.9,48,0,142740000
2024-02-13T00:00:00+00:00,0.92,0.93,0.82,0.85,328,0,712320000
2024-02-14T00:00:00+00:00,0.86,0.94,0.8,0.86,409,0,1126770000
2024-02-15T00:00:00+00:00,0.91,0.91,0.81,0.83,185,0,417070000
2024-02-16T00:00:00+00:00,0.83,0.85,0.76,0.8,206,0,726560000
2024-02-20T00:00:00+00:00,0.83,0.85,0.77,0.8,379,0,1135860000
2024-02-21T00:00:00+00:00,0.82,0.84,0.79,0.79,140,0,321040000
2024-02-22T00:00:00+00:00,0.8,0.83,0.74,0.8,393,0,1316600000
2024-02-23T00:00:00+00:00,0.8,0.84,0.72,0.75,428,0,1492290000
2024-02-26T00:00:00+00:00,0.73,0.76,0.71,0.74,273,0,1647010000
2024-02-27T00:00:00+00:00,0.75,0.75,0.7,0.72,255,0,638860000
2024-02-28T00:00:00+00:00,0.74,0.74,0.68,0.68,283,0,704880000
2024-02-29T00:00:00+00:00,0.66,0.75,0.66,0.67,77,0,177850000
2024-03-01T00:00:00+00:00,0.7,0.7,0.66,0.67,312,0,503390000
2024-03-04T00:00:00+00:00,0.69,0.71,0.64,0.68,167,0,327390000
2024-03-05T00:00:00+00:00,0.69,0.69,0.62,0.69,196,0,616560000
2024-03-06T00:00:00+00:00,0.67,0.7,0.61,0.63,510,0,1142320000
2024-03-07T00:00:00+00:00,0.63,0.63,0.51,0.55,442,0,1758780000
2024-03-08T00:00:00+00:00,0.6,0.6,0.3,0.34,3308,0,13400520000
2024-03-11T00:00:00+00:00,0.35,0.37,0.33,0.33,433,0,2376390000
2024-03-12T00:00:00+00:00,0.36,0.51,0.34,0.4,2497,0,19790090000
2024-03-13T00:00:00+00:00,0.43,0.62,0.43,0.51,3228,0,24554120000
2024-03-14T00:00:00+00:00,0.53,0.53,0.48,0.51,1425,0,2803890000
2024-03-15T00:00:00+00:00,0.45,0.49,0.43,0.48,301,0,2401990000
2024-03-18T00:00:00+00:00,0.47,0.5,0.45,0.48,136,0,307310000
2024-03-19T00:00:00+00:00,0.45,0.47,0.43,0.45,102,0,390230000
2024-03-20T00:00:00+00:00,0.41,0.44,0.41,0.42,162,0,1232540000
2024-03-21T00:00:00+00:00,0.43,0.43,0.39,0.41,177,0,1222170000
2024-03-22T00:00:00+00:00,0.41,0.44,0.4,0.42,158,0,637710000
2024-03-25T00:00:00+00:00,0.42,0.42,0.39,0.4,74,0,614830000
2024-03-26T00:00:00+00:00,0.4,0.41,0.39,0.4,108,0,410110000
2024-03-27T00:00:00+00:00,0.39,0.4,0.37,0.38,74,0,574210000
2024-03-28T00:00:00+00:00,0.4,0.42,0.35,0.39,144,0,1289390000
2024-04-01T00:00:00+00:00,0.39,0.39,0.32,0.32,454,0,2335560000
2024-04-02T00:00:00+00:00,0.33,0.33,0.29,0.3,539,0,1795570000
2024-04-03T00:00:00+00:00,0.31,0.32,0.29,0.3,264,0,803510000
2024-04-04T00:00:00+00:00,0.31,0.32,0.29,0.3,105,0,442830000
2024-04-05T00:00:00+00:00,0.31,0.31,0.29,0.3,249,0,538120000
2024-04-08T00:00:00+00:00,0.31,0.36,0.31,0.35,1241,0,5032780000
2024-04-09T00:00:00+00:00,0.35,0.45,0.35,0.45,642,0,4784800000
2024-04-10T00:00:00+00:00,0.44,0.46,0.37,0.42,305,0,1966370000
2024-04-11T00:00:00+00:00,0.4,0.49,0.39,0.46,353,0,1539920000
2024-04-12T00:00:00+00:00,0.47,0.53,0.4,0.44,512,0,2955850000
2024-04-15T00:00:00+00:00,0.47,0.47,0.4,0.41,108,0,762630000
2024-04-16T00:00:00+00:00,0.41,0.41,0.33,0.36,178,0,1198160000
2024-04-17T00:00:00+00:00,0.36,0.41,0.35,0.36,146,0,842900000
2024-04-18T00:00:00+00:00,0.39,0.39,0.35,0.37,22,0,161220000
2024-04-19T00:00:00+00:00,0.39,0.39,0.32,0.32,115,0,800500000
2024-04-22T00:00:00+00:00,0.32,0.34,0.31,0.33,127,0,520290000
2024-04-23T00:00:00+00:00,0.32,0.38,0.32,0.34,270,0,1926110000
2024-04-24T00:00:00+00:00,0.33,0.45,0.33,0.4,391,0,3066790000
2024-04-25T00:00:00+00:00,0.41,0.42,0.35,0.35,250,0,1352480000
2024-04-26T00:00:00+00:00,0.37,0.37,0.3,0.33,177,0,1316780000
2024-04-29T00:00:00+00:00,0.33,0.35,0.33,0.33,350,0,753680000
2024-04-30T00:00:00+00:00,0.34,0.35,0.33,0.34,62,0,266240000
2024-05-01T00:00:00+00:00,0.33,0.39,0.32,0.37,197,0,1167320000
2024-05-02T00:00:00+00:00,0.38,0.4,0.35,0.36,121,0,665020000
2024-05-03T00:00:00+00:00,0.36,0.37,0.33,0.35,140,0,517430000
2024-05-06T00:00:00+00:00,0.36,0.4,0.34,0.4,202,0,1714930000
2024-05-07T00:00:00+00:00,0.38,0.4,0.38,0.4,17,0,89840000
2024-05-08T00:00:00+00:00,0.37,0.42,0.37,0.41,119,0,462970000
2024-05-09T00:00:00+00:00,0.41,0.44,0.4,0.43,57,0,355990000
2024-05-10T00:00:00+00:00,0.42,0.43,0.4,0.4,47,0,252360000
2024-05-13T00:00:00+00:00,0.42,0.42,0.38,0.38,58,0,345500000
2024-05-14T00:00:00+00:00,0.37,0.4,0.36,0.38,128,0,652110000
2024-05-15T00:00:00+00:00,0.36,0.41,0.35,0.38,48,0,201520000
2024-05-16T00:00:00+00:00,0.38,0.38,0.37,0.38,39,0,246430000
2024-05-17T00:00:00+00:00,0.38,0.39,0.36,0.38,73,0,357180000
2024-05-20T00:00:00+00:00,0.39,0.39,0.33,0.34,138,0,780460000
2024-05-21T00:00:00+00:00,0.36,0.38,0.3,0.35,105,0,798710000
2024-05-22T00:00:00+00:00,0.36,0.39,0.34,0.36,230,0,1750140000
2024-05-23T00:00:00+00:00,0.36,0.4,0.34,0.35,94,0,483480000
2024-05-24T00:00:00+00:00,0.36,0.38,0.35,0.38,114,0,829640000
2024-05-28T00:00:00+00:00,0.37,0.4,0.36,0.4,113,0,901000000
2024-05-29T00:00:00+00:00,0.39,0.41,0.38,0.39,90,0,755650000
2024-05-30T00:00:00+00:00,0.41,0.41,0.37,0.37,41,0,427930000
2024-05-31T00:00:00+00:00,0.4,0.4,0.37,0.39,35,0,293340000
2024-06-03T00:00:00+00:00,0.39,0.39,0.36,0.38,59,0,485100000
2024-06-04T00:00:00+00:00,0.38,0.38,0.34,0.37,57,0,416580000
2024-06-05T00:00:00+00:00,0.35,0.37,0.35,0.36,19,0,105830000
2024-06-06T00:00:00+00:00,0.36,0.37,0.34,0.34,42,0,373120000
2024-06-07T00:00:00+00:00,0.34,0.35,0.34,0.34,55,0,376050000
2024-06-10T00:00:00+00:00,0.35,0.36,0.3,0.34,82,0,521180000
2024-06-11T00:00:00+00:00,0.34,0.36,0.32,0.35,45,0,140140000
2024-06-12T00:00:00+00:00,0.35,0.36,0.33,0.35,56,0,282470000
2024-06-13T00:00:00+00:00,0.35,0.36,0.33,0.34,21,0,108300000
2024-06-14T00:00:00+00:00,0.36,0.36,0.31,0.33,44,0,559770000
2024-06-17T00:00:00+00:00,0.36,0.36,0.31,0.33,80,0,863410000
2024-06-18T00:00:00+00:00,0.32,0.41,0.32,0.35,758,0,6767910000
2024-06-20T00:00:00+00:00,0.35,0.35,0.25,0.29,246,0,1337610000
2024-06-21T00:00:00+00:00,0.31,0.31,0.24,0.25,572,0,2714230000
2024-06-24T00:00:00+00:00,0.28,0.28,0.25,0.25,157,0,1092020000
2024-06-25T00:00:00+00:00,0.25,0.26,0.24,0.25,89,0,520200000
2024-06-26T00:00:00+00:00,0.24,0.25,0.23,0.25,243,0,1671790000
2024-06-27T00:00:00+00:00,0.25,0.25,0.22,0.24,343,0,1577940000
2024-06-28T00:00:00+00:00,0.32,0.33,0.22,0.27,23380,0,167398670000
2024-07-01T00:00:00+00:00,0.23,0.26,0.22,0.25,2208,0,13391100000
2024-07-02T00:00:00+00:00,0.22,0.23,0.2,0.21,1296,0,9666260000
2024-07-03T00:00:00+00:00,0.2,0.2,0.17,0.19,841,0,6869510000
2024-07-05T00:00:00+00:00,0.18,0.18,0.16,0.18,1393,0,10491990000
2024-07-08T00:00:00+00:00,0.17,0.18,0.16,0.17,700,0,4764500000
2024-07-09T00:00:00+00:00,0.17,0.18,0.16,0.17,588,0,4133490000
2024-07-10T00:00:00+00:00,0.17,0.18,0.17,0.18,569,0,5344300000
2024-07-11T00:00:00+00:00,0.17,0.19,0.17,0.19,945,0,5778110000
2024-07-12T00:00:00+00:00,0.18,0.19,0.18,0.18,349,0,2947080000
2024-07-15T00:00:00+00:00,0.18,0.18,0.17,0.17,283,0,2157010000
2024-07-16T00:00:00+00:00,0.17,0.19,0.17,0.18,1327,0,20103320000
2024-07-17T00:00:00+00:00,0.18,0.19,0.18,0.18,362,0,2752130000
2024-07-18T00:00:00+00:00,0.18,0.18,0.17,0.17,354,0,2678370000
2024-07-19T00:00:00+00:00,0.17,0.17,0.15,0.17,511,0,6212150000
2024-07-22T00:00:00+00:00,0.16,0.17,0.16,0.16,550,0,4159400000
2024-07-23T00:00:00+00:00,0.17,0.18,0.15,0.16,1923,0,20630900000
2024-07-24T00:00:00+00:00,0.16,0.16,0.14,0.14,583,0,7126440000
2024-07-25T00:00:00+00:00,0.15,0.17,0.15,0.16,884,0,4535860000
2024-07-26T00:00:00+00:00,0.15,0.17,0.15,0.16,470,0,4076770000
2024-07-29T00:00:00+00:00,0.15,0.18,0.15,0.17,261,0,4860430000
2024-07-30T00:00:00+00:00,0.16,0.17,0.16,0.16,197,0,3243980000
2024-07-31T00:00:00+00:00,0.16,0.16,0.15,0.15,302,0,1677690000
2024-08-01T00:00:00+00:00,0.15,0.16,0.14,0.14,188,0,1841360000
2024-08-02T00:00:00+00:00,0.15,0.15,0.14,0.14,332,0,3429880000
2024-08-05T00:00:00+00:00,0.13,0.13,0.12,0.12,207,0,2518240000
2024-08-06T00:00:00+00:00,0.13,0.13,0.12,0.13,296,0,2417430000
2024-08-07T00:00:00+00:00,0.14,0.14,0.13,0.14,130,0,994820000
2024-08-08T00:00:00+00:00,0.14,0.15,0.14,0.14,278,0,2167240000
2024-08-09T00:00:00+00:00,0.13,0.14,0.13,0.14,110,0,693960000
2024-08-12T00:00:00+00:00,0.14,0.14,0.14,0.14,118,0,1290900000
2024-08-13T00:00:00+00:00,0.14,0.15,0.13,0.13,196,0,2248610000
2024-08-14T00:00:00+00:00,0.13,0.13,0.12,0.12,197,0,2785120000
2024-08-15T00:00:00+00:00,0.13,0.13,0.12,0.12,91,0,1357540000
2024-08-16T00:00:00+00:00,0.13,0.13,0.12,0.13,143,0,2679830000
2024-08-19T00:00:00+00:00,0.12,0.13,0.12,0.13,50,0,652600000
2024-08-20T00:00:00+00:00,0.13,0.16,0.13,0.14,758,0,11635980000
2024-08-21T00:00:00+00:00,0.14,0.14,0.13,0.14,167,0,1557570000
2024-08-22T00:00:00+00:00,0.14,0.14,0.13,0.14,230,0,4040320000
2024-08-23T00:00:00+00:00,0.13,0.14,0.13,0.14,200,0,707990000
2024-08-26T00:00:00+00:00,0.14,0.15,0.14,0.15,239,0,2655770000
2024-08-27T00:00:00+00:00,0.14,0.15,0.13,0.14,126,0,475490000
2024-08-28T00:00:00+00:00,0.14,0.15,0.13,0.13,75,0,940000000
2024-08-29T00:00:00+00:00,0.13,0.14,0.13,0.14,46,0,473570000
2024-08-30T00:00:00+00:00,0.14,0.14,0.13,0.13,94,0,804600000
2024-09-03T00:00:00+00:00,0.13,0.15,0.13,0.14,70,0,116747
2024-09-04T00:00:00+00:00,0.14,0.14,0.13,0.13,19,0,16642
2024-09-05T00:00:00+00:00,0.14,0.14,0.13,0.14,80,0,69108
2024-09-06T00:00:00+00:00,0.14,0.14,0.13,0.14,18,0,19367
2024-09-09T00:00:00+00:00,0.14,0.14,0.13,0.13,33,0,19080
2024-09-10T00:00:00+00:00,0.13,0.14,0.13,0.13,67,1,111774
2024-09-11T00:00:00+00:00,0.13,0.14,0.13,0.14,65,0,91619
2024-09-12T00:00:00+00:00,0.13,0.14,0.13,0.13,83,0,71800
2024-09-13T00:00:00+00:00,0.13,0.14,0.13,0.13,61,0,60307
2024-09-16T00:00:00+00:00,0.13,0.13,0.13,0.13,49,0,22418
2024-09-17T00:00:00+00:00,0.12,0.13,0.12,0.13,79,0,127550
2024-09-18T00:00:00+00:00,0.13,0.13,0.12,0.12,91,0,47360
2024-09-19T00:00:00+00:00,0.16,0.18,0.14,0.16,1643,0,2942151
2024-09-20T00:00:00+00:00,0.15,0.15,0.14,0.15,385,0,749107
2024-09-23T00:00:00+00:00,0.15,0.16,0.15,0.15,171,0,234969
2024-09-24T00:00:00+00:00,0.15,0.15,0.14,0.15,150,0,150818
2024-09-25T00:00:00+00:00,0.14,0.15,0.13,0.13,228,0,232441
