time,open,high,low,close,tick_volume,spread,real_volume
2013-09-26T00:00:00+00:00,10.0,10.09,9.37,10.0,3202,0,827689
2013-09-27T00:00:00+00:00,10.06,10.38,10.0,10.01,751,0,250117
2013-09-30T00:00:00+00:00,10.0,10.18,9.71,10.02,240,0,78935
2013-10-01T00:00:00+00:00,9.96,10.02,9.92,10.0,160,0,41500
2013-10-02T00:00:00+00:00,9.99,10.0,9.89,9.97,79,0,94046
2013-10-03T00:00:00+00:00,10.0,10.01,9.8,10.0,109,0,71425
2013-10-04T00:00:00+00:00,10.1,10.2,9.82,10.2,286,0,108974
2013-10-07T00:00:00+00:00,10.39,10.39,10.06,10.1,165,0,50745
2013-10-08T00:00:00+00:00,10.2,10.2,10.1,10.14,32,0,13790
2013-10-09T00:00:00+00:00,10.15,10.21,10.14,10.15,79,0,14679
2013-10-10T00:00:00+00:00,10.5,10.55,10.01,10.2,94,0,80330
2013-10-11T00:00:00+00:00,10.31,10.41,10.15,10.2,83,0,23300
2013-10-14T00:00:00+00:00,9.51,10.05,9.07,10.0,331,0,64286
2013-10-15T00:00:00+00:00,9.78,10.29,9.77,10.2,35,0,9982
2013-10-16T00:00:00+00:00,10.28,10.28,10.01,10.2,30,0,5081
2013-10-17T00:00:00+00:00,10.09,10.55,10.0,10.35,236,0,60882
2013-10-18T00:00:00+00:00,10.49,12.0,10.48,11.1,574,0,151275
2013-10-21T00:00:00+00:00,12.98,13.0,11.55,12.79,785,0,212207
2013-10-22T00:00:00+00:00,12.9,13.5,12.67,13.0,870,0,308221
2013-10-23T00:00:00+00:00,12.99,13.41,12.9,13.11,347,0,63397
2013-10-24T00:00:00+00:00,13.48,13.49,12.45,12.79,284,0,64581
2013-10-25T00:00:00+00:00,12.45,12.8,12.26,12.53,423,0,126649
2013-10-28T00:00:00+00:00,12.1,12.2,11.53,11.87,239,0,45270
2013-10-29T00:00:00+00:00,12.4,13.18,12.1,13.04,680,0,139953
2013-10-30T00:00:00+00:00,12.88,12.95,11.6,12.55,410,0,106402
2013-10-31T00:00:00+00:00,12.63,13.02,12.55,12.68,399,0,87591
2013-11-01T00:00:00+00:00,12.54,12.95,12.5,12.88,162,0,38664
2013-11-04T00:00:00+00:00,12.85,13.01,12.85,12.96,369,0,65738
2013-11-05T00:00:00+00:00,12.85,13.0,12.75,13.0,146,0,27747
2013-11-06T00:00:00+00:00,13.0,13.31,12.84,13.19,345,0,91796
2013-11-07T00:00:00+00:00,13.0,13.48,12.75,12.8,166,0,70571
2013-11-08T00:00:00+00:00,12.75,12.99,12.42,12.99,316,0,85346
2013-11-11T00:00:00+00:00,12.8,13.06,12.69,13.06,75,0,15851
2013-11-12T00:00:00+00:00,12.91,13.1,12.86,13.1,45,0,11097
2013-11-13T00:00:00+00:00,12.88,12.99,12.52,12.62,65,0,13192
2013-11-14T00:00:00+00:00,12.51,12.58,12.21,12.33,94,0,15826
2013-11-15T00:00:00+00:00,12.27,12.69,12.25,12.6,72,0,15715
2013-11-18T00:00:00+00:00,12.55,12.78,12.2,12.47,400,0,78766
2013-11-19T00:00:00+00:00,12.34,12.49,12.24,12.38,36,0,8693
2013-11-20T00:00:00+00:00,12.49,12.57,12.31,12.5,93,0,20670
2013-11-21T00:00:00+00:00,12.5,12.56,12.38,12.51,127,0,26570
2013-11-22T00:00:00+00:00,12.36,12.57,12.31,12.57,147,0,38408
2013-11-25T00:00:00+00:00,12.7,12.8,12.65,12.8,254,0,57271
2013-11-26T00:00:00+00:00,12.27,12.64,12.23,12.56,177,0,44680
2013-11-27T00:00:00+00:00,12.51,13.0,12.24,12.95,163,0,22772
2013-11-29T00:00:00+00:00,12.81,13.24,12.25,13.18,221,0,52833
2013-12-02T00:00:00+00:00,13.14,13.27,12.6,12.62,126,0,16508
2013-12-03T00:00:00+00:00,12.64,13.0,12.2,12.3,266,0,45692
2013-12-04T00:00:00+00:00,12.4,12.91,12.3,12.89,235,0,72689
2013-12-05T00:00:00+00:00,12.79,13.2,12.75,13.04,253,0,124274
2013-12-06T00:00:00+00:00,13.25,14.74,13.18,14.36,829,0,190483
2013-12-09T00:00:00+00:00,14.67,15.84,14.5,15.32,670,0,182814
2013-12-10T00:00:00+00:00,14.99,15.75,14.94,15.51,456,0,92408
2013-12-11T00:00:00+00:00,16.0,16.61,15.51,15.94,864,0,118325
2013-12-12T00:00:00+00:00,16.04,16.1,14.69,15.13,427,0,72419
2013-12-13T00:00:00+00:00,15.94,15.96,14.29,14.73,437,0,59249
2013-12-16T00:00:00+00:00,14.93,15.87,14.71,15.48,627,0,81211
