time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,23.05,23.63,23.05,23.32,1137,0,1337100
2003-09-11T00:00:00+00:00,23.33,23.48,23.17,23.32,658,0,462600
2003-09-12T00:00:00+00:00,23.33,23.39,23.11,23.3,685,0,512100
2003-09-15T00:00:00+00:00,23.33,23.66,23.33,23.51,744,0,682200
2003-09-16T00:00:00+00:00,23.53,23.64,23.26,23.62,564,0,496500
2003-09-17T00:00:00+00:00,23.63,23.64,23.46,23.63,496,0,371400
2003-09-18T00:00:00+00:00,23.64,24.04,23.58,23.95,677,0,575700
2003-09-19T00:00:00+00:00,23.95,23.95,23.58,23.72,672,0,734400
2003-09-22T00:00:00+00:00,23.62,24.07,23.52,23.84,815,0,1004700
2003-09-23T00:00:00+00:00,23.82,24.65,23.63,24.59,1454,0,2002800
2003-09-24T00:00:00+00:00,24.6,24.88,24.31,24.34,1280,0,1158300
2003-09-25T00:00:00+00:00,24.37,24.38,23.73,23.74,599,0,552300
2003-09-26T00:00:00+00:00,23.64,23.72,23.4,23.46,712,0,797700
2003-09-29T00:00:00+00:00,23.49,23.62,23.06,23.34,964,0,1051800
2003-09-30T00:00:00+00:00,23.34,24.0,23.28,23.65,893,0,1193100
2003-10-01T00:00:00+00:00,23.68,24.51,23.65,24.5,972,0,1226700
2003-10-02T00:00:00+00:00,24.61,24.76,24.47,24.66,963,0,864300
2003-10-03T00:00:00+00:00,24.87,24.98,24.64,24.67,638,0,858000
2003-10-06T00:00:00+00:00,24.62,24.92,24.28,24.91,1010,0,1539900
2003-10-07T00:00:00+00:00,24.84,24.9,24.74,24.88,614,0,859500
2003-10-08T00:00:00+00:00,24.88,24.89,24.6,24.63,474,0,406200
2003-10-09T00:00:00+00:00,24.73,25.18,24.73,24.9,903,0,907500
2003-10-10T00:00:00+00:00,24.93,25.17,24.82,24.85,429,0,344700
2003-10-13T00:00:00+00:00,24.91,25.15,24.91,25.15,412,0,505800
2003-10-14T00:00:00+00:00,25.1,25.34,24.93,25.34,435,0,472200
2003-10-15T00:00:00+00:00,25.45,25.72,25.31,25.33,782,0,1287900
2003-10-16T00:00:00+00:00,25.17,25.17,24.83,24.96,827,0,1282800
2003-10-17T00:00:00+00:00,24.96,24.96,24.65,24.68,489,0,406800
2003-10-20T00:00:00+00:00,24.64,24.78,24.54,24.65,464,0,467100
2003-10-21T00:00:00+00:00,24.63,24.65,24.39,24.49,642,0,873900
2003-10-22T00:00:00+00:00,24.5,24.58,24.38,24.56,759,0,1045200
2003-10-23T00:00:00+00:00,24.53,24.94,24.52,24.83,519,0,458100
2003-10-24T00:00:00+00:00,24.84,25.14,24.83,25.05,825,0,745500
2003-10-27T00:00:00+00:00,25.05,25.75,25.05,25.67,909,0,963000
2003-10-28T00:00:00+00:00,25.7,26.23,25.7,26.18,1155,0,980400
