time,open,high,low,close,tick_volume,spread,real_volume
2011-01-13T00:00:00+00:00,21.53,22.0,21.18,21.25,36126,0,15097682
2011-01-14T00:00:00+00:00,21.16,21.45,21.16,21.31,4330,0,1262729
2011-01-18T00:00:00+00:00,21.3,21.46,21.12,21.37,2261,0,437455
2011-01-19T00:00:00+00:00,21.42,21.42,20.88,21.25,4885,0,959819
2011-01-20T00:00:00+00:00,21.05,21.4,21.03,21.2,2201,0,702732
2011-01-21T00:00:00+00:00,21.3,21.3,21.03,21.24,2082,0,472870
2011-01-24T00:00:00+00:00,21.2,21.39,21.1,21.3,853,0,352369
2011-01-25T00:00:00+00:00,21.2,21.47,21.15,21.2,1169,0,292352
2011-01-26T00:00:00+00:00,21.29,21.36,21.21,21.29,1397,0,346472
2011-01-27T00:00:00+00:00,21.2,21.4,21.2,21.4,1168,0,448765
2011-01-28T00:00:00+00:00,21.26,21.38,21.26,21.32,987,0,474317
2011-01-31T00:00:00+00:00,21.3,21.41,21.25,21.33,1186,0,192004
2011-02-01T00:00:00+00:00,21.27,21.4,21.21,21.29,964,0,558065
2011-02-02T00:00:00+00:00,21.15,21.25,21.06,21.12,756,0,168053
2011-02-03T00:00:00+00:00,21.02,21.28,21.02,21.19,1017,0,541692
2011-02-04T00:00:00+00:00,21.1,21.28,21.0,21.08,620,0,217505
2011-02-07T00:00:00+00:00,21.07,21.2,20.95,21.17,2650,0,453967
2011-02-08T00:00:00+00:00,21.21,21.21,20.94,20.97,755,0,245800
2011-02-09T00:00:00+00:00,20.8,21.2,20.61,21.12,1602,0,417804
2011-02-10T00:00:00+00:00,21.01,21.35,21.01,21.31,1523,0,254985
2011-02-11T00:00:00+00:00,21.11,21.39,21.02,21.39,436,0,174080
2011-02-14T00:00:00+00:00,21.21,21.55,21.15,21.35,577,0,152984
2011-02-15T00:00:00+00:00,21.15,21.41,21.1,21.26,1011,0,177433
2011-02-16T00:00:00+00:00,21.39,21.39,21.18,21.33,345,0,54149
2011-02-17T00:00:00+00:00,21.3,21.89,21.3,21.5,669,0,140184
2011-02-18T00:00:00+00:00,21.54,21.6,21.31,21.43,854,0,196375
2011-02-22T00:00:00+00:00,21.49,21.57,21.26,21.42,525,0,116970
2011-02-23T00:00:00+00:00,21.21,21.49,20.9,21.2,915,0,171310
2011-02-24T00:00:00+00:00,21.02,21.22,21.0,21.12,513,0,75356
2011-02-25T00:00:00+00:00,21.13,21.45,21.0,21.39,652,0,80482
2011-02-28T00:00:00+00:00,21.48,21.6,21.33,21.6,294,0,121830
2011-03-01T00:00:00+00:00,21.54,21.69,21.31,21.45,816,0,215022
2011-03-02T00:00:00+00:00,21.48,21.52,21.03,21.13,1241,0,161721
2011-03-03T00:00:00+00:00,21.18,21.51,21.06,21.46,359,0,51489
2011-03-04T00:00:00+00:00,21.5,21.6,21.21,21.29,709,0,114433
2011-03-07T00:00:00+00:00,21.5,21.5,20.91,21.05,1448,0,211556
2011-03-08T00:00:00+00:00,21.06,21.44,20.96,21.3,1150,0,212463
2011-03-09T00:00:00+00:00,21.29,21.44,20.96,21.1,775,0,175131
2011-03-10T00:00:00+00:00,21.0,21.11,20.72,20.82,1065,0,160444
2011-03-11T00:00:00+00:00,20.54,21.02,20.45,20.67,410,0,52208
2011-03-14T00:00:00+00:00,20.61,21.07,20.61,21.0,639,0,102867
2011-03-15T00:00:00+00:00,20.76,20.95,20.6,20.94,890,0,121454
2011-03-16T00:00:00+00:00,21.0,21.02,20.78,20.88,1326,0,209309
2011-03-17T00:00:00+00:00,21.19,21.2,20.85,20.88,1097,0,147783
2011-03-18T00:00:00+00:00,21.1,21.5,20.98,21.5,1829,0,349544
2011-03-21T00:00:00+00:00,21.52,21.56,21.44,21.47,434,0,67825
2011-03-22T00:00:00+00:00,21.15,21.56,21.06,21.45,689,0,92042
2011-03-23T00:00:00+00:00,21.26,21.43,21.03,21.3,652,0,93373
2011-03-24T00:00:00+00:00,21.33,21.48,21.11,21.39,711,0,166346
2011-03-25T00:00:00+00:00,21.45,21.57,21.33,21.49,973,0,135830
2011-03-28T00:00:00+00:00,21.55,21.56,21.42,21.5,1047,0,141747
2011-03-29T00:00:00+00:00,21.41,21.5,21.18,21.26,827,0,239375
2011-03-30T00:00:00+00:00,21.43,21.43,20.94,21.11,2261,0,444531
2011-03-31T00:00:00+00:00,20.92,21.3,20.52,21.17,5821,0,1109634
2011-04-01T00:00:00+00:00,21.3,21.88,21.27,21.68,2259,0,682083
2011-04-04T00:00:00+00:00,21.67,21.95,21.61,21.77,1421,0,234401
2011-04-05T00:00:00+00:00,21.74,21.81,21.67,21.74,896,0,134645
2011-04-06T00:00:00+00:00,21.77,22.01,21.69,21.94,1462,0,232381
2011-04-07T00:00:00+00:00,21.89,21.89,21.29,21.53,1068,0,191606
2011-04-08T00:00:00+00:00,21.6,21.61,21.12,21.39,841,0,138337
2011-04-11T00:00:00+00:00,21.34,21.46,21.16,21.26,882,0,157224
2011-04-12T00:00:00+00:00,21.17,21.32,21.14,21.26,1284,0,256624
2011-04-13T00:00:00+00:00,21.23,21.41,21.16,21.35,765,0,180705
2011-04-14T00:00:00+00:00,21.25,21.63,21.1,21.44,624,0,123146
2011-04-15T00:00:00+00:00,21.34,21.55,21.2,21.53,763,0,145567
2011-04-18T00:00:00+00:00,21.49,21.54,21.16,21.26,666,0,88794
2011-04-19T00:00:00+00:00,21.27,21.3,21.1,21.25,539,0,99961
2011-04-20T00:00:00+00:00,21.51,21.67,21.22,21.67,777,0,150332
2011-04-21T00:00:00+00:00,21.75,21.75,21.31,21.68,545,0,125493
2011-04-25T00:00:00+00:00,21.59,21.99,21.16,21.66,463,0,132947
2011-04-26T00:00:00+00:00,21.77,22.06,21.66,21.94,1142,0,177542
2011-04-27T00:00:00+00:00,21.9,22.28,21.87,22.03,1383,0,241356
2011-04-28T00:00:00+00:00,22.0,22.12,21.94,22.05,700,0,129417
