time,open,high,low,close,tick_volume,spread,real_volume
2025-01-31T00:00:00+00:00,26.25,26.25,25.9,25.9,9,3149,1250
2025-02-03T00:00:00+00:00,25.83,25.84,25.74,25.84,8,1771,2262
2025-02-04T00:00:00+00:00,25.91,25.96,25.88,25.93,8,1215,1995
2025-02-05T00:00:00+00:00,25.97,26.22,25.97,26.22,2,3014,1567
2025-02-06T00:00:00+00:00,26.11,26.11,26.11,26.11,1,3043,170
2025-02-07T00:00:00+00:00,26.08,26.08,26.0,26.02,6,3114,1607
2025-02-12T00:00:00+00:00,25.87,25.89,25.87,25.89,3,1783,442
2025-02-13T00:00:00+00:00,25.94,26.03,25.88,26.01,11,1577,1703
2025-02-14T00:00:00+00:00,26.06,26.06,26.05,26.05,3,1574,1877
2025-02-18T00:00:00+00:00,26.19,26.26,26.18,26.2,34,3103,13133
2025-02-19T00:00:00+00:00,26.07,26.16,26.02,26.14,111,1737,75131
2025-02-20T00:00:00+00:00,26.28,26.28,25.8,25.8,6,1,3320
2025-02-24T00:00:00+00:00,25.19,25.42,25.19,25.4,32,6,6268
2025-02-25T00:00:00+00:00,25.12,25.14,25.08,25.14,12,1,7518
2025-02-26T00:00:00+00:00,25.56,25.56,25.37,25.37,5,2928,681
2025-02-27T00:00:00+00:00,25.3,25.3,25.02,25.02,4,3016,585
2025-02-28T00:00:00+00:00,24.92,25.05,24.83,25.05,5,2972,18230
2025-03-03T00:00:00+00:00,25.08,25.12,24.74,24.74,5,829,956
2025-03-04T00:00:00+00:00,24.2,24.85,24.2,24.85,13,839,2196
2025-03-05T00:00:00+00:00,24.95,24.96,24.95,24.96,4,1,1444
2025-03-06T00:00:00+00:00,24.6,24.65,24.54,24.63,38,1,5750
2025-03-07T00:00:00+00:00,24.34,24.76,24.34,24.73,7,3,2693
2025-03-10T00:00:00+00:00,24.37,24.38,24.02,24.02,15,2869,1563
2025-03-11T00:00:00+00:00,24.0,24.17,24.0,24.16,6,2868,4654
2025-03-12T00:00:00+00:00,24.23,24.23,24.23,24.23,1,2859,135
2025-03-13T00:00:00+00:00,24.28,24.28,23.88,23.88,2,2876,262
2025-03-14T00:00:00+00:00,24.31,24.31,24.28,24.28,2,2832,1000
2025-03-17T00:00:00+00:00,24.83,24.85,24.83,24.84,3,2823,836
2025-03-18T00:00:00+00:00,24.62,24.67,24.62,24.67,2,8,236
2025-03-19T00:00:00+00:00,25.06,25.06,24.93,24.93,4,1,2729
2025-03-20T00:00:00+00:00,24.81,24.84,24.81,24.84,4,4,500
2025-03-21T00:00:00+00:00,24.64,24.65,24.56,24.59,4,3,765
2025-03-24T00:00:00+00:00,25.07,25.13,25.07,25.13,2,2871,1212
2025-03-25T00:00:00+00:00,25.16,25.19,25.16,25.19,3,2997,333
2025-03-26T00:00:00+00:00,25.11,25.11,25.11,25.11,1,2998,100
2025-03-27T00:00:00+00:00,24.74,24.9,24.74,24.85,23,2969,2892
2025-03-28T00:00:00+00:00,24.34,24.34,24.34,24.34,2,2952,320
2025-03-31T00:00:00+00:00,24.1,24.25,24.1,24.25,2,2903,200
2025-04-02T00:00:00+00:00,24.52,24.6,24.52,24.6,2,2923,238
2025-04-03T00:00:00+00:00,23.71,23.74,23.56,23.56,4,1,476
2025-04-07T00:00:00+00:00,21.1,22.41,21.1,21.55,38,2550,9306
2025-04-08T00:00:00+00:00,22.62,22.62,21.85,21.85,2,122,359
2025-04-09T00:00:00+00:00,21.86,23.08,21.59,22.86,4,1,1060
2025-04-10T00:00:00+00:00,22.56,22.75,22.55,22.75,8,5,890
2025-04-11T00:00:00+00:00,23.16,23.17,23.15,23.17,12,1,1801
2025-04-14T00:00:00+00:00,23.57,23.57,23.57,23.57,1,2614,415
