time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,28.2,28.7,27.85,27.9,2984,0,3179700
2003-09-11T00:00:00+00:00,28.4,28.4,27.96,28.22,2782,0,3370100
2003-09-12T00:00:00+00:00,28.25,29.35,27.95,29.17,3786,0,6479800
2003-09-15T00:00:00+00:00,29.43,29.5,28.34,28.57,2997,0,3800900
2003-09-16T00:00:00+00:00,28.45,28.58,27.91,28.17,3090,0,3963300
2003-09-17T00:00:00+00:00,27.96,28.18,27.8,28.05,3128,0,2368500
2003-09-18T00:00:00+00:00,28.0,28.48,27.97,28.28,3011,0,2549800
2003-09-19T00:00:00+00:00,28.68,28.68,27.5,28.42,2975,0,3752400
2003-09-22T00:00:00+00:00,27.93,28.45,27.41,27.63,3135,0,2769500
2003-09-23T00:00:00+00:00,27.77,27.85,27.3,27.62,2889,0,2758500
2003-09-24T00:00:00+00:00,27.7,28.1,27.41,27.48,3212,0,3331100
2003-09-25T00:00:00+00:00,27.55,27.69,26.8,27.13,3237,0,3551300
2003-09-26T00:00:00+00:00,27.0,27.5,26.6,26.68,3066,0,2828000
2003-09-29T00:00:00+00:00,26.7,27.42,26.7,27.36,3401,0,3241700
2003-09-30T00:00:00+00:00,27.36,27.36,26.17,26.21,4577,0,6418700
2003-10-01T00:00:00+00:00,26.3,26.86,26.27,26.68,3614,0,7796200
2003-10-02T00:00:00+00:00,26.88,27.4,26.75,27.12,3272,0,3567200
2003-10-03T00:00:00+00:00,27.13,28.35,27.13,28.2,4232,0,6476900
2003-10-06T00:00:00+00:00,28.48,28.52,28.07,28.3,3437,0,3230400
2003-10-07T00:00:00+00:00,27.95,28.72,27.7,28.19,4284,0,3724500
2003-10-08T00:00:00+00:00,28.8,29.21,28.37,28.66,6347,0,7094400
2003-10-09T00:00:00+00:00,29.04,30.02,28.72,29.62,5060,0,7563500
2003-10-10T00:00:00+00:00,29.51,29.9,29.51,29.75,3251,0,3733000
2003-10-13T00:00:00+00:00,29.75,30.13,29.75,30.13,2950,0,4564500
2003-10-14T00:00:00+00:00,30.15,30.8,30.07,30.74,4080,0,4763400
2003-10-15T00:00:00+00:00,30.95,30.98,30.52,30.77,3426,0,3788500
2003-10-16T00:00:00+00:00,30.76,31.0,30.44,30.79,3742,0,2777400
2003-10-17T00:00:00+00:00,30.9,30.9,29.98,30.08,3338,0,3586500
2003-10-20T00:00:00+00:00,30.2,30.28,29.98,30.19,3251,0,2985200
2003-10-21T00:00:00+00:00,30.3,30.39,30.01,30.14,3415,0,3527100
2003-10-22T00:00:00+00:00,29.95,29.95,29.49,29.7,3494,0,6442000
2003-10-23T00:00:00+00:00,29.5,29.69,29.34,29.55,3410,0,3306700
2003-10-24T00:00:00+00:00,29.12,29.2,28.93,29.15,2899,0,2947400
2003-10-27T00:00:00+00:00,29.6,30.1,29.5,29.95,3512,0,4284500
2003-10-28T00:00:00+00:00,29.99,30.85,29.96,30.44,4351,0,7072500
2003-10-29T00:00:00+00:00,30.46,31.21,30.19,31.21,3912,0,5075600
2003-10-30T00:00:00+00:00,31.7,32.15,31.61,32.08,4154,0,5730800
2003-10-31T00:00:00+00:00,32.43,32.54,31.5,31.61,4785,0,5004200
2003-11-03T00:00:00+00:00,31.65,32.7,31.58,32.21,4542,0,4362349
2003-11-04T00:00:00+00:00,32.4,32.4,31.85,32.01,4278,0,4230101
2003-11-05T00:00:00+00:00,32.15,32.32,31.59,31.96,3610,0,3468300
2003-11-06T00:00:00+00:00,32.0,32.3,31.75,32.19,3715,0,2746700
2003-11-07T00:00:00+00:00,32.4,33.42,32.36,32.96,4686,0,5027200
2003-11-10T00:00:00+00:00,33.1,33.14,31.9,32.02,4351,0,3103000
2003-11-11T00:00:00+00:00,32.07,32.07,31.24,31.39,4046,0,4052200
2003-11-12T00:00:00+00:00,31.42,32.74,31.29,32.66,5320,0,5078400
2003-11-13T00:00:00+00:00,32.52,33.23,32.39,33.13,3365,0,3684800
2003-11-14T00:00:00+00:00,33.3,33.5,32.15,32.35,3627,0,4160700
2003-11-17T00:00:00+00:00,32.37,32.65,31.78,32.55,4962,0,4040400
