time,open,high,low,close,tick_volume,spread,real_volume
2013-01-02T00:00:00+00:00,34.92,35.4,34.1,35.3,37789,0,12678981
2013-01-03T00:00:00+00:00,34.28,35.0,34.16,34.72,61017,0,15731101
2013-01-04T00:00:00+00:00,34.35,34.89,34.25,34.39,46369,0,20550570
2013-01-07T00:00:00+00:00,34.15,35.45,34.15,34.48,58244,0,16633100
2013-01-08T00:00:00+00:00,34.29,34.64,33.36,33.72,60935,0,16862954
2013-01-09T00:00:00+00:00,33.7,33.96,33.62,33.88,51059,0,18312703
2013-01-10T00:00:00+00:00,33.35,34.0,33.33,33.97,46482,0,14922717
2013-01-11T00:00:00+00:00,33.59,33.9,33.35,33.84,25631,0,10515802
2013-01-14T00:00:00+00:00,34.03,34.25,33.8,34.13,34104,0,10923114
2013-01-15T00:00:00+00:00,33.71,34.72,33.71,34.6,39536,0,12738670
2013-01-16T00:00:00+00:00,34.47,35.54,34.45,35.51,46750,0,15618037
2013-01-17T00:00:00+00:00,35.99,36.7,35.76,36.54,40689,0,12697378
2013-01-18T00:00:00+00:00,36.47,37.31,36.04,37.17,41234,0,10815299
2013-01-22T00:00:00+00:00,37.1,37.25,35.93,36.42,53946,0,14093146
2013-01-23T00:00:00+00:00,36.91,37.84,36.5,37.81,33577,0,8884784
2013-01-24T00:00:00+00:00,37.91,38.52,37.23,37.44,39989,0,10127601
2013-01-25T00:00:00+00:00,37.46,37.84,36.64,37.62,35465,0,8186536
2013-01-28T00:00:00+00:00,37.95,37.95,36.71,36.85,25131,0,5776873
2013-01-29T00:00:00+00:00,36.69,37.46,36.25,37.3,39346,0,7736472
2013-01-30T00:00:00+00:00,36.81,37.53,36.81,36.93,34653,0,10130416
2013-01-31T00:00:00+00:00,36.84,36.93,36.27,36.76,36294,0,9371449
2013-02-01T00:00:00+00:00,36.89,37.2,36.52,37.18,35332,0,8891946
2013-02-04T00:00:00+00:00,36.64,37.31,36.55,37.3,23239,0,5714791
2013-02-05T00:00:00+00:00,37.43,37.73,37.18,37.24,28830,0,6200975
2013-02-06T00:00:00+00:00,36.96,37.28,36.86,37.13,24169,0,5222811
2013-02-07T00:00:00+00:00,37.57,37.57,35.8,36.41,40516,0,9460504
2013-02-08T00:00:00+00:00,36.16,36.42,35.82,36.24,36667,0,13161959
2013-02-11T00:00:00+00:00,36.13,36.18,35.75,35.84,25002,0,5829448
2013-02-12T00:00:00+00:00,35.77,35.9,35.2,35.43,30211,0,7165901
2013-02-13T00:00:00+00:00,35.36,35.57,35.15,35.28,23047,0,4603103
2013-02-14T00:00:00+00:00,35.05,36.73,35.01,36.57,24847,0,5490703
2013-02-15T00:00:00+00:00,37.28,37.81,37.17,37.56,42085,0,12264135
2013-02-19T00:00:00+00:00,37.44,38.33,37.11,38.18,36111,0,7336422
2013-02-20T00:00:00+00:00,37.63,39.13,37.61,38.6,27110,0,7528479
2013-02-21T00:00:00+00:00,38.41,39.02,38.19,38.76,29659,0,6811574
2013-02-22T00:00:00+00:00,38.56,38.85,38.14,38.46,18097,0,3684346
2013-02-25T00:00:00+00:00,38.32,38.61,37.37,37.4,20278,0,4059223
2013-02-26T00:00:00+00:00,37.6,37.6,36.96,37.09,21319,0,3884567
2013-02-27T00:00:00+00:00,36.97,36.98,36.4,36.74,43526,0,9813616
2013-02-28T00:00:00+00:00,36.66,37.14,36.5,36.92,27388,0,6594843
2013-03-01T00:00:00+00:00,36.8,38.07,36.55,37.83,30961,0,6153735
2013-03-04T00:00:00+00:00,37.53,38.25,37.53,38.24,25937,0,4896228
2013-03-05T00:00:00+00:00,38.45,38.57,37.29,37.5,27758,0,5558515
2013-03-06T00:00:00+00:00,37.57,37.86,37.37,37.73,23076,0,5095788
2013-03-07T00:00:00+00:00,37.65,38.01,37.44,37.49,21314,0,3808093
2013-03-08T00:00:00+00:00,37.64,37.65,37.16,37.32,15435,0,3732315
2013-03-11T00:00:00+00:00,37.75,38.15,37.5,37.69,18543,0,3384401
2013-03-12T00:00:00+00:00,38.13,38.17,37.01,37.17,26768,0,5431888
2013-03-13T00:00:00+00:00,37.35,37.39,37.04,37.17,14948,0,2792728
2013-03-14T00:00:00+00:00,37.08,37.59,36.86,37.54,22868,0,7860586
2013-03-15T00:00:00+00:00,37.76,38.54,37.44,38.5,28165,0,6767102
2013-03-18T00:00:00+00:00,38.48,38.5,38.12,38.16,19799,0,3785546
2013-03-19T00:00:00+00:00,38.11,38.41,37.84,38.2,20959,0,4323250
2013-03-20T00:00:00+00:00,39.02,39.19,38.61,38.77,26214,0,5618018
2013-03-21T00:00:00+00:00,38.75,38.96,38.48,38.49,19010,0,3669936
2013-03-22T00:00:00+00:00,38.7,38.98,38.39,38.97,11761,0,2247145
2013-03-25T00:00:00+00:00,39.12,39.52,39.06,39.35,20523,0,4326647
2013-03-26T00:00:00+00:00,39.99,40.52,39.32,39.32,22750,0,4458819
2013-03-27T00:00:00+00:00,39.94,40.3,39.66,40.15,19477,0,3433763
2013-03-28T00:00:00+00:00,39.79,40.8,39.77,40.78,24893,0,5333873
2013-04-01T00:00:00+00:00,39.97,41.14,39.96,41.11,26134,0,5262488
2013-04-02T00:00:00+00:00,41.22,41.22,40.52,40.69,19816,0,4579469
2013-04-03T00:00:00+00:00,40.75,41.45,40.35,40.57,22535,0,3653005
2013-04-04T00:00:00+00:00,40.77,41.78,40.62,41.61,26134,0,7018313
2013-04-05T00:00:00+00:00,41.31,41.5,41.09,41.3,16569,0,3309273
2013-04-08T00:00:00+00:00,41.27,41.87,41.07,41.75,16067,0,4652407
2013-04-09T00:00:00+00:00,41.96,43.56,41.8,42.54,34584,0,7537226
2013-04-10T00:00:00+00:00,42.64,43.77,42.5,43.61,33014,0,7180701
2013-04-11T00:00:00+00:00,43.42,43.71,43.11,43.19,30114,0,5879078
2013-04-12T00:00:00+00:00,42.97,43.29,42.62,43.12,16645,0,3258345
2013-04-15T00:00:00+00:00,42.87,43.03,41.41,41.45,28376,0,5806257
2013-04-16T00:00:00+00:00,41.65,42.53,41.13,42.46,32644,0,6435092
2013-04-17T00:00:00+00:00,42.14,42.43,41.42,42.25,26269,0,4556852
2013-04-18T00:00:00+00:00,42.37,42.64,41.89,42.3,21862,0,4042724
2013-04-19T00:00:00+00:00,42.51,42.58,42.2,42.43,20235,0,4339856
2013-04-22T00:00:00+00:00,42.91,44.83,42.88,44.19,34888,0,8205645
2013-04-23T00:00:00+00:00,44.61,46.32,44.4,45.14,39532,0,8919465
2013-04-24T00:00:00+00:00,45.14,45.34,43.94,44.32,24997,0,4962280
2013-04-25T00:00:00+00:00,44.76,44.79,43.76,44.27,25425,0,4822794
2013-04-26T00:00:00+00:00,44.95,46.31,44.75,45.85,38449,0,8596033
2013-04-29T00:00:00+00:00,45.83,45.93,45.05,45.24,25809,0,4956837
2013-04-30T00:00:00+00:00,45.05,46.23,45.01,46.02,26696,0,5579282
2013-05-01T00:00:00+00:00,45.74,46.1,45.55,45.56,25926,0,6038784
2013-05-02T00:00:00+00:00,45.58,45.68,43.86,43.99,42247,0,9145926
2013-05-03T00:00:00+00:00,44.26,44.77,43.83,44.68,23285,0,4051284
2013-05-06T00:00:00+00:00,44.47,44.9,44.15,44.58,20597,0,3544567
2013-05-07T00:00:00+00:00,44.5,45.01,44.43,44.93,19376,0,3478879
2013-05-08T00:00:00+00:00,45.01,45.05,43.39,43.48,32092,0,6282990
2013-05-09T00:00:00+00:00,43.34,44.46,43.25,44.24,24994,0,4523393
2013-05-10T00:00:00+00:00,44.21,45.01,44.2,45.0,20446,0,3977645
2013-05-13T00:00:00+00:00,44.41,44.71,44.17,44.54,20460,0,3463938
2013-05-14T00:00:00+00:00,44.09,45.52,44.09,45.34,26411,0,5232208
2013-05-15T00:00:00+00:00,46.0,46.93,45.48,46.04,28943,0,5963524
2013-05-16T00:00:00+00:00,46.26,46.9,46.01,46.21,24555,0,4192184
2013-05-17T00:00:00+00:00,46.03,47.34,45.85,47.17,24389,0,4814627
2013-05-20T00:00:00+00:00,47.12,47.14,46.07,46.27,19255,0,3221887
2013-05-21T00:00:00+00:00,46.19,46.96,46.17,46.53,19404,0,4112828
2013-05-22T00:00:00+00:00,46.46,48.0,45.85,46.76,27231,0,4546718
2013-05-23T00:00:00+00:00,45.95,46.95,45.95,46.6,17149,0,2641132
2013-05-24T00:00:00+00:00,46.25,46.48,45.31,45.45,21638,0,4017337
2013-05-28T00:00:00+00:00,45.89,46.04,44.7,45.38,28630,0,5644155
2013-05-29T00:00:00+00:00,44.89,45.18,43.79,43.89,34153,0,5755723
2013-05-30T00:00:00+00:00,44.1,45.13,44.05,44.54,22273,0,3934407
2013-05-31T00:00:00+00:00,44.27,44.69,42.69,42.7,29730,0,5390260
2013-06-03T00:00:00+00:00,42.88,43.58,42.75,43.37,34864,0,6188306
2013-06-04T00:00:00+00:00,43.42,44.47,43.38,43.64,21394,0,3883560
2013-06-05T00:00:00+00:00,43.49,43.9,42.69,43.03,25652,0,4457987
2013-06-06T00:00:00+00:00,43.19,43.57,42.65,43.5,23059,0,3684958
2013-06-07T00:00:00+00:00,43.72,44.27,43.5,44.0,27996,0,4912206
2013-06-10T00:00:00+00:00,43.88,44.0,43.22,43.92,23829,0,4093606
2013-06-11T00:00:00+00:00,43.28,44.05,43.05,43.6,22241,0,3265587
2013-06-12T00:00:00+00:00,43.91,44.0,42.72,42.76,22109,0,3463169
2013-06-13T00:00:00+00:00,42.35,43.21,40.1,43.15,32636,0,5592261
2013-06-14T00:00:00+00:00,42.98,43.5,42.5,43.19,21284,0,3479219
2013-06-17T00:00:00+00:00,43.4,43.5,42.68,43.02,18741,0,3032394
2013-06-18T00:00:00+00:00,42.97,43.56,42.63,43.55,19398,0,3233505
2013-06-19T00:00:00+00:00,43.56,43.83,43.01,43.05,21248,0,3234938
2013-06-20T00:00:00+00:00,42.65,42.78,40.91,41.06,39946,0,6520747
2013-06-21T00:00:00+00:00,41.66,42.71,41.2,42.56,32839,0,7431787
2013-06-24T00:00:00+00:00,42.1,42.4,41.32,41.88,35392,0,5633259
2013-06-25T00:00:00+00:00,42.15,42.77,41.61,42.65,24645,0,4135032
2013-06-26T00:00:00+00:00,43.2,43.61,43.02,43.4,24049,0,4133891
2013-06-27T00:00:00+00:00,43.5,43.98,42.73,43.14,21760,0,4230558
2013-06-28T00:00:00+00:00,42.53,42.97,41.34,41.35,37137,0,7272821
2013-07-01T00:00:00+00:00,41.4,41.93,41.07,41.61,23939,0,3971682
2013-07-02T00:00:00+00:00,41.58,42.57,41.58,42.19,22682,0,3779815
2013-07-03T00:00:00+00:00,41.88,42.32,41.61,42.23,11008,0,1924406
2013-07-05T00:00:00+00:00,42.76,42.83,42.31,42.74,14332,0,2403842
2013-07-08T00:00:00+00:00,42.9,43.69,42.82,43.67,20665,0,3482613
2013-07-09T00:00:00+00:00,44.0,44.23,43.25,43.33,19128,0,3378378
2013-07-10T00:00:00+00:00,43.36,44.12,43.36,43.92,16791,0,2783428
2013-07-11T00:00:00+00:00,43.98,44.11,43.33,43.77,20593,0,3761516
2013-07-12T00:00:00+00:00,43.9,45.11,43.8,45.02,25208,0,5138609
2013-07-15T00:00:00+00:00,44.63,44.97,44.54,44.6,16988,0,2916742
2013-07-16T00:00:00+00:00,44.47,44.77,43.7,43.82,17075,0,3144888
2013-07-17T00:00:00+00:00,43.97,44.15,43.74,43.94,15593,0,3233513
2013-07-18T00:00:00+00:00,43.96,44.56,43.81,44.31,15974,0,2843489
2013-07-19T00:00:00+00:00,44.49,44.91,44.12,44.54,16295,0,3607050
2013-07-22T00:00:00+00:00,44.09,45.1,43.8,44.97,16518,0,3027634
2013-07-23T00:00:00+00:00,44.92,45.09,44.23,44.3,17597,0,3348148
2013-07-24T00:00:00+00:00,44.28,44.35,43.39,43.65,16514,0,2796887
2013-07-25T00:00:00+00:00,43.4,44.43,43.35,44.22,22827,0,3729157
2013-07-26T00:00:00+00:00,45.21,45.21,44.17,44.8,23989,0,3994280
2013-07-29T00:00:00+00:00,44.72,45.46,44.47,45.07,22422,0,3945829
2013-07-30T00:00:00+00:00,45.08,45.23,44.2,44.69,19288,0,3218344
2013-07-31T00:00:00+00:00,44.84,45.91,44.81,45.5,29655,0,5146730
2013-08-01T00:00:00+00:00,45.14,45.9,45.04,45.26,19121,0,3272499
2013-08-02T00:00:00+00:00,45.11,45.42,44.81,45.32,16435,0,2784365
2013-08-05T00:00:00+00:00,45.0,45.37,44.48,44.71,15122,0,2790817
2013-08-06T00:00:00+00:00,44.42,44.99,44.42,44.86,20583,0,3742030
2013-08-07T00:00:00+00:00,44.7,44.86,44.22,44.57,19582,0,3048736
2013-08-08T00:00:00+00:00,44.86,45.18,44.61,45.04,14482,0,2536311
2013-08-09T00:00:00+00:00,44.9,45.0,44.47,44.71,19496,0,3059618
2013-08-12T00:00:00+00:00,44.71,45.2,44.39,45.04,18986,0,3316131
2013-08-13T00:00:00+00:00,45.12,45.18,44.68,44.95,16978,0,2573237
2013-08-14T00:00:00+00:00,44.86,45.23,44.45,44.58,16017,0,2681773
2013-08-15T00:00:00+00:00,44.6,44.62,43.13,43.21,24534,0,4019714
2013-08-16T00:00:00+00:00,42.94,43.15,42.42,43.01,27887,0,5359415
2013-08-19T00:00:00+00:00,43.01,43.81,42.95,43.37,20270,0,3134322
2013-08-20T00:00:00+00:00,43.29,43.48,42.85,42.96,15922,0,2560080
2013-08-21T00:00:00+00:00,42.82,42.88,42.25,42.31,23738,0,3658658
2013-08-22T00:00:00+00:00,42.43,43.1,42.29,42.92,18460,0,3003573
2013-08-23T00:00:00+00:00,43.01,43.5,42.85,43.42,13992,0,2217703
2013-08-26T00:00:00+00:00,43.43,43.74,43.19,43.45,13600,0,2405560
2013-08-27T00:00:00+00:00,43.02,43.09,42.6,42.64,21306,0,3656818
2013-08-28T00:00:00+00:00,42.5,42.81,42.35,42.58,13166,0,2182575
2013-08-29T00:00:00+00:00,42.32,43.09,42.26,42.63,12863,0,2377752
2013-08-30T00:00:00+00:00,42.76,43.03,42.3,42.59,13173,0,2212332
2013-09-03T00:00:00+00:00,43.0,43.28,42.31,42.57,16035,0,2542250
2013-09-04T00:00:00+00:00,42.6,43.15,42.59,43.12,14246,0,2670286
2013-09-05T00:00:00+00:00,43.03,43.66,43.0,43.5,17248,0,3081039
2013-09-06T00:00:00+00:00,43.53,44.35,42.89,43.89,22186,0,3651146
2013-09-09T00:00:00+00:00,43.88,44.44,43.5,44.41,17832,0,2892648
2013-09-10T00:00:00+00:00,44.53,44.82,44.1,44.79,21118,0,3507598
2013-09-11T00:00:00+00:00,44.85,44.98,44.39,44.95,17930,0,3072345
2013-09-12T00:00:00+00:00,44.84,44.95,44.5,44.7,13850,0,2274338
2013-09-13T00:00:00+00:00,44.71,44.89,44.43,44.88,11451,0,1835691
2013-09-16T00:00:00+00:00,45.34,45.95,45.19,45.81,19313,0,3207619
2013-09-17T00:00:00+00:00,45.92,47.7,45.86,47.6,38995,0,6944964
2013-09-18T00:00:00+00:00,47.23,48.42,46.88,47.93,37326,0,6179303
2013-09-19T00:00:00+00:00,47.99,48.24,47.31,47.43,24458,0,4606145
2013-09-20T00:00:00+00:00,47.46,48.0,47.33,47.75,21981,0,4975611
2013-09-23T00:00:00+00:00,47.56,47.56,46.93,47.1,16855,0,2789628
2013-09-24T00:00:00+00:00,46.84,46.91,45.94,45.99,31126,0,5712234
2013-09-25T00:00:00+00:00,46.06,46.16,45.02,45.35,24089,0,4149168
2013-09-26T00:00:00+00:00,45.33,45.62,44.81,45.0,27581,0,4716378
2013-09-27T00:00:00+00:00,44.77,44.9,44.01,44.34,35353,0,6011605
2013-09-30T00:00:00+00:00,44.92,44.95,44.03,44.77,27344,0,4620747
2013-10-01T00:00:00+00:00,44.81,45.9,44.81,45.82,22733,0,3753731
2013-10-02T00:00:00+00:00,45.34,45.97,45.12,45.93,21892,0,3398581
2013-10-03T00:00:00+00:00,45.6,46.34,45.1,46.02,25286,0,6721755
2013-10-04T00:00:00+00:00,46.18,46.88,46.0,46.79,23946,0,3765370
2013-10-07T00:00:00+00:00,46.12,46.98,46.1,46.1,21767,0,4327203
2013-10-08T00:00:00+00:00,46.29,46.32,44.39,44.53,35064,0,6559784
2013-10-09T00:00:00+00:00,44.74,45.32,44.32,44.81,25156,0,4567027
2013-10-10T00:00:00+00:00,44.92,45.68,44.51,45.67,19515,0,3490070
2013-10-11T00:00:00+00:00,45.7,45.7,44.95,45.66,15363,0,2632975
2013-10-14T00:00:00+00:00,45.21,46.45,45.07,46.33,20257,0,3100848
2013-10-15T00:00:00+00:00,46.05,46.38,45.75,46.1,20006,0,3241108
2013-10-16T00:00:00+00:00,46.31,47.27,46.2,47.05,24014,0,3741553
2013-10-17T00:00:00+00:00,46.89,48.32,46.89,48.18,37198,0,6772150
2013-10-18T00:00:00+00:00,48.22,48.96,47.77,48.34,37530,0,8352064
2013-10-21T00:00:00+00:00,48.02,48.55,47.76,48.33,25139,0,4340145
2013-10-22T00:00:00+00:00,48.46,49.31,48.11,49.0,24746,0,5887282
2013-10-23T00:00:00+00:00,48.76,48.86,48.28,48.33,21734,0,3884072
2013-10-24T00:00:00+00:00,48.63,48.98,47.74,47.96,24558,0,4157894
2013-10-25T00:00:00+00:00,49.1,49.83,48.56,49.31,29671,0,6329256
2013-10-28T00:00:00+00:00,49.93,49.94,49.09,49.26,20089,0,3214729
2013-10-29T00:00:00+00:00,49.56,50.2,49.51,49.79,19947,0,3819372
2013-10-30T00:00:00+00:00,49.31,49.52,48.72,48.94,18103,0,3160811
2013-10-31T00:00:00+00:00,48.6,48.95,48.45,48.59,20050,0,3113883
2013-11-01T00:00:00+00:00,49.1,49.12,48.5,49.03,12775,0,2443023
2013-11-04T00:00:00+00:00,48.83,49.17,48.0,48.77,19762,0,3783903
2013-11-05T00:00:00+00:00,48.59,48.76,48.02,48.17,22703,0,3813926
2013-11-06T00:00:00+00:00,48.48,48.74,48.0,48.07,21348,0,3710557
2013-11-07T00:00:00+00:00,48.19,48.36,47.18,47.26,27672,0,3991695
2013-11-08T00:00:00+00:00,47.13,48.1,46.83,48.03,27045,0,4703100
2013-11-11T00:00:00+00:00,48.23,48.67,48.19,48.56,13031,0,2047807
2013-11-12T00:00:00+00:00,48.45,48.48,47.27,47.47,24416,0,4428437
2013-11-13T00:00:00+00:00,47.36,47.94,47.29,47.86,22376,0,3301108
2013-11-14T00:00:00+00:00,47.98,48.47,47.69,48.03,18965,0,3030199
2013-11-15T00:00:00+00:00,48.01,48.75,48.0,48.44,26777,0,5668793
2013-11-18T00:00:00+00:00,48.89,49.96,48.73,48.88,40587,0,8305708
2013-11-19T00:00:00+00:00,48.73,49.0,48.37,48.46,22692,0,3678132
2013-11-20T00:00:00+00:00,48.42,48.54,47.82,47.96,15694,0,2816314
2013-11-21T00:00:00+00:00,48.28,48.67,47.99,48.57,22317,0,4156248
2013-11-22T00:00:00+00:00,48.65,49.14,48.57,48.93,27574,0,5307822
2013-11-25T00:00:00+00:00,49.0,49.28,48.32,48.43,18054,0,2938519
2013-11-26T00:00:00+00:00,48.38,49.18,48.31,48.61,20874,0,3577488
2013-11-27T00:00:00+00:00,48.83,48.95,48.24,48.24,15343,0,3171508
2013-11-29T00:00:00+00:00,48.43,48.93,48.07,48.52,12624,0,2725172
2013-12-02T00:00:00+00:00,48.49,48.68,48.02,48.4,18719,0,3175965
2013-12-03T00:00:00+00:00,49.19,50.26,48.97,49.98,41560,0,7952145
2013-12-04T00:00:00+00:00,49.75,50.29,49.3,49.68,29678,0,4861217
2013-12-05T00:00:00+00:00,49.42,50.08,49.05,49.76,25932,0,4382830
2013-12-06T00:00:00+00:00,50.17,51.5,50.05,51.36,37235,0,6293062
2013-12-09T00:00:00+00:00,51.45,51.81,50.77,51.24,25340,0,4638892
2013-12-10T00:00:00+00:00,51.25,54.13,50.72,52.14,60567,0,13480354
2013-12-11T00:00:00+00:00,52.75,53.25,52.02,52.67,46475,0,8647829
2013-12-12T00:00:00+00:00,52.56,52.62,51.8,52.41,34857,0,5928576
2013-12-13T00:00:00+00:00,52.3,52.6,51.84,52.38,26349,0,5175047
2013-12-16T00:00:00+00:00,53.58,54.78,52.98,53.36,36884,0,8293743
2013-12-17T00:00:00+00:00,53.43,53.92,53.0,53.64,33328,0,6961665
2013-12-18T00:00:00+00:00,52.78,54.44,52.22,54.36,46685,0,8062904
2013-12-19T00:00:00+00:00,53.2,53.21,52.02,52.64,44146,0,7510929
2013-12-20T00:00:00+00:00,52.77,53.01,52.29,52.53,40656,0,9503024
2013-12-23T00:00:00+00:00,52.69,52.94,52.24,52.59,22327,0,3935581
