time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,16.58,16.85,16.58,16.65,41,0,7531
2003-09-11T00:00:00+00:00,16.67,16.9,16.67,16.89,29,0,5934
2003-09-12T00:00:00+00:00,16.81,17.2,16.81,17.19,31,0,4427
2003-09-15T00:00:00+00:00,16.82,17.2,16.82,16.86,34,0,5615
2003-09-16T00:00:00+00:00,16.91,17.19,16.91,17.19,31,0,5101
2003-09-17T00:00:00+00:00,16.88,17.26,16.83,16.83,24,0,4407
2003-09-18T00:00:00+00:00,17.37,17.37,16.81,16.97,46,0,8526
2003-09-19T00:00:00+00:00,17.39,17.4,16.75,17.01,40,0,6100
2003-09-22T00:00:00+00:00,16.75,17.17,16.71,16.98,36,0,4800
2003-09-23T00:00:00+00:00,16.81,16.96,16.55,16.62,35,0,6884
2003-09-24T00:00:00+00:00,16.6,17.05,16.6,16.88,71,0,14499
2003-09-25T00:00:00+00:00,16.95,17.0,16.13,16.13,58,0,10649
2003-09-26T00:00:00+00:00,16.2,16.24,15.75,15.79,72,0,13037
2003-09-29T00:00:00+00:00,15.96,16.03,15.25,16.0,72,0,10352
2003-09-30T00:00:00+00:00,15.66,15.89,15.6,15.6,57,0,6800
2003-10-01T00:00:00+00:00,15.73,17.04,15.73,17.04,58,0,7393
2003-10-02T00:00:00+00:00,17.09,17.1,16.7,17.1,14,0,3200
2003-10-03T00:00:00+00:00,17.1,17.1,16.77,17.06,39,0,7886
2003-10-06T00:00:00+00:00,17.05,17.1,16.8,17.1,39,0,6555
2003-10-07T00:00:00+00:00,17.1,17.1,16.68,17.04,68,0,21100
2003-10-08T00:00:00+00:00,17.0,17.1,16.73,16.76,63,0,18201
2003-10-09T00:00:00+00:00,16.93,17.09,16.81,16.93,44,0,6745
2003-10-10T00:00:00+00:00,16.93,17.0,16.72,16.99,46,0,11743
2003-10-13T00:00:00+00:00,17.05,17.08,16.97,17.05,37,0,5334
2003-10-14T00:00:00+00:00,17.1,17.32,16.97,17.18,72,0,14200
2003-10-15T00:00:00+00:00,17.18,17.2,16.95,16.95,31,0,4242
2003-10-16T00:00:00+00:00,16.98,17.2,16.95,17.2,14,0,3200
2003-10-17T00:00:00+00:00,17.18,17.18,16.41,16.42,38,0,4461
2003-10-20T00:00:00+00:00,16.78,16.78,16.35,16.49,29,0,3500
2003-10-21T00:00:00+00:00,16.35,16.71,16.35,16.71,23,0,2300
2003-10-22T00:00:00+00:00,16.51,16.51,16.3,16.42,64,0,9400
2003-10-23T00:00:00+00:00,16.42,16.81,16.21,16.31,40,0,5700
2003-10-24T00:00:00+00:00,16.28,16.28,16.0,16.0,64,0,7417
2003-10-27T00:00:00+00:00,16.09,16.27,16.08,16.27,60,0,8600
2003-10-28T00:00:00+00:00,16.14,17.38,16.14,17.38,56,0,12592
2003-10-29T00:00:00+00:00,17.35,17.53,16.93,17.15,77,0,14700
2003-10-30T00:00:00+00:00,17.09,17.2,16.94,16.95,47,0,9502
2003-10-31T00:00:00+00:00,17.19,17.2,16.82,16.82,22,0,2900
2003-11-03T00:00:00+00:00,17.11,17.47,16.61,17.08,55,0,10931
2003-11-04T00:00:00+00:00,17.08,17.09,16.94,16.94,43,0,13263
2003-11-05T00:00:00+00:00,16.86,17.05,16.86,17.0,31,0,8705
2003-11-06T00:00:00+00:00,16.81,17.07,16.56,17.04,34,0,8420
2003-11-07T00:00:00+00:00,17.03,17.19,16.68,16.68,55,0,16784
2003-11-10T00:00:00+00:00,16.8,16.81,16.51,16.51,46,0,7652
2003-11-11T00:00:00+00:00,16.51,16.51,16.31,16.31,13,0,1600
2003-11-12T00:00:00+00:00,16.48,17.07,16.48,17.02,64,0,16400
2003-11-13T00:00:00+00:00,17.0,17.05,16.83,17.05,37,0,7573
2003-11-14T00:00:00+00:00,17.05,17.1,16.51,16.51,53,0,9721
2003-11-17T00:00:00+00:00,16.51,16.59,15.91,16.4,72,0,10937
2003-11-18T00:00:00+00:00,16.54,16.62,16.06,16.06,47,0,6560
2003-11-19T00:00:00+00:00,16.11,16.83,16.03,16.83,35,0,4732
2003-11-20T00:00:00+00:00,16.81,16.99,16.37,16.69,40,0,5861
