time,open,high,low,close,tick_volume,spread,real_volume
2020-12-11T00:00:00+00:00,61.75,71.91,49.01,58.0,20286,0,4456329
2020-12-14T00:00:00+00:00,56.93,60.69,50.0,50.04,4200,0,759369
2020-12-15T00:00:00+00:00,51.42,52.21,45.31,46.76,10501,0,2473028
2020-12-16T00:00:00+00:00,46.26,49.73,42.15,47.06,4861,0,1224830
2020-12-17T00:00:00+00:00,49.5,50.5,48.14,48.5,2125,0,445869
2020-12-18T00:00:00+00:00,49.7,49.8,48.16,48.99,1277,0,239579
2020-12-21T00:00:00+00:00,48.2,48.99,43.63,45.33,2994,0,527221
2020-12-22T00:00:00+00:00,47.86,47.99,42.56,47.23,3140,0,524204
2020-12-23T00:00:00+00:00,45.92,45.99,42.6,43.12,4230,0,821359
2020-12-24T00:00:00+00:00,43.69,44.0,40.85,42.42,1882,0,400228
2020-12-28T00:00:00+00:00,42.8,42.96,38.3,40.48,3005,0,643888
2020-12-29T00:00:00+00:00,41.5,41.5,38.0,39.0,3291,0,962923
2020-12-30T00:00:00+00:00,38.69,41.1,37.62,41.1,1860,0,569547
2020-12-31T00:00:00+00:00,41.0,41.5,38.62,40.36,2151,0,843401
2021-01-04T00:00:00+00:00,39.35,40.3,38.78,38.97,2406,0,908992
2021-01-05T00:00:00+00:00,38.92,39.5,37.7,38.5,4828,0,1183490
2021-01-06T00:00:00+00:00,38.75,40.06,36.82,39.64,3564,0,1118781
2021-01-07T00:00:00+00:00,40.4,40.96,38.64,39.27,3151,0,668493
2021-01-08T00:00:00+00:00,39.49,42.46,38.78,39.74,2895,0,741140
2021-01-11T00:00:00+00:00,40.0,40.5,36.27,36.55,2478,0,540614
2021-01-12T00:00:00+00:00,37.34,40.36,36.77,39.9,4625,0,981644
2021-01-13T00:00:00+00:00,39.9,44.99,39.72,43.88,6248,0,1310664
2021-01-14T00:00:00+00:00,44.14,47.0,41.46,46.57,4113,0,611981
2021-01-15T00:00:00+00:00,45.51,46.55,44.07,44.71,3498,0,661360
2021-01-19T00:00:00+00:00,44.98,49.32,44.98,49.03,3973,0,845635
2021-01-20T00:00:00+00:00,49.61,49.74,47.5,48.31,1581,0,257966
2021-01-21T00:00:00+00:00,49.0,51.39,48.08,50.89,3816,0,729007
2021-01-22T00:00:00+00:00,50.12,51.36,49.08,50.56,1480,0,553178
2021-01-25T00:00:00+00:00,51.03,51.23,46.43,48.67,1744,0,298693
2021-01-26T00:00:00+00:00,49.58,49.96,46.06,47.96,1795,0,292127
2021-01-27T00:00:00+00:00,46.0,48.92,45.1,46.94,2728,0,436492
2021-01-28T00:00:00+00:00,46.14,52.51,46.14,51.5,3047,0,607122
2021-01-29T00:00:00+00:00,51.98,55.2,50.33,52.73,3276,0,689608
2021-02-01T00:00:00+00:00,53.01,54.26,52.86,53.01,4875,0,981832
2021-02-02T00:00:00+00:00,53.5,54.0,47.52,47.94,3100,0,468909
2021-02-03T00:00:00+00:00,49.72,49.97,48.15,48.51,2232,0,413858
2021-02-04T00:00:00+00:00,49.08,49.08,46.0,46.58,1255,0,248423
2021-02-05T00:00:00+00:00,47.0,47.46,45.68,46.55,1079,0,219641
2021-02-08T00:00:00+00:00,49.37,49.37,44.57,45.13,1739,0,312286
2021-02-09T00:00:00+00:00,46.9,49.7,46.18,46.91,3353,0,512362
2021-02-10T00:00:00+00:00,53.03,53.03,46.97,46.99,4020,0,730583
2021-02-11T00:00:00+00:00,48.02,48.41,44.59,46.01,3735,0,599105
2021-02-12T00:00:00+00:00,46.15,46.15,42.68,43.04,2146,0,400439
2021-02-16T00:00:00+00:00,44.2,44.64,42.61,43.97,3331,0,1108554
2021-02-17T00:00:00+00:00,44.2,46.72,43.52,45.74,2428,0,392512
2021-02-18T00:00:00+00:00,45.65,45.65,43.36,43.75,1617,0,237116
2021-02-19T00:00:00+00:00,43.97,45.44,43.63,44.05,1722,0,261215
2021-02-22T00:00:00+00:00,44.25,44.61,39.8,40.36,1733,0,380311
2021-02-23T00:00:00+00:00,39.66,40.0,35.73,38.88,2819,0,559409
2021-02-24T00:00:00+00:00,40.76,41.28,39.59,40.08,980,0,489957
2021-02-25T00:00:00+00:00,40.3,41.65,38.7,39.06,1608,0,327603
2021-02-26T00:00:00+00:00,39.09,39.27,36.28,37.81,2840,0,430540
2021-03-01T00:00:00+00:00,38.6,40.6,38.6,39.56,992,0,152219
2021-03-02T00:00:00+00:00,39.7,40.01,37.41,38.11,1070,0,193934
2021-03-03T00:00:00+00:00,38.52,38.87,35.51,35.53,1596,0,342912
2021-03-04T00:00:00+00:00,35.25,35.35,29.57,30.05,8811,0,1600664
2021-03-05T00:00:00+00:00,30.53,31.74,26.16,28.62,7508,0,1285404
2021-03-08T00:00:00+00:00,31.47,31.47,26.37,26.76,3118,0,586769
2021-03-09T00:00:00+00:00,28.71,31.17,27.89,30.52,3943,0,637269
2021-03-10T00:00:00+00:00,31.18,32.89,30.21,32.15,4367,0,692459
2021-03-11T00:00:00+00:00,34.1,36.22,32.9,36.02,3426,0,566580
2021-03-12T00:00:00+00:00,36.16,36.85,34.86,36.5,1703,0,264056
2021-03-15T00:00:00+00:00,38.05,38.05,36.45,37.69,2973,0,581482
2021-03-16T00:00:00+00:00,38.25,39.2,37.35,37.9,3025,0,566832
2021-03-17T00:00:00+00:00,36.2,36.91,34.74,36.5,1616,0,264548
2021-03-18T00:00:00+00:00,34.09,34.09,30.75,31.4,3947,0,570919
2021-03-19T00:00:00+00:00,31.65,32.2,30.81,31.5,2010,0,307552
2021-03-22T00:00:00+00:00,31.41,31.97,30.22,30.7,1909,0,270850
2021-03-23T00:00:00+00:00,29.44,29.56,28.5,29.18,1752,0,362108
2021-03-24T00:00:00+00:00,28.71,29.23,27.61,27.76,1957,0,413329
2021-03-25T00:00:00+00:00,27.1,27.66,26.19,26.77,7241,0,1224387
2021-03-26T00:00:00+00:00,25.14,25.69,24.07,25.15,4223,0,948366
2021-03-29T00:00:00+00:00,25.27,26.0,23.2,23.21,4651,0,850149
2021-03-30T00:00:00+00:00,27.52,27.95,24.57,26.75,9457,0,2028200
2021-03-31T00:00:00+00:00,28.22,36.78,27.5,34.32,9079,0,2228763
2021-04-01T00:00:00+00:00,36.25,39.06,30.0,30.75,13179,0,3155414
2021-04-05T00:00:00+00:00,31.75,31.78,27.9,28.1,4625,0,1046623
2021-04-06T00:00:00+00:00,27.95,29.14,26.77,28.97,3881,0,873942
2021-04-07T00:00:00+00:00,28.38,31.32,27.86,31.2,5839,0,987055
2021-04-08T00:00:00+00:00,30.79,31.62,29.63,30.58,2724,0,552658
2021-04-09T00:00:00+00:00,30.0,30.75,27.61,28.34,5950,0,1554443
2021-04-12T00:00:00+00:00,28.11,28.68,26.8,27.85,5013,0,1122993
2021-04-13T00:00:00+00:00,27.8,28.81,27.35,28.33,2289,0,500001
2021-04-14T00:00:00+00:00,28.3,30.6,27.72,28.29,3087,0,762798
2021-04-15T00:00:00+00:00,29.51,30.24,28.43,29.0,3002,0,1396620
2021-04-16T00:00:00+00:00,29.25,30.63,28.36,29.8,2188,0,470157
2021-04-19T00:00:00+00:00,29.23,29.9,29.1,29.65,1593,0,337739
2021-04-20T00:00:00+00:00,29.63,29.74,27.01,27.7,4270,0,1305562
2021-04-21T00:00:00+00:00,27.97,29.3,27.38,29.05,1883,0,580473
2021-04-22T00:00:00+00:00,29.35,29.98,28.26,29.21,1264,0,298289
2021-04-23T00:00:00+00:00,28.94,29.89,28.8,29.24,1247,0,281864
2021-04-26T00:00:00+00:00,29.47,31.81,29.13,31.69,2162,0,449507
2021-04-27T00:00:00+00:00,31.39,31.45,29.18,29.39,3567,0,609469
2021-04-28T00:00:00+00:00,29.05,30.63,28.96,29.96,1489,0,294050
2021-04-29T00:00:00+00:00,30.06,30.3,28.66,28.73,1295,0,326107
2021-04-30T00:00:00+00:00,28.63,29.08,26.51,26.59,2957,0,713275
2021-05-03T00:00:00+00:00,27.05,27.22,25.5,26.0,2559,0,457907
2021-05-04T00:00:00+00:00,25.76,28.52,25.58,27.99,5865,0,1253718
2021-05-05T00:00:00+00:00,28.75,30.35,28.53,29.46,4848,0,1011004
2021-05-06T00:00:00+00:00,28.5,29.01,27.55,28.63,3823,0,623841
2021-05-07T00:00:00+00:00,28.6,29.9,28.2,29.01,1474,0,254902
2021-05-10T00:00:00+00:00,28.98,29.09,27.56,27.82,3365,0,535742
2021-05-11T00:00:00+00:00,26.49,28.5,26.25,28.18,2006,0,332515
2021-05-12T00:00:00+00:00,27.8,30.97,27.73,30.72,3539,0,558924
2021-05-13T00:00:00+00:00,30.0,35.0,29.68,34.89,6231,0,1234861
2021-05-14T00:00:00+00:00,31.8,32.88,30.5,31.75,3313,0,636987
2021-05-17T00:00:00+00:00,31.99,36.05,31.98,34.09,2967,0,615569
2021-05-18T00:00:00+00:00,34.0,34.0,32.6,32.94,1409,0,513062
2021-05-19T00:00:00+00:00,32.5,32.57,31.32,32.49,622,0,229662
2021-05-20T00:00:00+00:00,32.31,32.96,31.13,31.85,1440,0,246543
2021-05-21T00:00:00+00:00,31.78,32.7,31.62,32.14,1284,0,274428
2021-05-24T00:00:00+00:00,31.87,33.23,31.87,32.62,1237,0,212590
2021-05-25T00:00:00+00:00,32.77,33.64,32.06,32.55,2707,0,544023
2021-05-26T00:00:00+00:00,32.56,32.56,28.11,28.45,5382,0,1267246
2021-05-27T00:00:00+00:00,28.26,28.5,26.78,27.15,4477,0,880957
2021-05-28T00:00:00+00:00,27.3,28.36,26.65,26.83,4014,0,875741
2021-06-01T00:00:00+00:00,27.29,27.42,26.08,26.4,3716,0,734119
2021-06-02T00:00:00+00:00,26.5,27.6,26.16,26.79,2816,0,559606
2021-06-03T00:00:00+00:00,26.74,26.93,25.17,25.52,2903,0,622161
2021-06-04T00:00:00+00:00,25.69,26.0,25.2,25.91,2206,0,454253
2021-06-07T00:00:00+00:00,25.83,27.46,25.62,26.23,2834,0,552457
2021-06-08T00:00:00+00:00,26.29,26.83,24.75,24.98,3331,0,712909
2021-06-09T00:00:00+00:00,23.5,24.84,23.25,23.89,9025,0,2309713
2021-06-10T00:00:00+00:00,24.48,25.03,23.86,24.84,9195,0,2430508
2021-06-11T00:00:00+00:00,25.5,26.5,24.99,25.9,6637,0,3396125
2021-06-14T00:00:00+00:00,26.6,26.6,24.2,24.54,8506,0,2668402
2021-06-15T00:00:00+00:00,24.88,24.88,23.47,23.6,6384,0,1591922
2021-06-16T00:00:00+00:00,23.55,24.0,22.88,23.0,5265,0,1308516
2021-06-17T00:00:00+00:00,23.01,23.05,22.35,22.78,6015,0,1442112
2021-06-18T00:00:00+00:00,22.76,23.4,22.34,23.15,5774,0,1268765
2021-06-21T00:00:00+00:00,23.2,23.23,21.83,22.73,7080,0,1564517
2021-06-22T00:00:00+00:00,22.5,22.85,21.93,22.06,4644,0,960310
2021-06-23T00:00:00+00:00,20.99,21.77,19.8,21.67,16060,0,3508523
2021-06-24T00:00:00+00:00,22.27,22.36,20.81,21.26,10147,0,1972469
2021-06-25T00:00:00+00:00,21.09,21.2,20.15,20.73,9657,0,1966257
2021-06-28T00:00:00+00:00,20.54,20.83,20.05,20.21,8800,0,1906124
2021-06-29T00:00:00+00:00,20.36,21.41,20.12,21.3,6712,0,1536707
2021-06-30T00:00:00+00:00,21.32,22.5,20.83,21.99,6270,0,1324820
2021-07-01T00:00:00+00:00,22.5,22.5,20.5,20.55,4877,0,1268626
2021-07-02T00:00:00+00:00,20.25,20.59,19.83,20.47,4230,0,1139595
2021-07-06T00:00:00+00:00,20.46,21.1,19.58,19.61,5399,0,1194813
2021-07-07T00:00:00+00:00,19.89,19.9,18.31,19.01,8905,0,2104300
2021-07-08T00:00:00+00:00,18.63,18.77,17.89,18.53,4987,0,1277236
2021-07-09T00:00:00+00:00,18.75,19.42,17.91,19.36,4625,0,1166511
2021-07-12T00:00:00+00:00,19.41,20.2,18.62,18.65,3068,0,723584
2021-07-13T00:00:00+00:00,18.6,18.67,17.78,17.82,4697,0,1155917
2021-07-14T00:00:00+00:00,18.02,18.06,16.75,16.86,8357,0,1941061
2021-07-15T00:00:00+00:00,17.15,17.29,16.3,16.53,6573,0,1419711
2021-07-16T00:00:00+00:00,16.59,17.02,16.06,16.95,3779,0,985058
2021-07-19T00:00:00+00:00,16.54,16.95,16.08,16.42,3339,0,728087
2021-07-20T00:00:00+00:00,16.42,16.59,15.8,16.37,3346,0,819136
2021-07-21T00:00:00+00:00,16.36,16.97,16.36,16.6,2577,0,654267
2021-07-22T00:00:00+00:00,16.8,16.86,16.0,16.03,2906,0,743596
2021-07-23T00:00:00+00:00,16.09,16.35,15.72,15.85,4315,0,937228
2021-07-26T00:00:00+00:00,15.87,16.44,15.01,15.39,4960,0,1314426
2021-07-27T00:00:00+00:00,15.3,15.42,14.54,14.86,4759,0,1279610
2021-07-28T00:00:00+00:00,15.0,16.43,14.93,16.09,6216,0,1446843
2021-07-29T00:00:00+00:00,16.41,16.55,15.39,15.65,3933,0,822621
2021-07-30T00:00:00+00:00,15.74,16.17,15.08,15.17,2785,0,696046
2021-08-02T00:00:00+00:00,15.46,16.31,15.26,15.86,2810,0,666560
2021-08-03T00:00:00+00:00,15.97,15.98,15.35,15.72,3373,0,643438
2021-08-04T00:00:00+00:00,15.77,15.77,15.06,15.22,3617,0,782459
2021-08-05T00:00:00+00:00,15.47,15.8,15.1,15.61,2542,0,554952
2021-08-06T00:00:00+00:00,15.82,15.85,14.78,14.98,5541,0,1117964
2021-08-09T00:00:00+00:00,15.05,16.49,14.98,16.21,6106,0,1321396
2021-08-10T00:00:00+00:00,16.56,16.58,15.18,15.57,5831,0,1155290
2021-08-11T00:00:00+00:00,15.63,15.74,14.93,15.29,4774,0,1025231
2021-08-12T00:00:00+00:00,15.26,15.95,15.11,15.21,6163,0,1230030
2021-08-13T00:00:00+00:00,15.03,18.94,15.02,17.93,23874,0,7305870
2021-08-16T00:00:00+00:00,17.8,17.94,16.68,17.68,6187,0,1316782
2021-08-17T00:00:00+00:00,16.66,17.22,15.84,16.6,6461,0,1583272
2021-08-18T00:00:00+00:00,16.96,17.26,16.36,16.75,5860,0,1217494
2021-08-19T00:00:00+00:00,16.45,16.5,15.45,15.76,7577,0,1508161
2021-08-20T00:00:00+00:00,15.86,16.28,15.52,16.05,4387,0,979975
2021-08-23T00:00:00+00:00,16.5,17.17,16.15,16.9,5193,0,1022943
2021-08-24T00:00:00+00:00,17.1,17.29,16.8,17.05,3803,0,636491
2021-08-25T00:00:00+00:00,17.01,18.34,16.96,17.67,5709,0,1058680
2021-08-26T00:00:00+00:00,17.82,17.86,16.86,17.37,3025,0,575131
2021-08-27T00:00:00+00:00,17.34,18.16,17.04,17.58,4296,0,937797
2021-08-30T00:00:00+00:00,17.84,17.95,16.9,17.39,3292,0,593763
2021-08-31T00:00:00+00:00,17.61,17.61,16.62,16.75,4204,0,990494
2021-09-01T00:00:00+00:00,16.8,17.41,16.54,16.92,3657,0,1043473
2021-09-02T00:00:00+00:00,17.14,17.68,16.78,17.55,2879,0,953572
2021-09-03T00:00:00+00:00,17.63,19.12,17.44,18.74,8373,0,2204565
2021-09-07T00:00:00+00:00,19.46,19.52,18.7,18.93,7391,0,1931733
2021-09-08T00:00:00+00:00,19.04,19.24,18.11,18.21,3912,0,924252
2021-09-09T00:00:00+00:00,18.25,18.59,17.96,18.42,2768,0,713773
2021-09-10T00:00:00+00:00,19.6,19.65,18.51,18.98,2889,0,797393
2021-09-13T00:00:00+00:00,18.99,18.99,17.63,17.73,6399,0,2001671
2021-09-14T00:00:00+00:00,17.76,17.97,17.4,17.56,4136,0,1146781
2021-09-15T00:00:00+00:00,19.19,19.53,17.95,18.8,16948,0,4648145
2021-09-16T00:00:00+00:00,18.79,19.89,18.37,19.79,10572,0,2134493
2021-09-17T00:00:00+00:00,22.62,22.63,19.81,20.37,35363,0,9340358
2021-09-20T00:00:00+00:00,19.37,21.29,19.19,20.65,12952,0,3403141
2021-09-21T00:00:00+00:00,20.7,21.18,19.75,21.08,8954,0,2527975
2021-09-22T00:00:00+00:00,21.21,21.62,20.62,21.33,8419,0,2416756
2021-09-23T00:00:00+00:00,21.37,22.09,20.68,21.15,10694,0,2734887
2021-09-24T00:00:00+00:00,20.99,21.31,20.76,21.15,3979,0,1156475
2021-09-27T00:00:00+00:00,21.16,21.46,20.47,21.01,6927,0,1843179
2021-09-28T00:00:00+00:00,20.55,20.66,19.33,19.64,10643,0,2733430
