time,open,high,low,close,tick_volume,spread,real_volume
2011-06-08T00:00:00+00:00,24.84,24.9,24.74,24.74,22,0,30000000
2011-06-09T00:00:00+00:00,24.74,24.74,24.52,24.52,18,0,55200000
2011-06-10T00:00:00+00:00,24.5,24.5,24.16,24.16,4,0,60000000
2011-06-13T00:00:00+00:00,24.6,24.6,23.99,24.15,20,0,70600000
2011-06-14T00:00:00+00:00,24.51,24.52,24.45,24.45,16,0,66000000
2011-06-15T00:00:00+00:00,24.63,24.63,23.91,23.91,15,0,48560000
2011-06-16T00:00:00+00:00,23.9,23.95,23.77,23.8,8,0,12000000
2011-06-17T00:00:00+00:00,24.49,24.49,24.0,24.07,14,0,21900000
2011-06-20T00:00:00+00:00,24.28,24.28,24.0,24.14,9,0,20400000
2011-06-21T00:00:00+00:00,24.62,24.62,24.26,24.39,21,0,42410000
2011-06-22T00:00:00+00:00,24.6,24.6,24.2,24.21,19,0,55860000
2011-06-23T00:00:00+00:00,24.2,24.2,23.72,23.95,13,0,45400000
2011-06-24T00:00:00+00:00,23.91,23.92,23.83,23.83,9,0,55310000
2011-06-27T00:00:00+00:00,23.98,23.98,23.78,23.93,7,0,54150000
2011-06-28T00:00:00+00:00,24.09,24.1,24.09,24.1,2,0,15800000
2011-06-29T00:00:00+00:00,24.35,24.7,24.35,24.64,7,0,47050000
2011-06-30T00:00:00+00:00,24.9,24.9,24.9,24.9,3,0,11000000
2011-07-01T00:00:00+00:00,24.98,25.26,24.94,25.25,25,0,71000000
2011-07-05T00:00:00+00:00,25.1,25.12,25.03,25.07,9,0,23990000
2011-07-06T00:00:00+00:00,24.9,24.96,24.9,24.92,3,0,38000000
2011-07-07T00:00:00+00:00,25.52,25.52,25.0,25.09,12,0,39930000
2011-07-08T00:00:00+00:00,25.17,25.17,24.63,24.63,4,0,23890000
2011-07-11T00:00:00+00:00,24.56,24.56,24.12,24.12,7,0,14000000
2011-07-12T00:00:00+00:00,23.97,24.11,23.97,24.04,8,0,37600000
2011-07-13T00:00:00+00:00,24.2,24.43,24.2,24.24,14,0,62000000
2011-07-14T00:00:00+00:00,24.22,24.28,23.93,23.93,22,0,175200000
2011-07-15T00:00:00+00:00,24.1,24.1,23.91,23.94,11,0,56250000
2011-07-18T00:00:00+00:00,23.7,23.7,23.64,23.66,6,0,52500000
2011-07-19T00:00:00+00:00,24.07,24.13,23.86,24.13,14,0,58850000
2011-07-20T00:00:00+00:00,24.13,24.18,24.13,24.15,4,0,30250000
2011-07-21T00:00:00+00:00,24.55,24.55,24.29,24.4,26,0,145420000
2011-07-22T00:00:00+00:00,24.76,24.76,24.29,24.33,25,0,63050000
2011-07-25T00:00:00+00:00,24.55,24.55,24.18,24.21,18,0,78700000
2011-07-26T00:00:00+00:00,24.19,24.2,23.97,24.17,16,0,103940000
2011-07-27T00:00:00+00:00,24.46,24.46,23.73,23.74,17,0,74600000
2011-07-28T00:00:00+00:00,23.7,23.7,23.61,23.61,3,0,15500000
2011-07-29T00:00:00+00:00,23.55,23.64,23.55,23.63,12,0,29750000
2011-08-01T00:00:00+00:00,23.97,23.97,23.55,23.66,33,0,90000000
2011-08-02T00:00:00+00:00,23.89,23.89,23.11,23.17,5,0,21000000
2011-08-03T00:00:00+00:00,23.34,23.34,22.35,22.9,35,0,102700000
2011-08-04T00:00:00+00:00,22.22,22.22,21.4,21.61,22,0,62560000
2011-08-05T00:00:00+00:00,21.4,21.42,20.75,21.42,18,0,47190000
2011-08-08T00:00:00+00:00,20.6,20.68,19.7,19.99,25,0,76000000
2011-08-09T00:00:00+00:00,19.63,20.41,19.63,20.41,27,0,147770000
2011-08-10T00:00:00+00:00,20.27,20.32,20.25,20.32,3,0,17200000
2011-08-11T00:00:00+00:00,20.39,21.25,20.16,21.16,15,0,68880000
2011-08-12T00:00:00+00:00,21.56,21.65,21.34,21.4,18,0,152820000
2011-08-15T00:00:00+00:00,22.05,22.05,21.96,21.99,6,0,15200000
2011-08-16T00:00:00+00:00,21.98,22.09,21.94,21.98,15,0,58240000
2011-08-18T00:00:00+00:00,21.98,21.98,18.79,21.5,32,0,63850000
2011-08-19T00:00:00+00:00,21.44,21.81,21.27,21.27,15,0,60340000
2011-08-22T00:00:00+00:00,21.35,21.35,21.11,21.11,42,0,112000000
2011-08-23T00:00:00+00:00,21.51,21.61,21.51,21.61,2,0,2000000
2011-08-24T00:00:00+00:00,21.91,21.91,21.61,21.7,7,0,17000000
2011-08-25T00:00:00+00:00,21.6,21.68,21.56,21.56,7,0,45150000
2011-08-26T00:00:00+00:00,21.75,21.97,21.75,21.83,6,0,10200000
2011-08-29T00:00:00+00:00,22.36,22.36,22.33,22.33,3,0,14000000
2011-08-30T00:00:00+00:00,22.29,22.49,22.29,22.49,8,0,17000000
2011-08-31T00:00:00+00:00,22.77,22.77,22.49,22.72,8,0,53000000
2011-09-01T00:00:00+00:00,22.86,23.04,22.84,22.84,13,0,35000000
2011-09-02T00:00:00+00:00,22.35,22.35,22.17,22.17,4,0,19600000
2011-09-06T00:00:00+00:00,21.5,21.61,21.42,21.42,6,0,19690000
2011-09-07T00:00:00+00:00,21.84,22.07,21.84,22.07,5,0,29000000
2011-09-08T00:00:00+00:00,22.17,22.17,21.87,21.95,10,0,46630000
2011-09-09T00:00:00+00:00,21.75,21.75,21.28,21.28,9,0,57000000
2011-09-12T00:00:00+00:00,21.0,21.02,20.79,20.8,8,0,39700000
2011-09-14T00:00:00+00:00,20.85,21.31,20.78,21.2,13,0,51000000
2011-09-15T00:00:00+00:00,21.22,21.65,21.21,21.42,43,0,153100000
2011-09-16T00:00:00+00:00,21.16,21.16,21.16,21.16,1,0,1000000
2011-09-19T00:00:00+00:00,20.56,20.56,20.56,20.56,2,0,10000000
2011-09-20T00:00:00+00:00,20.74,20.74,20.41,20.41,9,0,14000000
2011-09-21T00:00:00+00:00,20.47,20.47,20.0,20.11,6,0,11000000
2011-09-22T00:00:00+00:00,19.39,19.39,18.66,18.75,32,0,58580000
2011-09-23T00:00:00+00:00,19.11,19.11,19.11,19.11,3,0,5000000
2011-09-26T00:00:00+00:00,19.18,19.21,18.65,18.87,40,0,61000000
2011-09-27T00:00:00+00:00,19.38,19.38,19.38,19.38,3,0,8000000
2011-09-28T00:00:00+00:00,19.56,19.56,18.71,18.71,11,0,26000000
2011-09-29T00:00:00+00:00,18.7,18.7,18.7,18.7,3,0,18000000
2011-09-30T00:00:00+00:00,18.0,18.0,17.86,17.87,4,0,10200000
2011-10-03T00:00:00+00:00,17.85,17.92,17.25,17.53,16,0,33600000
2011-10-04T00:00:00+00:00,17.23,17.23,16.99,16.99,2,0,3850000
2011-10-05T00:00:00+00:00,17.81,17.81,17.67,17.77,6,0,17000000
2011-10-06T00:00:00+00:00,18.29,18.67,18.29,18.58,10,0,31000000
2011-10-07T00:00:00+00:00,18.87,18.87,18.32,18.32,5,0,9000000
2011-10-10T00:00:00+00:00,18.99,19.32,18.99,19.23,11,0,26000000
