time,open,high,low,close,tick_volume,spread,real_volume
2025-03-05T00:00:00+00:00,22.68,22.68,22.68,22.68,1,2248,100
2025-03-13T00:00:00+00:00,21.61,21.61,21.61,21.61,1,2167,100
2025-05-23T00:00:00+00:00,23.04,23.04,23.04,23.04,1,8,602
2025-10-27T00:00:00+00:00,23.59,23.59,23.59,23.59,4,2350,1000
2026-01-02T00:00:00+00:00,19.98,19.98,19.98,19.98,1,1984,100
2026-01-21T00:00:00+00:00,20.27,20.28,20.27,20.28,2,3135,500
2026-01-27T00:00:00+00:00,19.91,19.91,19.91,19.91,2,1978,200
2026-02-12T00:00:00+00:00,19.6,19.6,19.6,19.6,1,1920,100
2026-02-13T00:00:00+00:00,19.4,19.4,19.4,19.4,1,1932,100
2026-02-17T00:00:00+00:00,19.29,19.29,19.29,19.29,1,1932,100
2026-02-23T00:00:00+00:00,18.77,18.77,18.77,18.77,4,1876,3112
2026-03-17T00:00:00+00:00,18.34,18.34,18.34,18.34,1,1834,175
2026-03-27T00:00:00+00:00,18.34,18.34,18.34,18.34,1,989,270
2026-04-01T00:00:00+00:00,18.5,18.5,18.5,18.5,4,1856,1500
2026-04-02T00:00:00+00:00,18.29,18.29,18.29,18.29,1,1966,100
2026-04-06T00:00:00+00:00,18.69,18.69,18.67,18.69,18,1874,2108
