time,open,high,low,close,tick_volume,spread,real_volume
2024-12-13T00:00:00+00:00,37.92,37.92,36.75,37.75,21,3784,80339
2024-12-16T00:00:00+00:00,37.95,38.5,37.95,38.5,24,3846,250947
2024-12-18T00:00:00+00:00,38.1,38.17,37.73,37.73,5,3686,1963
2024-12-19T00:00:00+00:00,36.75,36.9,36.75,36.75,10,3438,7240
2024-12-20T00:00:00+00:00,36.89,37.54,36.89,37.38,13,3238,1655
2024-12-23T00:00:00+00:00,37.13,37.26,37.13,37.26,2,3740,2639
2024-12-24T00:00:00+00:00,37.64,37.67,37.64,37.67,2,3774,1827
2024-12-26T00:00:00+00:00,37.8,37.85,37.8,37.81,6,3786,950
2024-12-27T00:00:00+00:00,37.14,37.33,37.14,37.33,9,3728,5280
2024-12-30T00:00:00+00:00,36.41,36.45,36.41,36.45,5,3654,800
2024-12-31T00:00:00+00:00,36.46,36.46,36.33,36.33,3,3622,367
2025-01-03T00:00:00+00:00,36.68,36.74,36.68,36.74,2,3668,693
2025-01-06T00:00:00+00:00,37.08,37.09,36.87,36.91,25,3688,5448
2025-01-10T00:00:00+00:00,35.8732,35.8732,35.8732,35.8732,1,436100,364
2025-01-14T00:00:00+00:00,35.9497,35.9497,35.84,35.84,2,421800,234
2025-01-17T00:00:00+00:00,36.7,36.74,36.7,36.74,2,5100,200
2025-01-21T00:00:00+00:00,36.84,36.88,36.84,36.88,3,432800,400
2025-01-23T00:00:00+00:00,37.29,37.37,37.29,37.37,4,3200,400
2025-01-24T00:00:00+00:00,37.34,37.34,37.34,37.34,1,373600,100
2025-01-27T00:00:00+00:00,37.1,37.1,36.71,36.71,5,440500,7211
2025-01-29T00:00:00+00:00,37.11,37.11,37.11,37.11,1,375400,100
2025-01-31T00:00:00+00:00,38.09,38.21,38.09,38.21,3,375400,368
2025-02-03T00:00:00+00:00,37.55,37.55,37.55,37.55,1,448200,124
2025-02-04T00:00:00+00:00,37.9405,37.9405,37.9405,37.9405,1,448200,200
2025-02-05T00:00:00+00:00,37.85,37.85,37.85,37.85,1,425600,100
2025-02-13T00:00:00+00:00,38.5875,38.5875,38.5875,38.5875,1,383200,1905
2025-02-14T00:00:00+00:00,38.7,38.7,38.7,38.7,1,383800,100
2025-02-18T00:00:00+00:00,38.7332,38.769,38.7332,38.769,3,433400,2909
2025-02-19T00:00:00+00:00,38.66,38.6601,38.66,38.6601,8,463100,3374
2025-02-24T00:00:00+00:00,36.9016,37.14,36.9016,37.14,3,4500,1400
2025-02-26T00:00:00+00:00,37.0399,37.06,36.7,36.79,67,222400,22437
2025-02-28T00:00:00+00:00,36.0,36.01,36.0,36.01,2,424300,200
2025-03-04T00:00:00+00:00,35.235,35.95,35.235,35.925,14,100,1728
2025-03-05T00:00:00+00:00,35.5199,35.93,35.5199,35.93,3,500,341
2025-03-07T00:00:00+00:00,34.85,34.8501,34.85,34.8501,2,500,200
