time,open,high,low,close,tick_volume,spread,real_volume
2025-05-20T00:00:00+00:00,17.21,17.27,17.18,17.18,21,1,3638
2025-05-22T00:00:00+00:00,17.01,17.18,16.75,17.18,60,4,11153
2025-05-23T00:00:00+00:00,17.14,17.4,17.09,17.23,66,4,12326
2025-05-27T00:00:00+00:00,17.38,17.5,17.22,17.24,29,1,6948
2025-05-28T00:00:00+00:00,17.29,17.34,17.06,17.11,23,7,4319
2025-05-29T00:00:00+00:00,17.13,17.2,17.05,17.1,19,3,4461
2025-05-30T00:00:00+00:00,17.01,17.17,17.01,17.13,14,2,2831
2025-06-02T00:00:00+00:00,17.14,17.14,17.0,17.03,20,5,6432
2025-06-03T00:00:00+00:00,17.01,17.07,17.0,17.05,28,2,5490
2025-06-04T00:00:00+00:00,17.1,17.19,17.0,17.0,30,5,7708
2025-06-05T00:00:00+00:00,17.39,17.39,17.0,17.05,21,2,4906
2025-06-06T00:00:00+00:00,17.18,17.18,17.0,17.04,27,2,5206
2025-06-09T00:00:00+00:00,17.14,17.28,17.06,17.21,20,5,3560
2025-06-10T00:00:00+00:00,17.2,17.2,17.17,17.18,7,15,1417
2025-06-11T00:00:00+00:00,17.34,17.39,17.3,17.33,24,7,6858
2025-06-12T00:00:00+00:00,17.29,17.5,17.25,17.5,26,5,7338
2025-06-13T00:00:00+00:00,17.52,17.67,17.52,17.55,16,2,2286
2025-06-16T00:00:00+00:00,17.64,17.68,17.55,17.56,18,2106,4584
2025-06-17T00:00:00+00:00,17.64,17.66,17.63,17.66,11,2105,3594
2025-06-18T00:00:00+00:00,17.65,17.7,17.53,17.53,13,1,1890
2025-06-20T00:00:00+00:00,17.3,17.77,17.3,17.59,56,1,15638
2025-06-23T00:00:00+00:00,17.7,17.79,17.64,17.7,13,2092,3408
2025-06-24T00:00:00+00:00,17.27,17.5,17.26,17.47,102,3,15270
2025-06-25T00:00:00+00:00,17.41,17.57,17.36,17.36,26,7,4623
2025-06-26T00:00:00+00:00,17.43,17.65,17.43,17.65,22,5,9300
2025-06-27T00:00:00+00:00,17.6,17.61,17.5,17.61,10,7,2939
2025-06-30T00:00:00+00:00,17.78,17.78,17.15,17.16,53,2047,6311
2025-07-01T00:00:00+00:00,17.43,17.72,17.09,17.53,59,2033,9346
2025-07-02T00:00:00+00:00,17.56,17.93,17.45,17.93,41,2085,9145
2025-07-03T00:00:00+00:00,17.98,18.26,17.98,18.25,31,32,6435
2025-07-07T00:00:00+00:00,18.2,18.21,18.0,18.01,25,2147,4384
2025-07-08T00:00:00+00:00,17.97,18.13,17.97,18.1,50,1,14166
2025-07-09T00:00:00+00:00,18.11,18.16,18.06,18.15,28,1,5299
2025-07-10T00:00:00+00:00,18.15,18.29,18.15,18.29,16,1,4343
2025-07-11T00:00:00+00:00,18.28,18.29,18.22,18.29,15,10,3172
2025-07-14T00:00:00+00:00,18.3,18.31,18.15,18.28,21,2101,6690
2025-07-15T00:00:00+00:00,17.78,17.99,17.78,17.88,24,418,5786
2025-07-16T00:00:00+00:00,17.9,17.9,17.71,17.73,25,4,6094
2025-07-17T00:00:00+00:00,17.82,17.85,17.76,17.82,15,5,4516
2025-07-18T00:00:00+00:00,17.82,17.82,17.61,17.61,17,4,2979
2025-07-21T00:00:00+00:00,17.73,17.78,17.73,17.76,13,2047,2314
2025-07-22T00:00:00+00:00,17.79,17.84,17.75,17.84,13,2066,3170
2025-07-23T00:00:00+00:00,17.83,18.04,17.83,17.95,13,3,2967
2025-07-24T00:00:00+00:00,17.88,17.94,17.88,17.88,16,5,3162
2025-07-25T00:00:00+00:00,17.85,17.86,17.83,17.85,12,2036,3616
2025-07-28T00:00:00+00:00,17.68,17.79,17.68,17.75,43,2031,17379
2025-07-29T00:00:00+00:00,17.89,17.99,17.8,17.95,19,2016,4350
2025-07-30T00:00:00+00:00,17.94,18.0,17.87,17.88,11,2,5423
2025-07-31T00:00:00+00:00,18.01,18.09,17.88,18.09,20,5,7183
2025-08-01T00:00:00+00:00,18.04,18.09,17.9,18.0,11,2,4261
2025-08-13T00:00:00+00:00,17.89,18.17,17.88,18.07,28,2,4746
2025-08-14T00:00:00+00:00,18.14,18.16,18.14,18.15,9,4,1216
2025-08-15T00:00:00+00:00,18.26,18.26,18.04,18.11,30,5,5550
2025-08-18T00:00:00+00:00,18.2,18.23,18.16,18.16,7,8,1784
2025-08-19T00:00:00+00:00,18.22,18.28,18.18,18.25,16,5,5891
2025-08-20T00:00:00+00:00,18.23,18.23,18.21,18.21,6,40,1200
2025-08-21T00:00:00+00:00,18.15,18.2,18.11,18.19,35,3,17044
2025-08-22T00:00:00+00:00,18.21,18.32,18.14,18.29,25,1105,8249
2025-08-25T00:00:00+00:00,18.33,18.46,18.12,18.44,37,2134,8047
2025-08-26T00:00:00+00:00,18.41,18.44,18.38,18.44,6,11,1296
2025-08-27T00:00:00+00:00,18.32,18.46,18.32,18.46,7,3,2224
2025-08-28T00:00:00+00:00,18.4,18.45,18.1,18.41,42,3,12444
2025-08-29T00:00:00+00:00,18.22,18.44,18.2,18.2,23,5,5524
2025-09-02T00:00:00+00:00,18.0,18.22,17.88,18.14,40,2100,12343
2025-09-03T00:00:00+00:00,17.95,18.16,17.95,18.14,27,36,7741
2025-09-04T00:00:00+00:00,18.05,18.22,17.97,18.22,9,14,1985
2025-09-05T00:00:00+00:00,18.23,18.44,18.19,18.44,15,1119,4536
2025-09-08T00:00:00+00:00,18.38,18.4,18.34,18.37,15,42,4407
2025-09-09T00:00:00+00:00,18.37,18.49,18.37,18.49,15,8,3490
2025-09-10T00:00:00+00:00,18.45,18.52,18.4,18.52,24,4,8507
2025-09-11T00:00:00+00:00,18.54,18.65,18.53,18.64,28,4,8783
2025-09-12T00:00:00+00:00,18.59,18.66,18.58,18.63,49,7,12717
2025-09-15T00:00:00+00:00,18.62,18.77,18.62,18.77,23,1180,6175
2025-09-16T00:00:00+00:00,18.8,18.8,18.72,18.74,16,1297,5397
2025-09-17T00:00:00+00:00,18.72,18.89,18.69,18.88,41,6,12618
2025-09-18T00:00:00+00:00,18.74,18.82,18.71,18.8,18,7,3835
2025-09-19T00:00:00+00:00,18.76,18.78,18.76,18.78,8,1,1473
2025-09-22T00:00:00+00:00,18.73,18.73,18.61,18.67,26,3,11747
2025-09-23T00:00:00+00:00,18.66,18.73,18.58,18.58,24,642,5010
2025-09-24T00:00:00+00:00,18.67,18.74,18.54,18.54,39,1,5195
2025-09-25T00:00:00+00:00,18.5,18.63,18.39,18.55,17,2,3848
2025-09-26T00:00:00+00:00,18.45,18.58,18.31,18.5,28,3,6919
2025-09-29T00:00:00+00:00,18.55,18.6,18.49,18.53,29,2112,6381
2025-09-30T00:00:00+00:00,18.51,18.56,18.25,18.55,44,2117,10238
2025-10-01T00:00:00+00:00,18.59,18.77,18.56,18.75,24,2181,6614
2025-10-02T00:00:00+00:00,18.82,18.91,18.8,18.88,26,2152,5531
2025-10-03T00:00:00+00:00,18.8,18.94,18.76,18.88,31,3,7629
2025-10-06T00:00:00+00:00,18.65,18.9,18.56,18.89,32,2227,7546
2025-10-07T00:00:00+00:00,18.86,18.92,18.65,18.65,13,2229,2441
2025-10-08T00:00:00+00:00,18.89,18.89,18.67,18.71,11,2199,4167
2025-10-09T00:00:00+00:00,18.66,18.66,18.52,18.59,22,6,13082
2025-10-10T00:00:00+00:00,18.69,18.7,18.53,18.57,14,2,4007
2025-10-13T00:00:00+00:00,18.55,18.59,18.37,18.59,20,5,3269
2025-10-14T00:00:00+00:00,18.53,18.56,18.4,18.5,27,1,4600
2025-10-15T00:00:00+00:00,18.09,18.39,18.09,18.39,13,2061,2485
2025-10-16T00:00:00+00:00,18.05,18.4,18.05,18.19,23,12,7474
2025-10-17T00:00:00+00:00,18.14,18.29,18.12,18.2,12,7,1504
2025-10-20T00:00:00+00:00,18.15,18.27,18.04,18.1,37,2066,9350
2025-10-21T00:00:00+00:00,18.28,18.28,17.81,18.03,39,2050,10284
2025-10-22T00:00:00+00:00,18.03,18.03,17.86,17.91,29,2092,8728
2025-10-23T00:00:00+00:00,17.99,18.09,17.89,17.92,18,133,4098
2025-10-24T00:00:00+00:00,18.01,18.12,17.85,17.89,35,1,7141
2025-10-27T00:00:00+00:00,18.02,18.02,17.89,17.92,25,2064,4277
2025-10-28T00:00:00+00:00,17.98,18.02,17.88,17.94,11,2127,2546
2025-10-29T00:00:00+00:00,17.97,17.98,17.81,17.81,8,2025,4101
2025-10-30T00:00:00+00:00,18.04,18.14,17.86,17.95,54,2005,19820
2025-10-31T00:00:00+00:00,18.08,18.08,17.6,17.79,77,2041,19766
2025-11-03T00:00:00+00:00,17.75,17.82,17.48,17.78,43,2043,13047
2025-11-04T00:00:00+00:00,17.66,17.72,17.55,17.61,56,2062,15875
2025-11-05T00:00:00+00:00,17.6,17.64,17.55,17.61,16,2094,8187
2025-11-06T00:00:00+00:00,17.68,17.84,17.62,17.75,19,2058,6718
2025-11-07T00:00:00+00:00,17.68,17.99,17.59,17.71,70,2051,13661
2025-11-10T00:00:00+00:00,17.8,17.8,17.59,17.79,27,1079,8015
2025-11-11T00:00:00+00:00,17.63,17.7,17.41,17.68,55,1081,17596
2025-11-12T00:00:00+00:00,17.67,17.79,17.6,17.72,31,3,11090
2025-11-13T00:00:00+00:00,17.66,17.67,17.44,17.44,64,15,12228
2025-11-14T00:00:00+00:00,17.42,17.6,17.41,17.6,17,3,9045
2025-11-17T00:00:00+00:00,17.49,17.62,17.38,17.5,38,4,16338
2025-11-18T00:00:00+00:00,17.5,17.72,17.5,17.67,29,5,4789
2025-11-19T00:00:00+00:00,17.51,17.63,17.4,17.52,48,3,9789
2025-11-20T00:00:00+00:00,17.42,17.54,17.4,17.44,22,4,5850
2025-11-21T00:00:00+00:00,17.35,17.61,17.26,17.46,63,1,14789
2025-11-24T00:00:00+00:00,17.6,17.74,17.56,17.59,24,2028,4043
2025-11-25T00:00:00+00:00,17.59,17.7,17.52,17.52,36,4,5966
2025-11-26T00:00:00+00:00,17.56,17.61,17.52,17.58,9,8,2364
2025-11-28T00:00:00+00:00,17.68,17.85,17.62,17.75,13,5,2434
2025-12-01T00:00:00+00:00,17.83,17.9,17.8,17.8,14,5,3439
2025-12-02T00:00:00+00:00,17.72,17.96,17.72,17.89,30,6,4162
2025-12-03T00:00:00+00:00,17.9,17.96,17.85,17.92,13,1117,4792
2025-12-04T00:00:00+00:00,17.85,17.85,17.59,17.59,9,5,1976
2025-12-05T00:00:00+00:00,17.62,17.62,17.55,17.55,61,5,14473
2025-12-08T00:00:00+00:00,17.62,17.62,17.53,17.54,26,1,7001
2025-12-09T00:00:00+00:00,17.56,17.56,17.5,17.5,15,33,6440
2025-12-10T00:00:00+00:00,17.38,17.49,17.31,17.49,50,4,8775
2025-12-11T00:00:00+00:00,17.4,17.4,17.33,17.33,29,2,4100
2025-12-12T00:00:00+00:00,17.41,17.41,17.3,17.3,36,2,5306
2025-12-15T00:00:00+00:00,17.32,17.5,17.32,17.36,15,4,3753
2025-12-16T00:00:00+00:00,17.4,17.4,17.25,17.32,27,2,6386
2025-12-17T00:00:00+00:00,17.39,17.39,17.25,17.3,19,3,4541
2025-12-18T00:00:00+00:00,17.3,17.38,17.25,17.27,52,1,10280
2025-12-19T00:00:00+00:00,17.33,17.39,17.23,17.35,37,3,8466
2025-12-22T00:00:00+00:00,17.41,17.5,17.35,17.4,25,2081,8763
2025-12-23T00:00:00+00:00,17.4,17.46,17.39,17.4,27,2088,5344
2025-12-24T00:00:00+00:00,17.39,17.4,17.05,17.08,70,2037,14573
2025-12-26T00:00:00+00:00,17.1,17.36,17.01,17.1,82,2046,20744
2025-12-29T00:00:00+00:00,17.16,17.4,17.11,17.34,38,2051,9368
2025-12-30T00:00:00+00:00,17.35,17.42,17.11,17.26,38,2092,49528
2025-12-31T00:00:00+00:00,17.26,17.31,17.02,17.09,43,2015,16245
2026-01-02T00:00:00+00:00,17.29,17.36,17.12,17.3,42,3,11692
2026-01-05T00:00:00+00:00,17.3,17.42,17.3,17.41,31,2062,6979
2026-01-06T00:00:00+00:00,17.58,17.7,17.49,17.52,29,2029,7118
2026-01-07T00:00:00+00:00,17.35,17.73,17.35,17.73,31,2,6260
2026-01-08T00:00:00+00:00,17.64,17.77,17.62,17.74,44,2,11843
2026-01-09T00:00:00+00:00,17.75,17.84,17.67,17.76,31,4,5076
2026-01-12T00:00:00+00:00,17.84,17.86,17.77,17.77,24,2102,6207
2026-01-13T00:00:00+00:00,17.76,17.86,17.72,17.85,26,2136,8727
2026-01-14T00:00:00+00:00,17.78,17.84,17.76,17.8,59,2026,10811
2026-01-15T00:00:00+00:00,17.53,17.69,17.41,17.45,58,3,20546
2026-01-16T00:00:00+00:00,17.44,17.55,17.42,17.42,23,8,5628
2026-01-20T00:00:00+00:00,17.4,17.5,17.26,17.5,29,1,11050
2026-01-21T00:00:00+00:00,17.42,17.45,17.38,17.44,20,180,2920
2026-01-22T00:00:00+00:00,17.51,17.51,17.35,17.41,16,4,7993
2026-01-23T00:00:00+00:00,17.37,17.47,17.37,17.41,65,1,11979
2026-01-26T00:00:00+00:00,17.6,17.66,17.6,17.63,108,2066,19962
2026-01-27T00:00:00+00:00,17.67,17.9,17.66,17.9,46,2097,11164
2026-01-28T00:00:00+00:00,17.87,18.0,17.8,17.82,24,5,11195
2026-01-29T00:00:00+00:00,17.75,17.87,17.64,17.65,25,3,3698
2026-01-30T00:00:00+00:00,17.65,17.79,17.5,17.71,14,4,1834
2026-02-02T00:00:00+00:00,17.84,17.84,17.67,17.67,11,1094,2899
2026-02-03T00:00:00+00:00,17.59,17.63,17.54,17.54,17,236,3570
2026-02-04T00:00:00+00:00,17.54,17.54,17.45,17.48,13,3,2399
2026-02-05T00:00:00+00:00,17.55,17.55,17.42,17.42,29,3,8070
2026-02-06T00:00:00+00:00,17.48,17.62,17.48,17.57,27,1,6665
2026-02-09T00:00:00+00:00,17.61,17.65,17.59,17.6,19,3,6118
2026-02-10T00:00:00+00:00,17.73,17.86,17.62,17.67,14,10,2993
2026-02-11T00:00:00+00:00,17.7,17.86,17.7,17.72,27,7,5034
2026-02-12T00:00:00+00:00,17.88,17.88,17.66,17.7,21,7,3553
2026-02-13T00:00:00+00:00,17.81,17.83,17.7,17.75,25,5,3579
2026-02-17T00:00:00+00:00,17.68,17.69,17.54,17.68,33,2009,4456
2026-02-18T00:00:00+00:00,17.58,17.6,17.47,17.48,19,239,3924
2026-02-19T00:00:00+00:00,17.52,17.62,17.52,17.62,15,5,3920
2026-02-20T00:00:00+00:00,17.7,17.7,17.55,17.58,14,15,3188
2026-02-23T00:00:00+00:00,17.65,17.69,17.45,17.45,21,1078,7278
2026-02-24T00:00:00+00:00,17.41,17.67,17.41,17.53,19,233,3866
2026-02-25T00:00:00+00:00,17.5,17.53,17.45,17.5,20,2,5587
2026-02-26T00:00:00+00:00,17.48,17.54,17.45,17.53,15,27,3041
2026-02-27T00:00:00+00:00,17.55,17.67,17.21,17.3,34,3,6139
2026-03-02T00:00:00+00:00,17.19,17.45,17.19,17.37,43,1053,11198
2026-03-03T00:00:00+00:00,17.28,17.51,17.22,17.43,18,5,6111
2026-03-04T00:00:00+00:00,17.45,17.6,17.45,17.51,24,6,7301
2026-03-05T00:00:00+00:00,17.63,17.78,17.63,17.71,9,19,1975
2026-03-06T00:00:00+00:00,17.68,17.69,17.52,17.69,12,11,3798
2026-03-09T00:00:00+00:00,17.58,17.61,17.42,17.45,25,314,7926
2026-03-10T00:00:00+00:00,17.4,17.5,17.31,17.31,45,5,10220
2026-03-11T00:00:00+00:00,17.22,17.61,17.22,17.46,7,22,2655
2026-03-12T00:00:00+00:00,17.4,17.6,17.36,17.46,15,2,2439
2026-03-13T00:00:00+00:00,17.45,17.58,17.3,17.3,27,7,5030
2026-03-16T00:00:00+00:00,17.51,17.51,17.42,17.45,19,8,6171
2026-03-17T00:00:00+00:00,17.48,17.52,17.41,17.52,14,8,2268
2026-03-18T00:00:00+00:00,17.48,17.53,17.48,17.51,17,1146,4751
2026-03-19T00:00:00+00:00,17.54,17.6,17.44,17.44,28,414,8797
2026-03-20T00:00:00+00:00,17.41,17.44,17.15,17.18,25,5,6059
2026-03-23T00:00:00+00:00,17.29,17.4,17.29,17.31,39,1050,6353
2026-03-24T00:00:00+00:00,17.18,17.29,17.12,17.27,11,1065,2941
2026-03-25T00:00:00+00:00,17.3,17.32,17.21,17.29,37,5,8564
2026-03-26T00:00:00+00:00,17.25,17.25,17.1,17.1,14,1,2704
2026-03-27T00:00:00+00:00,17.08,17.2,17.0,17.08,17,6,3620
