time,open,high,low,close,tick_volume,spread,real_volume
2025-05-20T00:00:00+00:00,20.78,20.8,20.6,20.63,8,14,1164
2025-05-22T00:00:00+00:00,20.1,20.55,19.9,20.05,225,6,111994
2025-05-23T00:00:00+00:00,20.1,20.51,20.08,20.37,39,4,6984
2025-05-27T00:00:00+00:00,20.01,20.4,20.01,20.2,26,5,7743
2025-05-28T00:00:00+00:00,20.27,20.39,20.07,20.21,16,13,5504
2025-05-29T00:00:00+00:00,20.09,20.31,20.0,20.0,17,2,6859
2025-05-30T00:00:00+00:00,20.28,20.41,20.05,20.41,49,3,8954
2025-06-02T00:00:00+00:00,20.27,20.42,20.09,20.42,17,15,4850
2025-06-03T00:00:00+00:00,20.45,20.45,20.12,20.24,21,3,7181
2025-06-04T00:00:00+00:00,20.37,20.45,20.3,20.31,9,2428,1127
2025-06-05T00:00:00+00:00,20.38,20.39,20.31,20.36,20,5,4517
2025-06-06T00:00:00+00:00,20.23,20.38,20.23,20.38,12,3,4440
2025-06-09T00:00:00+00:00,20.42,20.44,20.31,20.39,35,3,6903
2025-06-10T00:00:00+00:00,20.4,20.52,20.38,20.48,39,4,4681
2025-06-11T00:00:00+00:00,20.53,20.79,20.5,20.65,31,3,7657
2025-06-12T00:00:00+00:00,20.66,20.67,20.63,20.63,30,3,3700
2025-06-13T00:00:00+00:00,20.59,20.6,20.43,20.45,23,11,5592
2025-06-16T00:00:00+00:00,20.67,20.67,20.49,20.5,14,2454,1731
2025-06-17T00:00:00+00:00,20.67,20.67,20.23,20.4,24,2460,4964
2025-06-18T00:00:00+00:00,20.56,20.67,20.42,20.42,45,5,7422
2025-06-20T00:00:00+00:00,20.21,20.4,20.21,20.36,61,758,9720
2025-06-23T00:00:00+00:00,20.34,20.37,20.12,20.29,76,2438,8599
2025-06-24T00:00:00+00:00,20.29,20.42,20.2,20.38,23,10,5560
2025-06-25T00:00:00+00:00,20.39,20.4,20.31,20.33,66,5,17179
2025-06-26T00:00:00+00:00,20.35,20.42,20.35,20.4,33,3,11008
2025-06-27T00:00:00+00:00,20.41,20.41,20.3,20.35,126,429,59667
2025-06-30T00:00:00+00:00,20.4,20.45,20.24,20.38,141,2441,23217
2025-07-01T00:00:00+00:00,20.5,20.79,20.47,20.72,26,2436,4738
2025-07-02T00:00:00+00:00,20.8,21.14,20.62,21.12,22,2486,3262
2025-07-03T00:00:00+00:00,21.28,21.31,21.07,21.07,15,10,1661
2025-07-07T00:00:00+00:00,21.04,21.04,20.95,21.0,17,2540,2870
2025-07-08T00:00:00+00:00,20.99,21.17,20.98,21.11,21,662,3305
2025-07-09T00:00:00+00:00,21.23,21.23,21.16,21.17,4,802,834
2025-07-10T00:00:00+00:00,21.22,21.25,21.2,21.25,8,3,2189
2025-07-11T00:00:00+00:00,21.39,21.41,21.0,21.0,39,794,7434
2025-07-14T00:00:00+00:00,21.11,21.47,21.11,21.2,16,2483,3000
2025-07-15T00:00:00+00:00,20.85,20.89,20.81,20.88,17,2439,5380
2025-07-16T00:00:00+00:00,20.83,20.9,20.8,20.81,14,2498,4809
2025-07-17T00:00:00+00:00,20.56,21.47,20.56,21.2,33,2439,6151
2025-07-18T00:00:00+00:00,21.21,21.31,21.21,21.28,11,2505,1690
2025-07-21T00:00:00+00:00,21.14,21.29,21.14,21.29,9,2554,2155
2025-07-22T00:00:00+00:00,21.02,21.3,21.02,21.2,12,2556,4907
2025-07-23T00:00:00+00:00,21.15,21.3,21.15,21.2,6,8,2237
2025-07-24T00:00:00+00:00,21.16,21.26,21.16,21.23,11,2,1743
2025-07-25T00:00:00+00:00,21.27,21.28,21.21,21.22,14,2507,4949
2025-07-28T00:00:00+00:00,21.05,21.3,21.04,21.26,12,2446,3065
2025-07-29T00:00:00+00:00,21.1,21.3,21.1,21.28,5,4,1450
2025-07-30T00:00:00+00:00,21.34,21.68,21.19,21.58,21,3,6504
2025-07-31T00:00:00+00:00,21.92,21.92,21.39,21.5,32,10,6158
2025-08-01T00:00:00+00:00,21.47,21.54,21.39,21.42,16,5,2185
2025-08-13T00:00:00+00:00,21.73,21.78,21.71,21.77,13,2,1418
2025-08-14T00:00:00+00:00,21.67,21.9,21.65,21.72,15,7,3630
2025-08-15T00:00:00+00:00,21.89,21.89,21.55,21.75,29,7,7594
2025-08-18T00:00:00+00:00,21.79,21.79,21.75,21.75,8,2,3051
2025-08-19T00:00:00+00:00,21.82,21.97,21.78,21.96,12,12,4084
2025-08-20T00:00:00+00:00,22.12,22.29,22.12,22.22,6,9,900
2025-08-21T00:00:00+00:00,22.31,22.5,22.22,22.4,24,400,6255
2025-08-22T00:00:00+00:00,22.35,22.7,22.35,22.58,31,7,8122
2025-08-25T00:00:00+00:00,22.68,22.78,22.57,22.73,21,2631,3702
2025-08-26T00:00:00+00:00,22.64,22.78,22.53,22.66,19,5,3342
2025-08-27T00:00:00+00:00,22.55,22.73,22.42,22.43,6,11,1434
2025-08-28T00:00:00+00:00,22.53,22.64,22.45,22.45,7,10,1356
2025-08-29T00:00:00+00:00,22.41,22.63,22.2,22.21,19,9,3350
2025-09-02T00:00:00+00:00,22.17,22.62,22.17,22.28,10,2663,1900
2025-09-03T00:00:00+00:00,22.2,22.6,22.2,22.54,10,576,2805
2025-09-04T00:00:00+00:00,22.49,22.49,22.35,22.48,15,6,3350
2025-09-05T00:00:00+00:00,22.55,22.74,22.5,22.5,18,581,4160
2025-09-08T00:00:00+00:00,22.49,22.81,22.49,22.81,9,12,2437
2025-09-09T00:00:00+00:00,22.86,22.98,22.8,22.86,7,4,1634
2025-09-10T00:00:00+00:00,22.87,22.9,22.8,22.89,18,2,3969
2025-09-11T00:00:00+00:00,22.78,22.9,22.38,22.86,22,13,7551
2025-09-12T00:00:00+00:00,22.87,22.87,22.73,22.87,6,10,722
2025-09-15T00:00:00+00:00,22.85,22.89,22.39,22.86,20,14,5055
2025-09-16T00:00:00+00:00,22.8,22.82,22.72,22.81,19,5,4632
2025-09-17T00:00:00+00:00,22.7,22.84,22.7,22.82,8,7,1400
2025-09-18T00:00:00+00:00,22.72,22.84,22.72,22.79,8,8,2268
2025-09-19T00:00:00+00:00,22.7,22.79,22.7,22.79,7,1,1692
2025-09-22T00:00:00+00:00,22.74,22.9,22.74,22.9,12,3,1983
2025-09-23T00:00:00+00:00,22.77,22.81,22.73,22.77,9,348,1587
2025-09-24T00:00:00+00:00,22.76,22.85,22.75,22.85,15,4,2072
2025-09-25T00:00:00+00:00,22.92,22.92,22.82,22.84,11,3,1900
2025-09-26T00:00:00+00:00,22.73,22.78,22.73,22.76,11,2,1433
2025-09-29T00:00:00+00:00,22.9,22.91,22.8,22.8,19,2720,4237
2025-09-30T00:00:00+00:00,22.97,22.97,22.71,22.75,14,2723,3959
2025-10-01T00:00:00+00:00,22.8,23.02,22.69,23.02,42,2599,6837
2025-10-02T00:00:00+00:00,22.9,23.05,22.81,22.81,11,2762,2512
2025-10-03T00:00:00+00:00,22.85,22.9,22.85,22.9,3,2663,400
2025-10-06T00:00:00+00:00,22.82,22.87,22.7,22.8,12,2633,1821
2025-10-07T00:00:00+00:00,22.67,22.85,22.67,22.69,22,2633,2521
2025-10-08T00:00:00+00:00,22.84,22.94,22.67,22.69,15,2699,2852
2025-10-09T00:00:00+00:00,22.91,22.91,22.66,22.75,19,4,3315
2025-10-10T00:00:00+00:00,22.66,22.66,22.38,22.38,8,28,1943
2025-10-13T00:00:00+00:00,22.42,22.65,22.28,22.29,14,14,1903
2025-10-14T00:00:00+00:00,22.52,22.65,22.45,22.65,5,25,1321
2025-10-15T00:00:00+00:00,22.26,22.4,22.0,22.05,25,1433,3510
2025-10-16T00:00:00+00:00,22.23,22.25,22.15,22.15,23,10,7987
2025-10-17T00:00:00+00:00,22.16,22.73,22.16,22.61,29,3,4794
2025-10-20T00:00:00+00:00,22.6,22.91,22.56,22.9,21,1409,4987
2025-10-21T00:00:00+00:00,22.77,22.84,22.31,22.79,50,1405,9627
2025-10-22T00:00:00+00:00,22.58,22.68,22.57,22.62,9,1408,2333
2025-10-23T00:00:00+00:00,22.67,22.67,22.58,22.58,3,1410,315
2025-10-24T00:00:00+00:00,22.53,22.63,22.53,22.57,12,14,2673
2025-10-27T00:00:00+00:00,22.16,22.5,22.16,22.34,14,1412,2244
2025-10-28T00:00:00+00:00,22.3,22.5,22.3,22.45,9,1426,2319
2025-10-29T00:00:00+00:00,22.65,22.67,22.28,22.36,33,1415,4244
2025-10-30T00:00:00+00:00,22.34,22.41,22.33,22.33,3,1425,1447
2025-10-31T00:00:00+00:00,22.03,22.11,21.81,22.08,59,1432,8619
2025-11-03T00:00:00+00:00,22.03,22.2,21.8,22.15,153,2646,21188
2025-11-04T00:00:00+00:00,22.11,22.2,22.05,22.2,22,2619,4187
2025-11-05T00:00:00+00:00,22.1,22.41,22.1,22.32,34,2619,5362
2025-11-06T00:00:00+00:00,22.25,22.27,22.1,22.27,20,2619,5119
2025-11-07T00:00:00+00:00,22.14,22.14,21.87,22.09,22,2619,3168
2025-11-10T00:00:00+00:00,22.28,22.29,22.15,22.29,10,1388,2647
2025-11-11T00:00:00+00:00,22.31,22.45,22.24,22.4,16,1379,4312
2025-11-12T00:00:00+00:00,22.21,22.39,22.17,22.3,15,15,3500
2025-11-13T00:00:00+00:00,22.11,22.51,22.05,22.26,10,834,2935
2025-11-14T00:00:00+00:00,22.3,22.3,22.08,22.3,15,7,2858
2025-11-17T00:00:00+00:00,22.16,22.26,22.06,22.17,12,1340,4548
2025-11-18T00:00:00+00:00,22.0,22.33,22.0,22.05,14,1346,2920
2025-11-19T00:00:00+00:00,22.04,22.27,22.04,22.15,10,1391,2136
2025-11-20T00:00:00+00:00,22.11,22.16,21.98,22.11,33,8,8659
2025-11-21T00:00:00+00:00,22.05,22.26,22.02,22.16,46,10,12919
2025-11-24T00:00:00+00:00,22.18,22.25,22.15,22.25,19,2573,2862
2025-11-25T00:00:00+00:00,22.22,22.37,22.2,22.28,11,61,2911
2025-11-26T00:00:00+00:00,22.3,22.48,22.3,22.39,23,5,4400
2025-11-28T00:00:00+00:00,22.41,22.44,22.06,22.06,18,656,3378
2025-12-01T00:00:00+00:00,22.02,22.13,22.02,22.1,5,9,1025
2025-12-02T00:00:00+00:00,22.15,22.27,22.05,22.27,10,21,2528
