time,open,high,low,close,tick_volume,spread,real_volume
2004-04-07T00:00:00+00:00,20.05,20.6,20.05,20.5,516,0,3457700
2004-04-08T00:00:00+00:00,20.5,20.5,20.36,20.43,129,0,301000
2004-04-12T00:00:00+00:00,20.45,20.45,19.42,19.52,182,0,839600
2004-04-13T00:00:00+00:00,19.51,19.55,19.35,19.51,86,0,226800
2004-04-14T00:00:00+00:00,19.4,19.48,19.4,19.43,63,0,143900
2004-04-15T00:00:00+00:00,19.43,19.64,19.43,19.6,23,0,22700
2004-04-16T00:00:00+00:00,19.6,19.6,19.5,19.5,36,0,33600
2004-04-19T00:00:00+00:00,19.5,19.58,19.5,19.51,23,0,16300
2004-04-20T00:00:00+00:00,19.5,19.77,19.5,19.7,24,0,13400
2004-04-21T00:00:00+00:00,19.65,19.65,19.0,19.3,74,0,119000
2004-04-22T00:00:00+00:00,19.3,19.55,19.25,19.55,12,0,11200
2004-04-23T00:00:00+00:00,19.51,19.52,19.5,19.5,11,0,7600
2004-04-26T00:00:00+00:00,19.5,19.55,19.45,19.5,21,0,7000
2004-04-27T00:00:00+00:00,19.45,19.95,19.4,19.75,66,0,18000
2004-04-28T00:00:00+00:00,19.8,19.83,19.55,19.55,29,0,15500
2004-04-29T00:00:00+00:00,19.6,19.62,19.4,19.58,46,0,33400
2004-04-30T00:00:00+00:00,19.55,19.55,19.36,19.4,30,0,56600
2004-05-03T00:00:00+00:00,19.45,19.5,19.35,19.48,29,0,13200
2004-05-04T00:00:00+00:00,19.5,19.6,19.3,19.4,48,0,60800
2004-05-05T00:00:00+00:00,19.37,19.59,19.35,19.59,41,0,9900
2004-05-06T00:00:00+00:00,19.6,20.01,19.5,20.0,97,0,83200
2004-05-07T00:00:00+00:00,19.8,19.8,19.28,19.3,30,0,31300
2004-05-10T00:00:00+00:00,19.15,19.2,18.8,19.15,104,0,62300
2004-05-11T00:00:00+00:00,19.2,19.2,19.01,19.02,61,0,27100
2004-05-12T00:00:00+00:00,19.2,19.36,19.15,19.17,87,0,22000
2004-05-13T00:00:00+00:00,19.25,19.37,19.22,19.26,41,0,37700
2004-05-14T00:00:00+00:00,19.3,19.4,19.25,19.39,39,0,9300
2004-05-17T00:00:00+00:00,19.35,19.35,18.85,19.0,51,0,39600
2004-05-18T00:00:00+00:00,19.08,19.18,18.95,19.08,58,0,25900
2004-05-19T00:00:00+00:00,18.98,19.09,18.94,19.02,40,0,20400
2004-05-20T00:00:00+00:00,19.03,19.18,18.9,18.97,56,0,30900
2004-05-21T00:00:00+00:00,19.0,19.19,18.95,18.97,58,0,27800
2004-05-24T00:00:00+00:00,18.95,19.0,18.4,18.68,84,0,16600
2004-05-25T00:00:00+00:00,18.72,18.8,18.65,18.8,34,0,7000
2004-05-26T00:00:00+00:00,18.85,18.99,18.82,18.95,27,0,4900
2004-05-27T00:00:00+00:00,18.94,19.0,18.9,18.98,45,0,44900
2004-05-28T00:00:00+00:00,18.93,19.1,18.75,18.96,52,0,16300
2004-06-01T00:00:00+00:00,18.95,19.0,18.5,18.82,78,0,21200
2004-06-02T00:00:00+00:00,18.85,19.29,18.85,19.19,141,0,60000
2004-06-03T00:00:00+00:00,19.25,19.34,19.11,19.14,96,0,14000
2004-06-04T00:00:00+00:00,19.19,19.2,18.9,18.98,31,0,16100
2004-06-07T00:00:00+00:00,18.95,19.04,18.87,18.95,89,0,361500
2004-06-08T00:00:00+00:00,19.0,19.25,19.0,19.25,14,0,38600
2004-06-09T00:00:00+00:00,19.25,19.38,19.25,19.38,25,0,10500
2004-06-10T00:00:00+00:00,19.44,19.8,19.44,19.58,65,0,17400
2004-06-14T00:00:00+00:00,19.6,20.0,19.49,19.88,80,0,256500
2004-06-15T00:00:00+00:00,20.0,20.13,19.88,20.0,90,0,88200
2004-06-16T00:00:00+00:00,20.07,20.11,19.91,20.1,55,0,24300
2004-06-17T00:00:00+00:00,20.14,20.65,20.14,20.52,64,0,36400
2004-06-18T00:00:00+00:00,20.45,20.95,20.45,20.95,78,0,20700
2004-06-21T00:00:00+00:00,21.0,21.0,20.25,20.55,87,0,69400
2004-06-22T00:00:00+00:00,20.6,20.76,20.55,20.6,70,0,39100
2004-06-23T00:00:00+00:00,20.5,20.51,20.33,20.41,89,0,18200
2004-06-24T00:00:00+00:00,20.4,20.4,19.91,20.24,71,0,68800
2004-06-25T00:00:00+00:00,20.15,20.42,20.02,20.02,172,0,45300
2004-06-28T00:00:00+00:00,20.05,20.05,19.65,19.74,101,0,18100
2004-06-29T00:00:00+00:00,19.75,19.96,19.7,19.81,60,0,22800
2004-06-30T00:00:00+00:00,19.8,19.87,19.65,19.87,85,0,24800
2004-07-01T00:00:00+00:00,19.55,19.77,19.55,19.55,74,0,49300
2004-07-02T00:00:00+00:00,19.55,19.99,19.54,19.99,42,0,60500
2004-07-06T00:00:00+00:00,19.97,20.05,19.9,20.01,61,0,31900
2004-07-07T00:00:00+00:00,20.0,20.09,19.9,20.09,54,0,36100
2004-07-08T00:00:00+00:00,20.05,20.15,19.95,20.0,51,0,18000
2004-07-09T00:00:00+00:00,19.96,20.08,19.85,20.01,64,0,52600
2004-07-12T00:00:00+00:00,19.95,20.05,19.9,20.04,17,0,5700
2004-07-13T00:00:00+00:00,20.0,20.1,19.75,19.97,83,0,36100
2004-07-14T00:00:00+00:00,20.0,20.14,19.95,20.05,46,0,38900
2004-07-15T00:00:00+00:00,19.98,19.98,19.5,19.51,34,0,14000
2004-07-16T00:00:00+00:00,19.5,19.61,19.25,19.36,58,0,27800
2004-07-19T00:00:00+00:00,19.28,19.51,19.25,19.51,19,0,2400
2004-07-20T00:00:00+00:00,19.55,19.55,19.35,19.43,30,0,5500
2004-07-21T00:00:00+00:00,19.45,19.45,18.77,18.82,70,0,37900
2004-07-22T00:00:00+00:00,18.82,18.9,18.55,18.71,48,0,14500
2004-07-23T00:00:00+00:00,18.75,18.79,18.41,18.68,47,0,18900
2004-07-26T00:00:00+00:00,18.82,18.85,18.4,18.52,37,0,11300
2004-07-27T00:00:00+00:00,18.52,18.95,18.05,18.93,144,0,87400
2004-07-28T00:00:00+00:00,18.93,18.99,18.5,18.6,64,0,138200
2004-07-29T00:00:00+00:00,18.6,19.35,18.6,19.35,76,0,153200
2004-07-30T00:00:00+00:00,19.35,19.4,18.87,19.0,79,0,370800
2004-08-02T00:00:00+00:00,19.0,19.2,18.68,19.0,83,0,43600
2004-08-03T00:00:00+00:00,19.05,19.25,18.95,19.22,87,0,29900
2004-08-04T00:00:00+00:00,19.23,19.37,19.0,19.05,110,0,261500
2004-08-05T00:00:00+00:00,19.02,19.3,19.0,19.0,147,0,160500
2004-08-06T00:00:00+00:00,19.05,19.35,18.75,18.79,95,0,30400
2004-08-09T00:00:00+00:00,18.85,19.04,18.7,18.99,80,0,33500
2004-08-10T00:00:00+00:00,19.06,19.68,19.06,19.59,116,0,75700
2004-08-11T00:00:00+00:00,19.65,19.66,19.2,19.3,66,0,94900
2004-08-12T00:00:00+00:00,19.34,19.48,19.21,19.22,60,0,14500
2004-08-13T00:00:00+00:00,19.25,19.49,19.25,19.4,35,0,8800
2004-08-16T00:00:00+00:00,19.4,19.5,19.29,19.37,71,0,14100
2004-08-17T00:00:00+00:00,19.5,20.15,19.4,20.08,100,0,36700
2004-08-18T00:00:00+00:00,20.15,20.15,19.7,19.9,103,0,82200
2004-08-19T00:00:00+00:00,20.0,20.1,19.9,19.98,94,0,217400
2004-08-20T00:00:00+00:00,19.99,20.1,19.9,20.1,70,0,150500
2004-08-23T00:00:00+00:00,20.15,20.3,20.03,20.16,68,0,95100
2004-08-24T00:00:00+00:00,20.25,20.6,20.25,20.48,134,0,187500
2004-08-25T00:00:00+00:00,20.55,20.58,20.25,20.25,108,0,54200
2004-08-26T00:00:00+00:00,20.25,20.36,19.98,20.36,88,0,100600
2004-08-27T00:00:00+00:00,20.36,20.53,20.27,20.5,37,0,10100
2004-08-30T00:00:00+00:00,20.46,20.6,20.4,20.53,32,0,9500
2004-08-31T00:00:00+00:00,20.61,21.0,20.58,20.87,107,0,100800
2004-09-01T00:00:00+00:00,20.8,21.0,20.75,20.75,163,0,108600
2004-09-02T00:00:00+00:00,20.8,20.8,20.7,20.75,58,0,30100
2004-09-03T00:00:00+00:00,20.75,21.0,20.54,20.8,60,0,72100
2004-09-07T00:00:00+00:00,20.75,21.0,20.58,20.85,114,0,75200
2004-09-08T00:00:00+00:00,21.0,21.0,20.63,20.64,49,0,19600
2004-09-09T00:00:00+00:00,20.55,21.7,20.55,21.6,142,0,78400
2004-09-10T00:00:00+00:00,21.51,21.55,21.35,21.41,61,0,26200
2004-09-13T00:00:00+00:00,21.5,21.55,21.34,21.55,61,0,114200
2004-09-14T00:00:00+00:00,21.45,21.5,21.25,21.48,57,0,54600
2004-09-15T00:00:00+00:00,21.48,21.7,21.2,21.2,55,0,47400
2004-09-16T00:00:00+00:00,21.26,21.55,21.26,21.49,57,0,17200
2004-09-17T00:00:00+00:00,21.5,21.5,21.16,21.27,33,0,13500
2004-09-20T00:00:00+00:00,21.14,21.25,20.95,21.0,73,0,14500
2004-09-21T00:00:00+00:00,21.0,21.12,20.93,20.93,49,0,28900
2004-09-22T00:00:00+00:00,20.96,21.0,20.6,20.9,59,0,18400
2004-09-23T00:00:00+00:00,20.98,21.03,20.85,20.92,8,0,1300
2004-09-24T00:00:00+00:00,20.8,20.96,20.5,20.96,35,0,8600
2004-09-27T00:00:00+00:00,20.95,21.2,20.95,20.98,30,0,7200
2004-09-28T00:00:00+00:00,20.85,21.17,20.83,21.17,42,0,23500
2004-09-29T00:00:00+00:00,21.1,22.15,21.1,22.0,75,0,50500
2004-09-30T00:00:00+00:00,21.99,22.21,21.75,22.2,56,0,63100
2004-10-01T00:00:00+00:00,22.35,22.8,22.35,22.8,127,0,79800
2004-10-04T00:00:00+00:00,23.11,23.22,22.5,22.68,106,0,53600
2004-10-05T00:00:00+00:00,22.64,22.85,22.4,22.45,139,0,56800
2004-10-06T00:00:00+00:00,22.38,22.39,22.26,22.27,48,0,15600
2004-10-07T00:00:00+00:00,22.0,22.25,21.9,21.9,65,0,16700
2004-10-08T00:00:00+00:00,22.1,22.32,22.07,22.15,135,0,56500
2004-10-11T00:00:00+00:00,22.2,22.33,22.15,22.3,55,0,35200
2004-10-12T00:00:00+00:00,22.25,22.31,22.15,22.25,116,0,32700
2004-10-13T00:00:00+00:00,22.05,22.05,21.72,21.72,58,0,61800
2004-10-14T00:00:00+00:00,21.58,21.6,21.22,21.39,65,0,17000
2004-10-15T00:00:00+00:00,21.45,21.59,21.3,21.45,83,0,27600
2004-10-18T00:00:00+00:00,21.35,21.6,21.35,21.5,76,0,70700
2004-10-19T00:00:00+00:00,21.5,21.5,21.11,21.2,72,0,30500
2004-10-20T00:00:00+00:00,21.2,21.25,21.12,21.15,54,0,27500
2004-10-21T00:00:00+00:00,21.1,21.3,21.0,21.05,67,0,48400
2004-10-22T00:00:00+00:00,21.1,21.13,20.84,20.84,34,0,9200
2004-10-25T00:00:00+00:00,20.64,21.0,20.62,20.95,55,0,12900
2004-10-26T00:00:00+00:00,21.0,21.0,20.7,20.84,89,0,30200
2004-10-27T00:00:00+00:00,20.9,21.0,20.6,20.9,85,0,25600
2004-10-28T00:00:00+00:00,20.95,21.0,20.8,20.85,53,0,59700
2004-10-29T00:00:00+00:00,20.86,21.4,20.8,20.8,107,0,552600
2004-11-01T00:00:00+00:00,21.2,21.4,21.12,21.4,109,0,53800
2004-11-02T00:00:00+00:00,21.4,21.6,21.38,21.5,112,0,48700
2004-11-03T00:00:00+00:00,21.52,21.55,21.1,21.11,96,0,88500
2004-11-04T00:00:00+00:00,21.14,21.37,20.87,20.9,172,0,34300
2004-11-05T00:00:00+00:00,20.88,20.9,20.29,20.38,110,0,61900
2004-11-08T00:00:00+00:00,20.25,21.06,20.25,20.8,76,0,59800
2004-11-09T00:00:00+00:00,20.9,21.1,20.8,21.0,49,0,39700
2004-11-10T00:00:00+00:00,21.05,21.1,20.95,21.0,88,0,71800
2004-11-11T00:00:00+00:00,21.05,21.55,21.05,21.39,68,0,65800
2004-11-12T00:00:00+00:00,21.45,21.47,21.3,21.44,93,0,34200
2004-11-15T00:00:00+00:00,21.43,21.43,21.16,21.3,110,0,55800
2004-11-16T00:00:00+00:00,21.74,21.96,21.57,21.85,166,0,103400
2004-11-17T00:00:00+00:00,21.95,21.95,21.6,21.75,98,0,34800
2004-11-18T00:00:00+00:00,21.65,21.7,21.4,21.55,159,0,33000
2004-11-19T00:00:00+00:00,21.7,21.85,21.6,21.74,182,0,70500
2004-11-22T00:00:00+00:00,21.84,22.9,21.84,22.75,263,0,111100
2004-11-23T00:00:00+00:00,22.7,23.0,22.57,22.84,204,0,99400
2004-11-24T00:00:00+00:00,22.75,23.1,22.75,22.89,128,0,33400
2004-11-26T00:00:00+00:00,23.09,23.2,22.95,23.14,59,0,16500
2004-11-29T00:00:00+00:00,23.09,23.54,22.9,23.26,278,0,53600
2004-11-30T00:00:00+00:00,23.3,23.65,23.01,23.59,166,0,59400
2004-12-01T00:00:00+00:00,23.75,24.2,23.65,23.76,259,0,191300
2004-12-02T00:00:00+00:00,23.8,23.83,23.64,23.75,233,0,77400
2004-12-03T00:00:00+00:00,23.75,23.85,23.56,23.71,212,0,68800
2004-12-06T00:00:00+00:00,23.81,23.85,23.7,23.75,125,0,36200
2004-12-07T00:00:00+00:00,23.84,23.85,23.14,23.15,95,0,29900
2004-12-08T00:00:00+00:00,23.17,23.4,23.17,23.37,108,0,101200
2004-12-09T00:00:00+00:00,23.4,23.44,23.31,23.35,155,0,60000
2004-12-10T00:00:00+00:00,23.35,23.58,23.25,23.58,99,0,38700
2004-12-13T00:00:00+00:00,23.65,23.82,23.39,23.39,79,0,43000
2004-12-14T00:00:00+00:00,23.39,23.49,23.06,23.34,152,0,35600
2004-12-15T00:00:00+00:00,23.36,23.48,23.25,23.35,171,0,41800
2004-12-16T00:00:00+00:00,23.55,23.66,23.45,23.55,162,0,36100
2004-12-17T00:00:00+00:00,23.65,24.37,23.6,24.35,248,0,90600
2004-12-20T00:00:00+00:00,24.3,24.3,23.96,23.99,81,0,26500
2004-12-21T00:00:00+00:00,24.0,24.14,23.76,24.01,138,0,71700
2004-12-22T00:00:00+00:00,24.0,24.4,24.0,24.19,124,0,36200
2004-12-23T00:00:00+00:00,24.15,24.4,24.07,24.39,101,0,23300
2004-12-27T00:00:00+00:00,24.4,24.5,24.05,24.05,71,0,16100
2004-12-28T00:00:00+00:00,24.25,24.5,24.25,24.3,109,0,28400
2004-12-29T00:00:00+00:00,24.4,24.56,24.33,24.55,103,0,28900
2004-12-30T00:00:00+00:00,24.54,24.85,24.52,24.74,123,0,33900
2004-12-31T00:00:00+00:00,24.85,24.85,24.5,24.52,96,0,28400
2005-01-03T00:00:00+00:00,24.54,24.6,24.26,24.34,203,0,66200
2005-01-04T00:00:00+00:00,24.4,24.45,24.0,24.14,220,0,58200
2005-01-05T00:00:00+00:00,24.02,24.1,23.65,23.73,207,0,95300
2005-01-06T00:00:00+00:00,23.85,23.98,23.75,23.79,112,0,26500
2005-01-07T00:00:00+00:00,24.04,24.11,23.79,23.95,115,0,41700
2005-01-10T00:00:00+00:00,24.12,24.21,23.86,23.9,126,0,24300
2005-01-11T00:00:00+00:00,24.0,24.0,23.7,23.85,109,0,31200
2005-01-12T00:00:00+00:00,23.93,23.98,23.7,23.88,204,0,77100
2005-01-13T00:00:00+00:00,23.89,24.0,23.79,23.81,180,0,48000
2005-01-14T00:00:00+00:00,24.1,24.22,23.89,23.91,198,0,68100
2005-01-18T00:00:00+00:00,24.0,24.06,23.71,23.81,265,0,109800
2005-01-19T00:00:00+00:00,24.08,24.08,23.64,23.7,166,0,127700
2005-01-20T00:00:00+00:00,23.8,23.94,23.59,23.8,127,0,108300
2005-01-21T00:00:00+00:00,23.94,24.12,23.66,23.94,396,0,229900
2005-01-24T00:00:00+00:00,24.12,24.58,23.99,24.55,118,0,32200
2005-01-25T00:00:00+00:00,24.57,24.9,24.43,24.43,94,0,33300
2005-01-26T00:00:00+00:00,24.46,24.48,24.32,24.39,138,0,46200
2005-01-27T00:00:00+00:00,23.67,23.92,23.52,23.72,185,0,62500
