time,open,high,low,close,tick_volume,spread,real_volume
2023-11-17T00:00:00+00:00,1.0,1.01,0.79,0.9,62,0,24793
2023-11-20T00:00:00+00:00,0.92,0.92,0.89,0.9,33,0,13522
2023-11-21T00:00:00+00:00,0.91,0.94,0.91,0.94,11,0,5506
2023-11-22T00:00:00+00:00,0.98,0.98,0.98,0.98,2,0,400
2023-11-24T00:00:00+00:00,0.94,0.94,0.91,0.92,4,0,659
2023-11-27T00:00:00+00:00,0.91,0.98,0.9,0.98,21,0,6910
2023-11-28T00:00:00+00:00,0.95,0.98,0.95,0.98,15,0,6333
2023-11-29T00:00:00+00:00,0.95,0.95,0.92,0.92,36,0,8390
2023-11-30T00:00:00+00:00,0.95,0.95,0.92,0.93,14,0,8472
2023-12-01T00:00:00+00:00,0.95,0.95,0.9,0.9,20,0,4962
2023-12-04T00:00:00+00:00,0.94,1.09,0.92,1.09,268,0,82875
2023-12-05T00:00:00+00:00,1.07,1.3,1.04,1.25,395,0,149384
2023-12-06T00:00:00+00:00,1.2,1.23,1.11,1.11,97,0,50643
2023-12-07T00:00:00+00:00,1.1,1.1,0.95,1.01,251,0,129110
2023-12-08T00:00:00+00:00,0.98,1.08,0.98,1.06,112,0,47070
2023-12-11T00:00:00+00:00,1.05,1.06,0.98,1.01,32,0,14544
2023-12-12T00:00:00+00:00,0.99,0.99,0.92,0.94,86,0,44079
2023-12-13T00:00:00+00:00,0.95,0.99,0.93,0.99,23,0,11943
2023-12-14T00:00:00+00:00,0.99,1.05,0.97,1.0,75,0,34043
2023-12-15T00:00:00+00:00,1.0,1.04,0.96,0.96,15,0,2785
2023-12-18T00:00:00+00:00,1.04,1.08,0.95,1.04,110,0,42697
2023-12-19T00:00:00+00:00,1.0,1.04,0.95,0.95,98,0,44830
2023-12-20T00:00:00+00:00,1.0,1.1,0.99,1.0,293,0,183941
2023-12-21T00:00:00+00:00,1.04,1.04,0.94,0.95,91,0,52932
2023-12-22T00:00:00+00:00,0.99,1.03,0.96,1.01,17,0,5410
2023-12-26T00:00:00+00:00,0.98,1.02,0.98,1.02,19,0,8402
2023-12-27T00:00:00+00:00,1.02,1.4,0.98,1.3,426,0,244027
2023-12-28T00:00:00+00:00,1.2,1.35,1.09,1.24,341,0,159087
2023-12-29T00:00:00+00:00,1.24,1.24,1.06,1.1400000000000001,245,0,102895
2024-01-02T00:00:00+00:00,1.18,1.25,1.16,1.24,184,0,72741
2024-01-03T00:00:00+00:00,1.12,1.2,1.1,1.15,108,0,44599
2024-01-04T00:00:00+00:00,1.19,1.27,1.18,1.24,142,0,85404
2024-01-05T00:00:00+00:00,1.22,1.23,1.18,1.23,31,0,20200
2024-01-08T00:00:00+00:00,1.25,1.45,1.21,1.3900000000000001,355,0,161705
2024-01-09T00:00:00+00:00,1.44,1.6,1.37,1.45,462,0,208396
