time,open,high,low,close,tick_volume,spread,real_volume
2021-08-03T00:00:00+00:00,3.31,3.51,2.83,3.17,572,0,194472
2021-08-04T00:00:00+00:00,3.19,3.27,3.0,3.1,166,0,68553
2021-08-05T00:00:00+00:00,3.05,3.2,3.04,3.18,60,0,27190
2021-08-06T00:00:00+00:00,3.18,3.3,3.15,3.15,91,0,28288
2021-08-09T00:00:00+00:00,3.18,3.18,3.05,3.13,25,0,5529
2021-08-10T00:00:00+00:00,3.29,4.45,3.15,3.81,9090,0,3028807
2021-08-11T00:00:00+00:00,3.93,4.25,3.4,3.55,8879,0,3733106
2021-08-12T00:00:00+00:00,2.71,2.94,2.5,2.7,1999,0,941277
2021-08-13T00:00:00+00:00,2.64,2.7,2.23,2.3,970,0,358233
2021-08-16T00:00:00+00:00,2.3,2.4,2.1,2.18,398,0,150221
2021-08-17T00:00:00+00:00,2.1,2.17,2.06,2.12,199,0,91114
2021-08-18T00:00:00+00:00,2.15,2.37,2.15,2.33,371,0,180559
2021-08-19T00:00:00+00:00,2.32,2.5,2.0,2.18,353,0,167456
2021-08-20T00:00:00+00:00,2.1,2.22,1.95,2.04,385,0,198027
2021-08-23T00:00:00+00:00,2.04,3.49,2.03,2.51,20508,0,10602530
2021-08-24T00:00:00+00:00,2.35,2.64,2.25,2.58,1510,0,776590
2021-08-25T00:00:00+00:00,2.38,2.58,2.37,2.4699999999999998,381,0,227577
2021-08-26T00:00:00+00:00,2.44,3.15,2.4,2.85,8758,0,4949420
2021-08-27T00:00:00+00:00,2.71,3.2,2.7,2.96,1716,0,1035022
2021-08-30T00:00:00+00:00,3.15,3.25,3.0,3.11,496,0,281617
2021-08-31T00:00:00+00:00,3.12,3.19,2.86,2.92,525,0,235617
2021-09-01T00:00:00+00:00,4.06,4.76,3.19,3.59,89364,0,34947529
2021-09-02T00:00:00+00:00,3.32,3.55,3.22,3.54,4201,0,1210070
2021-09-03T00:00:00+00:00,3.37,3.42,3.18,3.26,902,0,345665
2021-09-07T00:00:00+00:00,3.22,3.75,3.22,3.68,1928,0,977201
2021-09-08T00:00:00+00:00,3.5300000000000002,3.69,3.36,3.36,455,0,195023
2021-09-09T00:00:00+00:00,3.36,3.41,3.29,3.35,293,0,121552
2021-09-10T00:00:00+00:00,3.41,3.44,3.18,3.2,433,0,127420
2021-09-13T00:00:00+00:00,3.36,3.36,2.95,3.0,830,0,272525
2021-09-14T00:00:00+00:00,3.0,3.1,2.9,3.0,517,0,210146
2021-09-15T00:00:00+00:00,2.9699999999999998,3.0,2.66,2.66,652,0,247740
2021-09-16T00:00:00+00:00,2.71,2.71,2.62,2.62,151,0,54260
2021-09-17T00:00:00+00:00,2.56,2.9,2.56,2.83,474,0,131614
2021-09-20T00:00:00+00:00,2.71,2.8,2.5,2.5,344,0,91951
2021-09-21T00:00:00+00:00,2.52,2.59,2.45,2.45,279,0,96672
2021-09-22T00:00:00+00:00,2.6,2.62,2.45,2.55,82,0,24399
2021-09-23T00:00:00+00:00,2.68,2.68,2.41,2.5,253,0,58139
2021-09-24T00:00:00+00:00,2.51,2.6,2.48,2.48,211,0,48224
2021-09-27T00:00:00+00:00,2.5,2.52,2.35,2.37,581,0,202945
2021-09-28T00:00:00+00:00,2.35,3.22,2.3,2.9,4217,0,1905277
2021-09-29T00:00:00+00:00,2.9,3.01,2.23,2.34,2135,0,715405
2021-09-30T00:00:00+00:00,2.2800000000000002,2.4,2.26,2.32,566,0,121231
2021-10-01T00:00:00+00:00,2.3,2.35,2.26,2.31,410,0,94034
2021-10-04T00:00:00+00:00,2.26,2.31,2.2,2.23,263,0,76377
2021-10-05T00:00:00+00:00,2.23,2.29,2.2,2.23,129,0,42053
2021-10-06T00:00:00+00:00,2.21,2.29,2.18,2.22,223,0,94937
2021-10-07T00:00:00+00:00,2.2,2.21,2.13,2.2,156,0,62942
2021-10-08T00:00:00+00:00,2.2,2.22,2.11,2.17,151,0,44746
2021-10-11T00:00:00+00:00,2.23,2.23,2.14,2.14,197,0,56605
2021-10-12T00:00:00+00:00,2.24,2.49,2.16,2.45,465,0,251035
2021-10-13T00:00:00+00:00,2.37,2.39,2.29,2.34,599,0,194950
2021-10-14T00:00:00+00:00,2.37,2.5,2.35,2.48,263,0,126149
2021-10-15T00:00:00+00:00,2.83,3.2,2.5,2.7,8787,0,4070940
2021-10-18T00:00:00+00:00,2.56,2.67,2.45,2.6,651,0,305134
