time,open,high,low,close,tick_volume,spread,real_volume
2022-11-02T00:00:00+00:00,21.18,22.08,20.87,21.25,591,0,86822
2022-11-03T00:00:00+00:00,21.49,22.78,21.41,22.69,1149,0,170132
2022-11-04T00:00:00+00:00,23.71,24.5,23.17,23.9,1980,0,358221
2022-11-07T00:00:00+00:00,23.94,26.56,23.55,24.62,3305,0,533674
2022-11-08T00:00:00+00:00,24.75,25.54,23.83,24.69,1511,0,201568
2022-11-09T00:00:00+00:00,24.08,24.39,23.25,23.29,1594,0,249970
2022-11-10T00:00:00+00:00,23.98,24.87,23.84,24.53,1745,0,334127
2022-11-11T00:00:00+00:00,25.75,27.0,24.58,25.0,2793,0,499523
2022-11-14T00:00:00+00:00,25.0,26.01,24.5,24.71,2056,0,316256
2022-11-15T00:00:00+00:00,24.85,25.0,24.06,24.6,1311,0,207240
2022-11-16T00:00:00+00:00,24.43,25.17,24.41,25.06,1256,0,225165
2022-11-17T00:00:00+00:00,24.29,25.71,24.04,25.7,1352,0,285112
2022-11-18T00:00:00+00:00,25.32,25.56,24.37,25.37,1078,0,245424
2022-11-21T00:00:00+00:00,24.79,24.93,23.28,24.61,2655,0,455069
2022-11-22T00:00:00+00:00,25.15,25.79,25.13,25.7,1972,0,318994
2022-11-23T00:00:00+00:00,25.19,25.6,23.78,24.78,866,0,145055
2022-11-25T00:00:00+00:00,24.84,25.33,24.49,24.62,268,0,43555
2022-11-28T00:00:00+00:00,23.57,24.5,22.73,23.01,1058,0,167091
2022-11-29T00:00:00+00:00,23.31,23.66,22.76,23.18,1333,0,222056
2022-11-30T00:00:00+00:00,23.59,23.9,22.73,23.57,1292,0,206123
2022-12-01T00:00:00+00:00,23.74,24.61,23.58,23.62,1028,0,149897
2022-12-02T00:00:00+00:00,23.53,24.15,23.3,23.48,804,0,102730
2022-12-05T00:00:00+00:00,24.2,24.3,22.8,22.9,1077,0,135929
2022-12-06T00:00:00+00:00,22.73,22.92,22.17,22.43,817,0,119019
2022-12-07T00:00:00+00:00,22.47,22.79,21.64,21.7,740,0,105621
2022-12-08T00:00:00+00:00,21.99,22.21,21.47,21.68,557,0,138583
2022-12-09T00:00:00+00:00,21.61,21.75,20.2,20.53,1345,0,224564
2022-12-12T00:00:00+00:00,20.81,21.85,20.55,21.51,1034,0,161403
2022-12-13T00:00:00+00:00,22.0,22.52,21.6,22.1,1285,0,198030
2022-12-14T00:00:00+00:00,22.21,22.58,21.63,21.88,727,0,93518
2022-12-15T00:00:00+00:00,21.13,22.13,21.13,21.93,768,0,102022
2022-12-16T00:00:00+00:00,21.54,22.04,21.25,21.68,973,0,152306
2022-12-19T00:00:00+00:00,21.98,22.22,21.61,21.75,367,0,48176
2022-12-20T00:00:00+00:00,21.87,23.5,21.69,23.21,1183,0,191402
2022-12-21T00:00:00+00:00,23.26,23.86,23.24,23.67,851,0,126137
2022-12-22T00:00:00+00:00,23.62,23.62,22.87,23.35,567,0,79660
2022-12-23T00:00:00+00:00,23.53,25.22,23.53,25.18,829,0,165205
2022-12-27T00:00:00+00:00,25.7,26.23,24.85,24.99,2053,0,336045
2022-12-28T00:00:00+00:00,25.36,25.54,23.7,24.01,849,0,126074
2022-12-29T00:00:00+00:00,23.9,25.17,23.9,24.64,1311,0,191822
2022-12-30T00:00:00+00:00,24.63,25.31,23.98,25.18,1080,0,180986
2023-01-03T00:00:00+00:00,25.37,25.44,21.0,21.44,2604,0,440405
2023-01-04T00:00:00+00:00,20.75,21.3,19.83,21.16,1047,0,169057
2023-01-05T00:00:00+00:00,21.45,22.06,20.67,21.78,1348,0,193126
2023-01-06T00:00:00+00:00,22.41,23.17,21.9,22.37,1204,0,190353
2023-01-09T00:00:00+00:00,22.84,23.29,22.29,22.74,1625,0,247237
2023-01-10T00:00:00+00:00,23.2,24.67,23.09,24.66,2470,0,411033
2023-01-11T00:00:00+00:00,25.0,25.43,24.11,24.4,1184,0,232397
2023-01-12T00:00:00+00:00,24.85,25.29,24.13,24.65,967,0,169598
2023-01-13T00:00:00+00:00,24.81,24.97,24.16,24.94,851,0,151351
2023-01-17T00:00:00+00:00,25.07,25.31,24.03,24.25,1192,0,294162
2023-01-18T00:00:00+00:00,24.25,24.41,22.34,22.38,983,0,211038
2023-01-19T00:00:00+00:00,22.11,22.34,21.56,21.87,758,0,161509
2023-01-20T00:00:00+00:00,22.21,22.81,21.69,22.28,771,0,172706
2023-01-23T00:00:00+00:00,22.31,23.09,21.58,22.3,663,0,138813
2023-01-24T00:00:00+00:00,22.46,22.85,21.87,22.39,775,0,114613
2023-01-25T00:00:00+00:00,22.21,23.99,22.07,23.47,1586,0,273584
2023-01-26T00:00:00+00:00,23.81,23.96,22.89,23.54,702,0,129297
2023-01-27T00:00:00+00:00,23.75,23.88,22.01,22.16,999,0,236435
2023-01-30T00:00:00+00:00,21.91,22.16,21.11,21.32,853,0,197491
