time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,17.18,17.32,16.45,16.55,605,0,154888
2003-09-11T00:00:00+00:00,16.4,16.88,15.75,16.17,543,0,139060
2003-09-12T00:00:00+00:00,16.67,16.75,16.25,16.31,449,0,136007
2003-09-15T00:00:00+00:00,16.94,17.15,16.75,16.86,518,0,179564
2003-09-16T00:00:00+00:00,17.24,17.26,16.96,17.2,339,0,95644
2003-09-17T00:00:00+00:00,17.5,17.53,17.11,17.2,279,0,74505
2003-09-18T00:00:00+00:00,17.38,17.38,16.5,16.78,498,0,179453
2003-09-19T00:00:00+00:00,17.1,17.2,16.61,16.84,315,0,66758
2003-09-22T00:00:00+00:00,17.0,17.0,16.5,16.73,321,0,101335
2003-09-23T00:00:00+00:00,16.6,16.87,16.53,16.81,155,0,36690
2003-09-24T00:00:00+00:00,16.6,16.8,16.25,16.26,319,0,90792
2003-09-25T00:00:00+00:00,16.26,16.48,14.5,15.01,662,0,207228
2003-09-26T00:00:00+00:00,14.96,15.25,13.91,14.11,683,0,259217
2003-09-29T00:00:00+00:00,14.44,14.44,13.39,14.0,556,0,152680
2003-09-30T00:00:00+00:00,13.75,14.14,13.66,14.06,342,0,90446
2003-10-01T00:00:00+00:00,13.8,14.45,13.75,14.1,496,0,169733
2003-10-02T00:00:00+00:00,13.77,14.15,13.77,13.89,266,0,73818
2003-10-03T00:00:00+00:00,14.0,14.1,13.59,13.59,435,0,147883
2003-10-06T00:00:00+00:00,13.79,14.05,13.4,13.92,1029,0,258647
2003-10-07T00:00:00+00:00,14.0,14.26,13.75,14.25,338,0,142024
2003-10-08T00:00:00+00:00,14.45,14.66,14.09,14.25,439,0,133830
2003-10-09T00:00:00+00:00,14.5,14.55,13.56,13.83,384,0,134089
2003-10-10T00:00:00+00:00,14.25,14.25,13.65,13.65,356,0,246275
2003-10-13T00:00:00+00:00,14.25,14.34,13.88,14.16,554,0,136751
2003-10-14T00:00:00+00:00,14.15,15.12,13.94,15.12,581,0,175590
2003-10-15T00:00:00+00:00,15.18,15.72,15.13,15.52,478,0,112298
2003-10-16T00:00:00+00:00,15.53,15.71,15.5,15.5,301,0,62066
2003-10-17T00:00:00+00:00,15.59,15.7,15.25,15.65,255,0,56057
2003-10-20T00:00:00+00:00,15.36,15.76,14.99,15.37,583,0,114320
2003-10-21T00:00:00+00:00,15.25,15.35,15.1,15.1,319,0,53451
2003-10-22T00:00:00+00:00,15.1,15.2,14.91,14.92,367,0,62221
2003-10-23T00:00:00+00:00,14.71,15.09,14.3,14.82,253,0,51720
2003-10-24T00:00:00+00:00,14.42,14.87,14.42,14.56,146,0,33500
2003-10-27T00:00:00+00:00,14.56,15.33,14.5,15.29,197,0,43404
2003-10-28T00:00:00+00:00,15.48,15.68,15.11,15.68,206,0,37860
2003-10-29T00:00:00+00:00,15.57,15.67,15.36,15.48,234,0,50391
2003-10-30T00:00:00+00:00,15.5,15.71,15.25,15.61,298,0,85883
2003-10-31T00:00:00+00:00,15.65,15.74,15.57,15.63,122,0,22888
2003-11-03T00:00:00+00:00,15.74,16.19,15.52,16.08,227,0,61897
2003-11-04T00:00:00+00:00,16.1,16.2,15.62,16.2,172,0,66124
2003-11-05T00:00:00+00:00,16.18,16.2,15.88,16.17,173,0,36934
2003-11-06T00:00:00+00:00,16.89,17.89,16.85,17.89,970,0,298532
2003-11-07T00:00:00+00:00,17.9,19.1,17.67,19.01,769,0,230261
2003-11-10T00:00:00+00:00,18.77,18.98,17.77,18.09,482,0,98218
2003-11-11T00:00:00+00:00,17.97,18.1,16.65,18.0,557,0,152714
2003-11-12T00:00:00+00:00,18.1,18.27,17.55,18.07,318,0,78713
2003-11-13T00:00:00+00:00,18.05,18.3,17.73,18.3,200,0,54744
2003-11-14T00:00:00+00:00,18.32,18.4,17.76,18.1,155,0,31842
2003-11-17T00:00:00+00:00,17.83,18.14,17.25,17.93,262,0,57063
2003-11-18T00:00:00+00:00,17.89,18.55,17.89,18.5,416,0,125108
2003-11-19T00:00:00+00:00,18.2,18.6,18.04,18.35,216,0,51270
2003-11-20T00:00:00+00:00,18.45,18.78,18.3,18.62,204,0,57973
2003-11-21T00:00:00+00:00,18.52,18.8,18.52,18.59,120,0,24353
2003-11-24T00:00:00+00:00,18.43,18.88,18.43,18.74,300,0,84680
2003-11-25T00:00:00+00:00,18.52,19.09,18.52,18.95,357,0,87909
2003-11-26T00:00:00+00:00,19.09,19.16,18.72,19.07,185,0,37012
2003-11-28T00:00:00+00:00,19.09,19.3,18.85,19.3,101,0,21547
2003-12-01T00:00:00+00:00,19.13,19.84,19.13,19.83,249,0,72878
2003-12-02T00:00:00+00:00,19.89,19.89,19.1,19.68,337,0,91493
2003-12-03T00:00:00+00:00,20.06,20.1,19.57,20.02,542,0,163803
2003-12-04T00:00:00+00:00,19.85,20.44,19.77,20.4,472,0,119183
