time,open,high,low,close,tick_volume,spread,real_volume
2021-06-14T00:00:00+00:00,25.49,25.49,25.28,25.37,191,0,88731
2021-06-15T00:00:00+00:00,25.35,25.4,25.25,25.3,376,0,116037
2021-06-16T00:00:00+00:00,25.38,25.38,25.29,25.37,398,0,96925
2021-06-17T00:00:00+00:00,25.31,25.52,25.3,25.5,474,0,130490
2021-06-18T00:00:00+00:00,25.4,25.49,25.4,25.46,118,0,32344
2021-06-21T00:00:00+00:00,25.36,25.48,25.36,25.45,250,0,76222
2021-06-22T00:00:00+00:00,25.45,25.74,25.44,25.65,771,0,142375
2021-06-23T00:00:00+00:00,25.56,25.76,25.56,25.75,633,0,285567
2021-06-24T00:00:00+00:00,25.75,25.85,25.69,25.85,1200,0,188898
2021-06-25T00:00:00+00:00,25.8,25.85,25.57,25.65,472,0,85526
2021-06-28T00:00:00+00:00,25.71,25.77,25.66,25.77,212,0,44392
2021-06-29T00:00:00+00:00,25.75,25.9,25.72,25.84,761,0,179213
2021-06-30T00:00:00+00:00,25.85,26.0,25.68,25.8,2026,0,424190
2021-07-01T00:00:00+00:00,25.81,25.83,25.7,25.72,349,0,253649
2021-07-02T00:00:00+00:00,25.79,25.83,25.72,25.77,106,0,28596
2021-07-06T00:00:00+00:00,25.79,25.92,25.77,25.88,130,0,24304
2021-07-07T00:00:00+00:00,25.81,26.07,25.79,26.04,262,0,50711
2021-07-08T00:00:00+00:00,25.84,26.03,25.68,25.71,168,0,67232
2021-07-09T00:00:00+00:00,25.83,25.85,25.65,25.75,299,0,55192
2021-07-12T00:00:00+00:00,25.78,25.83,25.73,25.78,222,0,63173
2021-07-13T00:00:00+00:00,25.86,25.9,25.77,25.78,671,0,297764
2021-07-14T00:00:00+00:00,25.86,25.87,25.75,25.83,187,0,58573
2021-07-15T00:00:00+00:00,25.89,25.94,25.82,25.84,157,0,34650
2021-07-16T00:00:00+00:00,25.93,26.01,25.85,25.91,613,0,101165
2021-07-19T00:00:00+00:00,25.89,25.89,25.71,25.86,93,0,27306
2021-07-20T00:00:00+00:00,25.85,25.95,25.79,25.91,68,0,31053
2021-07-21T00:00:00+00:00,25.93,25.93,25.85,25.86,63,0,20526
2021-07-22T00:00:00+00:00,25.85,25.96,25.53,25.68,192,0,76772
2021-07-23T00:00:00+00:00,25.68,25.74,25.47,25.5,178,0,38650
2021-07-26T00:00:00+00:00,25.59,25.67,25.55,25.65,169,0,32089
2021-07-27T00:00:00+00:00,25.53,25.64,25.41,25.64,140,0,61599
2021-07-28T00:00:00+00:00,25.63,25.74,25.5,25.67,106,0,58251
2021-07-29T00:00:00+00:00,25.8,25.84,25.71,25.74,69,0,23631
2021-07-30T00:00:00+00:00,25.79,25.79,25.68,25.72,78,0,15867
2021-08-02T00:00:00+00:00,25.81,25.9,25.77,25.85,35,0,7035
2021-08-03T00:00:00+00:00,25.9,25.98,25.88,25.98,106,0,25921
2021-08-04T00:00:00+00:00,25.97,26.23,25.96,26.23,133,0,46241
2021-08-05T00:00:00+00:00,26.23,26.24,26.19,26.22,70,0,17378
2021-08-06T00:00:00+00:00,26.09,26.2,26.02,26.05,82,0,23306
2021-08-09T00:00:00+00:00,26.12,26.12,25.99,26.0,88,0,34103
2021-08-10T00:00:00+00:00,26.01,26.04,25.81,25.99,141,0,34641
2021-08-11T00:00:00+00:00,26.1,26.1,26.0,26.02,34,0,9912
2021-08-12T00:00:00+00:00,26.2,26.2,25.96,26.0,52,0,16103
2021-08-13T00:00:00+00:00,26.18,26.18,26.0,26.14,32,0,23811
2021-08-16T00:00:00+00:00,26.14,26.43,26.1,26.31,282,0,46986
2021-08-17T00:00:00+00:00,26.18,26.3,26.07,26.2,109,0,20284
2021-08-18T00:00:00+00:00,26.25,26.25,26.02,26.04,105,0,13955
2021-08-19T00:00:00+00:00,26.07,26.07,25.97,26.0,41,0,9446
2021-08-20T00:00:00+00:00,26.14,26.19,26.1,26.15,35,0,6011
2021-08-23T00:00:00+00:00,26.15,26.21,26.08,26.12,45,0,11361
2021-08-24T00:00:00+00:00,26.18,26.21,26.03,26.08,134,0,31338
2021-08-25T00:00:00+00:00,26.15,26.15,26.01,26.05,84,0,17114
2021-08-26T00:00:00+00:00,26.06,26.06,25.99,26.03,36,0,10113
2021-08-27T00:00:00+00:00,26.01,26.18,25.99,26.14,42,0,5097
2021-08-30T00:00:00+00:00,26.13,26.14,26.03,26.03,51,0,10655
2021-08-31T00:00:00+00:00,26.07,26.14,26.0,26.02,109,0,23077
2021-09-01T00:00:00+00:00,26.15,26.23,26.11,26.17,77,0,14499
2021-09-02T00:00:00+00:00,26.22,26.5,26.15,26.45,180,0,38781
2021-09-03T00:00:00+00:00,26.19,26.39,26.18,26.26,38,0,7030
2021-09-07T00:00:00+00:00,26.33,26.33,26.25,26.26,32,0,8183
2021-09-08T00:00:00+00:00,26.36,26.36,26.14,26.22,179,0,49888
2021-09-09T00:00:00+00:00,26.19,26.22,26.09,26.13,84,0,12681
2021-09-10T00:00:00+00:00,26.14,26.28,26.14,26.19,64,0,10894
2021-09-13T00:00:00+00:00,26.2,26.28,26.13,26.19,66,0,20763
2021-09-14T00:00:00+00:00,25.84,25.99,25.8,25.9,112,0,23818
2021-09-15T00:00:00+00:00,25.88,26.15,25.87,26.11,165,0,38058
2021-09-16T00:00:00+00:00,26.01,26.38,25.92,26.38,52,0,7715
2021-09-17T00:00:00+00:00,26.32,26.45,26.3,26.44,59,0,14485
2021-09-20T00:00:00+00:00,26.43,26.43,26.19,26.29,38,0,6114
2021-09-21T00:00:00+00:00,26.33,26.4,26.22,26.36,77,0,10862
2021-09-22T00:00:00+00:00,26.38,26.67,26.37,26.67,156,0,24382
2021-09-23T00:00:00+00:00,26.64,26.74,26.36,26.55,76,0,12132
2021-09-24T00:00:00+00:00,26.41,26.53,26.34,26.39,139,0,30465
2021-09-27T00:00:00+00:00,26.4,26.42,26.13,26.23,194,0,43561
2021-09-28T00:00:00+00:00,26.05,26.05,25.68,25.97,150,0,33782
2021-09-29T00:00:00+00:00,25.93,26.25,25.93,26.22,68,0,15157
2021-09-30T00:00:00+00:00,26.24,26.36,26.04,26.08,264,0,79398
2021-10-01T00:00:00+00:00,26.1,26.25,26.06,26.18,150,0,21119
2021-10-04T00:00:00+00:00,25.95,26.12,25.75,25.81,129,0,71209
2021-10-05T00:00:00+00:00,25.88,25.99,25.86,25.93,301,0,39608
2021-10-06T00:00:00+00:00,25.84,25.85,25.64,25.75,247,0,39703
2021-10-07T00:00:00+00:00,25.81,25.87,25.65,25.68,61,0,15122
2021-10-08T00:00:00+00:00,25.66,25.71,25.52,25.6,57,0,17940
2021-10-11T00:00:00+00:00,25.61,25.7,25.58,25.58,72,0,14794
2021-10-12T00:00:00+00:00,25.66,25.69,25.59,25.66,146,0,31891
2021-10-13T00:00:00+00:00,25.67,25.79,25.6,25.74,262,0,42105
2021-10-14T00:00:00+00:00,25.9,25.9,25.74,25.81,179,0,39791
2021-10-15T00:00:00+00:00,25.78,25.89,25.74,25.89,161,0,27270
2021-10-18T00:00:00+00:00,25.88,25.91,25.75,25.87,80,0,16752
2021-10-19T00:00:00+00:00,25.85,25.91,25.75,25.82,125,0,37943
2021-10-20T00:00:00+00:00,25.82,25.99,25.77,25.99,80,0,16556
2021-10-21T00:00:00+00:00,25.99,26.02,25.86,26.01,74,0,18703
2021-10-22T00:00:00+00:00,25.95,26.03,25.9,25.92,107,0,26432
2021-10-25T00:00:00+00:00,25.95,26.1,25.95,26.02,74,0,16048
2021-10-26T00:00:00+00:00,26.08,26.15,25.99,26.05,49,0,11356
2021-10-27T00:00:00+00:00,26.0,26.12,25.99,26.02,34,0,4385
2021-10-28T00:00:00+00:00,26.11,26.11,25.93,25.99,42,0,7434
2021-10-29T00:00:00+00:00,26.0,26.0,25.9,25.95,76,0,13118
2021-11-01T00:00:00+00:00,25.96,26.14,25.91,26.02,98,0,12675
2021-11-02T00:00:00+00:00,26.01,26.03,25.89,25.89,77,0,12698
2021-11-03T00:00:00+00:00,25.93,25.96,25.8,25.81,70,0,17306
2021-11-04T00:00:00+00:00,25.9,25.96,25.85,25.85,48,0,8852
2021-11-05T00:00:00+00:00,25.97,26.0,25.93,25.94,67,0,12391
2021-11-08T00:00:00+00:00,25.98,26.04,25.96,26.01,58,0,9411
2021-11-09T00:00:00+00:00,26.04,26.09,25.9,25.94,57,0,11450
2021-11-10T00:00:00+00:00,25.93,25.94,25.61,25.83,113,0,23586
2021-11-11T00:00:00+00:00,25.91,25.91,25.73,25.79,79,0,16256
