time,open,high,low,close,tick_volume,spread,real_volume
2017-08-21T00:00:00+00:00,24.89,25.0,24.83,25.0,188,0,119516
2017-08-22T00:00:00+00:00,25.0,25.04,24.95,25.0,538,0,148066
2017-08-23T00:00:00+00:00,25.0,25.08,24.97,25.06,163,0,51536
2017-08-24T00:00:00+00:00,25.03,25.1,25.01,25.03,93,0,44050
2017-08-25T00:00:00+00:00,25.07,25.07,25.01,25.05,98,0,52611
2017-08-28T00:00:00+00:00,25.01,25.08,24.97,25.08,187,0,75742
2017-08-29T00:00:00+00:00,25.03,25.27,25.02,25.12,243,0,126204
2017-08-30T00:00:00+00:00,25.18,25.2,25.12,25.18,97,0,56546
2017-08-31T00:00:00+00:00,25.25,25.32,25.18,25.3,163,0,67921
2017-09-01T00:00:00+00:00,25.2,25.29,25.2,25.21,74,0,26008
2017-09-05T00:00:00+00:00,25.21,25.27,25.16,25.24,343,0,143423
2017-09-06T00:00:00+00:00,25.15,25.24,25.15,25.23,185,0,96934
2017-09-07T00:00:00+00:00,25.26,25.3,25.08,25.16,207,0,81432
2017-09-08T00:00:00+00:00,25.13,25.2,25.07,25.1,575,0,115840
2017-09-11T00:00:00+00:00,25.18,25.27,25.14,25.21,135,0,31753
2017-09-12T00:00:00+00:00,25.2,25.49,25.2,25.49,261,0,65548
2017-09-13T00:00:00+00:00,25.47,25.48,25.35,25.37,113,0,31576
2017-09-14T00:00:00+00:00,25.37,25.45,25.14,25.14,286,0,110563
2017-09-15T00:00:00+00:00,25.16,25.21,25.12,25.14,156,0,52765
2017-09-18T00:00:00+00:00,25.2,25.23,25.07,25.19,490,0,133376
2017-09-19T00:00:00+00:00,25.21,25.21,25.11,25.14,152,0,31649
2017-09-20T00:00:00+00:00,25.15,25.21,25.14,25.16,110,0,28354
2017-09-21T00:00:00+00:00,25.17,25.25,25.14,25.15,342,0,92309
2017-09-22T00:00:00+00:00,25.1,25.15,25.08,25.13,152,0,47403
2017-09-25T00:00:00+00:00,25.16,25.17,25.07,25.1,163,0,41232
2017-09-26T00:00:00+00:00,25.1,25.1,25.03,25.1,315,0,79838
2017-09-27T00:00:00+00:00,25.07,25.1,24.98,25.08,199,0,53802
2017-09-28T00:00:00+00:00,25.08,25.17,25.08,25.15,156,0,32834
2017-09-29T00:00:00+00:00,25.13,25.19,25.1,25.19,181,0,34987
2017-10-02T00:00:00+00:00,25.19,25.29,25.19,25.22,155,0,42165
2017-10-03T00:00:00+00:00,25.27,25.3,25.23,25.28,134,0,28998
2017-10-04T00:00:00+00:00,25.3,25.32,25.23,25.32,142,0,31509
2017-10-05T00:00:00+00:00,25.34,25.39,25.32,25.37,177,0,36100
2017-10-06T00:00:00+00:00,25.36,25.36,25.17,25.29,100,0,22565
2017-10-09T00:00:00+00:00,25.34,25.35,25.07,25.1,692,0,134102
2017-10-10T00:00:00+00:00,25.1,25.16,25.09,25.1,386,0,107997
2017-10-11T00:00:00+00:00,25.17,25.2,25.12,25.2,257,0,45578
2017-10-12T00:00:00+00:00,25.22,25.3,25.22,25.28,265,0,39106
2017-10-13T00:00:00+00:00,25.28,25.32,25.27,25.3,284,0,45163
2017-10-16T00:00:00+00:00,25.29,25.35,25.23,25.31,356,0,69032
2017-10-17T00:00:00+00:00,25.32,25.35,25.3,25.35,270,0,49316
2017-10-18T00:00:00+00:00,25.34,25.34,25.24,25.3,313,0,41908
2017-10-19T00:00:00+00:00,25.35,25.38,25.3,25.38,360,0,52581
2017-10-20T00:00:00+00:00,25.34,25.34,25.16,25.23,454,0,82643
2017-10-23T00:00:00+00:00,25.23,25.26,25.19,25.25,116,0,25032
2017-10-24T00:00:00+00:00,25.21,25.34,25.21,25.33,133,0,51246
2017-10-25T00:00:00+00:00,25.25,25.25,25.18,25.23,202,0,43334
2017-10-26T00:00:00+00:00,25.27,25.27,25.2,25.2,98,0,26834
2017-10-27T00:00:00+00:00,25.24,25.28,25.15,25.27,80,0,25402
2017-10-30T00:00:00+00:00,25.25,25.28,25.21,25.27,33,0,7491
2017-10-31T00:00:00+00:00,25.29,25.34,25.23,25.23,98,0,18766
2017-11-01T00:00:00+00:00,25.35,25.35,25.25,25.3,42,0,10603
2017-11-02T00:00:00+00:00,25.35,25.36,25.31,25.34,52,0,14917
2017-11-03T00:00:00+00:00,25.32,25.34,25.31,25.34,65,0,16418
2017-11-06T00:00:00+00:00,25.35,25.37,25.3,25.32,42,0,11581
2017-11-07T00:00:00+00:00,25.33,25.34,25.27,25.34,121,0,38269
2017-11-08T00:00:00+00:00,25.32,25.39,25.27,25.31,56,0,22811
2017-11-09T00:00:00+00:00,25.39,25.42,25.27,25.32,52,0,10439
2017-11-10T00:00:00+00:00,25.36,25.38,25.23,25.26,28,0,7328
2017-11-13T00:00:00+00:00,25.3,25.3,25.22,25.28,73,0,17150
2017-11-14T00:00:00+00:00,25.3,25.36,25.24,25.3,29,0,10751
2017-11-15T00:00:00+00:00,25.32,25.32,25.24,25.28,123,0,28585
2017-11-16T00:00:00+00:00,25.28,25.35,25.25,25.33,63,0,22201
2017-11-17T00:00:00+00:00,25.33,25.46,25.32,25.46,49,0,20170
2017-11-20T00:00:00+00:00,25.47,25.56,25.44,25.51,124,0,49607
2017-11-21T00:00:00+00:00,25.48,25.59,25.39,25.43,89,0,26942
2017-11-22T00:00:00+00:00,25.46,25.54,25.45,25.5,53,0,10095
2017-11-24T00:00:00+00:00,25.5,25.58,25.45,25.58,9,0,3802
2017-11-27T00:00:00+00:00,25.55,25.59,25.45,25.51,147,0,31449
2017-11-28T00:00:00+00:00,25.49,25.6,25.42,25.5,139,0,24469
2017-11-29T00:00:00+00:00,25.53,25.69,25.42,25.68,193,0,35121
2017-11-30T00:00:00+00:00,25.7,25.98,25.54,25.68,205,0,40987
2017-12-01T00:00:00+00:00,25.74,25.75,25.46,25.57,209,0,39277
2017-12-04T00:00:00+00:00,25.59,25.73,25.54,25.72,206,0,68151
2017-12-05T00:00:00+00:00,25.68,25.74,25.56,25.57,60,0,28011
2017-12-06T00:00:00+00:00,25.67,25.75,25.57,25.59,146,0,45358
2017-12-07T00:00:00+00:00,25.57,25.71,25.57,25.68,90,0,31261
2017-12-08T00:00:00+00:00,25.73,25.89,25.68,25.8,89,0,34106
2017-12-11T00:00:00+00:00,25.8,25.85,25.57,25.6,154,0,34159
2017-12-12T00:00:00+00:00,25.67,25.67,25.57,25.6,60,0,13693
2017-12-13T00:00:00+00:00,25.66,25.66,25.45,25.62,92,0,39598
2017-12-14T00:00:00+00:00,25.47,25.7,25.23,25.35,31,0,11569
2017-12-15T00:00:00+00:00,25.35,25.36,25.32,25.33,64,0,21594
2017-12-18T00:00:00+00:00,25.35,25.35,25.25,25.31,98,0,115609
2017-12-19T00:00:00+00:00,25.29,25.34,25.25,25.33,249,0,49897
2017-12-20T00:00:00+00:00,25.29,25.33,25.23,25.23,104,0,29182
2017-12-21T00:00:00+00:00,25.25,25.26,25.16,25.2,79,0,24717
2017-12-22T00:00:00+00:00,25.17,25.25,25.14,25.21,198,0,50547
2017-12-26T00:00:00+00:00,25.23,25.26,25.19,25.2,215,0,63357
2017-12-27T00:00:00+00:00,25.24,25.42,25.22,25.42,168,0,44784
2017-12-28T00:00:00+00:00,25.41,25.56,25.36,25.41,228,0,82419
2017-12-29T00:00:00+00:00,25.51,25.65,25.4,25.43,425,0,89799
2018-01-02T00:00:00+00:00,25.44,25.44,25.06,25.09,156,0,41368
2018-01-03T00:00:00+00:00,25.1,25.12,24.92,25.04,335,0,76153
2018-01-04T00:00:00+00:00,25.05,25.24,25.05,25.15,102,0,35786
2018-01-05T00:00:00+00:00,25.22,25.22,25.08,25.13,66,0,26243
2018-01-08T00:00:00+00:00,25.14,25.43,25.11,25.38,457,0,106270
2018-01-09T00:00:00+00:00,25.44,25.45,25.12,25.18,472,0,103752
2018-01-10T00:00:00+00:00,25.17,25.45,25.17,25.45,165,0,61150
2018-01-11T00:00:00+00:00,25.25,25.46,25.17,25.46,170,0,41345
2018-01-12T00:00:00+00:00,25.46,25.52,25.41,25.52,260,0,44319
2018-01-16T00:00:00+00:00,25.46,25.54,25.33,25.48,252,0,40293
2018-01-17T00:00:00+00:00,25.45,25.52,25.37,25.48,234,0,43396
2018-01-18T00:00:00+00:00,25.38,25.47,25.23,25.42,265,0,44439
2018-01-19T00:00:00+00:00,25.34,25.82,25.27,25.81,922,0,292493
2018-01-22T00:00:00+00:00,25.55,25.7,25.52,25.68,206,0,39019
2018-01-23T00:00:00+00:00,25.66,25.7,25.54,25.64,55,0,18054
2018-01-24T00:00:00+00:00,25.55,25.6,25.35,25.35,85,0,29728
2018-01-25T00:00:00+00:00,25.3,25.42,25.19,25.3,117,0,27957
2018-01-26T00:00:00+00:00,25.23,25.6,25.2,25.22,129,0,44603
2018-01-29T00:00:00+00:00,25.15,25.21,24.72,24.72,465,0,159273
2018-01-30T00:00:00+00:00,24.93,24.93,24.2,24.21,240,0,81347
2018-01-31T00:00:00+00:00,24.45,24.6,24.31,24.48,206,0,37762
2018-02-01T00:00:00+00:00,24.52,24.62,24.34,24.39,124,0,32545
2018-02-02T00:00:00+00:00,24.23,24.26,24.03,24.06,176,0,62571
2018-02-05T00:00:00+00:00,23.95,24.11,23.75,23.77,158,0,44956
2018-02-06T00:00:00+00:00,23.85,24.13,23.85,23.99,326,0,80721
2018-02-07T00:00:00+00:00,24.17,24.17,24.02,24.11,112,0,30480
2018-02-08T00:00:00+00:00,24.16,24.16,23.92,23.97,77,0,21767
2018-02-09T00:00:00+00:00,24.0,24.1,23.69,24.07,110,0,26817
2018-02-12T00:00:00+00:00,24.18,24.23,24.02,24.19,272,0,43921
2018-02-13T00:00:00+00:00,24.35,24.4,24.13,24.13,37,0,12930
2018-02-14T00:00:00+00:00,24.2,24.2,23.82,23.83,84,0,18280
2018-02-15T00:00:00+00:00,23.85,23.95,23.7,23.78,74,0,35089
2018-02-16T00:00:00+00:00,23.86,23.91,23.78,23.83,59,0,14242
2018-02-20T00:00:00+00:00,23.83,23.98,23.78,23.94,308,0,71428
2018-02-21T00:00:00+00:00,24.02,24.12,23.98,24.0,166,0,57339
2018-02-22T00:00:00+00:00,24.08,24.08,23.97,24.0,112,0,32893
2018-02-23T00:00:00+00:00,24.19,24.3,24.19,24.28,29,0,7316
2018-02-26T00:00:00+00:00,24.28,24.41,23.97,23.97,342,0,39834
2018-02-27T00:00:00+00:00,24.14,24.18,23.94,24.13,97,0,13427
2018-02-28T00:00:00+00:00,24.02,24.19,24.02,24.19,107,0,29158
2018-03-01T00:00:00+00:00,24.27,24.3,24.19,24.21,136,0,65277
2018-03-02T00:00:00+00:00,24.26,24.46,24.22,24.42,330,0,73074
2018-03-05T00:00:00+00:00,24.35,24.53,24.35,24.53,142,0,33695
2018-03-06T00:00:00+00:00,24.68,24.74,24.6,24.65,124,0,19928
2018-03-07T00:00:00+00:00,24.73,24.79,24.66,24.66,51,0,11073
2018-03-08T00:00:00+00:00,24.79,24.84,24.75,24.81,158,0,33507
2018-03-09T00:00:00+00:00,24.88,25.03,24.81,24.81,73,0,10000
2018-03-12T00:00:00+00:00,24.89,24.95,24.75,24.85,59,0,16041
2018-03-13T00:00:00+00:00,24.88,24.9,24.74,24.78,73,0,32303
2018-03-14T00:00:00+00:00,24.58,24.72,24.55,24.62,111,0,23959
2018-03-15T00:00:00+00:00,24.57,24.6,24.52,24.54,84,0,22458
2018-03-16T00:00:00+00:00,24.56,24.67,24.55,24.63,89,0,16457
2018-03-19T00:00:00+00:00,24.66,24.69,24.49,24.55,209,0,40809
2018-03-20T00:00:00+00:00,24.61,24.75,24.51,24.75,82,0,26812
2018-03-21T00:00:00+00:00,24.53,24.56,24.41,24.53,42,0,12556
2018-03-22T00:00:00+00:00,24.49,24.5,24.42,24.42,64,0,18250
2018-03-23T00:00:00+00:00,24.45,24.48,24.4,24.45,25,0,9642
2018-03-26T00:00:00+00:00,24.47,24.48,24.33,24.46,65,0,13505
2018-03-27T00:00:00+00:00,24.39,24.4,24.3,24.31,47,0,14478
2018-03-28T00:00:00+00:00,24.36,24.41,24.27,24.4,68,0,14218
2018-03-29T00:00:00+00:00,24.38,24.51,24.37,24.51,61,0,11681
2018-04-02T00:00:00+00:00,24.41,24.53,24.21,24.32,65,0,11179
2018-04-03T00:00:00+00:00,24.31,24.42,24.17,24.24,99,0,24596
2018-04-04T00:00:00+00:00,24.29,24.32,24.21,24.28,30,0,10317
2018-04-05T00:00:00+00:00,24.33,24.41,24.27,24.33,45,0,12661
2018-04-06T00:00:00+00:00,24.34,24.35,24.18,24.25,38,0,10091
2018-04-09T00:00:00+00:00,24.13,24.27,24.11,24.2,69,0,16439
2018-04-10T00:00:00+00:00,24.2,24.26,24.11,24.11,77,0,16806
2018-04-11T00:00:00+00:00,24.11,24.34,24.11,24.33,29,0,13506
2018-04-12T00:00:00+00:00,24.35,24.46,24.14,24.43,53,0,8893
2018-04-13T00:00:00+00:00,24.57,24.57,24.19,24.29,53,0,14537
2018-04-16T00:00:00+00:00,24.35,24.42,24.28,24.33,73,0,11716
2018-04-17T00:00:00+00:00,24.47,24.47,24.36,24.45,81,0,13504
2018-04-18T00:00:00+00:00,24.43,24.47,24.16,24.24,108,0,20647
2018-04-19T00:00:00+00:00,24.24,24.27,24.15,24.23,65,0,14527
2018-04-20T00:00:00+00:00,24.28,24.33,24.23,24.31,42,0,10469
2018-04-23T00:00:00+00:00,24.36,24.37,24.02,24.14,97,0,22940
2018-04-24T00:00:00+00:00,24.17,24.21,24.01,24.08,50,0,18970
2018-04-25T00:00:00+00:00,24.09,24.09,23.78,23.95,33,0,13942
2018-04-26T00:00:00+00:00,24.16,24.17,23.84,24.03,146,0,22199
