time,open,high,low,close,tick_volume,spread,real_volume
2011-11-01T00:00:00+00:00,10.0,10.0,8.7,9.0,10,0,1600
2011-11-02T00:00:00+00:00,8.9,9.25,8.9,9.07,84,0,46325
2011-11-03T00:00:00+00:00,9.45,9.45,9.02,9.35,46,0,11783
2011-11-04T00:00:00+00:00,9.35,9.5,9.03,9.15,26,0,9245
2011-11-07T00:00:00+00:00,9.36,9.4,9.05,9.19,57,0,18305
2011-11-08T00:00:00+00:00,9.15,9.3,9.15,9.25,24,0,17902
2011-11-09T00:00:00+00:00,9.15,9.27,9.1,9.27,4,0,1406
2011-11-10T00:00:00+00:00,9.15,9.15,9.15,9.15,2,0,1000
2011-11-11T00:00:00+00:00,9.15,9.44,9.04,9.39,34,0,11237
2011-11-14T00:00:00+00:00,9.25,9.49,9.25,9.41,12,0,1942
2011-11-15T00:00:00+00:00,9.42,9.42,9.16,9.4,41,0,8650
2011-11-16T00:00:00+00:00,9.35,9.4,9.09,9.24,30,0,5392
2011-11-17T00:00:00+00:00,9.33,9.33,9.08,9.25,11,0,1600
2011-11-18T00:00:00+00:00,9.25,9.25,9.08,9.25,9,0,1342
2011-11-21T00:00:00+00:00,9.34,9.35,9.26,9.3,6,0,701
2011-11-22T00:00:00+00:00,9.11,9.25,9.11,9.15,27,0,17235
2011-11-25T00:00:00+00:00,9.1,9.1,8.91,8.92,21,0,4600
2011-11-28T00:00:00+00:00,8.9,8.9,8.13,8.5,81,0,19002
2011-11-29T00:00:00+00:00,8.55,8.67,8.5,8.58,8,0,2060
2011-11-30T00:00:00+00:00,8.65,8.65,8.25,8.6,15,0,3981
2011-12-01T00:00:00+00:00,8.4,8.71,7.86,8.71,35,0,23960
2011-12-02T00:00:00+00:00,8.37,8.38,8.0,8.15,35,0,7802
2011-12-05T00:00:00+00:00,7.9,8.0,7.2,7.85,206,0,50941
2011-12-06T00:00:00+00:00,5.43,8.74,5.43,8.02,160,0,42742
2011-12-07T00:00:00+00:00,8.05,8.26,7.98,8.17,60,0,15913
2011-12-08T00:00:00+00:00,8.25,8.27,8.0,8.25,36,0,24651
2011-12-09T00:00:00+00:00,8.07,8.07,7.82,8.0,32,0,15804
2011-12-12T00:00:00+00:00,7.76,8.1,7.7,8.1,118,0,21170
2011-12-13T00:00:00+00:00,8.13,8.54,7.95,8.0,214,0,48223
2011-12-14T00:00:00+00:00,8.0,8.01,6.47,7.52,495,0,121928
2011-12-15T00:00:00+00:00,8.26,9.32,8.15,9.09,7273,0,1649844
2011-12-16T00:00:00+00:00,8.8,9.3,8.44,9.3,958,0,167008
2011-12-19T00:00:00+00:00,9.55,10.1,8.8,9.85,508,0,105531
2011-12-20T00:00:00+00:00,9.79,10.5,9.5,9.5,482,0,123347
2011-12-21T00:00:00+00:00,9.06,9.89,9.02,9.86,160,0,24315
2011-12-22T00:00:00+00:00,9.93,9.97,9.67,9.88,74,0,14650
2011-12-23T00:00:00+00:00,9.4,10.08,9.4,9.95,123,0,23960
2011-12-27T00:00:00+00:00,9.5,10.0,9.5,9.85,86,0,13615
2011-12-28T00:00:00+00:00,9.61,9.85,9.51,9.54,152,0,30990
2011-12-29T00:00:00+00:00,9.65,9.85,9.6,9.83,275,0,72798
2011-12-30T00:00:00+00:00,9.85,9.95,9.8,9.95,52,0,47196
2012-01-03T00:00:00+00:00,9.8,9.97,9.71,9.95,290,0,66450
2012-01-04T00:00:00+00:00,9.71,10.05,9.71,9.74,285,0,46728
2012-01-05T00:00:00+00:00,9.38,9.95,9.38,9.79,283,0,47810
2012-01-06T00:00:00+00:00,10.2,11.81,10.0,11.42,1823,0,460688
2012-01-09T00:00:00+00:00,11.02,11.3,10.82,11.3,307,0,57649
2012-01-10T00:00:00+00:00,10.9,11.56,10.8,11.47,240,0,48528
2012-01-11T00:00:00+00:00,11.21,11.5,11.21,11.33,157,0,27448
2012-01-12T00:00:00+00:00,11.5,11.75,11.31,11.41,368,0,88128
