time,open,high,low,close,tick_volume,spread,real_volume
2019-07-10T00:00:00+00:00,25.1,25.16,25.04,25.11,64,0,1464480000
2019-07-11T00:00:00+00:00,25.05,25.11,24.99,25.11,40,0,3852780000
2019-07-12T00:00:00+00:00,25.15,25.22,25.15,25.22,5,0,2296320000
2019-07-15T00:00:00+00:00,25.16,25.2,25.16,25.17,14,0,2900070000
2019-07-16T00:00:00+00:00,25.03,25.13,25.03,25.09,3,0,1668190000
2019-07-17T00:00:00+00:00,25.13,25.13,24.94,24.94,58,0,980280000
2019-07-18T00:00:00+00:00,25.06,25.07,24.97,25.07,7,0,183610000
2019-07-19T00:00:00+00:00,25.12,25.18,25.11,25.11,20,0,1069050000
2019-07-22T00:00:00+00:00,25.04,25.11,25.04,25.11,3,0,263770000
2019-07-23T00:00:00+00:00,25.15,25.22,25.15,25.22,9,0,5080120000
2019-07-24T00:00:00+00:00,25.24,25.32,25.24,25.32,9,0,286210000
2019-07-25T00:00:00+00:00,25.29,25.32,25.24,25.24,8,0,2557160000
2019-07-26T00:00:00+00:00,25.38,25.4,25.38,25.4,7,0,515740000
2019-07-29T00:00:00+00:00,25.33,25.39,25.33,25.33,10,0,373860000
2019-07-30T00:00:00+00:00,25.16,25.24,25.16,25.24,8,0,574750000
2019-07-31T00:00:00+00:00,25.17,25.28,25.0,25.0,5,0,252080000
2019-08-01T00:00:00+00:00,25.03,25.11,24.78,24.78,8,0,300730000
2019-08-02T00:00:00+00:00,24.7,24.7,24.54,24.69,66,0,498180000
2019-08-05T00:00:00+00:00,24.29,24.29,24.19,24.24,7,0,427250000
2019-08-06T00:00:00+00:00,24.38,24.43,24.2,24.34,32,0,430020000
2019-08-07T00:00:00+00:00,24.32,24.32,24.1,24.32,14,0,45490000
2019-08-08T00:00:00+00:00,24.35,24.53,24.35,24.53,5,0,100120000
2019-08-09T00:00:00+00:00,24.39,24.4,24.28,24.4,21,0,130290000
2019-08-12T00:00:00+00:00,24.24,24.24,24.07,24.16,12,0,18950000
2019-08-13T00:00:00+00:00,24.42,24.45,24.37,24.37,29,0,36770000
2019-08-14T00:00:00+00:00,24.15,24.17,24.02,24.11,53,0,215740000
2019-08-15T00:00:00+00:00,24.11,24.12,24.03,24.08,15,0,106440000
2019-08-16T00:00:00+00:00,24.22,24.22,24.22,24.22,6,0,74870000
2019-08-19T00:00:00+00:00,24.29,24.46,24.29,24.35,30,0,46210000
2019-08-20T00:00:00+00:00,24.35,24.37,24.35,24.36,11,0,155240000
2019-08-21T00:00:00+00:00,24.35,24.36,24.29,24.36,3,0,5000000
