time,open,high,low,close,tick_volume,spread,real_volume
2016-09-23T00:00:00+00:00,14.18,16.8,14.11,16.1,14783,0,3113259
2016-09-26T00:00:00+00:00,15.55,17.4,15.5,16.48,3521,0,939263
2016-09-27T00:00:00+00:00,16.67,18.36,16.39,18.14,1744,0,487963
2016-09-28T00:00:00+00:00,18.89,19.97,18.6,19.17,1758,0,440143
2016-09-29T00:00:00+00:00,19.5,19.7,17.22,17.38,1452,0,292570
2016-09-30T00:00:00+00:00,17.51,17.69,16.38,16.48,1600,0,312429
2016-10-03T00:00:00+00:00,16.59,17.9,15.61,17.88,2055,0,517718
2016-10-04T00:00:00+00:00,17.76,18.95,17.0,17.28,1124,0,282760
2016-10-05T00:00:00+00:00,17.83,18.22,16.5,16.59,645,0,157608
2016-10-06T00:00:00+00:00,16.62,17.13,15.83,16.1,924,0,220795
2016-10-07T00:00:00+00:00,16.0,16.54,15.08,15.78,727,0,148995
2016-10-10T00:00:00+00:00,15.53,15.74,14.5,15.25,1092,0,252926
2016-10-11T00:00:00+00:00,15.25,15.66,14.51,15.05,757,0,169232
2016-10-12T00:00:00+00:00,15.26,15.55,14.26,14.53,454,0,112235
2016-10-13T00:00:00+00:00,14.23,14.33,13.01,14.01,1295,0,270956
2016-10-14T00:00:00+00:00,14.09,14.5,13.63,13.9,490,0,87361
2016-10-17T00:00:00+00:00,13.84,14.47,13.48,14.43,151,0,25389
2016-10-18T00:00:00+00:00,14.77,15.87,14.68,15.19,981,0,234116
2016-10-19T00:00:00+00:00,15.32,15.33,14.74,14.75,409,0,79084
2016-10-20T00:00:00+00:00,15.19,15.19,14.83,14.96,153,0,24831
2016-10-21T00:00:00+00:00,14.83,15.76,14.74,15.71,633,0,156109
2016-10-24T00:00:00+00:00,15.9,16.18,14.6,15.2,255,0,70950
2016-10-25T00:00:00+00:00,15.25,15.77,14.85,15.73,289,0,97846
2016-10-26T00:00:00+00:00,15.74,16.28,15.34,15.79,434,0,161826
2016-10-27T00:00:00+00:00,16.08,16.12,14.75,14.87,374,0,205466
2016-10-28T00:00:00+00:00,14.75,15.0,14.18,14.58,346,0,52746
2016-10-31T00:00:00+00:00,14.11,14.22,13.15,13.62,250,0,43852
2016-11-01T00:00:00+00:00,13.15,13.53,12.55,12.7,328,0,67920
2016-11-02T00:00:00+00:00,12.55,12.56,12.01,12.09,122,0,27253
2016-11-03T00:00:00+00:00,12.41,12.5,11.88,12.08,86,0,12868
2016-11-04T00:00:00+00:00,11.25,12.75,11.07,11.71,415,0,97603
2016-11-07T00:00:00+00:00,12.09,12.38,11.1,11.45,637,0,161369
2016-11-08T00:00:00+00:00,12.03,12.16,10.37,10.37,820,0,157626
2016-11-09T00:00:00+00:00,11.71,13.42,11.09,13.25,708,0,141056
2016-11-10T00:00:00+00:00,13.9,14.9,13.68,14.09,571,0,121746
2016-11-11T00:00:00+00:00,14.01,15.39,13.83,15.18,369,0,73975
2016-11-14T00:00:00+00:00,15.27,15.33,14.26,14.67,186,0,46435
2016-11-15T00:00:00+00:00,14.51,15.78,14.5,15.36,284,0,66737
2016-11-16T00:00:00+00:00,14.64,15.75,14.64,15.44,332,0,47352
2016-11-17T00:00:00+00:00,15.55,17.47,15.3,16.11,381,0,81477
2016-11-18T00:00:00+00:00,16.01,16.6,15.24,15.3,353,0,70288
2016-11-21T00:00:00+00:00,16.16,16.29,13.88,14.1,533,0,97250
2016-11-22T00:00:00+00:00,14.38,15.06,13.5,13.75,309,0,49668
2016-11-23T00:00:00+00:00,12.23,12.39,11.5,11.53,1913,0,383051
2016-11-25T00:00:00+00:00,11.75,13.35,11.5,12.64,757,0,213402
2016-11-28T00:00:00+00:00,12.52,13.47,11.94,12.08,475,0,116488
2016-11-29T00:00:00+00:00,12.5,12.51,11.77,11.87,188,0,68346
2016-11-30T00:00:00+00:00,12.0,12.11,11.56,11.6,130,0,57071
2016-12-01T00:00:00+00:00,11.5,11.89,11.5,11.59,188,0,35862
2016-12-02T00:00:00+00:00,11.64,11.82,11.5,11.51,181,0,28573
2016-12-05T00:00:00+00:00,11.72,12.33,11.68,11.94,115,0,25609
2016-12-06T00:00:00+00:00,12.41,12.41,11.9,12.07,165,0,33632
2016-12-07T00:00:00+00:00,12.11,12.18,11.55,11.65,130,0,24020
2016-12-08T00:00:00+00:00,11.75,12.54,11.6,12.03,465,0,82102
2016-12-09T00:00:00+00:00,13.25,15.0,13.0,14.9,1417,0,305780
2016-12-12T00:00:00+00:00,14.93,15.0,12.1,12.94,1103,0,179742
2016-12-13T00:00:00+00:00,13.04,13.39,12.02,13.39,535,0,75012
2016-12-14T00:00:00+00:00,13.82,13.9,12.86,13.6,528,0,94477
2016-12-15T00:00:00+00:00,13.55,13.86,13.02,13.58,380,0,70282
2016-12-16T00:00:00+00:00,13.45,14.31,13.01,14.31,422,0,71804
2016-12-19T00:00:00+00:00,14.4,14.83,14.12,14.52,219,0,43675
2016-12-20T00:00:00+00:00,14.63,14.63,14.01,14.42,171,0,26684
2016-12-21T00:00:00+00:00,14.37,14.88,12.77,12.85,675,0,160697
2016-12-22T00:00:00+00:00,13.48,13.84,12.55,12.55,650,0,128902
2016-12-23T00:00:00+00:00,13.69,13.69,12.81,13.38,144,0,18663
2016-12-27T00:00:00+00:00,13.48,13.85,12.68,13.28,309,0,40126
2016-12-28T00:00:00+00:00,13.3,13.44,12.65,12.7,146,0,24104
2016-12-29T00:00:00+00:00,12.95,13.46,12.4,12.5,243,0,32030
2016-12-30T00:00:00+00:00,13.03,13.03,12.5,12.81,237,0,44934
2017-01-03T00:00:00+00:00,13.3,13.36,12.68,13.0,187,0,29070
2017-01-04T00:00:00+00:00,13.14,13.73,13.14,13.65,219,0,32819
2017-01-05T00:00:00+00:00,13.65,13.72,13.28,13.67,86,0,14828
2017-01-06T00:00:00+00:00,13.88,13.88,13.64,13.64,107,0,16881
2017-01-09T00:00:00+00:00,13.88,14.06,13.28,13.3,156,0,25097
2017-01-10T00:00:00+00:00,13.4,14.0,13.31,13.31,108,0,15040
2017-01-11T00:00:00+00:00,13.4,13.71,12.7,13.22,241,0,39083
2017-01-12T00:00:00+00:00,13.02,13.75,12.83,13.09,99,0,14035
2017-01-13T00:00:00+00:00,13.06,13.65,13.05,13.31,87,0,13005
2017-01-17T00:00:00+00:00,13.74,13.74,13.1,13.29,118,0,17465
2017-01-18T00:00:00+00:00,13.29,13.46,12.93,13.03,67,0,7762
2017-01-19T00:00:00+00:00,13.2,13.3,12.59,12.74,127,0,16832
2017-01-20T00:00:00+00:00,12.94,13.25,12.6,12.6,170,0,72324
2017-01-23T00:00:00+00:00,12.76,12.76,12.4,12.43,174,0,31378
2017-01-24T00:00:00+00:00,12.45,12.65,12.03,12.08,123,0,25400
2017-01-25T00:00:00+00:00,12.55,12.58,12.06,12.14,131,0,24471
2017-01-26T00:00:00+00:00,12.1,12.5,12.04,12.25,96,0,12249
2017-01-27T00:00:00+00:00,12.17,12.41,12.13,12.13,59,0,7550
2017-01-30T00:00:00+00:00,12.75,12.75,11.7,11.91,130,0,17613
2017-01-31T00:00:00+00:00,11.8,12.33,11.8,12.05,118,0,21792
2017-02-01T00:00:00+00:00,12.24,12.3,11.98,11.98,122,0,27068
2017-02-02T00:00:00+00:00,11.85,12.23,11.85,11.97,177,0,27646
2017-02-03T00:00:00+00:00,11.92,12.5,11.92,12.09,165,0,23467
2017-02-06T00:00:00+00:00,12.25,12.25,11.88,12.0,58,0,10148
2017-02-07T00:00:00+00:00,12.01,12.2,11.98,11.98,75,0,11355
2017-02-08T00:00:00+00:00,11.95,12.19,11.85,12.11,80,0,9416
2017-02-09T00:00:00+00:00,12.01,12.22,11.62,11.73,133,0,18114
2017-02-10T00:00:00+00:00,12.14,12.14,11.86,11.98,49,0,8672
2017-02-13T00:00:00+00:00,11.81,12.2,11.81,12.19,145,0,24113
2017-02-14T00:00:00+00:00,12.15,13.18,11.94,12.95,155,0,86566
2017-02-15T00:00:00+00:00,13.12,13.67,12.55,12.57,173,0,32159
2017-02-16T00:00:00+00:00,12.65,12.85,12.11,12.5,142,0,23194
2017-02-17T00:00:00+00:00,12.52,12.71,12.51,12.71,53,0,16382
2017-02-21T00:00:00+00:00,12.7,12.71,12.45,12.48,55,0,7166
2017-02-22T00:00:00+00:00,12.27,13.01,12.26,12.52,85,0,10542
2017-02-23T00:00:00+00:00,12.3,12.41,12.02,12.32,166,0,22176
2017-02-24T00:00:00+00:00,12.14,12.29,11.78,11.78,67,0,9233
2017-02-27T00:00:00+00:00,11.84,12.48,11.84,12.27,84,0,15890
2017-02-28T00:00:00+00:00,12.36,12.68,12.2,12.23,216,0,41804
2017-03-01T00:00:00+00:00,12.69,12.7,12.46,12.5,35,0,4368
2017-03-02T00:00:00+00:00,12.55,13.39,12.55,12.65,102,0,13375
2017-03-03T00:00:00+00:00,12.91,13.33,12.47,12.6,65,0,10948
2017-03-06T00:00:00+00:00,12.91,12.91,12.18,12.4,124,0,16739
2017-03-07T00:00:00+00:00,12.44,12.44,11.5,11.51,421,0,74981
2017-03-08T00:00:00+00:00,11.8,11.81,11.5,11.52,81,0,12640
2017-03-09T00:00:00+00:00,11.78,12.01,11.53,11.99,63,0,13190
2017-03-10T00:00:00+00:00,12.25,12.25,11.62,11.82,50,0,7320
2017-03-13T00:00:00+00:00,12.08,12.4,12.02,12.05,80,0,50790
2017-03-14T00:00:00+00:00,12.0,12.06,11.61,11.61,35,0,6261
