time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,24.51,24.94,24.19,24.19,794,0,161391
2003-09-11T00:00:00+00:00,24.16,24.65,23.7,24.52,622,0,124972
2003-09-12T00:00:00+00:00,24.45,24.57,23.5,24.04,444,0,86844
2003-09-15T00:00:00+00:00,23.53,23.65,23.28,23.59,710,0,162883
2003-09-16T00:00:00+00:00,23.65,24.45,23.61,23.95,581,0,177756
2003-09-17T00:00:00+00:00,23.84,23.94,23.47,23.68,472,0,127003
2003-09-18T00:00:00+00:00,23.76,24.34,23.47,23.68,709,0,122400
2003-09-19T00:00:00+00:00,23.67,23.85,23.03,23.1,689,0,116500
2003-09-22T00:00:00+00:00,22.5,22.51,21.71,22.47,724,0,132156
2003-09-23T00:00:00+00:00,22.19,23.29,22.19,23.18,287,0,60836
2003-09-24T00:00:00+00:00,23.15,23.25,21.25,21.72,1029,0,318346
2003-09-25T00:00:00+00:00,21.71,21.95,20.26,21.0,846,0,361119
2003-09-26T00:00:00+00:00,20.89,21.45,20.71,21.25,717,0,285392
2003-09-29T00:00:00+00:00,21.1,22.43,20.98,22.11,1308,0,286664
2003-09-30T00:00:00+00:00,22.17,22.54,21.9,22.37,825,0,250072
2003-10-01T00:00:00+00:00,22.46,22.93,22.21,22.81,643,0,176904
2003-10-02T00:00:00+00:00,22.63,23.1,22.29,22.92,738,0,345376
2003-10-03T00:00:00+00:00,23.03,23.79,22.92,23.66,679,0,138332
2003-10-06T00:00:00+00:00,23.7,24.05,23.48,24.0,462,0,78218
2003-10-07T00:00:00+00:00,23.9,24.25,23.9,24.25,507,0,111551
2003-10-08T00:00:00+00:00,24.22,24.51,24.0,24.26,523,0,125258
2003-10-09T00:00:00+00:00,24.37,24.88,24.02,24.4,501,0,110284
2003-10-10T00:00:00+00:00,24.4,24.82,23.93,24.82,599,0,90856
2003-10-13T00:00:00+00:00,24.84,25.1,24.7,25.1,396,0,143900
2003-10-14T00:00:00+00:00,24.9,25.75,24.9,25.75,535,0,93100
2003-10-15T00:00:00+00:00,26.0,26.1,24.9,24.95,748,0,212404
2003-10-16T00:00:00+00:00,25.0,25.01,24.17,24.27,733,0,165222
2003-10-17T00:00:00+00:00,24.23,24.29,23.31,23.72,604,0,111368
2003-10-20T00:00:00+00:00,23.63,23.98,23.45,23.8,367,0,74331
2003-10-21T00:00:00+00:00,23.8,23.86,23.19,23.63,282,0,52154
2003-10-22T00:00:00+00:00,23.5,23.55,22.6,23.0,467,0,106986
2003-10-23T00:00:00+00:00,22.66,23.1,22.37,22.91,405,0,109941
2003-10-24T00:00:00+00:00,22.95,23.04,22.4,22.65,364,0,67080
2003-10-27T00:00:00+00:00,22.65,23.15,22.58,22.97,454,0,61501
2003-10-28T00:00:00+00:00,23.43,23.95,22.76,23.1,744,0,179952
2003-10-29T00:00:00+00:00,23.5,23.65,23.4,23.55,714,0,184140
2003-10-30T00:00:00+00:00,23.5,23.9,22.99,23.8,842,0,287860
2003-10-31T00:00:00+00:00,23.89,23.9,23.04,23.04,329,0,53238
2003-11-03T00:00:00+00:00,23.01,23.58,23.01,23.36,430,0,121501
2003-11-04T00:00:00+00:00,23.7,23.7,23.1,23.41,364,0,49783
2003-11-05T00:00:00+00:00,23.35,23.4,22.95,23.23,279,0,53107
2003-11-06T00:00:00+00:00,23.46,23.7,22.07,23.49,393,0,153076
2003-11-07T00:00:00+00:00,23.46,24.75,23.46,24.27,542,0,162190
