time,open,high,low,close,tick_volume,spread,real_volume
2022-04-22T00:00:00+00:00,2.94,3.29,2.16,2.7,2883,0,1204515
2022-04-25T00:00:00+00:00,2.69,3.27,2.36,2.55,2667,0,947277
2022-04-26T00:00:00+00:00,2.25,2.56,2.14,2.45,1426,0,747053
2022-04-27T00:00:00+00:00,2.15,4.05,2.1,2.36,21489,0,12840455
2022-04-28T00:00:00+00:00,2.26,2.75,2.16,2.17,2426,0,1506035
2022-04-29T00:00:00+00:00,2.07,2.34,1.81,2.07,1504,0,761992
2022-05-02T00:00:00+00:00,2.04,2.23,1.81,1.8199999999999998,875,0,484350
2022-05-03T00:00:00+00:00,1.8199999999999998,2.05,1.6400000000000001,1.73,833,0,497376
2022-05-04T00:00:00+00:00,2.04,2.51,1.9300000000000002,2.35,42348,0,25142714
2022-05-05T00:00:00+00:00,2.18,2.29,2.0,2.14,1458,0,786235
2022-05-06T00:00:00+00:00,2.06,2.42,2.01,2.04,1617,0,1080720
2022-05-09T00:00:00+00:00,1.9100000000000001,2.01,1.78,1.8599999999999999,274,0,202973
2022-05-10T00:00:00+00:00,1.88,1.9300000000000002,1.63,1.71,725,0,318599
2022-05-11T00:00:00+00:00,1.74,1.8399999999999999,1.47,1.47,666,0,328565
2022-05-12T00:00:00+00:00,1.45,1.46,1.26,1.34,272,0,109670
2022-05-13T00:00:00+00:00,1.33,1.55,1.33,1.44,203,0,75921
2022-05-16T00:00:00+00:00,1.42,1.48,1.3599999999999999,1.41,100,0,25740
2022-05-17T00:00:00+00:00,1.3599999999999999,1.45,1.33,1.44,196,0,48240
2022-05-18T00:00:00+00:00,1.37,1.52,1.3599999999999999,1.52,172,0,59089
2022-05-19T00:00:00+00:00,1.46,1.75,1.46,1.71,230,0,205509
2022-05-20T00:00:00+00:00,1.65,1.99,1.65,1.78,291,0,91493
2022-05-23T00:00:00+00:00,1.67,1.9300000000000002,1.6099999999999999,1.6400000000000001,98,0,33957
2022-05-24T00:00:00+00:00,1.76,1.76,1.35,1.3900000000000001,349,0,68262
2022-05-25T00:00:00+00:00,1.31,1.52,1.31,1.52,137,0,36562
2022-05-26T00:00:00+00:00,1.42,1.5,1.35,1.3900000000000001,120,0,63975
2022-05-27T00:00:00+00:00,1.41,1.45,1.15,1.24,169,0,68423
2022-05-31T00:00:00+00:00,1.24,1.28,1.22,1.22,63,0,26285
2022-06-01T00:00:00+00:00,1.32,1.3599999999999999,1.24,1.28,155,0,60008
2022-06-02T00:00:00+00:00,1.26,1.38,1.17,1.2,210,0,68962
2022-06-03T00:00:00+00:00,1.22,1.22,1.07,1.07,117,0,63827
2022-06-06T00:00:00+00:00,1.05,1.07,0.98,1.04,109,0,42679
2022-06-07T00:00:00+00:00,0.99,1.1,0.99,1.02,88,0,38891
2022-06-08T00:00:00+00:00,1.0,1.07,1.0,1.04,72,0,38527
2022-06-09T00:00:00+00:00,1.04,1.08,1.02,1.04,98,0,42247
2022-06-10T00:00:00+00:00,1.05,1.06,0.98,1.01,125,0,53616
2022-06-13T00:00:00+00:00,0.92,1.06,0.88,1.04,135,0,73705
2022-06-14T00:00:00+00:00,0.94,1.05,0.94,1.05,82,0,33980
2022-06-15T00:00:00+00:00,1.01,1.21,0.96,1.09,638,0,482861
2022-06-16T00:00:00+00:00,0.98,1.09,0.97,1.0,109,0,72133
2022-06-17T00:00:00+00:00,1.0,1.04,0.89,0.9,126,0,27618
2022-06-21T00:00:00+00:00,0.92,0.95,0.78,0.8,232,0,59845
2022-06-22T00:00:00+00:00,0.95,1.1,0.81,0.83,393,0,207903
2022-06-23T00:00:00+00:00,0.84,0.93,0.84,0.89,102,0,58789
2022-06-24T00:00:00+00:00,0.88,0.96,0.88,0.9,51,0,28721
2022-06-27T00:00:00+00:00,0.92,0.92,0.87,0.92,12,0,8820
2022-06-28T00:00:00+00:00,0.94,0.94,0.84,0.88,21,0,34638
2022-06-29T00:00:00+00:00,0.85,0.9,0.85,0.86,23,0,9913
2022-06-30T00:00:00+00:00,0.86,1.03,0.8,0.91,488,0,426022
2022-07-01T00:00:00+00:00,0.92,0.93,0.86,0.92,65,0,30043
2022-07-05T00:00:00+00:00,0.95,0.95,0.86,0.89,154,0,58764
2022-07-06T00:00:00+00:00,0.91,0.93,0.86,0.87,97,0,19595
2022-07-07T00:00:00+00:00,0.9,0.91,0.83,0.83,235,0,152901
2022-07-08T00:00:00+00:00,0.86,0.87,0.83,0.85,86,0,37896
2022-07-11T00:00:00+00:00,0.87,0.88,0.82,0.88,39,0,24301
2022-07-12T00:00:00+00:00,0.85,1.08,0.82,1.01,2119,0,1597253
2022-07-13T00:00:00+00:00,0.95,0.97,0.86,0.92,673,0,393747
2022-07-14T00:00:00+00:00,0.92,0.92,0.86,0.89,191,0,77409
2022-07-15T00:00:00+00:00,0.87,0.88,0.78,0.86,293,0,144121
2022-07-18T00:00:00+00:00,0.84,0.89,0.82,0.87,35,0,17790
2022-07-19T00:00:00+00:00,0.86,0.92,0.85,0.87,124,0,145411
2022-07-20T00:00:00+00:00,0.86,0.88,0.84,0.84,72,0,35489
2022-07-21T00:00:00+00:00,0.84,0.85,0.82,0.84,46,0,38792
2022-07-22T00:00:00+00:00,0.84,0.89,0.8,0.84,62,0,40539
2022-07-25T00:00:00+00:00,0.84,0.86,0.81,0.86,70,0,41316
2022-07-26T00:00:00+00:00,0.86,0.87,0.84,0.84,108,0,51296
2022-07-27T00:00:00+00:00,0.86,0.92,0.86,0.9,178,0,93413
2022-07-28T00:00:00+00:00,0.93,1.01,0.87,0.94,404,0,254996
2022-07-29T00:00:00+00:00,0.92,1.05,0.9,0.99,329,0,223231
2022-08-01T00:00:00+00:00,1.02,1.02,0.92,0.95,178,0,99253
2022-08-02T00:00:00+00:00,1.07,1.5899999999999999,1.05,1.26,5667,0,3623636
2022-08-03T00:00:00+00:00,1.23,1.67,1.04,1.12,2576,0,1280228
2022-08-04T00:00:00+00:00,1.1,1.24,1.01,1.11,731,0,512808
2022-08-05T00:00:00+00:00,1.04,1.13,0.99,1.08,466,0,363915
2022-08-08T00:00:00+00:00,1.06,1.22,1.02,1.15,726,0,523540
2022-08-09T00:00:00+00:00,1.17,1.17,1.07,1.09,238,0,127133
2022-08-10T00:00:00+00:00,1.15,1.15,0.95,1.0,286,0,162116
2022-08-11T00:00:00+00:00,0.97,1.02,0.87,0.91,304,0,157731
2022-08-12T00:00:00+00:00,0.95,0.95,0.87,0.9,83,0,29988
2022-08-15T00:00:00+00:00,0.9,0.94,0.88,0.93,99,0,24948
2022-08-16T00:00:00+00:00,0.92,0.95,0.86,0.9,155,0,83239
2022-08-17T00:00:00+00:00,0.88,0.91,0.86,0.88,74,0,16867
2022-08-18T00:00:00+00:00,0.88,1.76,0.88,1.05,7034,0,4527264
