time,open,high,low,close,tick_volume,spread,real_volume
2012-04-26T00:00:00+00:00,18.0,18.2,17.94,18.0,4645,0,3116609
2012-04-27T00:00:00+00:00,18.0,18.03,17.8,17.8,1027,0,547878
2012-04-30T00:00:00+00:00,17.8,18.05,17.76,18.01,710,0,227806
2012-05-01T00:00:00+00:00,17.98,18.06,17.95,18.0,445,0,84500
2012-05-02T00:00:00+00:00,18.0,18.07,17.81,17.84,721,0,139607
2012-05-03T00:00:00+00:00,17.93,17.99,17.6,17.75,602,0,163938
2012-05-04T00:00:00+00:00,17.15,17.67,16.75,17.53,935,0,240088
2012-05-07T00:00:00+00:00,17.43,17.48,16.82,17.48,969,0,213934
2012-05-08T00:00:00+00:00,17.5,17.53,17.35,17.35,334,0,107615
2012-05-09T00:00:00+00:00,17.2,17.24,16.55,16.81,2071,0,497031
2012-05-10T00:00:00+00:00,16.65,16.82,16.26,16.51,1646,0,318845
2012-05-11T00:00:00+00:00,16.45,16.81,16.43,16.58,676,0,144091
2012-05-14T00:00:00+00:00,16.14,16.98,16.02,16.63,616,0,138965
2012-05-15T00:00:00+00:00,16.52,16.6,16.46,16.57,529,0,109305
2012-05-16T00:00:00+00:00,16.53,16.61,16.48,16.5,655,0,126689
2012-05-17T00:00:00+00:00,16.5,16.61,16.11,16.49,671,0,119772
2012-05-18T00:00:00+00:00,16.38,16.78,16.12,16.73,704,0,148632
2012-05-21T00:00:00+00:00,16.66,17.05,16.65,17.0,562,0,100345
2012-05-22T00:00:00+00:00,16.75,16.93,16.45,16.45,407,0,92681
2012-05-23T00:00:00+00:00,16.3,16.55,16.11,16.54,623,0,124709
2012-05-24T00:00:00+00:00,16.56,16.72,16.36,16.71,414,0,68496
2012-05-25T00:00:00+00:00,16.72,16.72,16.45,16.63,242,0,53838
2012-05-29T00:00:00+00:00,16.72,17.17,16.59,16.6,229,0,48058
2012-05-30T00:00:00+00:00,16.49,16.84,16.49,16.55,214,0,52013
2012-05-31T00:00:00+00:00,16.58,16.65,16.29,16.48,450,0,71845
2012-06-01T00:00:00+00:00,16.13,16.51,16.12,16.27,364,0,53885
2012-06-04T00:00:00+00:00,16.28,16.73,15.76,16.57,485,0,112033
2012-06-05T00:00:00+00:00,16.48,17.0,16.48,16.81,407,0,78903
2012-06-06T00:00:00+00:00,16.93,17.29,16.57,17.14,326,0,71979
2012-06-07T00:00:00+00:00,17.28,17.6,17.18,17.5,867,0,293650
2012-06-08T00:00:00+00:00,17.54,17.54,17.04,17.31,521,0,75004
2012-06-11T00:00:00+00:00,17.72,17.72,17.12,17.31,537,0,82538
