time,open,high,low,close,tick_volume,spread,real_volume
2015-10-07T00:00:00+00:00,11.94,11.98,11.0,11.05,5024,0,982376
2015-10-08T00:00:00+00:00,11.22,11.3,10.99,11.05,619,0,117949
2015-10-09T00:00:00+00:00,11.0,13.7,11.0,12.5,770,0,150693
2015-10-12T00:00:00+00:00,13.34,14.12,12.5,13.7,1685,0,297711
2015-10-13T00:00:00+00:00,13.66,13.97,12.32,12.54,409,0,56621
2015-10-14T00:00:00+00:00,12.6,14.47,12.07,14.25,492,0,113240
2015-10-15T00:00:00+00:00,14.76,17.24,14.55,15.16,958,0,156334
2015-10-16T00:00:00+00:00,15.55,15.6,14.09,14.13,60,0,13340
2015-10-19T00:00:00+00:00,14.91,15.44,13.85,15.39,1168,0,169256
2015-10-20T00:00:00+00:00,14.86,16.08,14.17,15.27,522,0,78341
2015-10-21T00:00:00+00:00,15.1,15.1,14.25,14.92,187,0,25327
2015-10-22T00:00:00+00:00,15.4,15.4,13.5,14.9,723,0,110409
2015-10-23T00:00:00+00:00,12.99,15.55,12.99,14.43,778,0,115261
2015-10-26T00:00:00+00:00,15.1,15.22,14.25,14.41,45,0,8551
2015-10-27T00:00:00+00:00,14.97,15.07,14.19,14.22,113,0,18999
2015-10-28T00:00:00+00:00,14.22,15.03,13.62,14.38,203,0,178350
2015-10-29T00:00:00+00:00,14.35,14.91,13.95,14.38,153,0,116738
2015-10-30T00:00:00+00:00,14.57,14.85,14.05,14.34,87,0,14813
2015-11-02T00:00:00+00:00,14.23,15.15,14.06,15.08,234,0,41542
2015-11-03T00:00:00+00:00,14.6,15.29,14.59,15.14,112,0,20122
2015-11-04T00:00:00+00:00,14.99,15.46,14.31,14.9,324,0,40475
2015-11-05T00:00:00+00:00,15.1,15.45,14.43,14.99,151,0,20748
2015-11-06T00:00:00+00:00,14.65,15.15,14.59,14.67,46,0,8786
2015-11-09T00:00:00+00:00,14.6,15.29,14.46,15.14,106,0,12634
2015-11-10T00:00:00+00:00,15.23,17.81,14.98,17.14,467,0,64276
2015-11-11T00:00:00+00:00,16.62,17.49,15.63,16.39,442,0,49898
2015-11-12T00:00:00+00:00,16.7,17.24,16.09,16.85,524,0,108841
2015-11-13T00:00:00+00:00,17.2,18.22,16.33,17.57,484,0,62652
2015-11-16T00:00:00+00:00,17.96,18.78,16.67,18.36,298,0,33847
2015-11-17T00:00:00+00:00,18.1,18.96,18.01,18.46,194,0,23600
2015-11-18T00:00:00+00:00,22.14,23.49,19.68,19.86,468,0,69930
