time,open,high,low,close,tick_volume,spread,real_volume
2016-11-01T00:00:00+00:00,24.9,24.9,24.78,24.78,5,0,17000000
2016-11-02T00:00:00+00:00,24.69,24.72,24.66,24.7,5,0,164000000
2016-11-03T00:00:00+00:00,24.66,24.66,24.53,24.53,6,0,168500000
2016-11-04T00:00:00+00:00,24.59,24.59,24.55,24.56,7,0,235750000
2016-11-07T00:00:00+00:00,24.91,25.01,24.91,24.99,7,0,190050000
2016-11-08T00:00:00+00:00,25.01,25.2,25.01,25.2,7,0,179990000
2016-11-09T00:00:00+00:00,25.23,25.43,25.23,25.43,5,0,161350000
2016-11-10T00:00:00+00:00,25.48,25.58,25.48,25.58,2,0,154000000
2016-11-11T00:00:00+00:00,25.62,25.63,25.62,25.63,2,0,161000000
2016-11-14T00:00:00+00:00,25.89,25.94,25.84,25.94,7,0,17110000
2016-11-15T00:00:00+00:00,26.07,26.11,26.07,26.11,18,0,179000000
2016-11-16T00:00:00+00:00,26.05,26.08,26.01,26.01,6,0,113970000
2016-11-17T00:00:00+00:00,26.13,26.23,26.11,26.23,5,0,117850000
2016-11-18T00:00:00+00:00,26.28,26.28,26.22,26.22,4,0,12000000
2016-11-21T00:00:00+00:00,26.28,26.34,26.28,26.34,11,0,128600000
2016-11-22T00:00:00+00:00,26.56,26.56,26.56,26.56,2,0,102000000
2016-11-23T00:00:00+00:00,26.56,26.63,26.56,26.59,7,0,149600000
2016-11-25T00:00:00+00:00,26.75,26.75,26.75,26.75,2,0,100000000
2016-11-28T00:00:00+00:00,26.69,26.69,26.59,26.62,10,0,134250000
2016-11-29T00:00:00+00:00,26.63,26.73,26.62,26.7,9,0,128000000
2016-11-30T00:00:00+00:00,26.67,26.67,26.5,26.5,34,0,93000000
2016-12-01T00:00:00+00:00,26.55,26.58,26.48,26.51,18,0,41100000
2016-12-02T00:00:00+00:00,26.65,26.65,26.53,26.56,10,0,47000000
2016-12-05T00:00:00+00:00,26.68,26.69,26.62,26.68,13,0,85800000
2016-12-06T00:00:00+00:00,26.69,26.76,26.66,26.76,8,0,39800000
2016-12-07T00:00:00+00:00,26.86,27.26,26.85,27.24,28,0,100000000
2016-12-08T00:00:00+00:00,27.24,27.44,27.24,27.36,8,0,40700000
2016-12-09T00:00:00+00:00,27.39,27.42,27.38,27.42,6,0,44300000
2016-12-12T00:00:00+00:00,27.39,27.43,27.3,27.36,33,0,82700000
2016-12-13T00:00:00+00:00,27.55,27.55,27.38,27.47,12,0,67800000
2016-12-14T00:00:00+00:00,27.43,27.5,27.24,27.26,18,0,91130000
2016-12-15T00:00:00+00:00,27.45,27.47,27.37,27.37,7,0,38000000
2016-12-16T00:00:00+00:00,27.41,27.41,27.31,27.31,7,0,52440000
2016-12-19T00:00:00+00:00,27.38,27.43,27.34,27.43,32,0,81500000
2016-12-20T00:00:00+00:00,27.48,27.54,27.48,27.54,15,0,145000000
2016-12-21T00:00:00+00:00,27.53,27.54,27.5,27.51,18,0,52500000
2016-12-22T00:00:00+00:00,27.4,27.42,27.3,27.31,18,0,69500000
2016-12-23T00:00:00+00:00,27.35,27.35,27.32,27.32,11,0,25200000
2016-12-27T00:00:00+00:00,27.43,27.47,27.4,27.44,28,0,94150000
2016-12-28T00:00:00+00:00,27.35,27.35,27.15,27.15,14,0,47000000
2016-12-29T00:00:00+00:00,27.2,27.2,27.09,27.15,12,0,25000000
2016-12-30T00:00:00+00:00,27.07,27.13,26.97,26.97,17,0,40000000
