time,open,high,low,close,tick_volume,spread,real_volume
2013-01-24T00:00:00+00:00,86.99,87.06,85.9,86.38,4169,0,829640
2013-01-25T00:00:00+00:00,86.47,86.6,83.76,84.26,13639,0,2157772
2013-01-28T00:00:00+00:00,84.22,84.72,83.68,84.26,7844,0,1228631
2013-01-29T00:00:00+00:00,84.49,86.04,84.01,85.8,9507,0,1399993
2013-01-30T00:00:00+00:00,85.55,85.87,85.23,85.76,10092,0,1395661
2013-01-31T00:00:00+00:00,85.28,86.85,85.01,86.35,9109,0,1352515
2013-02-01T00:00:00+00:00,86.62,87.97,86.18,87.83,9943,0,1342155
2013-02-04T00:00:00+00:00,86.76,87.92,86.2,86.67,7243,0,1042804
2013-02-05T00:00:00+00:00,86.29,87.0,85.97,86.57,6691,0,1082322
2013-02-06T00:00:00+00:00,86.41,87.07,86.07,87.07,5851,0,861897
2013-02-07T00:00:00+00:00,87.08,87.13,85.99,87.12,4712,0,720474
2013-02-08T00:00:00+00:00,87.26,87.82,86.79,87.42,4265,0,572836
2013-02-11T00:00:00+00:00,87.13,87.54,86.35,86.63,5546,0,822075
2013-02-12T00:00:00+00:00,86.73,86.73,85.65,85.77,5749,0,744756
2013-02-13T00:00:00+00:00,86.04,86.83,85.02,86.74,5010,0,679746
2013-02-14T00:00:00+00:00,87.44,87.44,85.0,86.48,4646,0,627459
2013-02-15T00:00:00+00:00,86.28,86.37,85.03,85.2,8082,0,1197213
2013-02-19T00:00:00+00:00,87.4,87.7,84.39,84.72,14500,0,1941636
2013-02-20T00:00:00+00:00,84.52,85.01,82.93,83.08,8923,0,1144308
2013-02-21T00:00:00+00:00,82.7,84.03,82.02,83.76,12682,0,2006029
2013-02-22T00:00:00+00:00,83.72,83.95,82.44,83.44,8196,0,1212672
2013-02-25T00:00:00+00:00,83.52,85.0,83.14,83.14,9460,0,1260321
2013-02-26T00:00:00+00:00,83.23,86.97,83.19,84.69,10166,0,1379049
2013-02-27T00:00:00+00:00,84.9,86.22,84.9,85.88,6790,0,886454
2013-02-28T00:00:00+00:00,85.94,86.2,85.16,85.16,7866,0,1227895
2013-03-01T00:00:00+00:00,85.17,85.85,84.41,85.55,6931,0,880713
2013-03-04T00:00:00+00:00,85.55,86.36,85.28,86.21,5590,0,773172
2013-03-05T00:00:00+00:00,86.25,86.99,85.81,86.47,6136,0,877135
2013-03-06T00:00:00+00:00,86.57,87.2,86.54,86.86,4882,0,1161857
2013-03-07T00:00:00+00:00,87.01,87.46,86.46,86.66,5594,0,811281
2013-03-08T00:00:00+00:00,86.74,87.71,86.55,87.55,5405,0,807328
2013-03-11T00:00:00+00:00,88.05,88.52,87.85,88.37,5350,0,867321
2013-03-12T00:00:00+00:00,89.0,90.31,88.99,90.1,8780,0,1181094
2013-03-13T00:00:00+00:00,90.47,92.33,90.39,90.99,10104,0,1314251
2013-03-14T00:00:00+00:00,91.55,91.96,90.99,91.05,6508,0,853213
2013-03-15T00:00:00+00:00,91.57,92.12,91.29,91.59,6864,0,1057348
2013-03-18T00:00:00+00:00,90.2,91.44,90.11,91.44,5053,0,709740
2013-03-19T00:00:00+00:00,90.31,90.53,89.2,89.8,5379,0,712055
2013-03-20T00:00:00+00:00,90.06,90.16,89.54,89.97,4974,0,658968
2013-03-21T00:00:00+00:00,90.15,90.48,89.83,90.12,5088,0,745526
2013-03-22T00:00:00+00:00,90.67,90.73,89.83,90.31,3016,0,401345
2013-03-25T00:00:00+00:00,90.88,91.26,90.66,91.05,5495,0,749390
2013-03-26T00:00:00+00:00,91.51,91.55,90.77,91.07,5446,0,848275
2013-03-27T00:00:00+00:00,90.55,91.29,90.45,91.07,4142,0,632846
2013-03-28T00:00:00+00:00,91.59,92.37,91.54,92.11,4616,0,699976
2013-04-01T00:00:00+00:00,92.33,93.13,91.88,92.45,4909,0,667935
2013-04-02T00:00:00+00:00,95.0,98.37,94.98,96.66,11081,0,1411239
2013-04-03T00:00:00+00:00,96.48,96.48,94.35,95.26,10465,0,1408746
2013-04-04T00:00:00+00:00,95.62,96.12,94.56,95.82,7276,0,890098
2013-04-05T00:00:00+00:00,95.19,97.41,94.75,97.16,7827,0,1059872
2013-04-08T00:00:00+00:00,97.33,98.38,96.44,98.36,7088,0,980626
2013-04-09T00:00:00+00:00,98.46,98.46,97.43,97.69,7552,0,1014426
2013-04-10T00:00:00+00:00,97.8,97.86,96.82,97.17,6674,0,929909
2013-04-11T00:00:00+00:00,97.25,98.13,97.15,97.74,5792,0,742323
2013-04-12T00:00:00+00:00,97.47,98.0,97.17,97.29,3106,0,464333
2013-04-15T00:00:00+00:00,97.31,97.8,96.01,96.08,6047,0,759556
2013-04-16T00:00:00+00:00,96.45,97.01,96.15,96.97,4478,0,563755
2013-04-17T00:00:00+00:00,96.51,97.96,96.26,97.73,6381,0,845205
2013-04-18T00:00:00+00:00,97.61,98.25,96.52,96.69,4094,0,548622
2013-04-19T00:00:00+00:00,96.95,98.63,96.72,98.46,3904,0,662157
2013-04-22T00:00:00+00:00,98.4,98.95,97.81,97.86,4753,0,604566
2013-04-23T00:00:00+00:00,98.48,99.55,98.08,98.77,5754,0,780799
2013-04-24T00:00:00+00:00,99.06,99.35,98.09,98.29,4115,0,566182
2013-04-25T00:00:00+00:00,98.73,99.52,98.48,98.91,4013,0,540850
2013-04-26T00:00:00+00:00,99.03,101.46,99.03,100.96,8973,0,1363702
2013-04-29T00:00:00+00:00,105.25,107.76,104.29,105.58,22979,0,5427201
2013-04-30T00:00:00+00:00,105.52,106.04,104.78,105.68,12961,0,1835595
2013-05-01T00:00:00+00:00,105.24,105.69,103.75,104.4,11831,0,2249146
2013-05-02T00:00:00+00:00,107.44,110.5,104.97,106.5,15701,0,2404225
2013-05-03T00:00:00+00:00,106.64,107.08,105.98,106.45,7485,0,1076811
2013-05-06T00:00:00+00:00,106.63,108.02,105.6,107.17,5917,0,969436
2013-05-07T00:00:00+00:00,107.66,108.14,106.52,107.22,7792,0,1102593
2013-05-08T00:00:00+00:00,107.07,108.31,107.07,107.3,5714,0,840107
2013-05-09T00:00:00+00:00,104.86,107.66,104.86,106.84,5208,0,818701
2013-05-10T00:00:00+00:00,107.58,121.13,105.56,119.91,42672,0,7947738
2013-05-13T00:00:00+00:00,119.0,121.56,117.64,120.5,16637,0,3775079
2013-05-14T00:00:00+00:00,120.31,126.34,119.53,121.68,18457,0,3669352
2013-05-15T00:00:00+00:00,121.65,125.51,121.45,123.88,10739,0,1719140
