datetime,open,high,low,close,volume,openinterest
2024-05-20,2173.0000,2173.0000,2082.0000,2136.0000,1366,520
2024-05-21,2120.0000,2163.0000,2105.0000,2128.0000,1495,1041
2024-05-22,2135.0000,2250.0000,2135.0000,2240.0000,1883,1225
2024-05-23,2230.0000,2242.0000,2160.0000,2183.0000,2265,1757
2024-05-24,2191.0000,2220.0000,2177.0000,2187.0000,2033,2221
2024-05-27,2189.0000,2232.0000,2182.0000,2212.0000,1074,2187
2024-05-28,2212.0000,2230.0000,2184.0000,2191.0000,1229,2292
2024-05-29,2195.0000,2234.0000,2153.0000,2234.0000,1389,2160
2024-05-30,2225.0000,2247.0000,2166.0000,2170.0000,1461,2316
2024-05-31,2169.0000,2197.0000,2140.0000,2154.0000,1145,2500
2024-06-03,2150.0000,2165.0000,2050.0000,2050.0000,2431,3191
2024-06-04,2053.0000,2104.0000,2050.0000,2088.0000,1436,3539
2024-06-05,2084.0000,2087.0000,2044.0000,2051.0000,1609,3907
2024-06-06,2062.0000,2073.0000,2027.0000,2060.0000,3102,4986
2024-06-07,2050.0000,2125.0000,2043.0000,2054.0000,3880,6000
2024-06-11,2036.0000,2070.0000,2000.0000,2020.0000,4166,7980
2024-06-12,2020.0000,2048.0000,2007.0000,2029.0000,2181,8468
2024-06-13,2035.0000,2050.0000,1995.0000,2024.0000,2668,9260
2024-06-14,2031.0000,2053.0000,2011.0000,2037.0000,2697,9907
2024-06-17,2037.0000,2048.0000,2000.0000,2016.0000,3117,10731
2024-06-18,2007.0000,2036.0000,1990.0000,1994.0000,2441,11138
2024-06-19,1993.0000,2007.0000,1983.0000,1996.0000,2216,11805
2024-06-20,1997.0000,2049.0000,1985.0000,2040.0000,2065,12176
2024-06-21,2043.0000,2083.0000,2034.0000,2048.0000,2921,12519
2024-06-24,2038.0000,2050.0000,1976.0000,1981.0000,3412,13504
2024-06-25,1986.0000,1987.0000,1953.0000,1975.0000,2489,14076
2024-06-26,1980.0000,2016.0000,1965.0000,2012.0000,2191,14241
2024-06-27,2012.0000,2015.0000,1975.0000,1976.0000,1755,14768
2024-06-28,1985.0000,2042.0000,1971.0000,2037.0000,2463,14732
2024-07-01,2041.0000,2085.0000,2020.0000,2052.0000,4292,15200
2024-07-02,2053.0000,2086.0000,2050.0000,2077.0000,3167,15529
2024-07-03,2087.0000,2091.0000,2058.0000,2077.0000,2685,15532
2024-07-04,2078.0000,2107.0000,2066.0000,2085.0000,4407,15797
2024-07-05,2084.0000,2099.0000,2024.0000,2028.0000,4612,15974
2024-07-08,2032.0000,2049.0000,1986.0000,1988.0000,6767,18058
2024-07-09,1990.0000,2003.0000,1967.0000,1992.0000,5482,18791
2024-07-10,1992.0000,1999.0000,1922.0000,1927.0000,8078,19685
2024-07-11,1936.0000,1952.0000,1920.0000,1941.0000,5034,19461
2024-07-12,1945.0000,1963.0000,1929.0000,1942.0000,6435,21164
2024-07-15,1939.0000,1968.0000,1910.0000,1934.0000,7370,22576
2024-07-16,1925.0000,1933.0000,1897.0000,1908.0000,5648,23639
2024-07-17,1900.0000,1932.0000,1886.0000,1901.0000,7745,24889
2024-07-18,1909.0000,1910.0000,1871.0000,1903.0000,7625,26656
2024-07-19,1900.0000,1932.0000,1888.0000,1893.0000,8978,28050
2024-07-22,1890.0000,1908.0000,1872.0000,1874.0000,8551,30590
2024-07-23,1870.0000,1884.0000,1852.0000,1855.0000,7791,32559
2024-07-24,1858.0000,1877.0000,1850.0000,1866.0000,5812,33734
2024-07-25,1873.0000,1875.0000,1837.0000,1846.0000,7640,35572
2024-07-26,1844.0000,1872.0000,1829.0000,1830.0000,6594,36804
2024-07-29,1826.0000,1831.0000,1783.0000,1786.0000,19017,44145
2024-07-30,1786.0000,1794.0000,1750.0000,1755.0000,11496,46041
2024-07-31,1753.0000,1800.0000,1727.0000,1777.0000,18134,47911
2024-08-01,1785.0000,1820.0000,1753.0000,1766.0000,34705,59375
2024-08-02,1765.0000,1827.0000,1749.0000,1824.0000,28746,65940
2024-08-05,1820.0000,1844.0000,1780.0000,1802.0000,47176,76414
2024-08-06,1785.0000,1825.0000,1763.0000,1766.0000,26108,84095
2024-08-07,1760.0000,1785.0000,1751.0000,1765.0000,21309,90142
2024-08-08,1768.0000,1791.0000,1757.0000,1773.0000,27714,101481
2024-08-09,1775.0000,1807.0000,1760.0000,1761.0000,29143,109646
2024-08-12,1763.0000,1769.0000,1703.0000,1720.0000,38714,123735
