datetime,open,high,low,close,volume,openinterest
2017-01-17 00:00:00,96.5,96.83,96.485,96.6,35413,0
2017-01-18 00:00:00,96.65,96.945,96.585,96.65,30467,0
2017-01-19 00:00:00,96.525,97.05,96.405,96.94,37479,0
2017-01-20 00:00:00,96.94,97.375,96.85,97.235,38971,0
2017-01-23 00:00:00,97.2,97.31,97.03,97.085,18444,0
2017-01-24 00:00:00,97.185,97.345,96.26,96.27,27081,0
2017-01-25 00:00:00,94.565,94.765,94.29,94.6,53533,0
2017-01-26 00:00:00,94.56,94.67,94.17,94.27,28293,0
2017-02-03 00:00:00,94.27,94.52,92.96,93.495,48312,0
2017-02-06 00:00:00,93.32,93.765,93.305,93.365,43533,0
2017-02-07 00:00:00,93.2,93.805,93.125,93.68,60748,0
2017-02-08 00:00:00,93.73,94.18,93.725,94.18,57771,0
2017-02-09 00:00:00,94.37,94.635,94.21,94.55,54471,0
2017-02-10 00:00:00,94.49,94.52,94.265,94.355,40869,0
2017-02-13 00:00:00,94.315,94.79,94.22,94.75,44641,0
2017-02-14 00:00:00,94.69,94.9,94.315,94.495,62949,0
2017-02-15 00:00:00,94.335,94.45,94.18,94.305,50508,0
2017-02-16 00:00:00,94.34,95.145,94.305,95.145,52308,0
2017-02-17 00:00:00,95.025,95.375,94.92,95.12,66495,0
2017-02-20 00:00:00,95.295,95.66,95.215,95.625,51492,0
2017-02-21 00:00:00,95.55,95.55,94.975,95.06,55177,0
2017-02-22 00:00:00,94.805,95.67,94.805,95.62,65649,0
2017-02-23 00:00:00,95.6,95.93,95.42,95.61,60564,0
2017-02-24 00:00:00,95.61,95.96,95.38,95.655,64745,0
2017-02-27 00:00:00,95.76,96.115,95.5,95.565,55850,0
2017-02-28 00:00:00,95.5,95.915,95.45,95.83,49942,0
2017-03-01 00:00:00,95.7,95.74,95.15,95.175,63650,0
2017-03-02 00:00:00,95.095,95.3,94.96,95.115,49569,0
2017-03-03 00:00:00,95.115,95.32,94.935,94.975,44542,0
2017-03-06 00:00:00,95.0,95.085,94.86,94.935,37014,0
2017-03-07 00:00:00,94.91,95.195,94.865,95.155,44347,0
2017-03-08 00:00:00,95.16,95.235,94.635,94.675,54665,0
2017-03-09 00:00:00,94.61,95.04,94.485,94.55,59041,0
2017-03-10 00:00:00,94.505,94.75,94.47,94.685,40887,0
2017-03-13 00:00:00,94.65,95.68,94.6,95.48,63019,0
2017-03-14 00:00:00,95.38,95.61,95.295,95.55,53879,0
2017-03-15 00:00:00,95.55,95.71,95.37,95.67,48927,0
2017-03-16 00:00:00,95.91,96.68,95.815,96.355,109383,0
2017-03-17 00:00:00,96.25,96.525,96.15,96.28,42851,0
