datetime,open,high,low,close,volume,openinterest
2017-01-17 00:00:00,99.12,99.175,98.98,99.075,7239,0
2017-01-18 00:00:00,99.075,99.3,99.06,99.1,6430,0
2017-01-19 00:00:00,99.0,99.42,98.965,99.355,7685,0
2017-01-20 00:00:00,99.335,99.63,99.255,99.47,7957,0
2017-01-23 00:00:00,99.495,99.555,99.38,99.425,3716,0
2017-01-24 00:00:00,99.46,99.765,99.055,99.095,7646,0
2017-01-25 00:00:00,99.06,99.06,98.8,98.97,8201,0
2017-01-26 00:00:00,98.865,99.075,98.835,99.075,5436,0
2017-02-03 00:00:00,99.2,99.2,98.615,98.745,7771,0
2017-02-06 00:00:00,98.635,99.115,98.635,98.83,4877,0
2017-02-07 00:00:00,97.345,97.66,97.21,97.605,8359,0
2017-02-08 00:00:00,97.64,97.94,97.605,97.94,8511,0
2017-02-09 00:00:00,97.965,98.17,97.94,98.115,8550,0
2017-02-10 00:00:00,98.095,98.1,97.955,98.02,6851,0
2017-02-13 00:00:00,98.03,98.335,97.98,98.275,7113,0
2017-02-14 00:00:00,98.245,98.38,98.03,98.165,8539,0
2017-02-15 00:00:00,98.11,98.17,97.97,98.115,7969,0
2017-02-16 00:00:00,98.12,98.6,98.095,98.6,9203,0
2017-02-17 00:00:00,98.49,98.69,98.38,98.57,11036,0
2017-02-20 00:00:00,98.675,98.865,98.535,98.785,10004,0
2017-02-21 00:00:00,98.795,98.795,98.47,98.495,10554,0
2017-02-22 00:00:00,98.31,98.86,98.31,98.83,9682,0
2017-02-23 00:00:00,98.895,99.0,98.7,98.84,7703,0
2017-02-24 00:00:00,98.84,98.99,98.65,98.795,10046,0
2017-02-27 00:00:00,98.86,99.07,98.705,98.72,9353,0
2017-02-28 00:00:00,98.72,98.95,98.665,98.905,6625,0
2017-03-01 00:00:00,98.85,98.87,98.5,98.535,9271,0
2017-03-02 00:00:00,98.5,98.62,98.425,98.485,8388,0
2017-03-03 00:00:00,98.485,98.65,98.4,98.425,8175,0
2017-03-06 00:00:00,98.42,98.475,98.33,98.35,6449,0
2017-03-07 00:00:00,98.35,98.52,98.295,98.49,6654,0
2017-03-08 00:00:00,98.49,98.545,98.14,98.14,9217,0
2017-03-09 00:00:00,98.145,98.45,98.03,98.05,9619,0
2017-03-10 00:00:00,98.095,98.185,97.995,98.115,6919,0
2017-03-13 00:00:00,98.09,98.665,98.005,98.505,10915,0
2017-03-14 00:00:00,98.51,98.635,98.43,98.61,9154,0
2017-03-15 00:00:00,98.61,98.695,98.455,98.605,7652,0
2017-03-16 00:00:00,98.695,99.17,98.695,98.89,19013,0
2017-03-17 00:00:00,98.83,98.97,98.765,98.82,8231,0
2017-03-20 00:00:00,98.825,98.98,98.705,98.815,9023,0
2017-03-21 00:00:00,98.775,98.96,98.6,98.955,10347,0
2017-03-22 00:00:00,98.92,99.055,98.8,98.865,9274,0
2017-03-23 00:00:00,98.88,99.045,98.735,98.945,9581,0
2017-03-24 00:00:00,98.995,99.365,98.845,99.26,12048,0
2017-03-27 00:00:00,99.26,99.4,99.2,99.375,8790,0
2017-03-28 00:00:00,99.385,99.45,99.175,99.22,9918,0
2017-03-29 00:00:00,99.19,99.365,99.06,99.205,8468,0
2017-03-30 00:00:00,99.205,99.25,99.015,99.21,8380,0
2017-03-31 00:00:00,99.16,99.38,99.04,99.24,8194,0
2017-04-05 00:00:00,99.3,99.42,98.955,99.055,9270,0
2017-04-06 00:00:00,99.08,99.18,98.99,99.145,6982,0
2017-04-07 00:00:00,99.135,99.325,99.135,99.265,7608,0
2017-04-10 00:00:00,99.245,99.25,99.045,99.11,7293,0
2017-04-11 00:00:00,99.07,99.21,99.005,99.15,5707,0
2017-04-12 00:00:00,99.265,99.285,98.965,99.0,10120,0
2017-04-13 00:00:00,99.0,99.165,98.85,99.05,9730,0
2017-04-14 00:00:00,99.05,99.1,98.795,98.815,7758,0
2017-04-17 00:00:00,98.755,98.865,98.52,98.555,9575,0
2017-04-18 00:00:00,98.49,98.64,98.4,98.57,8084,0
2017-04-19 00:00:00,98.63,98.77,98.57,98.67,8151,0
2017-04-20 00:00:00,98.61,98.72,98.53,98.655,8135,0
2017-04-21 00:00:00,98.61,98.67,98.365,98.41,8647,0
2017-04-24 00:00:00,98.39,98.39,98.03,98.14,10477,0
