datetime,open,high,low,close,volume,openinterest
2026-01-27 22:00:00,447.5,456.6,446.6,456.5,31767,49377
2026-01-27 23:00:00,456.5,456.8,450.5,452.1,12907,48866
2026-01-28 00:00:00,452.1,455.6,451.2,455.4,1145,49134
2026-01-28 01:00:00,455.6,456.5,454.6,455.4,8266,49451
2026-01-28 02:00:00,455.4,457.3,454.7,455.9,3563,49171
2026-01-28 09:30:00,455.9,461.5,455.5,458.1,18338,48645
2026-01-28 10:45:00,458.1,459.9,457.2,458.4,6170,48220
2026-01-28 13:45:00,458.4,462.8,458.3,460.8,970,48117
2026-01-28 14:45:00,460.8,463.4,460.2,460.9,9566,48366
2026-01-28 15:00:00,460.9,461.2,460.3,460.3,198,48237
2026-01-28 22:00:00,462.1,466.5,461.8,466.1,28327,50019
2026-01-28 23:00:00,466.2,467.1,462.6,463.9,9134,50100
2026-01-29 00:00:00,463.9,465.0,461.2,463.9,476,50223
2026-01-29 01:00:00,463.9,464.8,462.4,463.0,6266,50077
2026-01-29 02:00:00,463.1,464.6,462.3,463.3,1110,49821
2026-01-29 09:30:00,463.3,469.6,462.6,468.8,15062,49374
2026-01-29 10:45:00,468.8,470.5,467.5,469.5,5656,49440
2026-01-29 13:45:00,469.5,473.2,469.3,471.9,17141,49513
2026-01-29 14:45:00,471.9,475.5,471.2,474.4,957,49069
2026-01-29 15:00:00,474.4,474.5,471.5,472.5,86,48378
2026-01-29 22:00:00,476.7,486.1,475.8,484.4,45259,50992
2026-01-29 23:00:00,484.4,499.6,484.1,496.3,40095,53264
2026-01-30 00:00:00,496.1,496.7,471.7,481.3,6351,47986
2026-01-30 01:00:00,481.2,485.3,477.3,479.6,25853,48217
2026-01-30 02:00:00,479.6,484.3,478.9,482.2,9534,48189
2026-01-30 09:30:00,482.3,484.2,478.8,479.3,5316,46805
2026-01-30 10:45:00,479.3,481.4,466.1,472.0,30311,44308
2026-01-30 13:45:00,472.0,476.5,469.8,475.6,16979,44292
2026-01-30 14:45:00,475.5,477.9,472.3,472.9,4746,44308
2026-01-30 15:00:00,473.1,473.8,470.8,470.8,531,44092
2026-01-30 22:00:00,478.1,480.9,474.9,480.3,35975,44366
2026-01-30 23:00:00,480.1,485.3,479.9,483.2,13269,45866
2026-01-31 01:00:00,481.7,485.6,481.3,482.9,13433,45769
2026-01-31 02:00:00,482.8,484.9,470.2,472.5,15441,44656
2026-01-31 09:30:00,472.5,472.7,468.2,470.0,7554,43470
2026-02-02 00:00:00,483.3,483.7,479.9,482.0,14542,45679
2026-02-02 09:30:00,463.9,463.9,458.0,461.0,1242,40889
