datetime,open,high,low,close,volume,openinterest
2025-08-26 14:00:00,107.865,107.88,107.83,107.845,15084,172283
2025-08-26 15:00:00,107.845,107.965,107.84,107.96,870,172525
2025-08-26 15:15:00,107.955,108.005,107.95,107.995,63,173379
2025-08-27 10:30:00,107.955,108.005,107.925,107.94,26970,173742
2025-08-27 11:30:00,107.945,107.97,107.865,107.88,6709,173656
2025-08-27 14:00:00,107.88,107.975,107.865,107.96,17769,173562
2025-08-27 15:00:00,107.96,108.04,107.935,108.005,1,174435
2025-08-27 15:15:00,108.005,108.02,107.985,108.02,14,175035
2025-08-28 10:30:00,107.97,108.005,107.915,107.94,25704,173256
2025-08-28 11:30:00,107.94,107.94,107.885,107.905,6138,172200
2025-08-28 14:00:00,107.91,107.91,107.83,107.835,17467,172165
2025-08-28 15:00:00,107.835,107.86,107.78,107.805,3577,172849
2025-08-28 15:15:00,107.805,107.825,107.78,107.795,28,172535
2025-08-29 10:30:00,107.795,107.84,107.77,107.825,24717,174703
2025-08-29 11:30:00,107.825,107.875,107.795,107.86,6753,176449
2025-08-29 14:00:00,107.86,107.89,107.775,107.78,15309,177268
2025-08-29 15:00:00,107.78,107.85,107.77,107.85,869,177713
2025-08-29 15:15:00,107.845,107.85,107.81,107.81,23,177634
2025-09-01 10:30:00,107.78,107.935,107.705,107.935,36569,179967
2025-09-01 11:30:00,107.935,107.94,107.88,107.925,5760,182286
2025-09-01 14:00:00,107.93,107.975,107.92,107.97,12320,183757
2025-09-01 15:00:00,107.97,108.01,107.95,107.975,31,185291
2025-09-01 15:15:00,107.975,108.01,107.97,108.0,23,185116
2025-09-02 10:30:00,108.005,108.015,107.92,107.945,22510,184657
2025-09-02 11:30:00,107.95,107.98,107.915,107.935,6290,184568
2025-09-02 14:00:00,107.935,107.955,107.905,107.915,9449,184158
2025-09-02 15:00:00,107.915,107.955,107.9,107.935,598,183889
2025-09-02 15:15:00,107.935,107.955,107.915,107.955,6,183369
2025-09-03 10:30:00,108.02,108.145,108.0,108.1,32766,186022
2025-09-03 11:30:00,108.105,108.115,108.01,108.035,6652,186077
2025-09-03 14:00:00,108.025,108.08,108.015,108.045,11308,186898
2025-09-03 15:00:00,108.05,108.165,108.03,108.16,14392,189939
2025-09-03 15:15:00,108.16,108.175,108.145,108.16,97,191224
2025-09-04 10:30:00,108.245,108.305,108.225,108.3,27035,194216
2025-09-04 11:30:00,108.295,108.32,108.25,108.255,6907,194862
2025-09-04 14:00:00,108.26,108.29,108.215,108.225,18207,193417
2025-09-04 15:00:00,108.23,108.305,108.225,108.26,213,195043
2025-09-04 15:15:00,108.265,108.28,108.245,108.26,32,195378
2025-09-05 10:30:00,108.2,108.235,108.11,108.11,25436,199388
2025-09-05 11:30:00,108.11,108.12,108.04,108.06,5055,196476
2025-09-05 14:00:00,108.055,108.095,107.96,107.97,19674,196320
2025-09-05 15:00:00,107.965,107.97,107.885,107.925,74,195568
2025-09-05 15:15:00,107.925,107.955,107.905,107.95,187,195901
2025-09-08 10:30:00,107.86,107.92,107.795,107.855,11,195425
2025-09-08 11:30:00,107.855,107.895,107.82,107.855,75,195620
2025-09-08 14:00:00,107.865,107.875,107.805,107.825,175,196744
2025-09-08 15:00:00,107.82,107.895,107.8,107.845,1699,197743
2025-09-08 15:15:00,107.84,107.865,107.835,107.865,13,197661
2025-09-09 10:30:00,107.835,107.855,107.775,107.82,24472,198686
2025-09-09 11:30:00,107.825,107.825,107.755,107.79,3316,199506
2025-09-09 14:00:00,107.79,107.845,107.77,107.79,14288,199269
2025-09-09 15:00:00,107.79,107.82,107.76,107.77,93,199648
2025-09-09 15:15:00,107.775,107.785,107.765,107.775,28,199635
2025-09-10 10:30:00,107.73,107.775,107.645,107.685,26989,201072
2025-09-10 11:30:00,107.68,107.73,107.62,107.62,6081,201565
2025-09-10 14:00:00,107.65,107.66,107.565,107.57,19995,202607
2025-09-10 15:00:00,107.57,107.57,107.475,107.52,525,204231
2025-09-10 15:15:00,107.52,107.535,107.485,107.49,9,204788
2025-09-11 10:30:00,107.555,107.56,107.455,107.525,28798,205906
2025-09-11 11:30:00,107.52,107.555,107.4,107.405,68,208456
2025-09-11 14:00:00,107.43,107.69,107.415,107.68,85,211472
2025-09-11 15:00:00,107.68,107.74,107.605,107.645,505,211219
2025-09-11 15:15:00,107.62,107.62,107.56,107.58,75,209793
2025-09-12 10:30:00,107.605,107.725,107.555,107.665,35066,212631
2025-09-12 11:30:00,107.665,107.705,107.645,107.65,7804,211628
2025-09-12 14:00:00,107.655,107.695,107.63,107.66,20870,210136
2025-09-12 15:00:00,107.665,107.71,107.63,107.685,8745,208181
