datetime,open,high,low,close,volume,openinterest
2025-08-26 14:00:00,105.48,105.495,105.465,105.485,76,107633
2025-08-26 15:00:00,105.485,105.545,105.48,105.535,592,108133
2025-08-26 15:15:00,105.535,105.56,105.53,105.56,4,107858
2025-08-27 10:30:00,105.525,105.55,105.505,105.52,16174,108297
2025-08-27 11:30:00,105.52,105.545,105.49,105.5,13508,108429
2025-08-27 14:00:00,105.505,105.555,105.5,105.545,14586,109161
2025-08-27 15:00:00,105.54,105.58,105.53,105.555,8,109321
2025-08-27 15:15:00,105.56,105.59,105.55,105.59,50,109817
2025-08-28 10:30:00,105.565,105.565,105.52,105.535,17117,110882
2025-08-28 11:30:00,105.535,105.54,105.515,105.52,47,110856
2025-08-28 14:00:00,105.52,105.525,105.475,105.475,13913,111180
2025-08-28 15:00:00,105.48,105.5,105.445,105.455,3153,111788
2025-08-28 15:15:00,105.455,105.475,105.45,105.46,20,111749
2025-08-29 10:30:00,105.46,105.495,105.445,105.49,16384,112944
2025-08-29 11:30:00,105.49,105.525,105.47,105.52,1108,112371
2025-08-29 14:00:00,105.52,105.54,105.48,105.48,9733,112608
2025-08-29 15:00:00,105.485,105.54,105.475,105.54,1093,113233
2025-08-29 15:15:00,105.54,105.54,105.515,105.515,4,113301
2025-09-01 10:30:00,105.485,105.58,105.455,105.58,24263,113777
2025-09-01 11:30:00,105.58,105.58,105.54,105.56,13492,113772
2025-09-01 14:00:00,105.56,105.595,105.56,105.585,10334,113468
2025-09-01 15:00:00,105.59,105.605,105.57,105.6,15,113400
2025-09-01 15:15:00,105.595,105.61,105.59,105.595,20,113156
2025-09-02 10:30:00,105.59,105.61,105.565,105.58,14645,113403
2025-09-02 11:30:00,105.58,105.6,105.55,105.555,404,113824
2025-09-02 14:00:00,105.56,105.57,105.535,105.54,11051,114195
2025-09-02 15:00:00,105.54,105.565,105.535,105.555,1916,114430
2025-09-02 15:15:00,105.555,105.58,105.545,105.57,19,114612
2025-09-03 10:30:00,105.59,105.685,105.59,105.665,23509,114405
2025-09-03 11:30:00,105.665,105.67,105.63,105.645,735,114981
2025-09-03 14:00:00,105.645,105.665,105.635,105.655,8252,114110
2025-09-03 15:00:00,105.655,105.72,105.645,105.71,15275,114780
2025-09-03 15:15:00,105.715,105.725,105.695,105.725,44,115907
2025-09-04 10:30:00,105.77,105.775,105.74,105.77,20664,116893
2025-09-04 11:30:00,105.77,105.78,105.745,105.75,619,117153
2025-09-04 14:00:00,105.745,105.765,105.735,105.735,12760,118056
2025-09-04 15:00:00,105.735,105.77,105.725,105.75,906,118835
2025-09-04 15:15:00,105.745,105.755,105.74,105.755,8,118593
2025-09-05 10:30:00,105.7,105.72,105.645,105.65,20356,118791
2025-09-05 11:30:00,105.65,105.66,105.6,105.61,3564,117013
2025-09-05 14:00:00,105.61,105.655,105.59,105.59,13402,116624
2025-09-05 15:00:00,105.595,105.605,105.565,105.575,74,115815
2025-09-05 15:15:00,105.58,105.595,105.57,105.59,237,115186
2025-09-08 10:30:00,105.535,105.585,105.51,105.55,26573,117054
2025-09-08 11:30:00,105.555,105.57,105.52,105.555,73,118252
2025-09-08 14:00:00,105.555,105.575,105.535,105.555,181,118577
2025-09-08 15:00:00,105.55,105.615,105.545,105.59,539,119902
2025-09-08 15:15:00,105.585,105.595,105.585,105.585,51,119506
2025-09-09 10:30:00,105.58,105.59,105.53,105.57,17629,119850
2025-09-09 11:30:00,105.565,105.565,105.525,105.545,143,119540
2025-09-09 14:00:00,105.545,105.59,105.53,105.555,301,119961
2025-09-09 15:00:00,105.555,105.61,105.55,105.565,45,120880
2025-09-09 15:15:00,105.57,105.575,105.56,105.57,39,120858
2025-09-10 10:30:00,105.535,105.57,105.49,105.515,2,120655
2025-09-10 11:30:00,105.52,105.545,105.48,105.485,348,120566
2025-09-10 14:00:00,105.495,105.51,105.455,105.475,9,120896
2025-09-10 15:00:00,105.47,105.475,105.43,105.45,600,121202
2025-09-10 15:15:00,105.45,105.46,105.425,105.425,1,121420
2025-09-11 10:30:00,105.46,105.5,105.425,105.475,21112,122766
2025-09-11 11:30:00,105.475,105.505,105.43,105.43,493,123431
2025-09-11 14:00:00,105.435,105.625,105.435,105.615,23,123797
2025-09-11 15:00:00,105.615,105.64,105.57,105.58,1475,123635
2025-09-11 15:15:00,105.585,105.59,105.535,105.59,97,124086
2025-09-12 10:30:00,105.57,105.63,105.53,105.59,29450,121218
2025-09-12 11:30:00,105.59,105.61,105.575,105.59,741,121271
2025-09-12 14:00:00,105.59,105.59,105.54,105.575,14806,120051
2025-09-12 15:00:00,105.575,105.6,105.555,105.585,11554,119075
2025-09-12 15:15:00,105.59,105.6,105.585,105.6,7,118734
2025-09-15 10:30:00,105.585,105.67,105.57,105.665,2,118776
2025-09-15 11:30:00,105.66,105.675,105.605,105.61,135,118221
2025-09-15 14:00:00,105.61,105.655,105.61,105.61,2,118354
2025-09-15 15:00:00,105.615,105.68,105.61,105.68,365,118238
2025-09-15 15:15:00,105.675,105.68,105.655,105.655,62,117782
2025-09-16 10:30:00,105.595,105.615,105.55,105.6,23917,118658
2025-09-16 11:30:00,105.605,105.66,105.595,105.635,2,119628
2025-09-16 14:00:00,105.635,105.745,105.635,105.72,18614,120975
2025-09-16 15:00:00,105.725,105.835,105.72,105.79,77,125019
2025-09-16 15:15:00,105.795,105.8,105.765,105.795,4,126384
2025-09-17 10:30:00,105.76,105.79,105.72,105.76,19890,126839
2025-09-17 11:30:00,105.765,105.84,105.745,105.815,1182,129328
2025-09-17 14:00:00,105.82,105.87,105.81,105.835,250,129632
2025-09-17 15:00:00,105.835,105.89,105.82,105.88,1357,129876
2025-09-17 15:15:00,105.885,105.89,105.87,105.89,23,129236
2025-09-18 10:30:00,105.845,105.875,105.825,105.84,17388,130844
2025-09-18 11:30:00,105.845,105.85,105.81,105.815,11938,131519
2025-09-18 14:00:00,105.815,105.855,105.795,105.815,11391,131377
2025-09-18 15:00:00,105.82,105.845,105.795,105.82,11,132178
2025-09-18 15:15:00,105.82,105.83,105.81,105.82,12,132495
2025-09-19 10:30:00,105.815,105.82,105.765,105.79,22502,134172
2025-09-19 11:30:00,105.785,105.795,105.77,105.78,9364,134576
2025-09-19 14:00:00,105.765,105.765,105.705,105.735,19468,133988
2025-09-19 15:00:00,105.74,105.74,105.58,105.675,6,129602
2025-09-19 15:15:00,105.675,105.685,105.655,105.675,33,130361
2025-09-22 10:30:00,105.685,105.765,105.66,105.755,16572,131736
2025-09-22 11:30:00,105.755,105.77,105.735,105.755,10803,132623
2025-09-22 14:00:00,105.76,105.765,105.72,105.76,8284,132796
2025-09-22 15:00:00,105.76,105.78,105.74,105.765,3,133330
2025-09-22 15:15:00,105.77,105.78,105.75,105.77,18,133337
2025-09-23 10:30:00,105.73,105.73,105.55,105.615,33639,126852
2025-09-23 11:30:00,105.615,105.65,105.595,105.635,1662,125382
2025-09-23 14:00:00,105.63,105.715,105.615,105.685,14171,127118
2025-09-23 15:00:00,105.685,105.7,105.625,105.655,108,126275
2025-09-23 15:15:00,105.655,105.66,105.615,105.625,26,126182
2025-09-24 10:30:00,105.625,105.675,105.62,105.62,14425,126153
2025-09-24 11:30:00,105.62,105.645,105.6,105.615,10091,125356
2025-09-24 14:00:00,105.615,105.635,105.56,105.56,13236,125845
2025-09-24 15:00:00,105.56,105.57,105.52,105.55,62,127494
2025-09-24 15:15:00,105.55,105.575,105.55,105.565,9,128267
2025-09-25 10:30:00,105.51,105.53,105.395,105.42,24,129616
2025-09-25 11:30:00,105.42,105.435,105.375,105.385,1530,130413
2025-09-25 14:00:00,105.38,105.44,105.355,105.425,987,132813
2025-09-25 15:00:00,105.425,105.52,105.41,105.515,5,132899
2025-09-25 15:15:00,105.515,105.56,105.485,105.525,20,133244
2025-09-26 10:30:00,105.55,105.615,105.53,105.61,25030,133076
2025-09-26 11:30:00,105.61,105.615,105.535,105.545,11420,132674
2025-09-26 14:00:00,105.545,105.575,105.535,105.56,6983,132693
2025-09-26 15:00:00,105.555,105.56,105.505,105.555,1266,132679
2025-09-26 15:15:00,105.555,105.565,105.54,105.54,361,132425
2025-09-29 10:30:00,105.575,105.645,105.535,105.545,25942,133641
2025-09-29 11:30:00,105.545,105.565,105.465,105.54,16031,131540
2025-09-29 14:00:00,105.535,105.555,105.505,105.505,5880,131323
2025-09-29 15:00:00,105.505,105.555,105.475,105.505,6,130699
2025-09-29 15:15:00,105.505,105.515,105.475,105.485,56,130261
2025-09-30 10:30:00,105.49,105.58,105.475,105.515,21967,131867
2025-09-30 11:30:00,105.515,105.645,105.5,105.645,1583,132218
2025-09-30 14:00:00,105.655,105.71,105.645,105.66,17824,132267
2025-09-30 15:00:00,105.66,105.69,105.635,105.675,8454,131774
2025-09-30 15:15:00,105.675,105.68,105.63,105.63,20,131782
2025-10-09 10:30:00,105.625,105.755,105.625,105.685,22046,130562
2025-10-09 11:30:00,105.685,105.735,105.68,105.73,6973,130859
2025-10-09 14:00:00,105.73,105.76,105.71,105.755,955,131505
2025-10-09 15:00:00,105.755,105.775,105.72,105.74,380,131031
2025-10-09 15:15:00,105.74,105.75,105.72,105.73,9,130612
2025-10-10 10:30:00,105.745,105.765,105.685,105.71,24,129530
2025-10-10 11:30:00,105.71,105.73,105.685,105.705,38,129535
2025-10-10 14:00:00,105.705,105.705,105.65,105.65,10,128719
2025-10-10 15:00:00,105.65,105.69,105.63,105.645,316,127339
2025-10-10 15:15:00,105.645,105.665,105.64,105.65,23,127064
2025-10-13 10:30:00,105.755,105.77,105.665,105.685,23565,129054
2025-10-13 11:30:00,105.69,105.72,105.68,105.715,9757,129102
