BOND_CODE,BOND_SYMBOL,TRADE_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,PURE_BOND_VALUE,CONVERT_VALUE,PURE_BOND_PREMIUM_RATE,CONVERT_PREMIUM_RATE
113013,sh113013,2017-07-24,116.0,120.25,116.0,120.01,41405340,83.3486,103.5149,43.9856,15.9351
113013,sh113013,2017-07-25,119.15,119.56,118.32,119.1,5691730,83.5052,102.9208,42.6259,15.7201
113013,sh113013,2017-07-26,118.88,120.05,118.7,119.32,1911380,83.521,103.6634,42.8624,15.1033
113013,sh113013,2017-07-27,120.0,120.05,118.9,119.35,1765430,83.511,104.0099,42.9154,14.7487
113013,sh113013,2017-07-28,119.1,119.76,119.03,119.39,2023060,83.5495,102.9703,42.8973,15.9461
113013,sh113013,2017-07-31,119.08,119.9,118.3,119.51,3044070,83.6863,103.4158,42.8072,15.5626
113013,sh113013,2017-08-01,119.0,122.0,119.0,121.2,5227660,83.5983,104.1584,44.9791,16.3612
113013,sh113013,2017-08-02,121.08,124.81,121.0,123.94,5319090,83.5319,105.0495,48.3745,17.9825
113013,sh113013,2017-08-03,124.6,125.1,123.55,123.79,4051930,83.527,103.4653,48.2036,19.6439
113013,sh113013,2017-08-04,123.01,124.4,122.22,123.6,3495240,83.6508,103.4653,47.7571,19.4603
113013,sh113013,2017-08-07,123.6,123.89,121.17,122.34,3182050,83.5617,99.703,46.4067,22.7045
113013,sh113013,2017-08-08,122.34,123.34,121.11,122.25,2782500,83.5205,100.0495,46.3712,22.1895
113013,sh113013,2017-08-09,121.99,122.49,121.23,121.31,1543850,83.537,98.0198,45.2171,23.7607
113013,sh113013,2017-08-10,120.84,122.5,120.84,121.49,966940,83.5611,98.6634,45.3907,23.1359
113013,sh113013,2017-08-11,121.01,121.4,120.0,120.7,1602770,83.6514,98.7129,44.2893,22.2738
113013,sh113013,2017-08-14,120.51,122.99,120.5,121.9,1225670,83.6319,99.505,45.7578,22.5065
113013,sh113013,2017-08-15,121.47,122.79,121.22,121.8,1082680,83.6475,98.7624,45.611,23.3263
113013,sh113013,2017-08-16,121.57,122.2,121.06,121.51,1107600,83.6669,98.3663,45.2307,23.528
113013,sh113013,2017-08-17,121.99,122.35,121.65,122.2,473920,83.6721,99.7525,46.0462,22.5032
113013,sh113013,2017-08-18,121.7,122.65,121.7,121.97,568700,83.7721,97.7723,45.5975,24.7491
113013,sh113013,2017-08-21,121.97,122.63,121.78,121.99,528530,83.6626,98.4158,45.8118,23.9536
113013,sh113013,2017-08-22,122.0,122.45,121.82,122.0,457520,83.6187,98.1683,45.9003,24.2763
113013,sh113013,2017-08-23,122.01,122.5,121.55,122.1,1386510,83.6136,99.3564,46.0289,22.8909
113013,sh113013,2017-08-24,122.09,122.15,120.99,121.1,860810,83.5949,98.4653,44.8653,22.9874
113013,sh113013,2017-08-25,121.1,123.7,121.1,123.4,2333680,83.6352,101.2871,47.5455,21.8319
113013,sh113013,2017-08-28,124.6,128.12,124.3,127.0,6362120,83.7708,107.5743,51.6041,18.058
113013,sh113013,2017-08-29,126.8,128.0,126.0,126.83,1745500,83.8177,106.2871,51.3165,19.3277
113013,sh113013,2017-08-30,127.2,128.88,126.02,126.57,2435090,83.8385,105.6931,50.9688,19.7524
113013,sh113013,2017-08-31,126.57,127.97,126.5,127.05,1865870,83.8728,106.8317,51.4794,18.9254
113013,sh113013,2017-09-01,127.02,128.0,127.0,127.7,678250,83.9352,107.4752,52.1413,18.8181
113013,sh113013,2017-09-04,127.98,128.1,127.52,127.7,595180,84.06,106.5842,51.9152,19.8114
113013,sh113013,2017-09-05,127.73,128.4,127.72,128.28,1065980,84.0782,106.4356,52.5722,20.5235
113013,sh113013,2017-09-06,127.29,128.35,127.0,128.18,2295290,84.0365,106.5842,52.5289,20.2618
113013,sh113013,2017-09-07,128.18,128.4,126.91,126.96,1964160,84.0907,104.4059,50.9798,21.6023
113013,sh113013,2017-09-08,126.92,127.48,126.56,126.72,1937420,84.2167,103.7129,50.469,22.1835
113013,sh113013,2017-09-11,126.73,126.94,126.0,126.19,692080,84.2367,104.0594,49.8041,21.2673
113013,sh113013,2017-09-12,126.19,127.0,125.01,125.58,2468430,84.2555,105.0,49.0467,19.6
113013,sh113013,2017-09-13,126.14,126.14,125.0,125.04,947780,84.3481,104.802,48.2429,19.3107
113013,sh113013,2017-09-14,124.9,125.98,124.38,125.0,1722770,84.268,104.7525,48.3362,19.3289
113013,sh113013,2017-09-15,125.0,126.66,124.72,126.01,1348860,84.3526,105.0,49.3848,20.0095
113013,sh113013,2017-09-18,125.98,127.5,125.98,126.87,1384340,84.3087,106.3861,50.4827,19.2543
113013,sh113013,2017-09-19,126.99,126.99,125.12,125.39,656810,84.2515,104.703,48.8283,19.7578
113013,sh113013,2017-09-20,125.39,126.0,124.81,125.66,315310,84.3028,105.9901,49.0579,18.5582
113013,sh113013,2017-09-21,125.99,127.0,125.83,126.5,916840,84.3758,106.5842,49.9246,18.6856
113013,sh113013,2017-09-22,126.12,126.87,125.9,125.93,351540,84.4751,107.9703,49.0735,16.6339
113013,sh113013,2017-09-25,126.48,126.48,124.51,125.1,735930,84.4643,107.9703,48.1099,15.8652
113013,sh113013,2017-09-26,125.0,125.0,123.5,124.28,836900,84.5038,107.4752,47.0703,15.6359
113013,sh113013,2017-09-27,123.54,124.6,123.54,124.19,567520,84.4437,105.9901,47.0684,17.1713
113013,sh113013,2017-09-28,124.06,124.98,123.61,123.97,284010,84.4113,106.0891,46.8642,16.8546
113013,sh113013,2017-09-29,123.66,125.5,123.66,125.28,456290,84.5176,107.0792,48.2294,16.9975
113013,sh113013,2017-10-09,126.2,129.8,125.0,125.19,1259160,84.6297,106.7327,47.9267,17.293
113013,sh113013,2017-10-10,125.8,125.8,124.7,125.01,126010,84.5777,105.6436,47.8049,18.3319
113013,sh113013,2017-10-11,125.5,126.48,125.16,126.11,464020,84.6356,105.7921,49.0036,19.2055
113013,sh113013,2017-10-12,126.1,126.9,126.1,126.37,284450,84.5845,105.1485,49.4009,20.1824
113013,sh113013,2017-10-13,126.21,126.65,126.21,126.3,221340,84.5347,105.099,49.4062,20.1724
113013,sh113013,2017-10-16,125.71,126.7,125.02,125.27,1274040,84.4239,105.0,48.3821,19.3048
113013,sh113013,2017-10-17,125.4,125.4,124.5,124.5,292970,84.3375,104.0099,47.6211,19.7001
113013,sh113013,2017-10-18,124.7,124.89,124.05,124.3,203200,84.3158,105.4455,47.422,17.8808
113013,sh113013,2017-10-19,124.66,125.0,122.11,123.27,504430,84.4025,104.901,46.0502,17.5108
113013,sh113013,2017-10-20,122.3,123.72,122.3,122.95,517660,84.4613,103.2673,45.5696,19.0599
113013,sh113013,2017-10-23,123.0,123.2,121.62,121.9,389570,84.5789,102.3267,44.1257,19.1282
113013,sh113013,2017-10-24,121.99,123.0,121.4,122.13,349800,84.4836,103.5149,44.5606,17.9831
113013,sh113013,2017-10-25,122.8,122.8,121.64,121.84,188120,84.3668,103.4653,44.4171,17.7592
113013,sh113013,2017-10-26,121.78,121.78,119.74,119.77,1445190,84.3703,102.9208,41.9575,16.371
113013,sh113013,2017-10-27,119.88,120.58,119.2,119.82,819100,84.2929,101.3366,42.1472,18.2396
113013,sh113013,2017-10-30,119.4,120.48,114.66,115.49,1772160,84.0776,99.8515,37.3612,15.6618
113013,sh113013,2017-10-31,115.0,116.54,115.0,115.5,1391650,84.0238,98.7129,37.461,17.006
113013,sh113013,2017-11-01,116.99,116.99,115.51,116.34,758580,84.0312,98.2178,38.4486,18.451
113013,sh113013,2017-11-02,115.6,116.49,115.25,116.14,771920,84.0486,98.4158,38.1819,18.0095
113013,sh113013,2017-11-03,115.78,116.5,115.66,115.91,415150,84.0137,98.8119,37.9656,17.3037
113013,sh113013,2017-11-06,115.91,116.3,115.4,116.0,421320,83.9295,98.9604,38.2113,17.2186
113013,sh113013,2017-11-07,115.9,117.77,115.9,117.03,898680,83.8754,99.901,39.5284,17.146
113013,sh113013,2017-11-08,117.98,120.25,117.03,118.88,824710,83.8929,101.1386,41.7044,17.5417
113013,sh113013,2017-11-09,118.66,119.6,118.45,118.89,213040,83.878,100.8416,41.7415,17.8978
113013,sh113013,2017-11-10,118.22,119.35,118.22,119.1,1157610,83.7451,100.396,42.2172,18.6302
113013,sh113013,2017-11-13,119.0,120.79,118.65,119.1,811320,83.5452,100.0495,42.5575,19.0411
113013,sh113013,2017-11-14,119.11,119.14,117.88,118.38,430920,83.4065,99.2079,41.9315,19.3251
113013,sh113013,2017-11-15,118.07,118.97,117.46,118.0,345830,83.3034,98.9604,41.6508,19.2396
