time,open,high,low,close,tick_volume,spread,real_volume
2018-08-15T00:00:00+00:00,11.83,11.83,11.74,11.74,152,0,237150000
2018-08-16T00:00:00+00:00,11.8,11.8,11.74,11.74,19,0,47000000
2018-08-17T00:00:00+00:00,11.79,11.82,11.77,11.82,31,0,209250000
2018-08-20T00:00:00+00:00,11.85,11.91,11.85,11.9,41,0,260570000
2018-08-21T00:00:00+00:00,11.91,11.95,11.89,11.93,44,0,258800000
2018-08-22T00:00:00+00:00,11.98,11.98,11.94,11.96,193,0,906500000
2018-08-23T00:00:00+00:00,11.91,11.92,11.85,11.86,63,0,302740000
2018-08-24T00:00:00+00:00,11.96,12.08,11.96,12.05,41,0,490650000
2018-08-27T00:00:00+00:00,12.08,12.13,12.08,12.1,52,0,342230000
2018-08-28T00:00:00+00:00,12.13,12.13,12.01,12.01,17,0,276270000
2018-08-29T00:00:00+00:00,12.06,12.06,12.03,12.05,19,0,167430000
2018-08-30T00:00:00+00:00,11.99,12.01,11.98,12.01,10,0,24550000
2018-08-31T00:00:00+00:00,12.04,12.05,11.99,11.99,79,0,251620000
2018-09-04T00:00:00+00:00,11.91,11.94,11.9,11.92,18,0,40200000
2018-09-05T00:00:00+00:00,11.97,11.98,11.96,11.97,29,0,311260000
2018-09-06T00:00:00+00:00,12.07,12.07,11.98,12.0,21,0,130850000
2018-09-07T00:00:00+00:00,11.97,11.97,11.94,11.96,42,0,118650000
2018-09-10T00:00:00+00:00,11.96,11.96,11.94,11.95,32,0,632540000
2018-09-11T00:00:00+00:00,11.88,11.96,11.88,11.96,4,0,53520000
2018-09-12T00:00:00+00:00,12.03,12.07,12.02,12.07,7,0,9340000
2018-09-13T00:00:00+00:00,12.07,12.07,12.01,12.01,16,0,25260000
2018-09-14T00:00:00+00:00,11.96,11.98,11.93,11.93,8,0,70060000
2018-09-17T00:00:00+00:00,12.01,12.04,12.0,12.01,19,0,102520000
2018-09-18T00:00:00+00:00,11.98,11.98,11.98,11.98,1,0,1000000
2018-09-19T00:00:00+00:00,12.03,12.04,12.03,12.03,36,0,81000000
2018-09-20T00:00:00+00:00,12.07,12.07,12.04,12.06,9,0,39510000
2018-09-21T00:00:00+00:00,12.0,12.0,11.97,11.99,4,0,28200000
2018-09-24T00:00:00+00:00,12.02,12.03,12.0,12.0,7,0,72520000
2018-09-25T00:00:00+00:00,12.02,12.02,12.01,12.01,10,0,74500000
2018-09-26T00:00:00+00:00,11.94,11.97,11.91,11.95,83,0,374020000
2018-09-27T00:00:00+00:00,11.85,11.87,11.84,11.84,5,0,14000000
2018-09-28T00:00:00+00:00,11.85,11.93,11.85,11.92,18,0,243370000
2018-10-01T00:00:00+00:00,11.88,11.9,11.88,11.89,4,0,31520000
2018-10-02T00:00:00+00:00,12.02,12.07,12.02,12.02,11,0,82030000
2018-10-03T00:00:00+00:00,12.02,12.02,11.98,11.98,11,0,104240000
2018-10-04T00:00:00+00:00,12.04,12.04,11.98,11.98,7,0,19500000
2018-10-05T00:00:00+00:00,12.03,12.03,12.03,12.03,1,0,1000000
2018-10-08T00:00:00+00:00,11.85,11.87,11.83,11.86,30,0,281000000
2018-10-09T00:00:00+00:00,11.86,11.89,11.86,11.88,3,0,10500000
2018-10-10T00:00:00+00:00,11.88,11.93,11.88,11.93,5,0,152700000
2018-10-11T00:00:00+00:00,12.08,12.24,12.08,12.22,17,0,55820000
2018-10-12T00:00:00+00:00,12.21,12.21,12.17,12.2,20,0,155000000
2018-10-15T00:00:00+00:00,12.3,12.3,12.26,12.27,7,0,38640000
2018-10-16T00:00:00+00:00,12.3,12.3,12.25,12.25,5,0,12000000
2018-10-17T00:00:00+00:00,12.26,12.28,12.22,12.22,7,0,45090000
2018-10-18T00:00:00+00:00,12.24,12.28,12.24,12.26,9,0,64620000
2018-10-19T00:00:00+00:00,12.28,12.29,12.26,12.26,12,0,32750000
2018-10-22T00:00:00+00:00,12.21,12.22,12.21,12.22,2,0,16500000
2018-10-23T00:00:00+00:00,12.33,12.33,12.31,12.31,6,0,34980000
2018-10-24T00:00:00+00:00,12.3,12.32,12.28,12.3,48,0,167040000
2018-10-25T00:00:00+00:00,12.32,12.32,12.28,12.29,16,0,82370000
2018-10-26T00:00:00+00:00,12.34,12.42,12.33,12.35,62,0,2147360000
2018-10-29T00:00:00+00:00,12.3,12.3,12.25,12.3,20,0,51060000
2018-10-30T00:00:00+00:00,12.23,12.24,12.23,12.23,3,0,7670000
2018-10-31T00:00:00+00:00,12.13,12.17,12.12,12.16,39,0,105420000
2018-11-01T00:00:00+00:00,12.32,12.35,12.32,12.33,6,0,21500000
2018-11-02T00:00:00+00:00,12.35,12.35,12.31,12.34,68,0,112780000
2018-11-05T00:00:00+00:00,12.32,12.32,12.29,12.31,10,0,21060000
2018-11-06T00:00:00+00:00,12.3,12.3,12.24,12.26,32,0,106080000
2018-11-07T00:00:00+00:00,12.29,12.29,12.26,12.27,30,0,85000000
2018-11-08T00:00:00+00:00,12.24,12.24,12.22,12.22,9,0,18050000
2018-11-09T00:00:00+00:00,12.1,12.1,12.08,12.08,5,0,45220000
2018-11-12T00:00:00+00:00,12.04,12.04,12.01,12.01,11,0,42690000
2018-11-13T00:00:00+00:00,11.99,12.04,11.99,12.0,17,0,37390000
2018-11-14T00:00:00+00:00,11.99,12.15,11.99,12.11,10,0,67000000
2018-11-15T00:00:00+00:00,12.12,12.15,12.12,12.15,6,0,32130000
2018-11-16T00:00:00+00:00,12.24,12.24,12.21,12.21,8,0,35350000
2018-11-19T00:00:00+00:00,12.2,12.24,12.2,12.23,27,0,118400000
2018-11-20T00:00:00+00:00,12.24,12.24,12.2,12.21,14,0,64000000
2018-11-21T00:00:00+00:00,12.26,12.26,12.26,12.26,11,0,17960000
2018-11-26T00:00:00+00:00,12.25,12.25,12.22,12.22,3,0,14300000
2018-11-27T00:00:00+00:00,12.18,12.18,12.14,12.14,2,0,9050000
2018-11-28T00:00:00+00:00,12.23,12.24,12.19,12.2,11,0,40380000
2018-11-29T00:00:00+00:00,12.26,12.27,12.24,12.24,24,0,81670000
2018-11-30T00:00:00+00:00,12.17,12.21,12.17,12.21,8,0,14650000
2018-12-03T00:00:00+00:00,12.33,12.34,12.29,12.29,22,0,52610000
2018-12-04T00:00:00+00:00,12.41,12.41,12.37,12.38,18,0,32170000
2018-12-06T00:00:00+00:00,13.9,14.85,12.36,12.37,48,0,241380000
2018-12-07T00:00:00+00:00,12.45,12.5,12.45,12.5,17,0,49750000
2018-12-10T00:00:00+00:00,12.43,12.47,12.42,12.44,18,0,123660000
2018-12-11T00:00:00+00:00,12.44,12.44,12.42,12.42,9,0,53340000
2018-12-12T00:00:00+00:00,12.46,12.46,12.44,12.46,5,0,37760000
2018-12-13T00:00:00+00:00,12.41,12.43,12.41,12.43,31,0,223190000
2018-12-14T00:00:00+00:00,12.32,12.39,12.32,12.38,34,0,37500000
2018-12-17T00:00:00+00:00,12.42,12.46,12.41,12.46,19,0,28320000
2018-12-18T00:00:00+00:00,12.46,12.5,12.46,12.49,55,0,217750000
2018-12-19T00:00:00+00:00,12.57,12.57,12.44,12.44,50,0,117170000
2018-12-20T00:00:00+00:00,12.59,12.64,12.56,12.6,20,0,48160000
2018-12-21T00:00:00+00:00,12.59,12.59,12.56,12.56,46,0,118470000
2018-12-24T00:00:00+00:00,12.65,12.69,12.65,12.69,33,0,1291890000
2018-12-26T00:00:00+00:00,12.79,12.83,12.67,12.67,71,0,177820000
2018-12-27T00:00:00+00:00,12.74,12.78,12.72,12.76,39,0,110370000
2018-12-28T00:00:00+00:00,12.77,12.8,12.77,12.8,52,0,159400000
2018-12-31T00:00:00+00:00,12.8,12.83,12.8,12.82,29,0,231970000
2019-01-02T00:00:00+00:00,12.84,13.05,12.8,13.05,16,0,110090000
