time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,61.44,61.75,60.19,60.5,19,0,66000000
2003-09-11T00:00:00+00:00,59.25,60.25,59.1,60.25,14,0,39000000
2003-09-12T00:00:00+00:00,60.6,61.1,60.5,61.09,13,0,33000000
2003-09-15T00:00:00+00:00,60.09,60.3,60.09,60.1,3,0,4000000
2003-09-16T00:00:00+00:00,60.5,60.5,60.06,60.09,9,0,32000000
2003-09-17T00:00:00+00:00,60.68,60.68,60.15,60.15,5,0,43000000
2003-09-18T00:00:00+00:00,60.15,60.15,59.6,59.98,3,0,7000000
2003-09-19T00:00:00+00:00,59.92,59.92,59.02,59.02,15,0,245000000
2003-09-22T00:00:00+00:00,58.0,58.1,57.6,57.6,15,0,500000000
2003-09-23T00:00:00+00:00,61.24,62.73,61.22,61.85,34,0,132000000
2003-09-24T00:00:00+00:00,63.75,64.0,62.12,62.12,24,0,94000000
2003-09-25T00:00:00+00:00,64.1,64.34,63.9,64.15,16,0,26000000
2003-09-26T00:00:00+00:00,63.02,63.15,61.2,61.49,11,0,42000000
2003-09-29T00:00:00+00:00,63.99,64.6,63.95,64.5,29,0,940000000
2003-09-30T00:00:00+00:00,65.02,65.08,63.35,63.5,11,0,464000000
2003-10-01T00:00:00+00:00,63.09,63.23,62.8,63.2,17,0,893000000
2003-10-02T00:00:00+00:00,63.0,63.09,62.65,62.89,6,0,91000000
2003-10-03T00:00:00+00:00,63.05,63.6,63.05,63.35,10,0,262000000
2003-10-06T00:00:00+00:00,62.3,62.84,62.3,62.62,42,0,526000000
2003-10-07T00:00:00+00:00,61.82,62.3,61.64,62.1,25,0,448000000
2003-10-08T00:00:00+00:00,61.39,61.39,60.39,60.63,15,0,34000000
2003-10-09T00:00:00+00:00,60.18,60.25,60.1,60.1,5,0,35000000
2003-10-10T00:00:00+00:00,62.1,62.31,61.5,62.12,13,0,33000000
2003-10-13T00:00:00+00:00,62.2,62.7,62.2,62.35,11,0,72000000
2003-10-14T00:00:00+00:00,62.0,62.1,62.0,62.0,4,0,7000000
2003-10-15T00:00:00+00:00,61.85,62.25,61.8,61.8,5,0,11000000
2003-10-16T00:00:00+00:00,61.65,62.19,61.65,62.19,6,0,11000000
2003-10-20T00:00:00+00:00,60.0,60.14,59.8,59.89,7,0,21000000
2003-10-21T00:00:00+00:00,60.87,61.5,60.87,61.5,12,0,29000000
2003-10-22T00:00:00+00:00,61.75,62.9,61.7,62.2,14,0,42000000
2003-10-23T00:00:00+00:00,61.1,61.1,60.75,60.75,3,0,40000000
2003-10-24T00:00:00+00:00,60.97,61.76,60.97,61.62,31,0,35000000
2003-10-27T00:00:00+00:00,61.86,61.95,61.52,61.95,8,0,14000000
2003-10-28T00:00:00+00:00,62.56,62.56,62.03,62.49,8,0,285000000
2003-10-29T00:00:00+00:00,62.25,62.35,62.15,62.24,18,0,305000000
2003-10-30T00:00:00+00:00,63.45,63.55,62.92,62.92,12,0,65000000
2003-10-31T00:00:00+00:00,62.8,63.0,62.8,63.0,2,0,4000000
2003-11-03T00:00:00+00:00,63.76,63.96,63.32,63.32,9,0,47000000
2003-11-04T00:00:00+00:00,63.5,63.99,63.45,63.45,5,0,6000000
2003-11-05T00:00:00+00:00,61.15,62.25,60.9,62.02,21,0,63000000
2003-11-06T00:00:00+00:00,59.1,60.5,58.94,59.3,26,0,112000000
2003-11-07T00:00:00+00:00,59.05,59.22,58.85,59.2,15,0,80000000
2003-11-10T00:00:00+00:00,57.9,57.9,57.65,57.65,3,0,11000000
2003-11-11T00:00:00+00:00,58.2,59.28,58.2,59.28,15,0,219000000
2003-11-12T00:00:00+00:00,59.28,59.94,59.0,59.83,23,0,146000000
2003-11-13T00:00:00+00:00,58.79,58.79,58.61,58.61,2,0,2000000
2003-11-14T00:00:00+00:00,59.85,60.06,59.85,59.93,6,0,18000000
2003-11-17T00:00:00+00:00,60.05,60.3,59.95,59.95,6,0,52000000
2003-11-18T00:00:00+00:00,60.55,61.25,60.51,61.0,9,0,15000000
2003-11-19T00:00:00+00:00,60.74,60.74,60.6,60.63,3,0,4000000
2003-11-20T00:00:00+00:00,60.3,60.6,60.01,60.44,12,0,28000000
2003-11-21T00:00:00+00:00,59.8,59.85,59.58,59.58,4,0,7000000
2003-11-24T00:00:00+00:00,59.65,60.23,59.65,60.23,7,0,17000000
2003-11-25T00:00:00+00:00,60.33,60.33,60.15,60.15,2,0,2000000
2003-11-26T00:00:00+00:00,60.2,60.34,60.0,60.0,4,0,5000000
2003-11-28T00:00:00+00:00,60.25,60.54,60.25,60.5,8,0,12000000
2003-12-01T00:00:00+00:00,60.1,60.24,59.72,59.72,6,0,16000000
2003-12-02T00:00:00+00:00,60.25,60.41,60.19,60.41,8,0,20000000
2003-12-03T00:00:00+00:00,59.22,59.35,59.0,59.25,20,0,155000000
2003-12-04T00:00:00+00:00,58.05,58.3,57.75,57.75,25,0,764000000
2003-12-05T00:00:00+00:00,58.2,58.74,58.2,58.74,22,0,30000000
2003-12-08T00:00:00+00:00,57.31,57.55,57.0,57.5,12,0,18000000
2003-12-09T00:00:00+00:00,57.82,57.82,57.3,57.3,13,0,56000000
2003-12-10T00:00:00+00:00,57.75,57.75,57.61,57.61,2,0,8000000
2003-12-11T00:00:00+00:00,57.85,58.25,57.85,58.25,6,0,15000000
2003-12-12T00:00:00+00:00,58.69,58.69,58.53,58.53,2,0,4000000
2003-12-15T00:00:00+00:00,60.18,60.18,59.6,59.6,12,0,23000000
2003-12-16T00:00:00+00:00,60.05,60.32,59.95,60.0,10,0,33000000
2003-12-17T00:00:00+00:00,60.43,60.5,60.04,60.25,9,0,14000000
2003-12-18T00:00:00+00:00,60.66,60.7,60.2,60.4,6,0,25000000
2003-12-19T00:00:00+00:00,59.74,59.74,59.28,59.5,10,0,41000000
2003-12-22T00:00:00+00:00,59.16,59.44,59.16,59.3,8,0,15000000
2003-12-23T00:00:00+00:00,58.65,59.0,58.65,59.0,14,0,40000000
2003-12-24T00:00:00+00:00,59.0,59.0,59.0,59.0,2,0,2000000
2003-12-26T00:00:00+00:00,58.99,58.99,58.6,58.6,5,0,6000000
2003-12-29T00:00:00+00:00,59.25,59.39,59.15,59.35,8,0,24000000
2003-12-30T00:00:00+00:00,59.7,59.9,59.7,59.9,7,0,10000000
2003-12-31T00:00:00+00:00,60.15,60.3,60.15,60.3,5,0,7000000
2004-01-02T00:00:00+00:00,60.13,60.47,60.03,60.47,11,0,33000000
2004-01-05T00:00:00+00:00,61.5,61.55,60.75,60.99,33,0,65000000
2004-01-06T00:00:00+00:00,61.85,61.99,61.66,61.99,16,0,57000000
2004-01-07T00:00:00+00:00,61.15,61.5,61.15,61.18,12,0,51000000
2004-01-08T00:00:00+00:00,61.4,61.5,61.05,61.35,10,0,21000000
2004-01-09T00:00:00+00:00,61.05,61.19,61.0,61.17,10,0,25000000
2004-01-12T00:00:00+00:00,58.5,58.54,57.96,58.45,16,0,24000000
2004-01-13T00:00:00+00:00,58.14,58.14,57.56,57.56,4,0,12000000
2004-01-14T00:00:00+00:00,57.49,57.5,57.25,57.35,11,0,43000000
2004-01-15T00:00:00+00:00,57.85,57.85,57.5,57.58,7,0,20000000
2004-01-16T00:00:00+00:00,59.1,59.1,58.4,58.95,7,0,19000000
2004-01-20T00:00:00+00:00,59.35,59.64,59.35,59.64,4,0,6000000
2004-01-21T00:00:00+00:00,59.39,60.2,59.39,60.2,13,0,20000000
2004-01-22T00:00:00+00:00,60.05,60.3,59.9,60.0,6,0,20000000
2004-01-23T00:00:00+00:00,59.25,59.25,58.67,58.7,8,0,52000000
2004-01-26T00:00:00+00:00,59.2,59.2,58.6,58.6,19,0,60000000
2004-01-27T00:00:00+00:00,59.0,59.76,59.0,59.74,12,0,28000000
2004-01-28T00:00:00+00:00,59.6,59.6,59.0,59.0,11,0,25000000
2004-01-29T00:00:00+00:00,57.93,57.94,57.5,57.7,17,0,37000000
2004-01-30T00:00:00+00:00,57.0,57.0,56.3,56.7,14,0,35000000
2004-02-02T00:00:00+00:00,57.1,57.2,57.07,57.07,4,0,8000000
2004-02-03T00:00:00+00:00,59.0,59.73,58.96,59.62,29,0,104000000
2004-02-04T00:00:00+00:00,59.47,59.9,59.45,59.9,6,0,13000000
2004-02-05T00:00:00+00:00,59.9,59.9,59.6,59.7,8,0,29000000
2004-02-06T00:00:00+00:00,59.65,60.1,59.65,60.1,5,0,7000000
2004-02-09T00:00:00+00:00,59.9,60.2,59.9,60.1,5,0,7000000
2004-02-10T00:00:00+00:00,60.87,61.48,60.85,61.35,32,0,41000000
2004-02-11T00:00:00+00:00,60.75,61.05,60.7,60.91,10,0,17000000
2004-02-12T00:00:00+00:00,60.55,60.85,60.55,60.85,4,0,1136000000
2004-02-13T00:00:00+00:00,60.52,60.52,59.8,59.9,12,0,23000000
2004-02-17T00:00:00+00:00,60.8,60.8,60.69,60.75,4,0,12000000
2004-02-18T00:00:00+00:00,61.05,61.05,60.99,61.0,3,0,37000000
2004-02-19T00:00:00+00:00,61.03,61.03,60.85,60.85,2,0,16000000
2004-02-20T00:00:00+00:00,60.37,60.37,59.6,59.6,10,0,23000000
2004-02-23T00:00:00+00:00,59.75,59.85,59.75,59.84,6,0,11000000
2004-02-24T00:00:00+00:00,60.4,60.6,60.22,60.32,4,0,29000000
2004-02-25T00:00:00+00:00,60.5,60.5,60.25,60.49,12,0,29000000
2004-02-26T00:00:00+00:00,60.25,60.6,60.15,60.6,7,0,16000000
2004-02-27T00:00:00+00:00,61.8,62.16,61.6,61.8,32,0,88000000
2004-03-01T00:00:00+00:00,61.8,61.8,61.12,61.5,20,0,46000000
2004-03-02T00:00:00+00:00,61.51,61.84,61.07,61.48,13,0,95000000
2004-03-03T00:00:00+00:00,60.53,61.2,60.53,61.09,20,0,44000000
2004-03-04T00:00:00+00:00,62.3,62.7,61.95,62.52,18,0,49000000
2004-03-05T00:00:00+00:00,64.6,65.15,64.58,65.09,52,0,218000000
2004-03-08T00:00:00+00:00,64.4,64.68,64.14,64.14,19,0,69000000
2004-03-09T00:00:00+00:00,64.88,65.09,64.88,65.0,18,0,22000000
2004-03-10T00:00:00+00:00,63.86,63.86,62.74,62.75,19,0,55000000
2004-03-11T00:00:00+00:00,61.53,61.53,61.32,61.42,12,0,32000000
2004-03-12T00:00:00+00:00,61.42,62.95,61.42,62.95,33,0,132000000
2004-03-15T00:00:00+00:00,66.18,66.28,65.01,65.78,42,0,101000000
2004-03-16T00:00:00+00:00,64.44,64.44,63.35,63.45,21,0,49000000
2004-03-17T00:00:00+00:00,63.28,63.4,62.84,63.4,6,0,14000000
2004-03-18T00:00:00+00:00,63.45,63.5,62.99,62.99,19,0,404000000
2004-03-19T00:00:00+00:00,62.39,62.95,62.25,62.39,27,0,62000000
2004-03-22T00:00:00+00:00,62.8,63.01,62.45,63.0,15,0,34000000
2004-03-23T00:00:00+00:00,62.15,62.15,61.5,61.75,21,0,42000000
2004-03-24T00:00:00+00:00,61.22,61.39,61.0,61.1,13,0,40000000
2004-03-25T00:00:00+00:00,59.75,60.2,59.5,60.2,18,0,247000000
2004-03-26T00:00:00+00:00,60.6,60.65,60.31,60.65,10,0,10000000
2004-03-29T00:00:00+00:00,60.52,60.66,60.47,60.5,6,0,9000000
2004-03-30T00:00:00+00:00,62.38,62.45,62.09,62.45,11,0,16000000
2004-03-31T00:00:00+00:00,62.12,62.12,61.9,61.91,4,0,9000000
2004-04-01T00:00:00+00:00,62.75,62.75,62.54,62.54,3,0,3000000
2004-04-02T00:00:00+00:00,61.8,62.11,61.8,62.11,10,0,14000000
2004-04-05T00:00:00+00:00,61.81,62.4,61.8,62.2,13,0,36000000
2004-04-06T00:00:00+00:00,62.0,62.43,61.96,62.43,10,0,22000000
2004-04-07T00:00:00+00:00,62.52,63.0,62.39,62.97,14,0,41000000
2004-04-08T00:00:00+00:00,62.0,62.0,61.18,61.35,20,0,80000000
2004-04-12T00:00:00+00:00,61.5,61.5,61.45,61.45,6,0,19000000
2004-04-13T00:00:00+00:00,61.46,61.46,61.0,61.0,6,0,7000000
2004-04-14T00:00:00+00:00,60.74,61.68,60.74,61.42,9,0,135000000
2004-04-15T00:00:00+00:00,62.04,62.22,61.9,62.1,17,0,21000000
2004-04-16T00:00:00+00:00,62.95,63.88,62.95,63.75,9,0,17000000
2004-04-19T00:00:00+00:00,63.77,64.21,63.77,64.2,12,0,44000000
2004-04-20T00:00:00+00:00,62.75,63.0,62.62,62.75,21,0,55000000
2004-04-21T00:00:00+00:00,61.68,62.8,61.6,62.6,18,0,65000000
2004-04-22T00:00:00+00:00,62.15,62.71,62.15,62.71,8,0,16000000
2004-04-23T00:00:00+00:00,63.04,63.35,62.9,63.31,8,0,40000000
2004-04-26T00:00:00+00:00,64.08,64.1,63.53,63.53,18,0,150000000
2004-04-27T00:00:00+00:00,63.28,63.55,63.26,63.47,12,0,22000000
2004-04-28T00:00:00+00:00,62.85,62.85,61.9,61.91,17,0,32000000
2004-04-29T00:00:00+00:00,62.14,62.8,62.14,62.35,15,0,31000000
2004-04-30T00:00:00+00:00,64.04,64.04,63.46,63.46,21,0,33000000
2004-05-03T00:00:00+00:00,62.44,62.74,62.09,62.61,47,0,124000000
2004-05-04T00:00:00+00:00,63.2,63.2,63.1,63.2,3,0,55000000
2004-05-05T00:00:00+00:00,63.25,64.12,63.25,64.03,30,0,67000000
2004-05-06T00:00:00+00:00,62.79,62.79,61.87,61.9,25,0,59000000
2004-05-07T00:00:00+00:00,61.92,62.15,61.04,61.04,74,0,177000000
2004-05-10T00:00:00+00:00,60.47,60.64,60.23,60.64,19,0,23000000
2004-05-11T00:00:00+00:00,60.38,60.5,60.16,60.5,14,0,17000000
2004-05-12T00:00:00+00:00,61.15,61.27,60.61,60.7,22,0,37000000
2004-05-13T00:00:00+00:00,60.71,61.0,60.38,60.38,12,0,13000000
2004-05-14T00:00:00+00:00,60.78,61.5,60.78,61.29,17,0,19000000
2004-05-17T00:00:00+00:00,62.5,62.59,62.1,62.1,12,0,14000000
2004-05-18T00:00:00+00:00,62.46,62.61,62.46,62.47,5,0,19000000
2004-05-19T00:00:00+00:00,62.3,62.72,62.14,62.29,22,0,43000000
2004-05-20T00:00:00+00:00,62.85,62.99,62.53,62.59,10,0,11000000
