time,open,high,low,close,tick_volume,spread,real_volume
2013-12-09T00:00:00+00:00,23.85,25.44,23.45,24.96,70448,0,20566365
2013-12-10T00:00:00+00:00,24.54,25.17,24.41,24.88,58326,0,15848658
2013-12-11T00:00:00+00:00,25.44,27.19,25.37,25.99,101411,0,31083407
2013-12-12T00:00:00+00:00,26.25,26.72,25.45,25.5,68253,0,18823484
2013-12-13T00:00:00+00:00,25.61,26.31,25.52,26.3,32730,0,10825694
2013-12-16T00:00:00+00:00,26.6,26.77,26.35,26.61,33728,0,11746598
2013-12-17T00:00:00+00:00,26.46,26.59,25.95,26.1,33585,0,9766079
2013-12-18T00:00:00+00:00,26.0,26.23,25.55,26.22,27781,0,9250846
2013-12-19T00:00:00+00:00,26.1,26.49,25.82,26.12,25970,0,6227367
2013-12-20T00:00:00+00:00,26.2,26.5,26.14,26.35,24878,0,6642406
2013-12-23T00:00:00+00:00,26.36,26.49,26.05,26.21,13201,0,4210079
2013-12-24T00:00:00+00:00,26.0,26.27,26.0,26.25,9085,0,2504756
2013-12-26T00:00:00+00:00,26.12,26.36,25.97,26.11,16796,0,4039101
2013-12-27T00:00:00+00:00,25.99,26.1,24.91,24.95,39706,0,11936259
2013-12-30T00:00:00+00:00,24.9,25.25,24.65,24.78,32017,0,8206333
2013-12-31T00:00:00+00:00,24.78,25.26,24.63,25.24,30035,0,6579385
2014-01-02T00:00:00+00:00,25.07,25.82,25.06,25.37,36602,0,8264065
2014-01-03T00:00:00+00:00,25.75,26.77,25.51,26.54,47096,0,12530417
2014-01-06T00:00:00+00:00,26.69,27.2,26.6,27.0,45384,0,10807782
2014-01-07T00:00:00+00:00,27.2,27.4,26.67,26.92,46888,0,10832173
2014-01-08T00:00:00+00:00,26.38,27.68,26.35,27.64,54118,0,14649957
2014-01-09T00:00:00+00:00,28.25,29.6,28.2,29.47,84953,0,24543044
2014-01-10T00:00:00+00:00,29.07,29.83,28.75,29.35,44708,0,11938051
2014-01-13T00:00:00+00:00,29.18,29.53,28.58,28.64,33258,0,10025619
2014-01-14T00:00:00+00:00,28.8,29.04,28.71,28.89,31943,0,9605971
2014-01-15T00:00:00+00:00,28.9,29.45,28.7,28.85,38217,0,10083300
2014-01-16T00:00:00+00:00,28.94,29.4,28.7,29.32,27533,0,6583922
2014-01-17T00:00:00+00:00,29.3,30.03,29.17,30.01,37581,0,12767258
2014-01-21T00:00:00+00:00,30.66,30.8,30.2,30.65,39041,0,10008159
2014-01-22T00:00:00+00:00,30.71,31.24,30.65,31.2,25143,0,7229572
2014-01-23T00:00:00+00:00,30.69,31.46,30.62,31.34,34935,0,10428549
2014-01-24T00:00:00+00:00,31.05,31.18,29.91,30.41,42465,0,13239574
2014-01-27T00:00:00+00:00,30.49,30.87,28.67,30.19,53202,0,15199818
2014-01-28T00:00:00+00:00,30.4,32.21,30.02,31.95,71406,0,22815830
2014-01-29T00:00:00+00:00,32.2,33.4,32.1,33.0,73323,0,21137357
2014-01-30T00:00:00+00:00,33.36,34.2,33.2,33.84,38964,0,11881984
2014-01-31T00:00:00+00:00,33.44,34.08,33.0,33.55,45951,0,11583057
2014-02-03T00:00:00+00:00,33.95,34.49,33.05,33.95,71328,0,19362978
2014-02-04T00:00:00+00:00,34.04,34.38,33.58,34.05,42305,0,10461170
2014-02-05T00:00:00+00:00,33.81,33.97,33.4,33.8,50504,0,14388986
2014-02-06T00:00:00+00:00,33.72,34.92,33.7,34.63,54975,0,12952317
2014-02-07T00:00:00+00:00,34.84,35.7,34.65,35.65,44886,0,14796697
2014-02-10T00:00:00+00:00,36.13,36.15,35.38,35.55,33162,0,10483795
2014-02-11T00:00:00+00:00,35.58,35.64,34.39,35.08,41733,0,11462431
2014-02-12T00:00:00+00:00,34.88,35.0,34.36,34.69,32460,0,8479601
2014-02-13T00:00:00+00:00,34.08,35.05,34.06,35.02,26318,0,8035738
2014-02-14T00:00:00+00:00,34.83,35.18,34.22,34.43,26066,0,7018984
2014-02-18T00:00:00+00:00,34.72,34.95,34.2,34.29,24853,0,6556286
2014-02-19T00:00:00+00:00,34.21,35.09,34.11,34.56,27747,0,6986021
2014-02-20T00:00:00+00:00,34.56,35.67,34.47,35.67,26916,0,8100312
2014-02-21T00:00:00+00:00,35.79,36.45,35.75,36.17,24180,0,7454130
2014-02-24T00:00:00+00:00,36.2,36.66,36.02,36.66,20372,0,6608973
2014-02-25T00:00:00+00:00,36.78,37.15,36.51,36.99,28830,0,8529232
2014-02-26T00:00:00+00:00,37.14,37.28,36.58,36.79,23847,0,6537174
2014-02-27T00:00:00+00:00,36.88,36.95,36.34,36.58,16585,0,5445398
2014-02-28T00:00:00+00:00,36.12,36.99,36.07,36.89,24080,0,7281240
2014-03-03T00:00:00+00:00,36.17,36.4,35.32,36.14,39527,0,8888702
2014-03-04T00:00:00+00:00,36.58,37.46,36.57,37.34,45977,0,11194257
2014-03-05T00:00:00+00:00,37.65,38.03,37.51,37.87,37113,0,8490039
2014-03-06T00:00:00+00:00,38.28,39.33,38.28,38.81,46253,0,12454998
2014-03-07T00:00:00+00:00,39.17,39.29,38.11,39.02,36587,0,9292549
2014-03-10T00:00:00+00:00,39.58,39.58,38.6,38.96,33516,0,7654800
