time,open,high,low,close,tick_volume,spread,real_volume
2024-09-16T00:00:00+00:00,9.98,9.99,9.97,9.98,102,0,702600
2024-09-17T00:00:00+00:00,9.98,9.99,9.98,9.98,215,0,813650
2024-09-18T00:00:00+00:00,9.99,9.99,9.98,9.98,2,0,4095
2024-09-19T00:00:00+00:00,9.99,9.99,9.98,9.99,15,0,317150
2024-09-20T00:00:00+00:00,9.99,10.0,9.98,9.98,97,0,203538
2024-09-23T00:00:00+00:00,9.99,10.0,9.99,9.99,116,0,151974
2024-09-24T00:00:00+00:00,10.0,10.01,9.99,10.01,51,0,14000
2024-09-25T00:00:00+00:00,9.99,10.0,9.99,10.0,4,0,250300
2024-09-26T00:00:00+00:00,10.0,10.01,10.0,10.01,59,0,1623727
2024-09-27T00:00:00+00:00,10.02,10.02,10.01,10.01,4,0,536900
2024-09-30T00:00:00+00:00,10.02,10.02,10.01,10.01,89,0,191493
2024-10-01T00:00:00+00:00,10.02,10.02,10.01,10.01,23,0,118175
2024-10-02T00:00:00+00:00,10.02,10.03,10.01,10.02,70,0,650392
2024-10-03T00:00:00+00:00,10.02,10.03,10.01,10.02,22,0,346035
2024-10-04T00:00:00+00:00,10.02,10.02,10.02,10.02,8,0,50194
2024-10-07T00:00:00+00:00,10.02,10.03,10.02,10.03,5,0,19171
2024-10-09T00:00:00+00:00,10.02,10.03,10.01,10.01,40,0,73263
2024-10-10T00:00:00+00:00,10.02,10.02,10.02,10.02,100,0,63242
2024-10-11T00:00:00+00:00,10.02,10.02,10.02,10.02,20,0,24061
2024-10-14T00:00:00+00:00,10.02,10.02,10.02,10.02,5,0,5000
2024-10-15T00:00:00+00:00,10.02,10.02,10.02,10.02,2,0,510
2024-10-16T00:00:00+00:00,10.02,10.04,10.02,10.03,12,0,552700
2024-10-17T00:00:00+00:00,10.02,10.03,10.02,10.02,94,0,908155
2024-10-18T00:00:00+00:00,10.02,10.04,10.02,10.04,89,0,355300
2024-10-21T00:00:00+00:00,10.02,10.03,10.02,10.02,4,0,3830
2024-10-22T00:00:00+00:00,10.02,10.03,10.02,10.03,5,0,5251
2024-10-23T00:00:00+00:00,10.03,10.03,10.02,10.03,72,0,417099
2024-10-25T00:00:00+00:00,10.04,10.04,10.03,10.03,4,0,51925
2024-10-28T00:00:00+00:00,10.04,10.05,10.03,10.04,65,0,116611
2024-10-29T00:00:00+00:00,10.04,10.04,10.04,10.04,2,0,1600
2024-10-30T00:00:00+00:00,10.03,10.04,10.03,10.03,4,0,23100
2024-10-31T00:00:00+00:00,10.04,10.05,10.04,10.04,85,0,101799
2024-11-01T00:00:00+00:00,10.04,10.05,10.03,10.04,26,0,37016
2024-11-04T00:00:00+00:00,10.05,10.05,10.05,10.05,9,0,1400
2024-11-05T00:00:00+00:00,10.05,10.06,10.04,10.05,142,0,227453
2024-11-06T00:00:00+00:00,10.05,10.06,10.05,10.05,20,0,22400
2024-11-07T00:00:00+00:00,10.05,10.06,10.04,10.06,18,0,109184
2024-11-08T00:00:00+00:00,10.05,10.06,10.05,10.05,32,0,212467
2024-11-11T00:00:00+00:00,10.05,10.06,10.05,10.05,16,0,50757
2024-11-12T00:00:00+00:00,10.06,10.06,10.06,10.06,2,0,51468
2024-11-13T00:00:00+00:00,10.05,10.05,10.05,10.05,1,0,7545
2024-11-14T00:00:00+00:00,10.06,10.07,10.05,10.06,12,0,103264
2024-11-15T00:00:00+00:00,10.06,10.06,10.05,10.05,5,0,2493
2024-11-18T00:00:00+00:00,10.05,10.06,10.04,10.04,281,0,266971
2024-11-19T00:00:00+00:00,10.05,10.06,10.05,10.05,70,0,83576
2024-11-20T00:00:00+00:00,10.06,10.06,10.05,10.05,2,0,680
2024-11-21T00:00:00+00:00,10.06,10.06,10.05,10.05,8,0,4180
2024-11-22T00:00:00+00:00,10.06,10.07,10.05,10.06,15,0,6426
2024-11-25T00:00:00+00:00,10.05,10.06,10.05,10.05,37,0,57379
2024-11-26T00:00:00+00:00,10.05,10.06,10.05,10.06,3,0,1620
2024-11-27T00:00:00+00:00,10.05,10.06,10.04,10.05,393,0,3360148
2024-11-29T00:00:00+00:00,10.05,10.06,10.05,10.05,7,0,2468
2024-12-02T00:00:00+00:00,10.06,10.07,10.04,10.07,272,0,1806313
2024-12-03T00:00:00+00:00,10.05,10.08,10.05,10.08,97,0,73945
2024-12-04T00:00:00+00:00,10.05,10.05,10.05,10.05,1,0,100
2024-12-05T00:00:00+00:00,10.07,10.08,10.06,10.08,30,0,5389
2024-12-06T00:00:00+00:00,10.08,10.08,10.08,10.08,2,0,5100
2024-12-09T00:00:00+00:00,10.07,10.08,10.07,10.08,7,0,5425
2024-12-10T00:00:00+00:00,10.08,10.08,10.07,10.08,80,0,64100
2024-12-11T00:00:00+00:00,10.07,10.08,10.07,10.08,9,0,7217
2024-12-12T00:00:00+00:00,10.07,10.08,10.07,10.07,10,0,398346
2024-12-13T00:00:00+00:00,10.08,10.09,10.07,10.08,21,0,111522
2024-12-16T00:00:00+00:00,10.08,10.08,10.07,10.07,17,0,7548
2024-12-17T00:00:00+00:00,10.09,10.09,10.09,10.09,2,0,9763
2024-12-18T00:00:00+00:00,10.08,10.09,10.08,10.08,4,0,12400
2024-12-19T00:00:00+00:00,10.08,10.08,10.08,10.08,2,0,50270
2024-12-20T00:00:00+00:00,10.08,10.08,10.08,10.08,3,0,6652
2024-12-23T00:00:00+00:00,10.09,10.09,10.09,10.09,1,0,100
2024-12-24T00:00:00+00:00,10.1,10.1,10.1,10.1,6,0,1939
2024-12-26T00:00:00+00:00,10.09,10.09,10.08,10.08,5,0,129294
2024-12-27T00:00:00+00:00,10.1,10.1,10.09,10.09,5,0,108433
2024-12-30T00:00:00+00:00,10.1,10.11,10.1,10.11,19,0,64048
2024-12-31T00:00:00+00:00,10.1,10.11,10.1,10.11,16,0,7008
2025-01-02T00:00:00+00:00,10.1,10.12,10.1,10.12,67,0,141576
2025-01-06T00:00:00+00:00,10.11,10.12,10.1,10.11,7,0,8540
2025-01-07T00:00:00+00:00,10.12,10.12,10.12,10.12,2,0,247
2025-01-08T00:00:00+00:00,10.11,10.12,10.11,10.12,3,0,930
2025-01-14T00:00:00+00:00,10.12,10.12,10.12,10.12,2,0,1260
2025-01-16T00:00:00+00:00,10.12,10.13,10.12,10.12,6,0,8574
2025-01-17T00:00:00+00:00,10.12,10.13,10.12,10.12,6,0,65247
2025-01-21T00:00:00+00:00,10.12,10.12,10.12,10.12,8,0,3610
2025-01-22T00:00:00+00:00,10.13,10.14,10.12,10.13,18,0,6310
2025-01-23T00:00:00+00:00,10.13,10.17,10.13,10.14,6,0,1578
2025-01-24T00:00:00+00:00,10.13,10.14,10.13,10.13,3,0,7928
2025-01-27T00:00:00+00:00,10.15,10.19,10.13,10.15,49,0,143152
2025-01-28T00:00:00+00:00,10.15,10.15,10.14,10.14,24,0,68043
2025-01-29T00:00:00+00:00,10.16,10.16,10.14,10.14,82,0,24064
2025-01-30T00:00:00+00:00,10.15,10.15,10.14,10.14,18,0,19875
2025-01-31T00:00:00+00:00,10.15,10.19,10.14,10.19,15,0,2138
2025-02-03T00:00:00+00:00,10.16,10.18,10.15,10.15,30,0,5600
2025-02-04T00:00:00+00:00,10.15,10.15,10.15,10.15,1,0,820
2025-02-05T00:00:00+00:00,10.15,10.17,10.15,10.16,24,0,127034
2025-02-06T00:00:00+00:00,10.15,10.15,10.15,10.15,1,0,547
2025-02-07T00:00:00+00:00,10.18,10.18,10.18,10.18,4,0,400
2025-02-10T00:00:00+00:00,10.18,10.18,10.15,10.16,7,0,25030
2025-02-11T00:00:00+00:00,10.15,10.18,10.15,10.18,25,0,145368
2025-02-12T00:00:00+00:00,10.17,10.18,10.16,10.18,7,0,3422
2025-02-13T00:00:00+00:00,10.17,10.17,10.16,10.17,42,0,66905
2025-02-14T00:00:00+00:00,10.18,10.18,10.17,10.17,5,0,1400
2025-02-18T00:00:00+00:00,10.16,10.18,10.16,10.18,4,0,847
2025-02-19T00:00:00+00:00,10.18,10.18,10.17,10.17,10,0,9118
2025-02-20T00:00:00+00:00,10.18,10.18,10.17,10.17,4,0,50785
2025-02-21T00:00:00+00:00,10.18,10.18,10.17,10.17,2,0,1205
2025-02-24T00:00:00+00:00,10.18,10.19,10.18,10.19,88,0,490790
2025-02-25T00:00:00+00:00,10.19,10.19,10.19,10.19,69,0,83298
2025-02-26T00:00:00+00:00,10.19,10.19,10.18,10.18,14,0,5319
2025-02-27T00:00:00+00:00,10.19,10.2,10.19,10.2,46,0,11900
2025-02-28T00:00:00+00:00,10.2,10.22,10.2,10.22,5,0,500
2025-03-03T00:00:00+00:00,10.21,10.21,10.21,10.21,1,0,244
2025-03-04T00:00:00+00:00,10.23,10.24,10.2,10.21,8,0,27895
2025-03-05T00:00:00+00:00,10.24,10.24,10.21,10.21,8,0,2951
2025-03-06T00:00:00+00:00,10.22,10.24,10.22,10.22,4,0,1395
2025-03-07T00:00:00+00:00,10.24,10.24,10.21,10.22,16,0,25795
2025-03-10T00:00:00+00:00,10.23,10.23,10.21,10.22,6,0,6419
2025-03-11T00:00:00+00:00,10.21,10.22,10.21,10.22,6,0,609
2025-03-12T00:00:00+00:00,10.24,10.24,10.22,10.23,20,0,2757
2025-03-13T00:00:00+00:00,10.22,10.22,10.22,10.22,1,0,1600
2025-03-14T00:00:00+00:00,10.23,10.23,10.22,10.23,24,0,7531
2025-03-17T00:00:00+00:00,10.23,10.23,10.23,10.23,2,0,200
2025-03-18T00:00:00+00:00,10.24,10.24,10.24,10.24,5,0,500
2025-03-20T00:00:00+00:00,10.25,10.25,10.25,10.25,17,0,22600
2025-03-21T00:00:00+00:00,10.25,10.25,10.24,10.24,12,0,6950
2025-03-24T00:00:00+00:00,10.25,10.26,10.25,10.25,7,0,4029
2025-03-26T00:00:00+00:00,10.26,10.26,10.26,10.26,59,0,18962
2025-03-27T00:00:00+00:00,10.27,10.27,10.27,10.27,1,0,100
2025-03-28T00:00:00+00:00,10.25,10.25,10.25,10.25,1,0,300000
2025-03-31T00:00:00+00:00,10.26,10.3,10.26,10.3,19,0,7200
2025-04-01T00:00:00+00:00,10.27,10.31,10.26,10.26,73,0,13771
2025-04-03T00:00:00+00:00,10.26,10.28,10.26,10.28,31,0,4889
2025-04-04T00:00:00+00:00,10.26,10.3,10.26,10.3,24,0,18336
2025-04-07T00:00:00+00:00,10.25,10.28,10.25,10.28,6,0,200853
2025-04-08T00:00:00+00:00,10.26,10.27,10.26,10.27,3,0,1472
