time,open,high,low,close,tick_volume,spread,real_volume
2022-08-09T00:00:00+00:00,25.05,25.15,25.05,25.08,3,0,6000000
2022-08-10T00:00:00+00:00,25.89,26.11,25.89,26.11,12,0,33950000
2022-08-11T00:00:00+00:00,26.55,26.55,26.08,26.08,7,0,31380000
2022-08-12T00:00:00+00:00,26.68,26.79,26.65,26.74,7,0,24000000
2022-08-15T00:00:00+00:00,26.82,27.22,26.81,27.21,34,0,71060000
2022-08-16T00:00:00+00:00,27.92,27.92,26.74,27.12,57,0,59250000
2022-08-17T00:00:00+00:00,27.38,27.76,27.15,27.54,31,0,33500000
2022-08-18T00:00:00+00:00,27.46,27.57,27.43,27.43,10,0,11000000
2022-08-19T00:00:00+00:00,27.2,27.2,26.64,26.73,20,0,20500000
2022-08-22T00:00:00+00:00,26.19,26.21,25.5,25.63,70,0,70970000
2022-08-23T00:00:00+00:00,25.62,25.68,25.56,25.56,8,0,14000000
2022-08-24T00:00:00+00:00,25.34,25.67,25.34,25.67,9,0,12500000
2022-08-25T00:00:00+00:00,26.12,26.12,26.08,26.08,6,0,11020000
2022-08-26T00:00:00+00:00,25.78,25.78,24.5,24.5,11,0,17990000
2022-08-29T00:00:00+00:00,23.76,24.2,23.75,23.93,37,0,72490000
2022-08-30T00:00:00+00:00,23.31,23.35,23.13,23.13,6,0,7500000
2022-08-31T00:00:00+00:00,23.48,23.48,22.92,22.92,2,0,2000000
2022-09-01T00:00:00+00:00,22.63,22.8,22.52,22.74,22,0,22000000
2022-09-02T00:00:00+00:00,23.42,23.55,22.47,22.54,37,0,41080000
2022-09-06T00:00:00+00:00,22.0,22.46,21.96,22.1,4,0,14650000
2022-09-07T00:00:00+00:00,22.24,22.4,22.21,22.37,23,0,26500000
2022-09-08T00:00:00+00:00,22.04,22.04,22.04,22.04,1,0,1000000
2022-09-09T00:00:00+00:00,22.55,22.82,22.44,22.82,8,0,13000000
2022-09-12T00:00:00+00:00,23.63,24.51,23.63,24.31,35,0,37000000
2022-09-13T00:00:00+00:00,22.91,22.91,21.8,21.8,10,0,15680000
2022-09-14T00:00:00+00:00,21.89,22.44,21.76,22.15,23,0,37000000
2022-09-15T00:00:00+00:00,21.51,21.81,21.35,21.81,6,0,12000000
