time,open,high,low,close,tick_volume,spread,real_volume
2022-08-09T00:00:00+00:00,25.1,25.1,25.0,25.05,6,0,6000000
2022-08-10T00:00:00+00:00,24.6,24.73,24.41,24.43,47,0,119630000
2022-08-11T00:00:00+00:00,24.24,24.46,24.2,24.45,71,0,121000000
2022-08-12T00:00:00+00:00,24.25,24.35,23.98,24.0,161,0,205850000
2022-08-15T00:00:00+00:00,24.0,24.0,23.78,23.8,149,0,286130000
2022-08-16T00:00:00+00:00,23.91,23.99,23.78,23.82,152,0,245440000
2022-08-17T00:00:00+00:00,23.91,23.91,23.42,23.59,198,0,494100000
2022-08-18T00:00:00+00:00,23.68,23.78,23.57,23.67,160,0,440070000
2022-08-19T00:00:00+00:00,23.74,24.01,23.74,24.01,313,0,718300000
2022-08-22T00:00:00+00:00,24.3,24.61,24.27,24.58,225,0,420640000
2022-08-23T00:00:00+00:00,24.53,24.69,24.41,24.62,201,0,648290000
2022-08-24T00:00:00+00:00,24.68,24.76,24.5,24.51,110,0,352200000
2022-08-25T00:00:00+00:00,24.31,24.4,24.25,24.26,62,0,169200000
2022-08-26T00:00:00+00:00,24.2,25.1,24.12,25.1,128,0,449120000
2022-08-29T00:00:00+00:00,25.51,25.68,25.24,25.48,134,0,408640000
2022-08-30T00:00:00+00:00,25.34,26.01,25.33,25.87,129,0,412570000
2022-08-31T00:00:00+00:00,25.76,26.12,25.61,26.12,50,0,180230000
2022-09-01T00:00:00+00:00,26.26,26.46,26.03,26.04,133,0,532340000
2022-09-02T00:00:00+00:00,25.77,26.47,25.64,26.4,64,0,199190000
2022-09-06T00:00:00+00:00,26.67,26.69,26.31,26.67,91,0,356460000
2022-09-07T00:00:00+00:00,26.38,26.65,26.25,26.38,56,0,175240000
2022-09-08T00:00:00+00:00,26.47,26.9,26.3,26.67,107,0,437720000
2022-09-09T00:00:00+00:00,26.49,26.55,26.08,26.09,101,0,316050000
2022-09-12T00:00:00+00:00,25.73,25.75,24.98,25.12,119,0,635210000
2022-09-13T00:00:00+00:00,25.57,26.63,25.56,26.56,162,0,544290000
2022-09-14T00:00:00+00:00,26.47,26.61,26.03,26.3,109,0,418030000
2022-09-15T00:00:00+00:00,26.41,26.99,26.38,26.83,55,0,191160000
2022-09-16T00:00:00+00:00,27.05,27.52,27.03,27.15,119,0,433610000
2022-09-19T00:00:00+00:00,27.35,27.39,26.46,26.48,88,0,223680000
2022-09-20T00:00:00+00:00,26.5,26.5,25.85,25.99,76,0,333460000
2022-09-21T00:00:00+00:00,25.78,26.49,25.78,26.49,135,0,397170000
2022-09-22T00:00:00+00:00,26.79,27.03,26.42,26.71,180,0,574920000
2022-09-23T00:00:00+00:00,27.04,27.43,26.98,27.08,216,0,726510000
2022-09-26T00:00:00+00:00,27.14,27.15,26.53,27.05,669,0,2888450000
2022-09-27T00:00:00+00:00,26.51,27.16,26.38,26.91,242,0,975110000
2022-09-28T00:00:00+00:00,27.53,28.09,27.12,27.22,316,0,1204410000
2022-09-29T00:00:00+00:00,27.96,28.89,27.83,28.59,396,0,1427220000
2022-09-30T00:00:00+00:00,28.84,29.44,28.48,29.44,297,0,1516770000
2022-10-03T00:00:00+00:00,29.46,29.48,28.41,28.55,290,0,1320610000
2022-10-04T00:00:00+00:00,27.98,28.1,27.79,27.84,354,0,1984570000
2022-10-05T00:00:00+00:00,28.17,28.36,27.6,27.81,375,0,1608230000
2022-10-06T00:00:00+00:00,27.75,27.95,27.61,27.9,140,0,658280000
2022-10-07T00:00:00+00:00,28.53,29.09,28.41,28.95,240,0,1016910000
2022-10-10T00:00:00+00:00,28.91,29.26,28.62,28.93,180,0,682840000
2022-10-11T00:00:00+00:00,29.06,29.34,28.79,29.21,230,0,1252720000
2022-10-12T00:00:00+00:00,29.22,29.36,28.94,29.29,89,0,466620000
2022-10-13T00:00:00+00:00,30.07,30.12,28.28,28.35,231,0,805470000
2022-10-14T00:00:00+00:00,28.07,29.32,28.07,29.27,179,0,751720000
2022-10-17T00:00:00+00:00,28.67,28.85,28.33,28.44,105,0,491330000
2022-10-18T00:00:00+00:00,27.79,28.74,27.59,28.15,277,0,1455580000
2022-10-19T00:00:00+00:00,28.45,28.45,27.98,28.17,204,0,1316880000
2022-10-20T00:00:00+00:00,28.09,28.38,27.76,28.28,223,0,1424910000
2022-10-21T00:00:00+00:00,28.25,28.39,27.38,27.45,273,0,1404960000
2022-10-24T00:00:00+00:00,27.6,27.7,26.94,27.09,119,0,592960000
2022-10-25T00:00:00+00:00,26.94,27.08,26.55,26.57,115,0,634950000
2022-10-26T00:00:00+00:00,26.8,27.29,26.63,27.11,234,0,1031550000
2022-10-27T00:00:00+00:00,27.16,28.03,27.16,27.91,397,0,1487820000
2022-10-28T00:00:00+00:00,27.28,27.28,25.48,25.81,1500,0,5555130000
2022-10-31T00:00:00+00:00,26.33,26.37,26.06,26.22,194,0,593820000
2022-11-01T00:00:00+00:00,26.64,26.9,26.58,26.68,289,0,885220000
2022-11-02T00:00:00+00:00,26.95,27.78,26.47,27.74,388,0,1140440000
2022-11-03T00:00:00+00:00,28.47,28.85,28.4,28.84,239,0,903890000
2022-11-04T00:00:00+00:00,28.73,29.73,28.7,28.88,478,0,2031320000
2022-11-07T00:00:00+00:00,29.18,29.48,28.77,28.78,483,0,1665730000
2022-11-08T00:00:00+00:00,28.51,29.09,28.3,28.7,231,0,973430000
2022-11-09T00:00:00+00:00,28.9,29.7,28.9,29.64,308,0,1150140000
2022-11-10T00:00:00+00:00,28.19,28.41,27.03,27.03,626,0,1838990000
2022-11-11T00:00:00+00:00,27.21,27.47,26.46,26.51,231,0,793880000
2022-11-14T00:00:00+00:00,26.59,26.9,26.43,26.77,141,0,522940000
2022-11-15T00:00:00+00:00,26.05,26.71,25.81,26.5,186,0,528510000
2022-11-16T00:00:00+00:00,26.54,26.93,26.49,26.67,256,0,661020000
2022-11-17T00:00:00+00:00,27.04,27.04,26.2,26.3,238,0,1008880000
2022-11-18T00:00:00+00:00,26.04,26.42,26.04,26.28,197,0,1190770000
2022-11-21T00:00:00+00:00,26.46,26.87,26.46,26.82,165,0,712980000
2022-11-22T00:00:00+00:00,26.79,26.97,26.39,26.41,122,0,392120000
2022-11-23T00:00:00+00:00,26.55,26.55,26.15,26.28,109,0,423770000
2022-11-25T00:00:00+00:00,26.74,26.96,26.69,26.82,116,0,531070000
2022-11-28T00:00:00+00:00,27.39,27.66,27.09,27.48,640,0,3635880000
2022-11-29T00:00:00+00:00,27.53,28.24,27.49,28.1,464,0,2104630000
2022-11-30T00:00:00+00:00,28.08,28.21,26.74,26.75,714,0,3468320000
2022-12-01T00:00:00+00:00,26.67,26.96,26.58,26.62,174,0,725080000
2022-12-02T00:00:00+00:00,27.09,27.17,26.75,26.77,254,0,1030740000
2022-12-05T00:00:00+00:00,26.7,27.13,26.28,26.99,205,0,1165260000
2022-12-06T00:00:00+00:00,27.02,27.86,26.99,27.68,449,0,1354740000
2022-12-07T00:00:00+00:00,27.71,28.25,27.62,28.05,267,0,1263950000
2022-12-08T00:00:00+00:00,27.76,28.03,27.59,27.73,253,0,1623050000
2022-12-09T00:00:00+00:00,27.97,28.03,27.25,27.84,529,0,1975950000
2022-12-12T00:00:00+00:00,27.68,28.06,27.39,27.39,230,0,880690000
2022-12-13T00:00:00+00:00,26.41,27.41,26.4,27.23,418,0,2152370000
2022-12-14T00:00:00+00:00,27.24,27.96,26.99,27.62,184,0,653970000
2022-12-15T00:00:00+00:00,28.03,29.02,28.03,28.93,377,0,1108950000
2022-12-16T00:00:00+00:00,28.89,29.53,28.76,29.35,484,0,2032410000
2022-12-19T00:00:00+00:00,29.38,30.06,29.32,29.81,466,0,2584160000
2022-12-20T00:00:00+00:00,29.93,30.26,29.54,29.72,288,0,1373090000
2022-12-21T00:00:00+00:00,29.61,29.61,28.74,29.04,286,0,923550000
2022-12-22T00:00:00+00:00,29.31,30.13,29.25,29.71,482,0,2854050000
2022-12-23T00:00:00+00:00,29.86,30.33,29.71,29.85,196,0,586380000
2022-12-27T00:00:00+00:00,29.98,30.52,29.98,30.25,296,0,1441770000
2022-12-28T00:00:00+00:00,30.3,31.21,30.08,31.17,1043,0,3902880000
2022-12-29T00:00:00+00:00,30.71,30.74,30.1,30.29,544,0,1860670000
2022-12-30T00:00:00+00:00,30.7,30.83,30.25,30.25,331,0,1212820000
2023-01-03T00:00:00+00:00,30.11,31.59,30.08,31.37,818,0,3207660000
2023-01-04T00:00:00+00:00,30.9,31.35,30.52,31.04,400,0,1239360000
2023-01-05T00:00:00+00:00,31.05,31.47,30.77,31.38,252,0,953550000
2023-01-06T00:00:00+00:00,31.22,31.45,30.11,30.28,420,0,1744770000
2023-01-09T00:00:00+00:00,29.99,30.18,29.38,30.14,320,0,1150990000
2023-01-10T00:00:00+00:00,30.12,30.61,29.92,30.01,199,0,612170000
2023-01-11T00:00:00+00:00,29.82,30.05,29.4,29.41,224,0,623890000
2023-01-12T00:00:00+00:00,29.23,29.76,29.22,29.39,399,0,1245460000
2023-01-13T00:00:00+00:00,29.77,29.81,29.08,29.12,188,0,546370000
2023-01-17T00:00:00+00:00,29.12,29.24,28.59,28.88,204,0,698320000
2023-01-18T00:00:00+00:00,28.69,29.06,28.33,29.06,224,0,1516550000
2023-01-19T00:00:00+00:00,29.21,29.34,28.85,29.08,342,0,1308130000
2023-01-20T00:00:00+00:00,29.21,29.26,28.49,28.54,299,0,1326330000
2023-01-23T00:00:00+00:00,28.41,28.41,27.38,27.81,560,0,2579650000
2023-01-24T00:00:00+00:00,27.94,27.94,27.45,27.53,184,0,749610000
2023-01-25T00:00:00+00:00,27.9,28.26,27.61,27.69,222,0,759850000
2023-01-26T00:00:00+00:00,27.42,27.64,27.22,27.27,288,0,976420000
2023-01-27T00:00:00+00:00,27.38,27.38,26.7,26.92,334,0,1786010000
2023-01-30T00:00:00+00:00,27.13,27.48,27.02,27.47,248,0,890370000
2023-01-31T00:00:00+00:00,27.57,27.58,27.22,27.22,158,0,553280000
2023-02-01T00:00:00+00:00,27.33,27.75,26.79,27.0,291,0,1207010000
2023-02-02T00:00:00+00:00,26.34,26.46,25.96,26.04,440,0,1583180000
2023-02-03T00:00:00+00:00,26.51,26.51,24.9,25.35,1018,0,5148540000
