time,open,high,low,close,tick_volume,spread,real_volume
2022-08-09T00:00:00+00:00,24.83,25.11,24.83,25.06,14,0,15000000
2022-08-10T00:00:00+00:00,25.72,26.0,25.45,26.0,72,0,97760000
2022-08-11T00:00:00+00:00,26.27,26.32,25.86,25.88,35,0,89870000
2022-08-12T00:00:00+00:00,26.12,26.66,26.0,26.66,90,0,132600000
2022-08-15T00:00:00+00:00,26.6,26.91,26.6,26.84,78,0,119310000
2022-08-16T00:00:00+00:00,26.76,26.99,26.64,26.82,155,0,291220000
2022-08-17T00:00:00+00:00,26.97,27.56,26.87,27.18,101,0,315410000
2022-08-18T00:00:00+00:00,26.98,27.22,26.88,27.2,77,0,200120000
2022-08-19T00:00:00+00:00,26.91,26.91,26.45,26.47,53,0,92240000
2022-08-22T00:00:00+00:00,26.06,26.06,25.52,25.55,33,0,86870000
2022-08-23T00:00:00+00:00,25.69,25.69,25.44,25.59,14,0,57120000
2022-08-24T00:00:00+00:00,25.49,25.64,25.28,25.56,48,0,69940000
2022-08-25T00:00:00+00:00,25.97,26.06,25.75,26.06,23,0,50870000
2022-08-26T00:00:00+00:00,26.14,26.14,24.61,24.61,50,0,127710000
2022-08-29T00:00:00+00:00,24.17,24.38,24.01,24.23,65,0,126000000
2022-08-30T00:00:00+00:00,24.26,24.26,23.41,23.45,29,0,121000000
2022-08-31T00:00:00+00:00,23.62,23.84,23.15,23.18,70,0,564000000
2022-09-01T00:00:00+00:00,23.01,23.29,22.7,23.29,45,0,244970000
2022-09-02T00:00:00+00:00,23.73,23.8,22.66,22.66,53,0,148940000
2022-09-06T00:00:00+00:00,23.0,23.01,22.45,22.54,33,0,202900000
2022-09-07T00:00:00+00:00,22.62,22.99,22.44,22.84,56,0,200760000
2022-09-08T00:00:00+00:00,22.64,22.9,22.12,22.48,45,0,110160000
2022-09-09T00:00:00+00:00,22.65,23.18,22.65,23.17,52,0,88310000
2022-09-12T00:00:00+00:00,23.76,24.6,23.75,24.48,131,0,347150000
2022-09-13T00:00:00+00:00,23.66,23.75,22.21,22.34,133,0,354850000
2022-09-14T00:00:00+00:00,22.5,23.01,22.26,22.69,111,0,262170000
2022-09-15T00:00:00+00:00,22.44,22.59,21.8,22.01,71,0,330060000
2022-09-16T00:00:00+00:00,21.59,21.77,21.18,21.64,81,0,196810000
2022-09-19T00:00:00+00:00,21.36,22.42,21.32,22.42,111,0,247420000
2022-09-20T00:00:00+00:00,22.21,23.15,22.21,22.94,186,0,871070000
2022-09-21T00:00:00+00:00,23.06,23.31,22.23,22.23,127,0,289250000
2022-09-22T00:00:00+00:00,22.07,22.13,21.65,22.07,45,0,113130000
2022-09-23T00:00:00+00:00,21.62,21.63,21.22,21.53,63,0,135020000
2022-09-26T00:00:00+00:00,21.49,22.2,21.49,21.67,167,0,446960000
2022-09-27T00:00:00+00:00,22.02,22.42,21.43,21.85,168,0,504240000
2022-09-28T00:00:00+00:00,20.84,21.48,20.38,21.39,218,0,574420000
2022-09-29T00:00:00+00:00,20.53,20.64,19.43,19.69,179,0,512750000
2022-09-30T00:00:00+00:00,19.73,19.85,18.87,18.87,102,0,195380000
2022-10-03T00:00:00+00:00,18.89,19.88,18.86,19.77,128,0,295000000
2022-10-04T00:00:00+00:00,20.24,20.53,20.19,20.49,106,0,342200000
2022-10-05T00:00:00+00:00,20.08,20.76,19.91,20.5,71,0,191450000
2022-10-06T00:00:00+00:00,20.69,20.8,20.39,20.4,53,0,84400000
2022-10-07T00:00:00+00:00,19.75,19.8,19.2,19.28,85,0,245270000
2022-10-10T00:00:00+00:00,19.29,19.6,18.99,19.32,87,0,295240000
2022-10-11T00:00:00+00:00,19.12,19.45,18.88,18.94,43,0,128490000
2022-10-12T00:00:00+00:00,19.18,19.22,18.89,18.91,48,0,123250000
2022-10-13T00:00:00+00:00,18.15,19.9,18.15,19.87,113,0,231480000
2022-10-14T00:00:00+00:00,19.82,19.82,18.84,18.84,47,0,172850000
2022-10-17T00:00:00+00:00,19.55,19.76,19.27,19.65,70,0,185580000
2022-10-18T00:00:00+00:00,20.33,20.51,19.42,19.85,163,0,544050000
2022-10-19T00:00:00+00:00,19.54,20.18,19.54,19.93,124,0,875610000
2022-10-20T00:00:00+00:00,20.0,20.35,19.79,19.88,86,0,328990000
2022-10-21T00:00:00+00:00,20.1,20.77,19.94,20.68,85,0,309940000
2022-10-24T00:00:00+00:00,20.64,21.26,20.39,21.11,94,0,253860000
2022-10-25T00:00:00+00:00,21.29,21.74,21.24,21.7,117,0,374580000
2022-10-26T00:00:00+00:00,21.45,21.63,20.85,21.09,105,0,285760000
2022-10-27T00:00:00+00:00,20.86,21.0,20.0,20.14,101,0,272490000
2022-10-28T00:00:00+00:00,21.09,22.75,21.09,22.48,407,0,1292000000
2022-10-31T00:00:00+00:00,21.69,22.07,21.69,21.82,85,0,231850000
2022-11-01T00:00:00+00:00,21.26,21.3,21.0,21.29,89,0,261450000
2022-11-02T00:00:00+00:00,20.96,21.52,19.98,20.0,139,0,519140000
2022-11-03T00:00:00+00:00,19.15,19.3,18.8,18.9,109,0,276810000
2022-11-04T00:00:00+00:00,19.0,19.0,17.95,18.6,255,0,717900000
