time,open,high,low,close,tick_volume,spread,real_volume
2025-02-19T00:00:00+00:00,50.21,50.32,50.09,50.3,5,19,639
2025-02-24T00:00:00+00:00,50.9,50.96,50.82,50.82,3,17,300
2025-02-25T00:00:00+00:00,51.42,51.86,51.42,51.86,3,31,502
2025-02-26T00:00:00+00:00,50.08,50.08,49.08,49.08,5,6285,948
2025-02-27T00:00:00+00:00,49.22,49.4,48.68,48.68,4,6164,550
2025-02-28T00:00:00+00:00,47.92,49.08,47.92,49.08,8,14,2606
2025-03-03T00:00:00+00:00,49.01,49.25,48.72,48.72,6,8,1900
2025-03-04T00:00:00+00:00,48.29,48.29,47.97,47.97,3,8,700
2025-03-05T00:00:00+00:00,47.29,47.84,46.56,47.84,5,15,1318
2025-03-06T00:00:00+00:00,47.51,47.51,47.51,47.51,1,214,100
2025-03-07T00:00:00+00:00,47.6,48.51,47.6,48.45,24,8,2902
2025-03-11T00:00:00+00:00,44.84,44.91,43.31,43.37,15,8,3127
2025-03-12T00:00:00+00:00,44.01,44.01,42.62,42.62,8,10,1612
2025-03-13T00:00:00+00:00,43.05,43.06,42.25,42.25,12,8,2300
2025-03-14T00:00:00+00:00,41.75,41.8,41.71,41.8,5,6,1227
2025-03-17T00:00:00+00:00,41.97,42.09,41.63,42.0,10,4979,1808
2025-03-18T00:00:00+00:00,41.96,42.07,41.37,41.37,4,4837,563
2025-03-19T00:00:00+00:00,42.49,42.49,42.49,42.49,1,4836,249
2025-03-20T00:00:00+00:00,42.65,42.65,42.65,42.65,1,2600,101
2025-03-21T00:00:00+00:00,42.06,42.36,42.06,42.36,16,8,3700
2025-03-24T00:00:00+00:00,43.1,43.27,43.1,43.19,4,8,400
2025-03-25T00:00:00+00:00,43.22,43.97,43.21,43.97,6,10,1100
2025-03-26T00:00:00+00:00,44.1,44.1,43.95,43.95,6,10,600
2025-03-27T00:00:00+00:00,43.44,44.0,43.44,44.0,2,16,203
2025-03-28T00:00:00+00:00,42.82,42.88,42.82,42.88,2,15,213
2025-03-31T00:00:00+00:00,41.95,43.13,41.95,43.13,7,2428,991
2025-04-01T00:00:00+00:00,42.67,43.61,42.67,43.61,2,2428,600
2025-04-02T00:00:00+00:00,43.34,43.69,43.34,43.69,2,16,200
2025-04-03T00:00:00+00:00,39.62,39.65,39.18,39.42,6,19,728
2025-04-07T00:00:00+00:00,32.63,34.27,32.63,33.32,12,10,2919
2025-04-08T00:00:00+00:00,35.46,35.46,34.14,34.14,3,11,455
2025-04-09T00:00:00+00:00,32.15,36.2,32.15,34.15,16,6,5638
2025-04-10T00:00:00+00:00,36.5,36.5,34.58,35.74,8,15,2220
2025-04-11T00:00:00+00:00,35.25,37.42,35.25,37.41,11,11,2318
2025-04-14T00:00:00+00:00,39.86,39.86,38.24,38.64,8,14,1309
2025-04-15T00:00:00+00:00,38.2,38.3,37.98,38.3,3,7,465
2025-04-16T00:00:00+00:00,37.26,37.32,36.15,36.15,7,8,1090
2025-04-17T00:00:00+00:00,36.65,37.29,36.65,37.29,3,16,1850
2025-04-21T00:00:00+00:00,35.61,35.61,35.61,35.61,1,148,188
2025-04-22T00:00:00+00:00,36.68,37.08,36.68,36.86,4,9,451
2025-04-23T00:00:00+00:00,38.71,38.72,38.08,38.08,4,11,900
2025-04-24T00:00:00+00:00,38.73,38.73,38.66,38.66,2,8,260
2025-04-25T00:00:00+00:00,39.19,39.22,38.76,39.12,9,8,1470
2025-04-28T00:00:00+00:00,39.01,39.53,38.6,39.14,15,3106,2578
2025-04-29T00:00:00+00:00,39.0,39.57,39.0,39.43,14,1202,1400
2025-04-30T00:00:00+00:00,38.71,39.79,38.71,39.79,8,1,2591
2025-05-01T00:00:00+00:00,39.39,39.89,39.39,39.89,4,8,578
2025-05-02T00:00:00+00:00,37.62,38.43,37.62,37.85,17,4,3373
2025-05-05T00:00:00+00:00,37.4,37.4,36.37,36.82,13,2303,2628
2025-05-06T00:00:00+00:00,36.46,36.46,36.25,36.39,4,962,824
2025-05-07T00:00:00+00:00,36.14,36.26,35.43,35.43,8,4,1808
2025-05-08T00:00:00+00:00,35.81,36.5,35.81,36.41,15,8,2676
2025-05-09T00:00:00+00:00,36.35,36.53,36.15,36.2,10,5,2051
2025-05-12T00:00:00+00:00,38.3,38.8,38.06,38.75,14,4,2033
2025-05-13T00:00:00+00:00,38.87,39.23,38.8,39.23,13,11,2834
2025-05-14T00:00:00+00:00,39.23,39.4,38.95,38.95,8,5,1054
2025-05-15T00:00:00+00:00,38.89,38.98,38.66,38.98,5,7,1604
2025-05-16T00:00:00+00:00,38.76,38.99,38.64,38.91,10,3,2764
2025-05-19T00:00:00+00:00,38.3,38.3,37.3,38.07,11,7,1837
2025-05-20T00:00:00+00:00,37.86,37.95,37.75,37.76,7,7,1797
