time,open,high,low,close,tick_volume,spread,real_volume
2008-08-15T00:00:00+00:00,50.13,50.13,50.13,50.13,1,0,1000000
2008-08-18T00:00:00+00:00,49.5,49.5,49.0,49.0,6,0,63000000
2008-08-20T00:00:00+00:00,49.05,49.05,49.02,49.02,2,0,40000000
2008-08-22T00:00:00+00:00,49.25,49.25,49.16,49.22,4,0,35870000
2008-08-25T00:00:00+00:00,48.85,48.85,48.3,48.3,35,0,150400000
2008-08-26T00:00:00+00:00,48.92,48.92,48.55,48.76,15,0,49300000
2008-08-27T00:00:00+00:00,49.77,49.77,49.65,49.65,3,0,15000000
2008-08-28T00:00:00+00:00,49.61,49.67,49.61,49.67,3,0,59870000
2008-08-29T00:00:00+00:00,49.39,49.39,49.33,49.33,4,0,4000000
2008-09-02T00:00:00+00:00,49.0,49.0,49.0,49.0,1,0,1000000
2008-09-03T00:00:00+00:00,47.22,47.35,47.1,47.17,13,0,38360000
2008-09-04T00:00:00+00:00,46.71,46.71,45.9,45.96,12,0,25620000
2008-09-05T00:00:00+00:00,45.23,46.0,45.08,46.0,15,0,60980000
2008-09-08T00:00:00+00:00,46.88,47.23,46.63,47.23,13,0,38000000
2008-09-09T00:00:00+00:00,46.38,46.56,45.88,45.88,12,0,111880000
2008-09-11T00:00:00+00:00,44.16,44.65,43.98,44.45,10,0,32480000
2008-09-12T00:00:00+00:00,44.11,44.12,43.79,43.79,6,0,15170000
2008-09-15T00:00:00+00:00,43.3,43.3,42.35,42.43,11,0,61260000
2008-09-16T00:00:00+00:00,41.0,42.0,41.0,41.58,9,0,34000000
2008-09-17T00:00:00+00:00,40.28,40.3,40.25,40.25,10,0,17000000
2008-09-18T00:00:00+00:00,41.41,43.16,41.02,43.14,10,0,44200000
2008-09-19T00:00:00+00:00,45.49,46.23,45.49,46.19,16,0,35620000
2008-09-22T00:00:00+00:00,45.06,45.06,44.71,45.02,20,0,38180000
2008-09-23T00:00:00+00:00,43.42,43.9,43.42,43.43,12,0,69250000
2008-09-24T00:00:00+00:00,43.23,43.4,43.22,43.24,9,0,115000000
2008-09-25T00:00:00+00:00,43.82,44.85,43.82,44.85,9,0,112220000
2008-09-26T00:00:00+00:00,42.96,43.67,42.96,43.44,11,0,24000000
2008-09-29T00:00:00+00:00,41.1,41.18,39.6,39.6,12,0,65000000
2008-09-30T00:00:00+00:00,40.89,41.4,40.89,41.4,29,0,157710000
2008-10-01T00:00:00+00:00,41.01,44.59,41.01,42.37,361,0,733300000
2008-10-02T00:00:00+00:00,41.06,41.09,40.7,40.7,67,0,195000000
2008-10-03T00:00:00+00:00,40.62,40.63,40.17,40.17,3,0,30000000
2008-10-06T00:00:00+00:00,37.76,37.76,36.48,37.02,7,0,8230000
2008-10-07T00:00:00+00:00,36.01,36.03,35.7,35.7,8,0,49500000
2008-10-08T00:00:00+00:00,36.5,36.5,34.01,35.77,32,0,304500000
2008-10-09T00:00:00+00:00,34.83,35.26,34.62,34.62,7,0,11000000
2008-10-10T00:00:00+00:00,31.67,32.82,30.37,32.55,38,0,64340000
2008-10-13T00:00:00+00:00,35.3,38.0,35.25,38.0,30,0,134460000
