time,open,high,low,close,tick_volume,spread,real_volume
2015-06-22T00:00:00+00:00,6.61,6.74,6.3,6.62,395,0,113486
2015-06-23T00:00:00+00:00,6.55,7.15,6.53,6.88,1785,0,615121
2015-06-24T00:00:00+00:00,6.84,6.89,6.32,6.39,2788,0,662832
2015-06-25T00:00:00+00:00,6.36,6.48,6.21,6.33,1447,0,341976
2015-06-26T00:00:00+00:00,6.39,6.39,6.0,6.17,2776,0,739103
2015-06-29T00:00:00+00:00,6.19,6.19,5.52,5.8100000000000005,1547,0,441331
2015-06-30T00:00:00+00:00,5.7,5.7,4.88,5.05,2807,0,1114973
2015-07-01T00:00:00+00:00,5.13,5.28,4.98,5.0,1519,0,456128
2015-07-02T00:00:00+00:00,5.0,5.25,4.98,5.1,1193,0,335664
2015-07-06T00:00:00+00:00,5.08,5.09,4.63,4.8,1956,0,615857
2015-07-07T00:00:00+00:00,4.68,4.85,4.62,4.83,1707,0,399938
2015-07-08T00:00:00+00:00,4.82,4.82,4.65,4.75,840,0,214642
2015-07-09T00:00:00+00:00,4.84,5.11,4.76,5.07,1158,0,324118
2015-07-10T00:00:00+00:00,5.09,5.68,5.08,5.5600000000000005,1295,0,369683
2015-07-13T00:00:00+00:00,5.6,6.72,5.6,6.67,2306,0,654262
2015-07-14T00:00:00+00:00,6.63,6.68,6.15,6.42,1419,0,399179
2015-07-15T00:00:00+00:00,6.39,6.39,5.97,6.04,1379,0,327523
2015-07-16T00:00:00+00:00,6.06,6.18,5.6,5.64,1256,0,308121
2015-07-17T00:00:00+00:00,5.65,6.11,5.53,5.99,825,0,241486
2015-07-20T00:00:00+00:00,6.26,6.4,5.68,5.8,1231,0,379386
2015-07-21T00:00:00+00:00,5.8,5.83,5.63,5.77,553,0,124199
2015-07-22T00:00:00+00:00,5.63,6.0,5.5,5.9,589,0,135069
2015-07-23T00:00:00+00:00,6.0,6.12,5.84,5.93,932,0,279278
2015-07-24T00:00:00+00:00,5.89,6.07,5.71,5.74,1005,0,236775
2015-07-27T00:00:00+00:00,5.75,5.86,5.38,5.46,868,0,236895
2015-07-28T00:00:00+00:00,5.86,6.1,5.51,5.95,1135,0,381014
2015-07-29T00:00:00+00:00,6.03,6.36,5.79,6.12,842,0,242970
2015-07-30T00:00:00+00:00,6.22,6.22,5.92,6.02,652,0,165819
2015-07-31T00:00:00+00:00,6.06,6.59,6.04,6.43,726,0,253872
2015-08-03T00:00:00+00:00,6.45,6.75,6.33,6.5600000000000005,2303,0,532140
2015-08-04T00:00:00+00:00,6.5600000000000005,6.99,6.48,6.89,1517,0,394692
2015-08-05T00:00:00+00:00,6.96,7.0,6.3,6.36,1101,0,367668
2015-08-06T00:00:00+00:00,6.36,6.37,5.7,5.84,1069,0,393582
2015-08-07T00:00:00+00:00,5.73,5.8,5.49,5.57,529,0,176259
2015-08-10T00:00:00+00:00,5.6,5.9,5.6,5.8,627,0,205322
2015-08-11T00:00:00+00:00,5.68,6.0,5.68,5.92,627,0,154132
2015-08-12T00:00:00+00:00,5.75,5.95,5.51,5.76,903,0,253716
2015-08-13T00:00:00+00:00,5.72,5.82,5.57,5.63,589,0,120714
2015-08-14T00:00:00+00:00,5.58,5.76,5.21,5.35,555,0,234875
2015-08-17T00:00:00+00:00,5.25,5.51,5.14,5.39,487,0,129280
2015-08-18T00:00:00+00:00,5.25,5.49,5.21,5.23,656,0,151847
2015-08-19T00:00:00+00:00,5.16,5.47,5.11,5.39,1248,0,288294
2015-08-20T00:00:00+00:00,5.29,5.34,4.89,5.0,1199,0,304655
2015-08-21T00:00:00+00:00,4.8100000000000005,5.06,4.7,4.82,653,0,175681
2015-08-24T00:00:00+00:00,4.27,4.79,4.03,4.3,966,0,273064
2015-08-25T00:00:00+00:00,4.5,4.61,4.32,4.41,742,0,144770
2015-08-26T00:00:00+00:00,4.5,4.61,4.4,4.59,803,0,156156
2015-08-27T00:00:00+00:00,4.6,4.85,4.58,4.7,531,0,111165
