time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,17.82,17.85,17.11,17.15,130,0,39300
2003-09-11T00:00:00+00:00,16.6,17.29,16.6,17.2,190,0,68500
2003-09-12T00:00:00+00:00,17.2,17.6,16.96,17.6,63,0,9600
2003-09-15T00:00:00+00:00,17.6,17.98,17.6,17.73,109,0,23800
2003-09-16T00:00:00+00:00,17.74,17.74,16.73,17.2,175,0,38600
2003-09-17T00:00:00+00:00,16.92,17.58,16.92,17.52,106,0,17400
2003-09-18T00:00:00+00:00,17.45,18.1,17.35,18.08,100,0,33200
2003-09-19T00:00:00+00:00,17.9,18.25,17.9,18.16,112,0,25800
2003-09-22T00:00:00+00:00,18.05,18.05,17.2,17.25,117,0,34800
2003-09-23T00:00:00+00:00,17.15,17.43,17.0,17.39,102,0,89500
2003-09-24T00:00:00+00:00,17.5,17.95,17.25,17.4,162,0,35600
2003-09-25T00:00:00+00:00,17.46,17.56,17.07,17.08,106,0,13300
2003-09-26T00:00:00+00:00,16.97,17.13,16.68,16.75,102,0,23500
2003-09-29T00:00:00+00:00,17.0,17.06,16.66,16.67,108,0,34200
2003-09-30T00:00:00+00:00,16.59,16.8,15.89,16.6,147,0,35100
2003-10-01T00:00:00+00:00,16.4,17.75,16.4,17.75,227,0,72500
2003-10-02T00:00:00+00:00,17.7,17.95,17.6,17.8,98,0,21500
2003-10-03T00:00:00+00:00,17.85,18.15,17.7,17.98,168,0,30500
2003-10-06T00:00:00+00:00,17.88,18.38,17.88,18.31,95,0,25600
2003-10-07T00:00:00+00:00,18.3,18.75,18.23,18.7,114,0,28700
2003-10-08T00:00:00+00:00,18.73,18.78,18.22,18.33,69,0,13000
2003-10-09T00:00:00+00:00,18.45,18.73,18.34,18.43,74,0,16100
2003-10-10T00:00:00+00:00,18.42,18.42,17.7,18.24,76,0,20400
2003-10-13T00:00:00+00:00,18.3,18.99,18.3,18.99,125,0,31400
2003-10-14T00:00:00+00:00,18.98,18.98,18.82,18.9,109,0,46200
2003-10-15T00:00:00+00:00,18.8,18.8,17.62,18.03,177,0,47400
2003-10-16T00:00:00+00:00,18.0,18.3,17.91,18.2,177,0,35500
2003-10-17T00:00:00+00:00,18.41,18.46,17.51,17.51,108,0,19400
2003-10-20T00:00:00+00:00,17.51,17.93,17.42,17.75,178,0,40000
2003-10-21T00:00:00+00:00,17.9,17.99,17.53,17.54,103,0,24300
2003-10-22T00:00:00+00:00,17.34,17.34,16.05,16.09,208,0,62400
2003-10-23T00:00:00+00:00,16.05,16.29,15.99,16.16,112,0,21700
2003-10-24T00:00:00+00:00,16.05,16.23,14.87,15.01,316,0,93900
2003-10-27T00:00:00+00:00,15.4,16.99,15.3,16.3,349,0,101400
2003-10-28T00:00:00+00:00,16.37,16.5,16.06,16.4,178,0,54900
2003-10-29T00:00:00+00:00,16.3,16.45,15.3,15.4,332,0,122100
2003-10-30T00:00:00+00:00,16.15,17.05,16.14,17.0,253,0,140400
2003-10-31T00:00:00+00:00,17.0,17.7,16.92,16.94,156,0,98200
2003-11-03T00:00:00+00:00,17.15,17.49,16.9,16.96,211,0,85400
2003-11-04T00:00:00+00:00,17.15,17.23,16.9,17.2,169,0,41290
2003-11-05T00:00:00+00:00,17.2,17.2,16.65,17.0,137,0,31400
2003-11-06T00:00:00+00:00,17.14,17.19,17.04,17.18,96,0,138200
2003-11-07T00:00:00+00:00,17.43,17.45,17.1,17.18,129,0,31600
2003-11-10T00:00:00+00:00,17.09,17.1,16.41,16.71,106,0,65400
2003-11-11T00:00:00+00:00,16.51,16.63,16.28,16.28,127,0,25700
2003-11-12T00:00:00+00:00,16.34,17.02,16.25,17.0,130,0,20000
2003-11-13T00:00:00+00:00,16.74,16.79,16.4,16.6,91,0,19800
2003-11-14T00:00:00+00:00,16.5,16.83,16.3,16.3,108,0,15100
2003-11-17T00:00:00+00:00,16.32,16.32,15.71,15.91,120,0,25300
2003-11-18T00:00:00+00:00,16.0,16.1,15.78,15.95,120,0,22700
2003-11-19T00:00:00+00:00,15.8,15.83,15.6,15.76,121,0,23800
2003-11-20T00:00:00+00:00,15.62,15.77,15.41,15.5,111,0,22300
2003-11-21T00:00:00+00:00,15.58,16.38,15.2,16.21,158,0,47400
2003-11-24T00:00:00+00:00,16.4,16.89,16.25,16.6,190,0,31600
