time,open,high,low,close,tick_volume,spread,real_volume
2025-04-10T00:00:00+00:00,26.75,26.75,26.45,26.46,12,1,9693
2025-04-11T00:00:00+00:00,26.42,27.13,26.42,27.08,8,1,5765
2025-04-14T00:00:00+00:00,27.37,27.43,27.3,27.4,13,303700,1916
2025-04-15T00:00:00+00:00,27.349,27.35,27.22,27.26,8,303700,5000
2025-04-16T00:00:00+00:00,26.93,27.025,26.44,26.5,24,303700,9149
2025-04-17T00:00:00+00:00,26.55,26.59,26.325,26.406,62,200,15705
2025-04-21T00:00:00+00:00,25.82,25.82,25.44,25.7,22,311400,13281
2025-04-22T00:00:00+00:00,26.1,26.3,26.08,26.245,16,311400,12098
2025-04-23T00:00:00+00:00,27.16,27.16,26.79,26.8,10,263200,32090
2025-04-24T00:00:00+00:00,27.0617,27.46,27.0599,27.4454,62,300,121564
2025-04-25T00:00:00+00:00,27.41,27.44,27.41,27.44,2,400,864
2025-04-28T00:00:00+00:00,27.56,27.58,27.375,27.46,5,324700,50861
2025-04-29T00:00:00+00:00,27.6863,27.71,27.66,27.66,22,1400,7009
2025-04-30T00:00:00+00:00,27.45,27.5499,27.38,27.48,10,600,50455
2025-05-01T00:00:00+00:00,28.15,28.175,28.15,28.175,5,600,812
2025-05-02T00:00:00+00:00,28.38,28.4599,28.38,28.4,11,333200,9156
2025-05-05T00:00:00+00:00,28.32,28.4599,28.23,28.23,45,600,22316
2025-05-06T00:00:00+00:00,28.13,28.23,27.99,27.99,21,200,7895
2025-05-07T00:00:00+00:00,28.135,28.1799,27.99,27.99,29,100,25396
2025-05-08T00:00:00+00:00,28.13,28.47,28.13,28.4,14,100,2514
2025-05-09T00:00:00+00:00,28.2417,28.2417,28.06,28.1599,41,335400,14940
2025-05-12T00:00:00+00:00,28.89,29.05,28.89,29.02,17,332200,5932
2025-05-13T00:00:00+00:00,29.18,29.36,29.18,29.29,33,200,25858
2025-05-14T00:00:00+00:00,29.21,29.23,29.15,29.15,13,100,5427
2025-05-15T00:00:00+00:00,29.13,29.3298,29.13,29.28,10,100,1923
2025-05-16T00:00:00+00:00,29.305,29.47,29.305,29.47,6,293100,1594
2025-05-19T00:00:00+00:00,29.42,29.56,29.38,29.48,10,2946,1522
2025-05-20T00:00:00+00:00,29.37,29.38,29.31,29.31,3,2924,1356
2025-05-21T00:00:00+00:00,29.02,29.02,28.71,28.71,3,2675,1822
2025-05-22T00:00:00+00:00,28.79,28.85,28.77,28.84,9,2,11281
2025-05-23T00:00:00+00:00,28.28,28.42,28.28,28.32,5,4,5957
2025-05-27T00:00:00+00:00,28.62,28.62,28.62,28.62,2,3395,1474
2025-05-28T00:00:00+00:00,28.66,28.7,28.66,28.68,10,2658,8098
2025-05-29T00:00:00+00:00,28.67,28.69,28.62,28.62,5,2857,1758
2025-05-30T00:00:00+00:00,28.6,28.6,28.6,28.6,1,748,100
2025-06-03T00:00:00+00:00,28.77,28.85,28.77,28.83,5,6,2232
2025-06-04T00:00:00+00:00,28.91,28.91,28.91,28.91,1,2888,349
2025-06-06T00:00:00+00:00,29.14,29.14,29.14,29.14,1,2914,161
2025-06-09T00:00:00+00:00,29.12,29.14,29.1,29.1,26,2,18246
2025-06-10T00:00:00+00:00,29.15,29.22,29.1,29.22,10,1,3037
2025-06-11T00:00:00+00:00,29.36,29.37,29.09,29.12,16,1,4762
2025-06-12T00:00:00+00:00,29.27,29.27,29.26,29.27,5,1,6181
2025-06-13T00:00:00+00:00,28.89,29.06,28.81,28.81,9,6,6918
2025-06-16T00:00:00+00:00,29.12,29.17,29.0,29.01,16,2699,21383
2025-06-17T00:00:00+00:00,29.0,29.0,28.88,28.9,5,2890,1130
2025-06-18T00:00:00+00:00,28.96,29.0,28.7,28.7,32,1,3720
2025-06-20T00:00:00+00:00,28.75,28.75,28.51,28.59,26,1241,7292
2025-06-23T00:00:00+00:00,28.68,28.82,28.68,28.82,5,2750,1344
2025-06-24T00:00:00+00:00,29.16,29.23,29.16,29.23,13,3,41804
2025-06-25T00:00:00+00:00,29.29,29.32,29.29,29.32,3,2,1900
2025-06-27T00:00:00+00:00,29.53,29.6,29.52,29.54,13,1,5162
2025-06-30T00:00:00+00:00,29.79,29.87,29.79,29.87,3,2880,3067
2025-07-01T00:00:00+00:00,29.89,29.89,29.89,29.89,1,2986,501
2025-07-08T00:00:00+00:00,30.05,30.05,30.04,30.04,2,7,265
2025-07-09T00:00:00+00:00,30.16,30.28,30.16,30.28,5,4,16310
2025-07-10T00:00:00+00:00,30.37,30.37,30.37,30.37,1,544,264
2025-07-11T00:00:00+00:00,30.18,30.22,30.11,30.11,26,1,3374
2025-07-15T00:00:00+00:00,30.2,30.2,30.17,30.17,2,3020,6711
2025-07-16T00:00:00+00:00,30.04,30.16,30.04,30.16,3,2963,638
2025-07-17T00:00:00+00:00,30.26,30.26,30.26,30.26,8,2374,1254
2025-07-18T00:00:00+00:00,30.27,30.29,30.27,30.29,3,2971,376
2025-07-21T00:00:00+00:00,30.46,30.46,30.37,30.37,3,3034,620
2025-07-22T00:00:00+00:00,30.44,30.58,30.44,30.58,2,3050,8867
2025-07-23T00:00:00+00:00,30.69,30.69,30.69,30.69,1,95,189
2025-07-28T00:00:00+00:00,31.09,31.09,31.07,31.07,4,3104,2510
2025-07-29T00:00:00+00:00,31.08,31.08,31.08,31.08,1,3104,100
2025-07-31T00:00:00+00:00,31.2,31.2,30.85,30.85,5,3083,6869
2025-08-01T00:00:00+00:00,30.25,30.25,30.24,30.24,2,3697,628
2025-08-13T00:00:00+00:00,31.04,31.09,31.03,31.09,4,5,1495
2025-08-14T00:00:00+00:00,31.14,31.14,31.11,31.14,14,4,9795
2025-08-15T00:00:00+00:00,30.99,31.02,30.93,30.95,52,1,6097
2025-08-18T00:00:00+00:00,30.91,30.96,30.91,30.92,4,4,2167
2025-08-19T00:00:00+00:00,30.92,30.92,30.92,30.92,1,500,100
2025-08-21T00:00:00+00:00,30.41,30.41,30.41,30.41,1,546,100
2025-08-22T00:00:00+00:00,30.54,30.92,30.52,30.92,13,3092,75788
2025-08-25T00:00:00+00:00,30.82,30.94,30.82,30.87,11,2425,7666
2025-08-26T00:00:00+00:00,30.78,30.82,30.78,30.81,4,1,829
2025-08-27T00:00:00+00:00,30.9,30.9,30.88,30.89,6,5,1924
2025-08-29T00:00:00+00:00,30.93,30.93,30.93,30.93,1,1492,100
2025-09-02T00:00:00+00:00,30.66,30.69,30.66,30.69,2,3059,5328
2025-09-03T00:00:00+00:00,30.87,30.87,30.87,30.87,2,2705,649
2025-09-04T00:00:00+00:00,30.92,31.14,30.92,31.14,2,3112,5026
2025-09-05T00:00:00+00:00,31.28,31.28,31.06,31.06,6,3044,3194
2025-09-08T00:00:00+00:00,31.34,31.34,31.32,31.32,16,4,1700
2025-09-09T00:00:00+00:00,31.31,31.31,31.31,31.31,3,5,300
2025-09-12T00:00:00+00:00,31.42,31.42,31.42,31.42,4,5,1902
2025-09-15T00:00:00+00:00,31.54,31.54,31.51,31.51,10,3150,15801
2025-09-17T00:00:00+00:00,31.48,31.48,31.29,31.29,6,3146,6988
2025-09-18T00:00:00+00:00,31.62,31.68,31.55,31.62,7,1,4076
2025-09-19T00:00:00+00:00,31.67,31.67,31.62,31.62,3,1235,414
2025-09-22T00:00:00+00:00,31.68,31.76,31.68,31.74,7,5,700
2025-09-23T00:00:00+00:00,31.45,31.45,31.45,31.45,1,3150,100
2025-09-24T00:00:00+00:00,31.48,31.48,31.37,31.37,2,6,200
2025-09-25T00:00:00+00:00,31.14,31.19,31.14,31.16,5,2,954
2025-09-26T00:00:00+00:00,31.27,31.41,31.27,31.41,3,564,300
2025-09-29T00:00:00+00:00,31.59,31.59,31.52,31.52,3,3150,517
2025-09-30T00:00:00+00:00,31.54,31.54,31.54,31.54,1,3160,100
2025-10-01T00:00:00+00:00,31.8,31.86,31.8,31.86,10,3182,3038
2025-10-02T00:00:00+00:00,31.83,31.91,31.83,31.91,8,3126,5142
2025-10-08T00:00:00+00:00,31.87,31.87,31.87,31.87,1,3184,753
2025-10-13T00:00:00+00:00,31.31,31.31,31.31,31.31,1,3703,100
2025-10-14T00:00:00+00:00,31.31,31.54,31.31,31.48,3,3142,400
2025-10-15T00:00:00+00:00,31.63,31.63,31.31,31.34,49,3139,14481
2025-10-16T00:00:00+00:00,31.54,31.54,31.12,31.25,12,1,2300
2025-10-17T00:00:00+00:00,31.32,31.38,31.2,31.38,3,5,300
2025-10-20T00:00:00+00:00,31.63,31.7,31.63,31.69,3,3135,300
2025-10-21T00:00:00+00:00,31.84,31.84,31.84,31.84,1,3184,100
2025-10-24T00:00:00+00:00,32.06,32.06,32.06,32.06,1,3206,100
2025-10-27T00:00:00+00:00,32.02,32.25,32.02,32.25,6,3227,1437
2025-10-28T00:00:00+00:00,32.34,32.46,32.34,32.43,6,3236,1742
2025-10-29T00:00:00+00:00,32.28,32.28,32.26,32.26,10,3230,5959
2025-10-31T00:00:00+00:00,32.22,32.23,32.22,32.23,2,3214,1518
2025-11-03T00:00:00+00:00,32.11,32.15,32.09,32.15,37,3214,13027
2025-11-04T00:00:00+00:00,32.07,32.07,32.07,32.07,1,3188,312
2025-11-05T00:00:00+00:00,31.85,32.03,31.85,32.03,4,3153,714
2025-11-06T00:00:00+00:00,31.68,31.68,31.59,31.59,7,3091,1079
2025-11-13T00:00:00+00:00,31.89,31.89,31.89,31.89,1,3517,100
2025-11-14T00:00:00+00:00,31.5,31.5,31.5,31.5,2,5,3372
2025-11-17T00:00:00+00:00,31.62,31.62,31.62,31.62,1,3122,980
2025-11-20T00:00:00+00:00,31.81,31.81,31.81,31.81,1,3747,480
2025-11-21T00:00:00+00:00,31.4,31.4,31.4,31.4,1,556,477
2025-11-24T00:00:00+00:00,31.66,31.66,31.66,31.66,7,2492,3843
2025-11-26T00:00:00+00:00,32.23,32.23,32.23,32.23,1,580,900
2025-12-01T00:00:00+00:00,32.25,32.25,32.25,32.25,1,3224,463
2025-12-03T00:00:00+00:00,32.39,32.39,32.39,32.39,1,3236,114
2025-12-04T00:00:00+00:00,32.31,32.31,32.24,32.24,2,3228,1855
2025-12-08T00:00:00+00:00,32.22,32.28,32.18,32.28,70,3,67197
