time,open,high,low,close,tick_volume,spread,real_volume
2024-12-13T00:00:00+00:00,31.16,31.28,31.14,31.21,25,3124,521503
2024-12-16T00:00:00+00:00,31.08,31.08,30.98,30.98,7,3096,1711
2024-12-17T00:00:00+00:00,30.8,30.8,30.73,30.73,5,3071,2551
2024-12-18T00:00:00+00:00,30.67,30.67,30.63,30.64,3,2980,2188
2024-12-19T00:00:00+00:00,29.59,29.66,29.59,29.66,3,2818,856
2024-12-20T00:00:00+00:00,29.69,29.82,29.69,29.82,2,2576,378
2024-12-23T00:00:00+00:00,29.62,29.7,29.62,29.7,3,2978,315
2024-12-24T00:00:00+00:00,29.92,29.96,29.92,29.96,2,3000,431
2024-12-26T00:00:00+00:00,30.0,30.0,29.9,29.9,7,2998,1199
2024-12-27T00:00:00+00:00,29.9,29.9,29.79,29.82,8,2984,1239
2024-12-31T00:00:00+00:00,28.12,28.12,27.97,27.97,5,2040,4014
2025-01-06T00:00:00+00:00,28.45,28.45,28.45,28.45,1,2828,2169
2025-01-08T00:00:00+00:00,28.2399,28.2399,28.2399,28.2399,1,333300,102
2025-01-10T00:00:00+00:00,28.2,28.2,28.2,28.2,2,338800,2322
2025-01-14T00:00:00+00:00,28.66,28.8,28.66,28.8,3,331800,440
2025-01-15T00:00:00+00:00,28.9514,28.9514,28.909,28.909,2,331800,680
2025-01-16T00:00:00+00:00,29.2,29.2,29.2,29.2,1,8000,200
2025-01-17T00:00:00+00:00,29.3625,29.3625,29.3625,29.3625,1,8000,171
2025-01-24T00:00:00+00:00,29.346,29.346,29.346,29.346,1,179000,838
2025-01-27T00:00:00+00:00,29.15,29.205,29.15,29.202,57,345700,32071
2025-01-28T00:00:00+00:00,29.23,29.23,29.02,29.04,42,202600,9870
2025-01-29T00:00:00+00:00,29.1,29.1299,28.9,28.9,7,173500,980
2025-01-31T00:00:00+00:00,29.24,29.24,29.24,29.24,1,173500,100
2025-02-03T00:00:00+00:00,28.5,28.7883,28.5,28.7883,2,343800,266
2025-02-04T00:00:00+00:00,28.9903,28.9903,28.99,28.99,2,343800,2505
2025-02-12T00:00:00+00:00,29.0672,29.0672,29.0672,29.0672,1,350200,100
2025-02-13T00:00:00+00:00,29.2586,29.2586,29.2586,29.2586,1,288800,1386
2025-02-14T00:00:00+00:00,29.43,29.43,29.32,29.32,2,291400,394
2025-02-18T00:00:00+00:00,29.4963,29.4963,29.4963,29.4963,1,327800,2261
2025-02-19T00:00:00+00:00,29.44,29.4401,29.44,29.4401,4,354100,1054
2025-02-24T00:00:00+00:00,29.3,29.3,29.2199,29.2199,3,3900,706
2025-02-27T00:00:00+00:00,29.0196,29.0196,29.0196,29.0196,1,291400,100
2025-02-28T00:00:00+00:00,29.06,29.06,29.0599,29.0599,2,340800,344
2025-03-04T00:00:00+00:00,28.5055,28.5055,28.5055,28.5055,1,342600,201
2025-03-05T00:00:00+00:00,28.52,28.52,28.52,28.52,1,342600,130
2025-03-10T00:00:00+00:00,28.6393,28.6393,28.6393,28.6393,1,338400,308
2025-03-11T00:00:00+00:00,28.17,28.25,27.97,28.18,8,338400,838
2025-03-12T00:00:00+00:00,28.04,28.045,28.04,28.045,2,338400,200
2025-03-17T00:00:00+00:00,28.455,28.68,28.455,28.6374,6,316700,5135
2025-03-18T00:00:00+00:00,28.66,28.66,28.56,28.6017,8,316700,1585427
2025-03-19T00:00:00+00:00,28.65,28.74,28.56,28.692,15,316700,6394
2025-03-20T00:00:00+00:00,28.634,28.634,28.525,28.54,8,316700,3516
2025-03-21T00:00:00+00:00,28.226,28.2399,28.18,28.1801,10,316700,5536
2025-03-24T00:00:00+00:00,28.4395,28.4395,28.43,28.43,2,333000,1531
2025-03-25T00:00:00+00:00,28.685,28.685,28.51,28.51,31,333000,7135
2025-03-26T00:00:00+00:00,28.81,28.82,28.66,28.66,10,333000,2015
2025-03-27T00:00:00+00:00,28.7,28.7,28.61,28.61,3,400,3698
2025-03-28T00:00:00+00:00,28.25,28.3099,28.25,28.3099,11,300,3529
2025-03-31T00:00:00+00:00,28.3103,28.51,28.29,28.4603,17,334500,20731
2025-04-02T00:00:00+00:00,28.67,28.67,28.67,28.67,3,334500,9575
2025-04-03T00:00:00+00:00,27.625,27.6762,27.4899,27.4899,9,300,4119
2025-04-07T00:00:00+00:00,24.73,25.46,24.5201,25.355,6,305000,3056
2025-04-08T00:00:00+00:00,25.98,25.98,24.555,24.555,12,3700,7452
2025-04-09T00:00:00+00:00,24.31,26.4109,24.31,26.4109,8,3500,1042
2025-04-10T00:00:00+00:00,25.75,25.75,25.174,25.4075,19,7700,15261
2025-04-11T00:00:00+00:00,25.4944,25.97,25.4944,25.965,7,300,3962
2025-04-14T00:00:00+00:00,26.3749,26.4364,26.3,26.4208,7,307100,4032
2025-04-15T00:00:00+00:00,26.34,26.34,26.3,26.3,2,307100,1932
