time,open,high,low,close,tick_volume,spread,real_volume
2023-08-18T00:00:00+00:00,6.38,6.49,4.91,5.35,1438,0,344268
2023-08-21T00:00:00+00:00,5.11,5.62,4.91,5.0,498,0,85027
2023-08-22T00:00:00+00:00,5.01,5.31,4.91,5.01,190,0,34508
2023-08-23T00:00:00+00:00,4.79,5.2,4.54,4.75,230,0,55840
2023-08-24T00:00:00+00:00,4.72,5.44,4.21,4.99,1206,0,244171
2023-08-25T00:00:00+00:00,5.0,5.15,4.7,4.7,326,0,71036
2023-08-28T00:00:00+00:00,4.58,5.15,4.58,4.61,207,0,55747
2023-08-29T00:00:00+00:00,4.7,4.89,4.21,4.49,212,0,40568
2023-08-30T00:00:00+00:00,4.5,4.52,4.26,4.27,198,0,53741
2023-08-31T00:00:00+00:00,4.28,4.64,4.19,4.28,667,0,145083
2023-09-01T00:00:00+00:00,4.31,4.57,4.1,4.17,203,0,54672
2023-09-05T00:00:00+00:00,4.09,4.09,3.46,3.5,256,0,105315
2023-09-06T00:00:00+00:00,3.39,3.45,3.0,3.0,222,0,57524
2023-09-07T00:00:00+00:00,2.85,3.0,2.82,2.89,109,0,28953
2023-09-08T00:00:00+00:00,2.82,2.87,2.71,2.82,122,0,22950
2023-09-11T00:00:00+00:00,2.82,2.88,2.7800000000000002,2.81,56,0,12689
2023-09-12T00:00:00+00:00,2.88,3.22,2.87,3.14,67,0,14026
2023-09-13T00:00:00+00:00,3.19,3.27,3.06,3.12,106,0,20551
2023-09-14T00:00:00+00:00,3.08,3.14,3.01,3.05,66,0,12441
2023-09-15T00:00:00+00:00,3.06,3.14,3.05,3.13,11,0,3835
2023-09-18T00:00:00+00:00,3.13,3.65,3.01,3.43,242,0,79613
2023-09-19T00:00:00+00:00,3.42,3.6,3.42,3.44,57,0,18416
2023-09-20T00:00:00+00:00,3.45,3.6,3.35,3.51,123,0,17592
2023-09-21T00:00:00+00:00,3.5,3.6,2.99,3.11,39,0,8335
2023-09-22T00:00:00+00:00,3.45,3.58,3.21,3.37,38,0,9619
2023-09-25T00:00:00+00:00,3.24,3.36,3.22,3.22,8,0,900
2023-09-26T00:00:00+00:00,3.39,3.49,3.18,3.27,160,0,38209
2023-09-27T00:00:00+00:00,3.4,3.43,3.31,3.31,30,0,9230
2023-09-28T00:00:00+00:00,3.38,3.38,3.3,3.32,12,0,1820
2023-09-29T00:00:00+00:00,3.4,3.42,3.2800000000000002,3.4,58,0,10445
2023-10-02T00:00:00+00:00,3.29,3.4699999999999998,3.26,3.38,12,0,2120
2023-10-03T00:00:00+00:00,3.36,3.38,3.34,3.38,30,0,6694
2023-10-04T00:00:00+00:00,3.37,3.4,3.33,3.34,10,0,2413
2023-10-05T00:00:00+00:00,3.36,3.36,3.35,3.35,3,0,452
2023-10-06T00:00:00+00:00,3.3,3.3,3.18,3.19,11,0,1100
2023-10-09T00:00:00+00:00,3.22,3.22,3.22,3.22,1,0,100
2023-10-10T00:00:00+00:00,3.25,3.41,3.23,3.41,20,0,2971
2023-10-11T00:00:00+00:00,3.58,3.58,3.4,3.41,30,0,6710
2023-10-12T00:00:00+00:00,3.41,3.6,3.05,3.05,104,0,22762
2023-10-13T00:00:00+00:00,3.2,3.24,2.99,3.0,69,0,13496
2023-10-16T00:00:00+00:00,3.12,3.12,2.98,2.98,32,0,5515
2023-10-17T00:00:00+00:00,3.09,3.09,2.9,2.9,38,0,6917
2023-10-18T00:00:00+00:00,2.96,2.96,2.85,2.85,4,0,708
2023-10-19T00:00:00+00:00,2.83,2.83,2.7199999999999998,2.79,10,0,2150
2023-10-20T00:00:00+00:00,2.81,2.81,2.66,2.7199999999999998,34,0,9007
2023-10-23T00:00:00+00:00,2.7199999999999998,2.73,2.52,2.52,18,0,3880
2023-10-24T00:00:00+00:00,2.5300000000000002,2.55,2.46,2.51,33,0,10570
2023-10-25T00:00:00+00:00,2.55,2.56,2.5,2.52,46,0,9409
2023-10-26T00:00:00+00:00,2.49,2.54,2.45,2.45,34,0,5753
2023-10-27T00:00:00+00:00,2.51,2.51,2.45,2.49,12,0,4092
2023-10-30T00:00:00+00:00,2.26,2.29,2.04,2.1,27,0,5388
2023-10-31T00:00:00+00:00,1.76,2.1,1.76,2.09,19,0,5123
2023-11-01T00:00:00+00:00,2.05,2.22,2.01,2.12,40,0,13781
2023-11-02T00:00:00+00:00,2.1,2.2,2.0,2.0,75,0,25559
2023-11-03T00:00:00+00:00,2.0,2.05,1.9300000000000002,1.97,40,0,6669
2023-11-06T00:00:00+00:00,1.9300000000000002,1.96,1.8599999999999999,1.95,72,0,11605
2023-11-07T00:00:00+00:00,1.95,1.95,1.85,1.8599999999999999,58,0,23119
2023-11-08T00:00:00+00:00,1.79,1.8599999999999999,1.75,1.76,83,0,19533
2023-11-09T00:00:00+00:00,1.8,1.85,1.72,1.72,34,0,9494
2023-11-10T00:00:00+00:00,1.72,1.73,1.6,1.6800000000000002,50,0,7533
2023-11-13T00:00:00+00:00,1.67,1.75,1.67,1.7,57,0,12973
2023-11-14T00:00:00+00:00,1.75,1.76,1.7,1.75,118,0,28053
2023-11-15T00:00:00+00:00,1.72,1.85,1.72,1.78,82,0,30498
2023-11-16T00:00:00+00:00,2.0,2.0,1.81,1.9,27,0,10223
2023-11-17T00:00:00+00:00,1.92,2.74,1.92,2.59,700,0,242003
2023-11-20T00:00:00+00:00,2.4699999999999998,3.11,2.4699999999999998,2.83,419,0,112847
2023-11-21T00:00:00+00:00,3.04,3.15,2.94,3.12,127,0,26908
2023-11-22T00:00:00+00:00,2.87,3.04,2.87,2.9,22,0,10174
2023-11-24T00:00:00+00:00,2.9,2.95,2.81,2.89,40,0,5414
2023-11-27T00:00:00+00:00,2.89,3.01,2.77,2.82,56,0,8738
2023-11-28T00:00:00+00:00,2.8,2.91,2.8,2.84,11,0,3600
2023-11-29T00:00:00+00:00,2.87,2.89,2.74,2.89,23,0,5906
2023-12-01T00:00:00+00:00,2.86,2.92,2.86,2.92,5,0,1415
2023-12-04T00:00:00+00:00,2.87,2.87,2.61,2.66,10,0,12020
2023-12-06T00:00:00+00:00,2.7,2.77,2.63,2.64,34,0,7313
2023-12-07T00:00:00+00:00,2.54,2.84,2.54,2.79,37,0,5441
2023-12-08T00:00:00+00:00,2.85,2.99,2.82,2.99,32,0,8957
2023-12-11T00:00:00+00:00,2.99,2.99,2.99,2.99,1,0,2727
2023-12-12T00:00:00+00:00,2.92,3.12,2.8,3.12,9,0,5148
2023-12-13T00:00:00+00:00,3.08,3.08,2.77,3.0,14,0,2078
2023-12-14T00:00:00+00:00,3.01,3.08,3.01,3.06,44,0,26719
2023-12-15T00:00:00+00:00,2.94,2.9699999999999998,2.88,2.96,19,0,5294
2023-12-18T00:00:00+00:00,2.75,2.75,2.75,2.75,1,0,219
2023-12-19T00:00:00+00:00,2.9,2.9,2.9,2.9,1,0,500
2023-12-22T00:00:00+00:00,2.82,2.82,2.82,2.82,4,0,880
2023-12-26T00:00:00+00:00,2.76,2.79,2.75,2.79,3,0,513
2023-12-27T00:00:00+00:00,2.8,2.86,2.7,2.86,65,0,34233
2023-12-28T00:00:00+00:00,3.29,3.39,2.55,2.79,141,0,24440
2023-12-29T00:00:00+00:00,2.55,3.09,2.43,2.7,217,0,41484
2024-01-02T00:00:00+00:00,2.6,2.85,2.6,2.65,52,0,10515
2024-01-03T00:00:00+00:00,2.4699999999999998,2.5300000000000002,2.42,2.49,34,0,4400
2024-01-04T00:00:00+00:00,2.49,2.74,2.49,2.59,4,0,721
2024-01-05T00:00:00+00:00,2.6,2.6,2.4,2.6,7,0,3305
2024-01-08T00:00:00+00:00,2.54,2.55,2.54,2.54,9,0,2434
2024-01-09T00:00:00+00:00,2.65,2.65,2.65,2.65,1,0,100
2024-01-10T00:00:00+00:00,2.68,2.8,2.51,2.7,28,0,3862
2024-01-11T00:00:00+00:00,2.7,2.87,2.65,2.7199999999999998,16,0,2627
2024-01-12T00:00:00+00:00,2.42,2.4699999999999998,2.37,2.37,5,0,1083
2024-01-16T00:00:00+00:00,2.74,3.94,2.41,2.5300000000000002,670,0,188440
2024-01-17T00:00:00+00:00,2.67,2.99,2.63,2.69,354,0,99265
2024-01-18T00:00:00+00:00,2.7800000000000002,2.91,2.64,2.64,314,0,112095
2024-01-19T00:00:00+00:00,2.69,2.83,2.63,2.77,433,0,110559
2024-01-22T00:00:00+00:00,2.64,2.69,2.45,2.6,300,0,101725
2024-01-23T00:00:00+00:00,2.67,2.71,2.54,2.59,339,0,104729
2024-01-24T00:00:00+00:00,2.66,2.66,2.45,2.59,406,0,122335
2024-01-25T00:00:00+00:00,2.19,2.63,2.19,2.63,12,0,10078
2024-01-26T00:00:00+00:00,2.62,2.63,2.54,2.63,7,0,700
2024-01-29T00:00:00+00:00,2.63,2.79,2.57,2.77,367,0,104075
2024-01-30T00:00:00+00:00,2.7199999999999998,2.76,2.64,2.7,388,0,101460
2024-01-31T00:00:00+00:00,2.75,2.86,2.67,2.74,476,0,129726
2024-02-01T00:00:00+00:00,2.7199999999999998,2.7800000000000002,2.5300000000000002,2.68,562,0,132231
2024-02-02T00:00:00+00:00,2.7,2.88,2.65,2.71,526,0,128262
2024-02-05T00:00:00+00:00,2.75,3.17,2.75,2.94,366,0,120946
2024-02-06T00:00:00+00:00,2.85,3.0,2.84,2.94,310,0,131785
2024-02-07T00:00:00+00:00,2.93,2.96,2.83,2.89,301,0,113826
2024-02-08T00:00:00+00:00,2.92,2.92,2.79,2.8,62,0,27691
2024-02-09T00:00:00+00:00,2.79,2.81,2.6,2.68,89,0,40914
2024-02-12T00:00:00+00:00,2.61,2.71,2.6,2.61,55,0,30390
2024-02-13T00:00:00+00:00,2.6,2.63,2.38,2.6,41,0,17977
2024-02-14T00:00:00+00:00,2.62,2.63,2.51,2.63,46,0,31367
2024-02-15T00:00:00+00:00,2.73,2.84,2.49,2.6,158,0,37597
2024-02-16T00:00:00+00:00,2.57,2.58,2.5,2.56,14,0,3997
2024-02-20T00:00:00+00:00,2.51,2.68,2.48,2.63,82,0,18632
2024-02-21T00:00:00+00:00,2.7199999999999998,2.96,2.49,2.96,117,0,39207
2024-02-22T00:00:00+00:00,2.86,3.08,2.85,3.03,191,0,59281
2024-02-23T00:00:00+00:00,3.03,3.03,2.73,3.01,119,0,72211
2024-02-26T00:00:00+00:00,2.95,3.1,2.83,3.0,115,0,34824
2024-02-27T00:00:00+00:00,3.0,3.05,2.9,3.02,99,0,15018
2024-02-28T00:00:00+00:00,2.99,3.05,2.9699999999999998,3.0,50,0,10514
2024-02-29T00:00:00+00:00,2.88,3.06,2.88,3.05,16,0,3234
2024-03-01T00:00:00+00:00,3.01,3.05,2.89,3.03,190,0,26430
2024-03-04T00:00:00+00:00,3.02,3.1,2.9699999999999998,3.01,145,0,37696
2024-03-05T00:00:00+00:00,2.92,3.06,2.86,3.0,31,0,4199
2024-03-06T00:00:00+00:00,2.9,3.06,2.87,3.01,59,0,9192
2024-03-07T00:00:00+00:00,2.94,3.06,2.94,3.05,34,0,5019
2024-03-08T00:00:00+00:00,3.01,3.05,2.92,3.01,37,0,11842
2024-03-11T00:00:00+00:00,3.01,3.06,3.01,3.06,43,0,11870
2024-03-12T00:00:00+00:00,3.0,3.05,3.0,3.05,20,0,3036
2024-03-13T00:00:00+00:00,2.9699999999999998,3.06,2.94,3.05,43,0,10330
2024-03-14T00:00:00+00:00,3.02,3.03,3.01,3.01,18,0,4460
2024-03-15T00:00:00+00:00,3.03,3.1,2.96,2.96,24,0,4020
2024-03-18T00:00:00+00:00,3.02,3.02,2.99,2.99,10,0,2750
2024-03-19T00:00:00+00:00,2.96,3.05,2.75,2.9,191,0,83530
2024-03-20T00:00:00+00:00,2.86,2.87,2.7,2.86,182,0,44257
2024-03-21T00:00:00+00:00,2.69,2.88,2.64,2.85,129,0,72612
2024-03-22T00:00:00+00:00,2.73,2.8,2.6,2.63,60,0,16506
2024-03-25T00:00:00+00:00,2.58,2.64,2.38,2.46,157,0,47207
2024-03-26T00:00:00+00:00,2.2800000000000002,2.45,2.07,2.44,150,0,31317
2024-03-27T00:00:00+00:00,2.5,2.5,2.21,2.3,134,0,108208
2024-03-28T00:00:00+00:00,2.34,2.4699999999999998,2.2800000000000002,2.36,82,0,44919
2024-04-01T00:00:00+00:00,2.46,2.46,2.14,2.23,318,0,101202
2024-04-02T00:00:00+00:00,2.19,2.23,2.03,2.21,317,0,143225
2024-04-03T00:00:00+00:00,2.18,2.18,1.83,1.8900000000000001,157,0,42649
2024-04-04T00:00:00+00:00,1.81,2.27,1.65,2.21,861,0,439174
2024-04-05T00:00:00+00:00,2.03,2.43,1.81,2.42,776,0,247740
2024-04-08T00:00:00+00:00,2.29,2.36,2.03,2.2,393,0,96087
2024-04-09T00:00:00+00:00,2.06,2.21,2.03,2.21,196,0,41344
2024-04-10T00:00:00+00:00,2.12,2.24,2.06,2.21,99,0,23744
2024-04-11T00:00:00+00:00,2.16,2.16,2.01,2.1,182,0,38078
2024-04-12T00:00:00+00:00,2.04,2.15,1.9,1.97,236,0,80924
2024-04-15T00:00:00+00:00,2.03,2.06,1.8399999999999999,1.88,201,0,68465
2024-04-16T00:00:00+00:00,1.9100000000000001,1.9100000000000001,1.75,1.79,208,0,73419
