time,open,high,low,close,tick_volume,spread,real_volume
2024-06-25T00:00:00+00:00,20.26,20.3,20.24,20.24,15,0,39000000
2024-06-26T00:00:00+00:00,20.24,20.24,20.06,20.1,20,0,26730000
2024-06-27T00:00:00+00:00,20.22,20.24,20.18,20.19,7,0,7000000
2024-06-28T00:00:00+00:00,20.34,20.53,20.33,20.49,20,0,29240000
2024-07-01T00:00:00+00:00,20.46,20.46,20.27,20.35,10,0,14610000
2024-07-02T00:00:00+00:00,20.69,20.77,20.67,20.72,11,0,31040000
2024-07-03T00:00:00+00:00,20.73,20.73,20.58,20.73,7,0,27730000
2024-07-05T00:00:00+00:00,20.74,20.83,20.59,20.83,10,0,15890000
2024-07-08T00:00:00+00:00,20.86,20.96,20.59,20.77,10,0,12600000
2024-07-09T00:00:00+00:00,21.03,21.13,20.86,20.86,22,0,30500000
2024-07-10T00:00:00+00:00,21.25,21.25,20.59,20.74,12,0,16000000
2024-07-11T00:00:00+00:00,20.77,20.77,20.0,20.05,15,0,68240000
2024-07-12T00:00:00+00:00,20.27,20.36,20.09,20.13,27,0,71610000
2024-07-15T00:00:00+00:00,20.12,20.32,20.12,20.26,14,0,27690000
2024-07-16T00:00:00+00:00,20.46,20.51,20.46,20.51,4,0,5000000
2024-07-17T00:00:00+00:00,20.45,20.59,20.24,20.33,13,0,54750000
2024-07-18T00:00:00+00:00,20.58,20.58,20.33,20.33,3,0,6000000
2024-07-19T00:00:00+00:00,20.47,20.47,20.34,20.34,5,0,16040000
2024-07-22T00:00:00+00:00,20.41,20.76,20.33,20.74,12,0,45590000
2024-07-23T00:00:00+00:00,20.67,20.67,20.57,20.57,2,0,11000000
2024-07-24T00:00:00+00:00,20.4,20.4,19.93,20.05,16,0,41320000
2024-07-25T00:00:00+00:00,19.24,19.6,19.23,19.56,9,0,17210000
2024-07-26T00:00:00+00:00,19.6,19.6,19.6,19.6,1,0,3000000
2024-07-29T00:00:00+00:00,19.76,19.76,19.7,19.7,3,0,6500000
2024-07-30T00:00:00+00:00,19.33,19.33,19.32,19.32,2,0,2000000
2024-07-31T00:00:00+00:00,19.65,19.65,19.57,19.57,3,0,4430000
2024-08-01T00:00:00+00:00,19.0,19.04,18.61,18.88,54,0,92420000
2024-08-02T00:00:00+00:00,17.96,18.13,17.96,18.13,4,0,9500000
2024-08-05T00:00:00+00:00,17.55,17.66,17.55,17.64,11,0,17550000
2024-08-06T00:00:00+00:00,18.08,18.56,18.08,18.49,27,0,54400000
2024-08-07T00:00:00+00:00,15.28,15.56,14.91,14.91,83,0,236210000
2024-08-08T00:00:00+00:00,15.37,15.61,15.37,15.53,14,0,51300000
2024-08-09T00:00:00+00:00,15.48,15.62,15.4,15.62,15,0,26040000
2024-08-12T00:00:00+00:00,15.53,15.66,15.5,15.5,13,0,29480000
2024-08-13T00:00:00+00:00,15.77,15.87,15.77,15.87,5,0,9890000
2024-08-14T00:00:00+00:00,16.02,16.02,15.85,15.86,17,0,22420000
2024-08-15T00:00:00+00:00,15.91,16.01,15.9,16.0,16,0,22170000
2024-08-16T00:00:00+00:00,15.98,16.05,15.95,15.96,18,0,69990000
2024-08-19T00:00:00+00:00,16.07,16.27,16.07,16.27,28,0,72750000
2024-08-20T00:00:00+00:00,16.27,16.27,16.03,16.1,18,0,47110000
2024-08-21T00:00:00+00:00,16.14,16.14,15.97,16.03,16,0,21800000
2024-08-22T00:00:00+00:00,16.11,16.11,15.78,15.78,10,0,45920000
2024-08-23T00:00:00+00:00,15.98,16.23,15.93,15.98,18,0,29800000
2024-08-26T00:00:00+00:00,16.0,16.01,15.9,15.91,83,0,193780000
2024-08-27T00:00:00+00:00,16.0,16.14,15.91,16.07,35,0,85300000
2024-08-28T00:00:00+00:00,16.08,16.17,16.0,16.17,38,0,68890000
2024-08-29T00:00:00+00:00,16.24,16.3,16.12,16.12,62,0,134900000
2024-08-30T00:00:00+00:00,16.2,16.25,16.07,16.2,36,0,64050000
2024-09-03T00:00:00+00:00,16.35,16.35,15.9,15.91,20,973,5875
2024-09-04T00:00:00+00:00,16.0,16.05,15.97,16.05,13,579,2885
2024-09-05T00:00:00+00:00,16.06,16.13,15.99,16.07,24,54,4901
2024-09-06T00:00:00+00:00,15.75,15.75,15.41,15.41,8,968,2276
2024-09-09T00:00:00+00:00,15.67,15.74,15.59,15.74,16,945,6500
2024-09-10T00:00:00+00:00,15.7,15.7,15.36,15.45,17,70,8029
2024-09-11T00:00:00+00:00,15.48,15.77,15.41,15.77,6,67,1523
2024-09-12T00:00:00+00:00,15.66,15.86,15.64,15.83,17,72,6060
2024-09-13T00:00:00+00:00,15.94,15.99,15.93,15.96,4,36,3951
2024-09-16T00:00:00+00:00,15.92,15.99,15.89,15.99,9,30,2103
2024-09-17T00:00:00+00:00,16.19,16.37,16.13,16.28,38,619,12754
2024-09-18T00:00:00+00:00,16.26,16.37,16.26,16.36,8,546,2020
2024-09-19T00:00:00+00:00,16.37,16.4,16.35,16.37,12,70,7516
2024-09-20T00:00:00+00:00,16.6,16.68,16.47,16.68,11,75,4782
2024-09-23T00:00:00+00:00,16.64,16.64,16.37,16.38,23,1983,6253
2024-09-24T00:00:00+00:00,16.56,16.64,16.56,16.64,2,610,280
2024-09-25T00:00:00+00:00,16.6,16.69,16.59,16.69,7,77,840
