time,open,high,low,close,tick_volume,spread,real_volume
2021-07-01T00:00:00+00:00,26.0,26.98,18.9,20.04,5327,0,1037017
2021-07-02T00:00:00+00:00,19.5,20.99,16.93,20.2,922,0,246747
2021-07-06T00:00:00+00:00,18.51,20.55,18.01,20.4,441,0,109754
2021-07-07T00:00:00+00:00,19.0,20.07,18.36,18.86,288,0,139219
2021-07-08T00:00:00+00:00,18.31,18.62,17.03,17.33,357,0,64562
2021-07-09T00:00:00+00:00,18.15,19.57,17.8,18.75,105,0,19085
2021-07-12T00:00:00+00:00,19.39,19.48,17.9,18.53,820,0,183343
2021-07-13T00:00:00+00:00,18.51,19.0,18.09,18.98,479,0,61838
2021-07-14T00:00:00+00:00,18.63,19.1,18.0,18.44,536,0,82435
2021-07-15T00:00:00+00:00,18.34,18.78,17.21,17.5,458,0,60466
2021-07-16T00:00:00+00:00,17.03,18.24,16.49,17.77,621,0,83399
2021-07-19T00:00:00+00:00,17.81,20.29,17.27,19.14,359,0,50842
2021-07-20T00:00:00+00:00,19.07,19.59,18.32,18.74,377,0,59838
2021-07-21T00:00:00+00:00,18.31,19.1,17.15,17.25,368,0,81580
2021-07-22T00:00:00+00:00,17.56,17.59,16.77,17.08,292,0,47968
2021-07-23T00:00:00+00:00,16.51,17.31,16.48,17.08,289,0,62972
2021-07-26T00:00:00+00:00,18.79,19.68,16.56,16.56,539,0,78853
2021-07-27T00:00:00+00:00,17.25,17.52,14.45,14.45,945,0,203798
2021-07-28T00:00:00+00:00,14.83,15.76,13.95,14.75,1018,0,171279
2021-07-29T00:00:00+00:00,15.07,16.13,14.34,15.42,453,0,76131
2021-07-30T00:00:00+00:00,15.68,15.68,14.89,15.35,509,0,56595
2021-08-02T00:00:00+00:00,15.41,16.24,14.56,15.2,492,0,66228
2021-08-03T00:00:00+00:00,15.74,15.85,14.85,15.02,199,0,28171
2021-08-04T00:00:00+00:00,15.61,16.01,14.61,14.74,394,0,50771
2021-08-05T00:00:00+00:00,14.84,15.36,14.75,15.0,230,0,38672
2021-08-06T00:00:00+00:00,14.89,15.18,14.82,14.91,197,0,40758
2021-08-09T00:00:00+00:00,15.17,15.2,14.8,15.0,306,0,43271
2021-08-10T00:00:00+00:00,15.11,15.11,14.71,14.79,358,0,45691
2021-08-11T00:00:00+00:00,14.84,15.16,14.66,14.83,226,0,34832
2021-08-12T00:00:00+00:00,15.07,15.09,14.87,14.93,304,0,38537
2021-08-13T00:00:00+00:00,14.97,15.38,14.9,15.12,343,0,54119
2021-08-16T00:00:00+00:00,15.3,15.39,14.95,15.23,275,0,45543
2021-08-17T00:00:00+00:00,15.01,15.71,15.01,15.37,352,0,51305
2021-08-18T00:00:00+00:00,15.38,16.32,15.3,15.97,603,0,122580
2021-08-19T00:00:00+00:00,16.03,16.79,15.96,16.6,465,0,73169
2021-08-20T00:00:00+00:00,16.76,17.47,16.74,17.28,476,0,95532
2021-08-23T00:00:00+00:00,17.03,17.78,17.03,17.54,452,0,75459
2021-08-24T00:00:00+00:00,17.52,17.95,16.84,17.47,362,0,56566
2021-08-25T00:00:00+00:00,17.68,17.76,16.84,17.05,590,0,82225
