time,open,high,low,close,tick_volume,spread,real_volume
2025-05-20T00:00:00+00:00,16.52,16.8,16.51,16.52,47,469,9250
2025-05-22T00:00:00+00:00,16.45,16.74,16.4,16.7,63,6,16493
2025-05-23T00:00:00+00:00,16.73,17.11,16.68,17.02,53,2,11096
2025-05-27T00:00:00+00:00,17.31,17.31,17.07,17.07,19,8,6667
2025-05-28T00:00:00+00:00,17.02,17.23,16.82,16.87,16,8,2408
2025-05-29T00:00:00+00:00,16.95,16.97,16.87,16.89,8,44,2446
2025-05-30T00:00:00+00:00,16.95,16.97,16.95,16.97,4,78,847
2025-06-02T00:00:00+00:00,16.97,17.0,16.9,16.94,14,78,2303
2025-06-03T00:00:00+00:00,16.98,16.98,16.9,16.95,14,8,3641
2025-06-04T00:00:00+00:00,16.98,16.98,16.94,16.96,5,7,1045
2025-06-05T00:00:00+00:00,16.93,16.95,16.9,16.91,14,3,5130
2025-06-06T00:00:00+00:00,16.87,16.93,16.7,16.9,6,16,3997
2025-06-09T00:00:00+00:00,16.89,16.99,16.84,16.99,13,11,2600
2025-06-10T00:00:00+00:00,16.88,16.97,16.81,16.89,12,7,2762
2025-06-11T00:00:00+00:00,16.98,17.38,16.98,17.38,37,5,10433
2025-06-12T00:00:00+00:00,17.22,17.75,17.22,17.35,21,18,4402
2025-06-13T00:00:00+00:00,17.45,17.64,17.28,17.5,10,38,2655
2025-06-16T00:00:00+00:00,17.23,17.37,17.23,17.23,10,2030,1194
2025-06-17T00:00:00+00:00,17.27,17.6,17.22,17.3,26,2049,6048
2025-06-18T00:00:00+00:00,17.3,17.41,17.12,17.16,21,16,2955
2025-06-20T00:00:00+00:00,17.36,17.36,17.09,17.09,18,6,3998
2025-06-23T00:00:00+00:00,17.56,17.62,17.2,17.2,24,1981,2800
2025-06-24T00:00:00+00:00,17.46,17.46,17.26,17.28,5,18,900
2025-06-25T00:00:00+00:00,17.16,17.38,17.16,17.29,4,383,858
2025-06-26T00:00:00+00:00,17.3,17.3,17.22,17.26,6,38,900
2025-06-27T00:00:00+00:00,17.37,17.41,17.27,17.31,8,26,1815
2025-06-30T00:00:00+00:00,17.49,17.55,17.21,17.21,47,2009,5500
2025-07-01T00:00:00+00:00,17.21,17.34,17.12,17.34,12,1986,2625
2025-07-02T00:00:00+00:00,17.34,17.47,17.34,17.47,7,2011,2360
