time,open,high,low,close,tick_volume,spread,real_volume
2021-07-22T00:00:00+00:00,22.0,22.89,20.88,21.45,4183,0,1500575
2021-07-23T00:00:00+00:00,22.34,24.0,21.5,22.89,1913,0,408737
2021-07-26T00:00:00+00:00,23.36,24.79,23.0,23.31,2389,0,467266
2021-07-27T00:00:00+00:00,23.25,23.78,22.0,23.29,1986,0,389837
2021-07-28T00:00:00+00:00,23.14,24.72,22.85,24.52,1909,0,291319
2021-07-29T00:00:00+00:00,25.0,29.21,25.0,28.53,1532,0,239202
2021-07-30T00:00:00+00:00,29.36,29.58,27.26,28.51,810,0,115682
2021-08-02T00:00:00+00:00,28.95,29.98,28.82,28.98,1091,0,168767
2021-08-03T00:00:00+00:00,29.79,31.39,29.0,30.2,765,0,118444
2021-08-04T00:00:00+00:00,31.53,31.53,24.88,25.17,1488,0,358275
2021-08-05T00:00:00+00:00,24.83,26.71,23.7,26.17,978,0,205923
2021-08-06T00:00:00+00:00,26.25,27.3,25.6,26.78,555,0,88424
2021-08-09T00:00:00+00:00,26.78,28.28,26.78,27.55,790,0,116922
2021-08-10T00:00:00+00:00,27.84,27.84,26.03,26.55,653,0,167155
2021-08-11T00:00:00+00:00,26.1,26.35,23.72,23.84,582,0,113735
2021-08-12T00:00:00+00:00,24.16,26.0,23.69,23.84,902,0,154220
2021-08-13T00:00:00+00:00,23.85,25.36,23.65,25.01,1018,0,268044
2021-08-16T00:00:00+00:00,24.51,24.51,19.8,21.06,2090,0,485565
2021-08-17T00:00:00+00:00,21.01,22.67,19.36,19.5,1075,0,440309
2021-08-18T00:00:00+00:00,19.48,21.09,19.03,20.57,849,0,185353
2021-08-19T00:00:00+00:00,20.0,21.29,20.0,20.59,1008,0,221026
2021-08-20T00:00:00+00:00,20.67,23.13,20.01,22.62,681,0,107768
2021-08-23T00:00:00+00:00,22.61,23.6,22.09,22.24,719,0,104402
2021-08-24T00:00:00+00:00,22.63,23.24,22.06,22.45,680,0,110402
2021-08-25T00:00:00+00:00,22.31,22.31,19.85,19.85,730,0,123600
2021-08-26T00:00:00+00:00,20.28,21.79,19.96,21.55,803,0,152313
2021-08-27T00:00:00+00:00,21.11,21.93,19.79,19.85,565,0,80949
2021-08-30T00:00:00+00:00,20.4,20.4,17.0,18.21,1286,0,251255
2021-08-31T00:00:00+00:00,18.31,19.64,18.27,18.78,660,0,111455
2021-09-01T00:00:00+00:00,18.94,19.39,18.17,18.87,600,0,144190
2021-09-02T00:00:00+00:00,19.13,19.59,18.68,19.44,383,0,56802
2021-09-03T00:00:00+00:00,19.2,20.44,19.01,20.13,435,0,54490
2021-09-07T00:00:00+00:00,20.04,20.85,17.05,17.26,1921,0,284516
2021-09-08T00:00:00+00:00,17.24,17.38,14.09,14.23,2096,0,341030
2021-09-09T00:00:00+00:00,14.41,14.7,13.68,14.32,1123,0,194829
2021-09-10T00:00:00+00:00,14.26,14.53,13.69,14.04,930,0,123786
2021-09-13T00:00:00+00:00,13.81,14.37,13.75,14.22,623,0,98172
2021-09-14T00:00:00+00:00,14.43,14.78,13.82,14.21,1058,0,158275
