time,open,high,low,close,tick_volume,spread,real_volume
2015-08-03T00:00:00+00:00,10.9,11.2,10.22,10.69,998,0,179416
2015-08-04T00:00:00+00:00,10.62,11.5,10.15,10.48,1988,0,373985
2015-08-05T00:00:00+00:00,10.5,10.5,10.03,10.26,1723,0,275229
2015-08-06T00:00:00+00:00,10.03,10.33,9.67,9.94,2310,0,415013
2015-08-07T00:00:00+00:00,10.1,10.32,9.53,10.12,2643,0,437117
2015-08-10T00:00:00+00:00,10.0,10.41,9.9,10.01,2031,0,323601
2015-08-11T00:00:00+00:00,9.57,10.1,8.96,9.08,3460,0,872549
2015-08-12T00:00:00+00:00,8.96,9.53,8.64,9.09,2503,0,467115
2015-08-13T00:00:00+00:00,9.03,9.44,8.86,8.92,1801,0,268985
2015-08-14T00:00:00+00:00,8.51,8.88,8.27,8.43,2526,0,526078
2015-08-17T00:00:00+00:00,8.49,8.82,8.0,8.76,2198,0,483532
2015-08-18T00:00:00+00:00,8.59,8.77,7.99,8.23,2531,0,555401
2015-08-19T00:00:00+00:00,8.07,8.19,7.52,7.65,2987,0,681047
2015-08-20T00:00:00+00:00,7.6,7.78,7.23,7.29,2837,0,576711
2015-08-21T00:00:00+00:00,7.29,7.48,6.89,7.22,3576,0,782642
2015-08-24T00:00:00+00:00,6.66,7.19,6.29,6.98,2866,0,466976
2015-08-25T00:00:00+00:00,7.07,7.27,6.73,6.92,3052,0,557875
2015-08-26T00:00:00+00:00,7.22,7.39,6.42,6.99,4099,0,678391
2015-08-27T00:00:00+00:00,7.02,7.39,6.89,7.29,3588,0,689605
2015-08-28T00:00:00+00:00,7.33,7.48,7.15,7.35,2770,0,490671
2015-08-31T00:00:00+00:00,7.26,7.57,7.04,7.11,3113,0,518364
2015-09-01T00:00:00+00:00,7.03,7.08,6.67,6.76,2943,0,461508
2015-09-02T00:00:00+00:00,6.99,7.18,6.85,7.0,5093,0,830461
2015-09-03T00:00:00+00:00,7.1,7.16,6.83,6.92,4319,0,699013
2015-09-04T00:00:00+00:00,6.85,7.15,6.85,7.0,2398,0,410025
2015-09-08T00:00:00+00:00,7.17,7.22,6.98,7.03,1793,0,303026
2015-09-09T00:00:00+00:00,7.08,7.13,6.75,6.83,1291,0,284190
2015-09-10T00:00:00+00:00,6.76,6.99,6.76,6.97,1175,0,194729
2015-09-11T00:00:00+00:00,7.04,7.05,6.62,6.86,828,0,183044
2015-09-14T00:00:00+00:00,6.92,7.06,6.8,7.01,2171,0,396741
2015-09-15T00:00:00+00:00,6.99,7.15,6.85,6.98,1426,0,296314
2015-09-16T00:00:00+00:00,6.97,7.14,6.86,7.1,1826,0,353005
2015-09-17T00:00:00+00:00,7.05,7.72,7.01,7.57,2357,0,499249
2015-09-18T00:00:00+00:00,7.5,7.65,7.26,7.31,1438,0,284301
2015-09-21T00:00:00+00:00,7.32,7.32,6.76,6.89,2814,0,512137
2015-09-22T00:00:00+00:00,6.65,7.04,6.62,6.8100000000000005,1576,0,270196
2015-09-23T00:00:00+00:00,6.68,6.91,6.5,6.57,1971,0,378953
2015-09-24T00:00:00+00:00,6.71,7.34,6.67,7.32,3353,0,656034
2015-09-25T00:00:00+00:00,7.29,7.49,6.52,6.63,3104,0,636274
2015-09-28T00:00:00+00:00,6.62,6.74,6.35,6.59,3644,0,947681
2015-09-29T00:00:00+00:00,6.55,6.82,5.9,6.02,3110,0,544382
2015-09-30T00:00:00+00:00,6.06,6.17,5.75,6.09,2764,0,475544
2015-10-01T00:00:00+00:00,6.12,6.26,5.98,6.21,1899,0,332186
2015-10-02T00:00:00+00:00,6.17,6.54,6.14,6.2,2067,0,363042
2015-10-05T00:00:00+00:00,6.41,6.45,6.05,6.31,1770,0,326497
2015-10-06T00:00:00+00:00,6.47,6.47,5.85,6.12,1396,0,315399
2015-10-07T00:00:00+00:00,6.03,6.27,5.6,6.07,3267,0,611994
2015-10-08T00:00:00+00:00,6.0,6.36,5.91,6.28,1622,0,322335
2015-10-09T00:00:00+00:00,6.41,6.41,6.01,6.12,1133,0,213995
2015-10-12T00:00:00+00:00,6.07,6.09,5.85,5.9399999999999995,1122,0,223463
2015-10-13T00:00:00+00:00,5.9,5.97,5.55,5.61,1160,0,276324
2015-10-14T00:00:00+00:00,5.6,5.89,5.5,5.61,1320,0,243737
2015-10-15T00:00:00+00:00,5.63,6.16,5.63,6.05,1948,0,368126
2015-10-16T00:00:00+00:00,6.04,6.55,6.04,6.44,1808,0,421841
2015-10-19T00:00:00+00:00,6.28,6.74,6.26,6.43,1103,0,202472
2015-10-20T00:00:00+00:00,6.4,6.4,6.02,6.27,1031,0,256260
2015-10-21T00:00:00+00:00,6.3,6.39,5.8100000000000005,5.92,1153,0,272328
2015-10-22T00:00:00+00:00,5.8100000000000005,6.03,5.45,5.79,1614,0,416665
2015-10-23T00:00:00+00:00,5.8100000000000005,5.97,5.61,5.91,1052,0,210429
2015-10-26T00:00:00+00:00,5.98,6.09,5.92,6.0,796,0,148036
2015-10-27T00:00:00+00:00,6.08,6.15,5.92,6.04,762,0,139152
2015-10-28T00:00:00+00:00,6.19,6.24,5.87,6.0,1033,0,236410
2015-10-29T00:00:00+00:00,6.0,6.01,5.47,5.66,1683,0,387763
2015-10-30T00:00:00+00:00,5.54,5.59,5.41,5.53,1179,0,250986
2015-11-02T00:00:00+00:00,5.5,5.9,5.46,5.79,1657,0,394512
2015-11-03T00:00:00+00:00,5.6899999999999995,6.12,5.67,5.85,1466,0,389027
2015-11-04T00:00:00+00:00,5.99,6.12,5.78,6.03,1417,0,399946
2015-11-05T00:00:00+00:00,6.02,6.12,5.75,5.77,2698,0,676962
2015-11-06T00:00:00+00:00,5.64,5.96,5.45,5.92,1537,0,303067
2015-11-09T00:00:00+00:00,5.92,6.13,5.83,6.03,1517,0,389083
2015-11-10T00:00:00+00:00,6.01,6.01,5.6899999999999995,5.91,1305,0,295233
2015-11-11T00:00:00+00:00,5.92,5.93,5.65,5.68,1175,0,265261
2015-11-12T00:00:00+00:00,5.71,5.71,5.47,5.52,1242,0,242450
2015-11-13T00:00:00+00:00,5.51,5.72,5.36,5.58,1131,0,252608
2015-11-16T00:00:00+00:00,5.68,5.68,5.26,5.4,1174,0,317663
2015-11-17T00:00:00+00:00,5.4,5.67,5.25,5.31,1191,0,308241
2015-11-18T00:00:00+00:00,5.28,5.61,5.22,5.59,1130,0,264773
2015-11-19T00:00:00+00:00,5.75,5.88,5.55,5.63,918,0,220593
2015-11-20T00:00:00+00:00,5.63,5.63,5.4,5.47,735,0,165619
2015-11-23T00:00:00+00:00,5.38,5.54,5.38,5.42,1153,0,216403
2015-11-24T00:00:00+00:00,5.5,5.5,5.39,5.45,751,0,132233
2015-11-25T00:00:00+00:00,5.49,5.52,5.42,5.47,1659,0,370950
2015-11-27T00:00:00+00:00,5.45,5.5600000000000005,5.39,5.54,1231,0,220923
2015-11-30T00:00:00+00:00,5.57,5.79,5.45,5.58,1804,0,322601
2015-12-01T00:00:00+00:00,5.54,5.67,5.45,5.61,960,0,205623
2015-12-02T00:00:00+00:00,5.58,5.7,5.51,5.5600000000000005,1224,0,238378
2015-12-03T00:00:00+00:00,5.57,5.66,5.39,5.43,1027,0,230507
2015-12-04T00:00:00+00:00,5.38,5.44,5.25,5.29,1129,0,215086
2015-12-07T00:00:00+00:00,5.24,5.29,4.92,4.9399999999999995,2167,0,464382
2015-12-08T00:00:00+00:00,4.87,5.11,4.87,4.9,845,0,171703
2015-12-09T00:00:00+00:00,4.97,5.02,4.82,4.85,957,0,207281
2015-12-10T00:00:00+00:00,4.75,4.89,4.5600000000000005,4.68,1900,0,469125
2015-12-11T00:00:00+00:00,4.62,4.68,4.44,4.55,1189,0,319857
2015-12-14T00:00:00+00:00,4.67,4.67,4.25,4.34,1240,0,315124
2015-12-15T00:00:00+00:00,4.36,4.59,4.25,4.5600000000000005,1446,0,342096
2015-12-16T00:00:00+00:00,4.62,4.72,4.55,4.7,2836,0,518146
2015-12-17T00:00:00+00:00,4.71,4.8,4.57,4.67,919,0,172467
2015-12-18T00:00:00+00:00,4.7,4.9399999999999995,4.64,4.74,1551,0,273657
2015-12-21T00:00:00+00:00,4.76,4.79,4.52,4.61,762,0,165063
2015-12-22T00:00:00+00:00,4.6,4.65,4.48,4.53,931,0,218900
2015-12-23T00:00:00+00:00,4.54,4.75,4.54,4.7,1646,0,377505
2015-12-24T00:00:00+00:00,4.68,4.77,4.61,4.73,452,0,111947
2015-12-28T00:00:00+00:00,4.68,4.68,4.53,4.58,671,0,153582
2015-12-29T00:00:00+00:00,4.6,4.63,4.48,4.5600000000000005,887,0,195363
2015-12-30T00:00:00+00:00,4.6,4.6899999999999995,4.41,4.5,1106,0,278214
2015-12-31T00:00:00+00:00,4.5,4.53,4.41,4.44,1833,0,462770
2016-01-04T00:00:00+00:00,4.43,4.62,4.39,4.53,1219,0,292698
2016-01-05T00:00:00+00:00,4.7,4.71,4.45,4.5,1191,0,196417
2016-01-06T00:00:00+00:00,4.46,4.46,4.25,4.31,1008,0,277250
2016-01-07T00:00:00+00:00,4.14,4.26,4.01,4.09,2355,0,431425
2016-01-08T00:00:00+00:00,4.22,4.33,3.98,4.02,1488,0,328661
2016-01-11T00:00:00+00:00,4.05,4.05,3.69,3.82,1535,0,431403
2016-01-12T00:00:00+00:00,3.83,4.04,3.74,3.81,1333,0,343079
2016-01-13T00:00:00+00:00,3.94,3.99,3.6,3.7199999999999998,2171,0,468232
