time,open,high,low,close,tick_volume,spread,real_volume
2024-07-01T00:00:00+00:00,6.51,6.98,4.1,4.74,580,0,170178
2024-07-02T00:00:00+00:00,3.87,3.98,3.16,3.7,415,0,131397
2024-07-03T00:00:00+00:00,3.65,3.71,2.9,3.06,374,0,109109
2024-07-05T00:00:00+00:00,2.94,3.3,2.43,3.22,290,0,100215
2024-07-08T00:00:00+00:00,3.03,3.22,2.34,2.6,266,0,64161
2024-07-09T00:00:00+00:00,2.2800000000000002,2.57,2.18,2.33,212,0,51956
2024-07-10T00:00:00+00:00,2.2,2.89,2.1,2.41,265,0,81533
2024-07-11T00:00:00+00:00,2.6,2.6,2.23,2.25,161,0,47794
2024-07-12T00:00:00+00:00,2.31,2.41,2.06,2.3,1017,0,303490
2024-07-15T00:00:00+00:00,2.24,2.24,1.9300000000000002,2.02,372,0,110627
2024-07-16T00:00:00+00:00,1.98,1.98,1.69,1.8,511,0,153048
2024-07-17T00:00:00+00:00,1.81,1.8900000000000001,1.6,1.6800000000000002,462,0,169308
2024-07-18T00:00:00+00:00,1.71,1.81,1.63,1.72,351,0,117428
2024-07-19T00:00:00+00:00,1.6600000000000001,1.7,1.55,1.62,226,0,107289
2024-07-22T00:00:00+00:00,1.5899999999999999,1.88,1.58,1.75,462,0,164632
2024-07-23T00:00:00+00:00,1.72,1.94,1.63,1.88,647,0,205311
2024-07-24T00:00:00+00:00,1.83,1.95,1.7,1.76,390,0,203397
2024-07-25T00:00:00+00:00,1.8,1.98,1.7,1.83,628,0,368543
2024-07-26T00:00:00+00:00,1.7,1.74,1.4,1.41,282,0,146094
2024-07-29T00:00:00+00:00,1.55,1.5699999999999998,1.4,1.43,142,0,37590
2024-07-30T00:00:00+00:00,1.43,1.53,1.23,1.27,303,0,74888
2024-07-31T00:00:00+00:00,1.32,1.32,1.16,1.22,210,0,66877
2024-08-01T00:00:00+00:00,1.27,1.43,1.25,1.38,196,0,104155
2024-08-02T00:00:00+00:00,1.49,2.04,1.3599999999999999,1.5699999999999998,851,0,348971
2024-08-05T00:00:00+00:00,1.53,1.73,1.49,1.5699999999999998,359,0,113052
2024-08-06T00:00:00+00:00,1.5699999999999998,1.58,1.43,1.52,165,0,52123
2024-08-07T00:00:00+00:00,1.53,1.55,1.29,1.37,145,0,79526
2024-08-08T00:00:00+00:00,1.46,1.47,1.24,1.3,135,0,52519
2024-08-09T00:00:00+00:00,1.43,1.94,1.34,1.3900000000000001,9481,0,4675366
2024-08-12T00:00:00+00:00,1.3599999999999999,1.37,1.2,1.29,1184,0,325823
2024-08-13T00:00:00+00:00,1.25,1.44,1.25,1.4,1546,0,302036
2024-08-14T00:00:00+00:00,1.32,1.42,1.2,1.21,168,0,96461
2024-08-15T00:00:00+00:00,1.27,1.34,1.11,1.17,291,0,210588
2024-08-16T00:00:00+00:00,1.11,1.15,1.06,1.09,202,0,149579
2024-08-19T00:00:00+00:00,1.1400000000000001,1.27,1.07,1.26,241,0,172481
2024-08-20T00:00:00+00:00,1.32,1.38,1.16,1.22,151,0,181321
2024-08-21T00:00:00+00:00,1.21,1.35,1.16,1.28,281,0,78713
2024-08-22T00:00:00+00:00,1.24,1.25,1.1400000000000001,1.16,142,0,70571
2024-08-23T00:00:00+00:00,1.1400000000000001,1.19,1.11,1.13,121,0,62089
2024-08-26T00:00:00+00:00,1.13,1.18,1.06,1.08,82,0,54154
2024-08-27T00:00:00+00:00,1.12,1.12,1.03,1.05,105,0,62348
2024-08-28T00:00:00+00:00,0.95,0.98,0.88,0.89,140,0,170744
2024-08-29T00:00:00+00:00,0.88,0.93,0.75,0.8,138,0,92396
2024-08-30T00:00:00+00:00,0.83,0.85,0.71,0.73,79,0,31844
2024-09-03T00:00:00+00:00,0.78,0.78,0.71,0.75,95,0,54043
2024-09-04T00:00:00+00:00,0.72,0.76,0.71,0.72,190,0,85031
2024-09-05T00:00:00+00:00,0.72,0.74,0.59,0.69,57,0,27064
2024-09-06T00:00:00+00:00,0.65,0.74,0.62,0.7,34,0,13503
2024-09-09T00:00:00+00:00,0.68,0.69,0.64,0.65,42,0,9895
2024-09-10T00:00:00+00:00,0.66,0.78,0.66,0.73,262,0,152436
2024-09-11T00:00:00+00:00,0.74,0.74,0.68,0.68,28,0,13635
2024-09-12T00:00:00+00:00,0.74,0.74,0.6,0.63,90,0,36885
2024-09-13T00:00:00+00:00,0.65,0.66,0.62,0.63,78,0,55199
2024-09-16T00:00:00+00:00,0.63,0.63,0.57,0.6,75,0,48285
2024-09-17T00:00:00+00:00,0.61,0.62,0.58,0.62,59,0,42352
2024-09-18T00:00:00+00:00,0.6,0.62,0.5,0.56,143,0,69493
2024-09-19T00:00:00+00:00,0.57,0.58,0.54,0.54,76,0,26553
2024-09-20T00:00:00+00:00,0.58,0.58,0.55,0.57,27,0,17350
2024-09-23T00:00:00+00:00,0.57,0.57,0.5,0.54,64,0,22663
2024-09-24T00:00:00+00:00,0.52,0.58,0.52,0.56,56,0,26933
2024-09-25T00:00:00+00:00,0.57,0.6,0.55,0.59,80,0,44286
2024-09-26T00:00:00+00:00,0.59,0.62,0.57,0.6,60,0,24318
2024-09-27T00:00:00+00:00,0.59,0.63,0.58,0.6,37,0,9847
2024-09-30T00:00:00+00:00,0.56,0.6,0.56,0.58,13,0,4140
2024-10-01T00:00:00+00:00,0.6,0.6,0.55,0.58,79,0,24699
2024-10-02T00:00:00+00:00,0.55,0.58,0.54,0.58,18,0,7869
2024-10-03T00:00:00+00:00,0.63,0.63,0.54,0.55,104,0,81621
2024-10-04T00:00:00+00:00,0.59,0.6,0.55,0.57,14,0,4682
2024-10-07T00:00:00+00:00,0.58,0.58,0.54,0.54,35,0,13953
2024-10-08T00:00:00+00:00,0.58,0.62,0.51,0.54,164,0,66814
2024-10-09T00:00:00+00:00,0.55,0.57,0.53,0.57,19,0,6113
2024-10-10T00:00:00+00:00,0.58,0.6,0.53,0.56,48,0,19507
2024-10-11T00:00:00+00:00,0.58,0.58,0.52,0.56,34,0,18861
2024-10-14T00:00:00+00:00,0.53,0.56,0.51,0.53,29,0,7087
2024-10-15T00:00:00+00:00,0.54,0.59,0.52,0.55,31,0,13509
2024-10-16T00:00:00+00:00,0.54,0.54,0.51,0.52,35,0,17121
2024-10-17T00:00:00+00:00,0.52,0.55,0.48,0.53,122,0,59408
2024-10-18T00:00:00+00:00,0.51,0.52,0.47,0.5,80,0,30627
2024-10-21T00:00:00+00:00,0.51,0.54,0.48,0.53,23,0,9124
2024-10-22T00:00:00+00:00,0.48,0.53,0.48,0.51,55,0,36120
2024-10-23T00:00:00+00:00,0.53,0.55,0.51,0.53,84,0,35366
2024-10-24T00:00:00+00:00,0.52,0.55,0.5,0.51,92,0,34175
2024-10-25T00:00:00+00:00,0.52,0.62,0.52,0.6,312,0,135175
2024-10-28T00:00:00+00:00,0.62,0.62,0.55,0.58,39,0,29570
2024-10-29T00:00:00+00:00,0.56,0.56,0.51,0.56,34,0,13664
2024-10-30T00:00:00+00:00,0.57,0.57,0.45,0.5,126,0,71315
2024-10-31T00:00:00+00:00,0.41,0.43,0.37,0.4,133,0,66162
2024-11-01T00:00:00+00:00,0.41,0.41,0.37,0.38,36,0,11635
2024-11-04T00:00:00+00:00,0.38,0.4,0.38,0.38,74,0,49360
2024-11-05T00:00:00+00:00,0.38,0.42,0.36,0.41,101,0,66725
2024-11-06T00:00:00+00:00,0.41,0.47,0.38,0.42,76,0,50588
2024-11-07T00:00:00+00:00,0.43,0.44,0.4,0.44,34,0,19377
2024-11-08T00:00:00+00:00,0.45,0.49,0.43,0.45,28,0,21522
2024-11-11T00:00:00+00:00,0.45,0.49,0.4,0.47,133,0,78705
2024-11-12T00:00:00+00:00,0.47,0.53,0.47,0.52,294,0,125465
2024-11-13T00:00:00+00:00,0.52,0.52,0.46,0.46,179,0,114468
2024-11-14T00:00:00+00:00,0.5,0.54,0.42,0.46,299,0,285075
2024-11-15T00:00:00+00:00,0.46,0.5,0.45,0.47,36,0,21351
2024-11-18T00:00:00+00:00,0.47,0.55,0.47,0.53,146,0,104911
2024-11-19T00:00:00+00:00,0.54,0.68,0.54,0.57,2866,0,1745767
2024-11-20T00:00:00+00:00,0.64,0.67,0.52,0.66,1450,0,959713
2024-11-21T00:00:00+00:00,0.67,0.69,0.59,0.62,1382,0,772420
2024-11-22T00:00:00+00:00,0.63,0.69,0.61,0.64,882,0,608958
2024-11-25T00:00:00+00:00,0.66,0.93,0.64,0.78,2634,0,2224308
2024-11-26T00:00:00+00:00,0.81,0.82,0.51,0.54,1845,0,1318669
2024-11-27T00:00:00+00:00,0.57,1.03,0.51,0.69,5622,0,4319784
2024-11-29T00:00:00+00:00,0.66,0.74,0.64,0.66,453,0,307899
2024-12-02T00:00:00+00:00,0.65,0.7,0.6,0.63,352,0,226556
2024-12-03T00:00:00+00:00,0.6,0.63,0.57,0.63,353,0,145987
2024-12-04T00:00:00+00:00,0.61,0.64,0.58,0.63,109,0,64360
2024-12-05T00:00:00+00:00,0.61,0.61,0.54,0.58,170,0,169392
2024-12-06T00:00:00+00:00,0.57,0.68,0.57,0.6,152,0,75296
2024-12-09T00:00:00+00:00,0.61,0.62,0.55,0.56,148,0,99597
2024-12-10T00:00:00+00:00,0.56,0.56,0.53,0.53,133,0,93523
2024-12-11T00:00:00+00:00,0.55,0.55,0.5,0.5,117,0,64849
2024-12-12T00:00:00+00:00,0.53,0.53,0.47,0.49,122,0,89864
2024-12-13T00:00:00+00:00,0.48,0.49,0.44,0.45,108,0,76727
2024-12-16T00:00:00+00:00,0.45,0.46,0.42,0.43,67,0,44480
2024-12-17T00:00:00+00:00,0.41,0.46,0.4,0.44,173,0,82547
2024-12-18T00:00:00+00:00,0.45,0.61,0.45,0.52,199,0,282912
2024-12-19T00:00:00+00:00,0.49,0.53,0.46,0.52,94,0,72984
2024-12-20T00:00:00+00:00,0.58,0.58,0.5,0.51,123,0,44895
2024-12-23T00:00:00+00:00,0.56,0.56,0.52,0.53,23,0,17843
2024-12-24T00:00:00+00:00,0.54,0.54,0.51,0.51,37,0,31655
2024-12-26T00:00:00+00:00,0.53,0.53,0.51,0.52,24,0,12537
2024-12-27T00:00:00+00:00,0.5,0.54,0.5,0.53,138,0,151486
2024-12-30T00:00:00+00:00,0.51,0.53,0.48,0.48,106,0,125143
2024-12-31T00:00:00+00:00,0.61,0.64,0.52,0.54,275,0,266348
2025-01-02T00:00:00+00:00,0.54,0.63,0.53,0.59,171,0,171026
2025-01-03T00:00:00+00:00,0.58,0.58,0.52,0.55,160,0,180530
2025-01-06T00:00:00+00:00,0.54,0.64,0.54,0.55,260,0,163301
2025-01-07T00:00:00+00:00,0.52,0.56,0.45,0.48,195,0,158624
2025-01-08T00:00:00+00:00,0.49,0.5,0.41,0.41,646,0,302088
2025-01-10T00:00:00+00:00,0.43,0.46,0.42,0.45,131,0,65681
2025-01-13T00:00:00+00:00,0.47,0.5,0.44,0.45,47,0,25133
2025-01-14T00:00:00+00:00,0.45,0.53,0.45,0.51,257,0,161064
2025-01-15T00:00:00+00:00,0.52,0.55,0.5,0.51,163,0,124706
2025-01-16T00:00:00+00:00,0.55,0.62,0.5,0.6,530,0,569387
2025-01-17T00:00:00+00:00,0.62,0.68,0.54,0.6,2348,0,1692803
2025-01-21T00:00:00+00:00,0.64,0.65,0.47,0.54,1523,0,1962570
2025-01-22T00:00:00+00:00,0.51,0.52,0.45,0.46,464,0,499945
2025-01-23T00:00:00+00:00,0.45,0.49,0.43,0.47,166,0,170625
2025-01-24T00:00:00+00:00,0.47,0.54,0.46,0.46,186,0,190162
2025-01-27T00:00:00+00:00,0.48,0.52,0.45,0.45,298,0,181263
2025-01-28T00:00:00+00:00,0.47,0.49,0.45,0.46,118,0,73011
2025-01-29T00:00:00+00:00,0.45,0.49,0.45,0.45,139,0,54290
2025-01-30T00:00:00+00:00,0.49,0.57,0.45,0.51,383,0,295394
2025-01-31T00:00:00+00:00,0.48,0.57,0.45,0.5,378,0,586203
2025-02-03T00:00:00+00:00,0.47,0.5,0.46,0.46,144,0,286506
2025-02-04T00:00:00+00:00,0.49,0.49,0.45,0.49,141,0,89833
2025-02-05T00:00:00+00:00,0.49,0.55,0.46,0.54,278,0,235977
2025-02-06T00:00:00+00:00,0.57,0.6,0.49,0.53,369,0,423428
2025-02-07T00:00:00+00:00,0.53,0.64,0.53,0.59,1234,0,1582443
