time,open,high,low,close,tick_volume,spread,real_volume
2023-10-20T00:00:00+00:00,10.61,11.6,8.0,8.3,4378,0,1029827
2023-10-23T00:00:00+00:00,8.01,8.15,7.99,8.1,2051,0,374876
2023-10-24T00:00:00+00:00,8.38,8.85,8.35,8.75,879,0,275524
2023-10-25T00:00:00+00:00,9.0,9.16,8.52,9.1,930,0,339731
2023-10-26T00:00:00+00:00,9.02,9.1,8.75,9.05,586,0,149070
2023-10-27T00:00:00+00:00,9.16,9.4,9.0,9.28,214,0,39201
2023-10-30T00:00:00+00:00,9.36,9.45,9.04,9.34,386,0,103606
2023-10-31T00:00:00+00:00,9.28,9.35,9.14,9.19,404,0,81387
2023-11-01T00:00:00+00:00,9.15,10.43,9.14,9.75,440,0,88143
2023-11-02T00:00:00+00:00,9.64,9.9,9.57,9.85,485,0,87302
2023-11-03T00:00:00+00:00,9.96,10.12,9.94,10.11,1725,0,400107
2023-11-06T00:00:00+00:00,10.1,10.25,10.05,10.1,384,0,105968
2023-11-07T00:00:00+00:00,10.0,10.4,10.0,10.24,783,0,195842
2023-11-08T00:00:00+00:00,10.29,10.76,10.29,10.34,816,0,180202
2023-11-09T00:00:00+00:00,10.98,10.99,9.54,10.1,1545,0,316933
2023-11-10T00:00:00+00:00,10.21,10.26,9.82,9.93,1579,0,378660
2023-11-13T00:00:00+00:00,10.14,10.65,9.98,10.5,1163,0,254483
2023-11-14T00:00:00+00:00,10.73,11.06,10.4,10.9,955,0,178692
2023-11-15T00:00:00+00:00,10.16,11.48,10.16,11.24,764,0,195447
2023-11-16T00:00:00+00:00,11.41,11.42,10.93,11.05,1167,0,241382
2023-11-17T00:00:00+00:00,11.2,11.39,10.82,11.01,421,0,84910
2023-11-20T00:00:00+00:00,11.26,11.39,10.98,11.0,433,0,69341
2023-11-21T00:00:00+00:00,10.78,10.79,10.54,10.58,271,0,57272
2023-11-22T00:00:00+00:00,10.65,10.75,10.08,10.08,345,0,98042
2023-11-24T00:00:00+00:00,10.59,10.6,9.93,10.33,337,0,53207
2023-11-27T00:00:00+00:00,10.16,10.16,9.28,9.97,595,0,272405
2023-11-28T00:00:00+00:00,9.71,10.22,9.42,9.78,941,0,311563
2023-11-29T00:00:00+00:00,9.63,10.08,9.6,10.0,186,0,135135
2023-11-30T00:00:00+00:00,9.79,10.2,9.61,10.17,289,0,56966
2023-12-01T00:00:00+00:00,10.22,10.25,10.03,10.07,43,0,8622
2023-12-04T00:00:00+00:00,10.14,10.27,9.95,10.19,155,0,27927
2023-12-05T00:00:00+00:00,10.51,10.51,10.13,10.18,260,0,45524
2023-12-06T00:00:00+00:00,10.35,10.44,10.21,10.21,23,0,4123
2023-12-07T00:00:00+00:00,10.54,10.8,10.26,10.3,404,0,66097
2023-12-08T00:00:00+00:00,10.5,10.8,10.29,10.5,778,0,131649
2023-12-11T00:00:00+00:00,10.27,10.5,10.02,10.42,190,0,27263
2023-12-12T00:00:00+00:00,10.17,10.41,9.96,10.34,480,0,85955
2023-12-13T00:00:00+00:00,10.3,10.63,10.17,10.4,441,0,63867
2023-12-14T00:00:00+00:00,10.49,10.64,10.23,10.55,578,0,103151
2023-12-15T00:00:00+00:00,10.5,10.67,10.4,10.51,472,0,76429
2023-12-18T00:00:00+00:00,10.5,10.57,10.5,10.56,284,0,34360
2023-12-19T00:00:00+00:00,10.59,11.4,10.29,11.4,818,0,184138
2023-12-20T00:00:00+00:00,10.82,11.05,9.5,10.57,939,0,187188
2023-12-21T00:00:00+00:00,10.68,11.02,10.47,10.81,587,0,97536
2023-12-22T00:00:00+00:00,10.84,11.31,10.63,11.1,292,0,53939
2023-12-26T00:00:00+00:00,11.25,11.27,10.51,10.87,524,0,131630
2023-12-27T00:00:00+00:00,11.03,11.04,10.48,10.83,192,0,26688
2023-12-28T00:00:00+00:00,10.91,10.94,10.66,10.82,435,0,61248
2023-12-29T00:00:00+00:00,11.21,11.21,10.2,10.67,722,0,123026
2024-01-02T00:00:00+00:00,10.42,10.83,10.42,10.75,278,0,41415
2024-01-03T00:00:00+00:00,10.7,11.58,10.5,10.91,573,0,87204
