time,open,high,low,close,tick_volume,spread,real_volume
2004-05-27T00:00:00+00:00,7.44,7.5,6.5,6.7,2558,0,1919155
2004-05-28T00:00:00+00:00,6.88,6.88,6.61,6.61,362,0,105130
2004-06-01T00:00:00+00:00,6.59,6.71,6.4,6.5,194,0,118586
2004-06-02T00:00:00+00:00,6.4,6.45,6.25,6.3,92,0,32910
2004-06-03T00:00:00+00:00,6.25,6.5,6.25,6.25,59,0,30763
2004-06-04T00:00:00+00:00,6.6,6.6,6.0,6.02,163,0,94124
2004-06-07T00:00:00+00:00,6.1,6.3,6.0,6.1,183,0,91583
2004-06-08T00:00:00+00:00,6.49,6.49,6.06,6.1,134,0,52090
2004-06-09T00:00:00+00:00,6.3,6.3,5.96,5.96,115,0,48066
2004-06-10T00:00:00+00:00,6.2,6.2,5.79,6.1,186,0,48510
2004-06-14T00:00:00+00:00,6.15,6.23,6.05,6.2,90,0,43894
2004-06-15T00:00:00+00:00,6.11,6.7,6.11,6.4,84,0,34810
2004-06-16T00:00:00+00:00,6.4,6.7,6.26,6.4,53,0,24276
2004-06-17T00:00:00+00:00,6.5,6.92,6.3,6.85,98,0,133420
2004-06-18T00:00:00+00:00,6.95,6.95,6.51,6.62,50,0,15250
2004-06-21T00:00:00+00:00,6.8100000000000005,6.89,6.55,6.6,28,0,13550
2004-06-22T00:00:00+00:00,6.6,6.75,6.35,6.35,53,0,15901
2004-06-23T00:00:00+00:00,6.84,6.84,6.1,6.4,49,0,13210
2004-06-24T00:00:00+00:00,6.25,6.3,6.01,6.2,37,0,12450
2004-06-25T00:00:00+00:00,6.48,6.48,6.0,6.0,6,0,1551
2004-06-28T00:00:00+00:00,6.44,6.44,5.99,6.15,28,0,7924
2004-06-29T00:00:00+00:00,6.4,6.5,6.18,6.27,22,0,6410
2004-06-30T00:00:00+00:00,6.27,6.27,6.13,6.2,10,0,3410
2004-07-01T00:00:00+00:00,6.32,6.39,6.25,6.3,9,0,3100
2004-07-02T00:00:00+00:00,6.35,6.35,6.13,6.3,9,0,1600
2004-07-06T00:00:00+00:00,6.15,6.25,6.15,6.15,8,0,2500
2004-07-07T00:00:00+00:00,6.17,6.17,6.07,6.08,7,0,1880
2004-07-08T00:00:00+00:00,6.3,6.3,6.0,6.07,13,0,2300
2004-07-09T00:00:00+00:00,6.01,6.01,6.0,6.0,12,0,2560
2004-07-12T00:00:00+00:00,6.25,6.5,6.25,6.38,27,0,6970
2004-07-13T00:00:00+00:00,6.3,6.4,6.06,6.3,13,0,3600
2004-07-14T00:00:00+00:00,6.15,6.15,6.15,6.15,1,0,100
2004-07-15T00:00:00+00:00,6.15,6.35,6.0,6.2,26,0,6750
2004-07-16T00:00:00+00:00,6.35,6.35,6.05,6.3,5,0,900
2004-07-19T00:00:00+00:00,6.05,6.3,6.0,6.03,24,0,5400
2004-07-20T00:00:00+00:00,6.03,6.2,6.0,6.2,6,0,1700
2004-07-21T00:00:00+00:00,6.02,6.3,6.0,6.01,34,0,19564
2004-07-22T00:00:00+00:00,6.2,6.3,6.0,6.3,8,0,4211
2004-07-23T00:00:00+00:00,6.3,6.3,6.02,6.17,6,0,1500
2004-07-26T00:00:00+00:00,5.97,6.4,5.97,6.11,23,0,8800
2004-07-27T00:00:00+00:00,6.29,6.3,6.11,6.3,36,0,32180
2004-07-28T00:00:00+00:00,6.15,6.3,6.15,6.29,23,0,33450
2004-07-29T00:00:00+00:00,6.08,6.3,5.98,6.29,22,0,10122
2004-07-30T00:00:00+00:00,6.15,6.34,6.1,6.22,27,0,23200
2004-08-02T00:00:00+00:00,6.0,6.25,6.0,6.25,5,0,710
2004-08-03T00:00:00+00:00,6.33,6.48,5.9,5.96,52,0,10500
2004-08-04T00:00:00+00:00,5.96,6.02,5.75,5.85,53,0,17504
2004-08-05T00:00:00+00:00,5.8,5.8,5.2,5.23,87,0,15600
2004-08-06T00:00:00+00:00,5.23,5.39,4.95,5.39,54,0,9700
2004-08-09T00:00:00+00:00,5.07,5.3,5.06,5.15,27,0,3844
2004-08-10T00:00:00+00:00,5.2,5.46,5.1,5.46,14,0,4595
2004-08-11T00:00:00+00:00,5.13,5.38,5.12,5.12,7,0,700
2004-08-12T00:00:00+00:00,5.4,5.47,5.4,5.47,3,0,400
2004-08-13T00:00:00+00:00,5.35,5.45,5.14,5.45,9,0,1900
2004-08-16T00:00:00+00:00,5.16,5.47,5.14,5.28,10,0,3600
2004-08-17T00:00:00+00:00,5.3,5.75,5.27,5.7,25,0,9800
2004-08-18T00:00:00+00:00,5.7,5.7,5.7,5.7,7,0,900
2004-08-19T00:00:00+00:00,5.7,5.7,5.45,5.6,8,0,2200
2004-08-20T00:00:00+00:00,5.5,5.73,5.0,5.7,21,0,1004904
2004-08-23T00:00:00+00:00,5.7,5.7,5.3,5.7,15,0,3393
2004-08-24T00:00:00+00:00,5.7,5.7,5.4,5.6,16,0,2230
2004-08-25T00:00:00+00:00,5.65,6.0,5.6,5.71,44,0,67863
2004-08-26T00:00:00+00:00,5.7,6.0,5.15,5.9399999999999995,190,0,36350
2004-08-27T00:00:00+00:00,5.8100000000000005,5.98,5.8100000000000005,5.91,20,0,6545
2004-08-30T00:00:00+00:00,6.0,6.24,5.9,6.2,105,0,13910
2004-08-31T00:00:00+00:00,6.25,6.45,6.25,6.45,42,0,10900
2004-09-01T00:00:00+00:00,6.45,6.89,6.38,6.89,38,0,8125
2004-09-02T00:00:00+00:00,6.9399999999999995,7.09,6.5,6.95,33,0,7714
2004-09-03T00:00:00+00:00,7.11,7.45,7.11,7.45,80,0,23660
2004-09-07T00:00:00+00:00,7.46,7.8100000000000005,7.35,7.4,101,0,23679
2004-09-08T00:00:00+00:00,7.5,7.5,7.35,7.39,61,0,18248
2004-09-09T00:00:00+00:00,7.5,7.5,7.31,7.39,40,0,11100
2004-09-10T00:00:00+00:00,7.35,7.6,7.26,7.41,15,0,3600
2004-09-13T00:00:00+00:00,7.36,7.92,7.21,7.76,76,0,18800
2004-09-14T00:00:00+00:00,7.68,7.95,7.6,7.76,44,0,29100
2004-09-15T00:00:00+00:00,7.89,7.95,7.6899999999999995,7.95,54,0,15600
2004-09-16T00:00:00+00:00,7.9,7.9,7.71,7.71,21,0,2600
2004-09-17T00:00:00+00:00,7.8100000000000005,7.8100000000000005,7.65,7.75,20,0,3100
2004-09-20T00:00:00+00:00,7.8,7.8,7.3,7.49,54,0,6862
2004-09-21T00:00:00+00:00,7.41,7.58,7.25,7.25,20,0,3270
2004-09-22T00:00:00+00:00,7.02,7.2,7.0,7.09,37,0,11100
2004-09-23T00:00:00+00:00,7.02,7.25,7.02,7.25,21,0,5370
2004-09-24T00:00:00+00:00,7.02,7.25,7.0,7.0,10,0,1830
2004-09-27T00:00:00+00:00,7.25,7.25,7.03,7.2,18,0,5250
2004-09-28T00:00:00+00:00,7.39,7.9,7.23,7.23,75,0,19794
2004-09-29T00:00:00+00:00,7.98,8.0,7.6,7.8,196,0,75138
2004-09-30T00:00:00+00:00,7.8,7.95,7.73,7.8,325,0,142446
2004-10-01T00:00:00+00:00,7.8,7.8,7.65,7.8,126,0,46990
2004-10-04T00:00:00+00:00,7.8,7.9,7.8,7.85,66,0,29860
2004-10-05T00:00:00+00:00,7.8,7.8,7.78,7.8,27,0,10200
2004-10-06T00:00:00+00:00,7.75,7.8,7.75,7.8,4,0,1900
2004-10-08T00:00:00+00:00,7.87,7.87,7.65,7.65,25,0,5245
2004-10-11T00:00:00+00:00,7.7,7.7,7.45,7.63,24,0,3460
2004-10-12T00:00:00+00:00,7.5600000000000005,7.7,7.5,7.66,16,0,2200
2004-10-13T00:00:00+00:00,7.46,7.67,7.26,7.67,52,0,6576
2004-10-14T00:00:00+00:00,7.34,7.75,7.26,7.75,36,0,4369
2004-10-15T00:00:00+00:00,7.58,7.76,7.47,7.73,16,0,3700
2004-10-18T00:00:00+00:00,7.46,7.5,7.21,7.47,17,0,2935
2004-10-19T00:00:00+00:00,7.47,7.47,7.21,7.43,34,0,4746
2004-10-20T00:00:00+00:00,7.22,7.54,7.22,7.54,10,0,1100
2004-10-21T00:00:00+00:00,7.33,7.55,7.2,7.55,10,0,1600
2004-10-22T00:00:00+00:00,7.32,7.45,7.11,7.11,36,0,5900
2004-10-25T00:00:00+00:00,7.11,7.11,6.93,7.0,36,0,5040
2004-10-26T00:00:00+00:00,7.35,7.5,6.9,6.9,99,0,14940
2004-10-27T00:00:00+00:00,6.85,7.64,6.85,7.64,80,0,16749
2004-10-28T00:00:00+00:00,7.64,7.64,7.2,7.63,82,0,17864
2004-10-29T00:00:00+00:00,7.47,7.63,7.37,7.63,8,0,1200
2004-11-01T00:00:00+00:00,7.6,7.6,7.32,7.59,12,0,3280
2004-11-02T00:00:00+00:00,7.37,7.58,7.36,7.36,9,0,2210
2004-11-03T00:00:00+00:00,7.31,7.41,7.16,7.23,59,0,13064
2004-11-04T00:00:00+00:00,7.23,7.23,7.13,7.2,22,0,3600
2004-11-05T00:00:00+00:00,7.25,7.28,7.19,7.19,14,0,1700
2004-11-08T00:00:00+00:00,7.15,7.44,6.9399999999999995,7.39,29,0,3989
2004-11-09T00:00:00+00:00,7.38,7.48,7.38,7.4,11,0,3900
2004-11-10T00:00:00+00:00,7.48,7.48,7.35,7.35,13,0,3400
2004-11-11T00:00:00+00:00,7.31,7.48,7.07,7.1,36,0,5610
2004-11-12T00:00:00+00:00,7.15,7.2,7.09,7.09,17,0,3000
2004-11-15T00:00:00+00:00,7.07,7.24,7.06,7.08,27,0,4046
2004-11-16T00:00:00+00:00,7.03,7.33,7.03,7.2,18,0,2450
2004-11-17T00:00:00+00:00,7.25,7.3,7.06,7.13,46,0,9477
2004-11-18T00:00:00+00:00,7.08,7.1,7.0,7.07,31,0,5900
