time,open,high,low,close,tick_volume,spread,real_volume
2012-05-01T00:00:00+00:00,10.72,13.3,10.55,10.99,16404,0,4106234
2012-05-02T00:00:00+00:00,11.1,11.41,10.6,11.28,18516,0,4612775
2012-05-03T00:00:00+00:00,11.04,11.4,10.99,11.2,10040,0,2188556
2012-05-04T00:00:00+00:00,11.11,11.25,10.73,10.84,12741,0,4263171
2012-05-07T00:00:00+00:00,10.46,10.91,10.34,10.48,15342,0,3228947
2012-05-08T00:00:00+00:00,10.36,10.54,10.0,10.42,14361,0,2599281
2012-05-09T00:00:00+00:00,10.18,10.26,9.8,10.11,11848,0,2696171
2012-05-10T00:00:00+00:00,10.2,10.54,10.01,10.38,15592,0,2807556
2012-05-11T00:00:00+00:00,10.17,10.5,10.15,10.43,11951,0,2065905
2012-05-14T00:00:00+00:00,10.29,10.49,10.11,10.25,7280,0,1486747
2012-05-15T00:00:00+00:00,10.04,10.35,10.02,10.14,7145,0,1215804
2012-05-16T00:00:00+00:00,10.15,10.44,10.14,10.18,6966,0,1185853
2012-05-17T00:00:00+00:00,10.01,10.3,9.82,9.85,11573,0,2436510
2012-05-18T00:00:00+00:00,9.8,10.13,9.66,9.71,6823,0,1255779
2012-05-21T00:00:00+00:00,9.71,9.97,9.64,9.8,7451,0,1348795
2012-05-22T00:00:00+00:00,9.84,9.88,9.45,9.45,8435,0,2003590
2012-05-23T00:00:00+00:00,9.4,9.74,9.14,9.65,11080,0,2121750
2012-05-24T00:00:00+00:00,9.64,9.72,9.4,9.49,8515,0,1487536
2012-05-25T00:00:00+00:00,9.46,9.5,9.31,9.41,6900,0,1364378
2012-05-29T00:00:00+00:00,9.53,9.61,9.4,9.55,7745,0,1214211
2012-05-30T00:00:00+00:00,9.45,9.47,9.19,9.26,5561,0,906351
2012-05-31T00:00:00+00:00,9.25,9.32,8.99,9.12,9180,0,1616791
2012-06-01T00:00:00+00:00,8.93,8.96,8.5,8.58,7792,0,1422619
2012-06-04T00:00:00+00:00,8.6,8.88,8.6,8.82,7498,0,1327047
2012-06-05T00:00:00+00:00,8.76,9.03,8.63,8.98,6714,0,1222489
2012-06-06T00:00:00+00:00,9.1,9.57,9.09,9.48,8819,0,2164923
2012-06-07T00:00:00+00:00,9.6,9.74,9.32,9.34,6782,0,1687697
2012-06-08T00:00:00+00:00,9.34,9.56,9.18,9.54,5510,0,1434009
2012-06-11T00:00:00+00:00,9.64,9.72,9.43,9.48,7321,0,1125049
2012-06-12T00:00:00+00:00,9.49,9.73,9.43,9.58,6228,0,1052253
2012-06-13T00:00:00+00:00,9.54,9.61,9.42,9.59,7342,0,1137398
2012-06-14T00:00:00+00:00,9.57,9.76,9.46,9.74,6222,0,999745
2012-06-15T00:00:00+00:00,9.74,10.5,9.67,10.25,11310,0,2514145
2012-06-18T00:00:00+00:00,10.16,10.37,10.15,10.25,6352,0,926227
2012-06-19T00:00:00+00:00,10.3,10.75,10.28,10.53,7234,0,1080277
2012-06-20T00:00:00+00:00,10.49,10.6,10.45,10.53,5181,0,831791
2012-06-21T00:00:00+00:00,10.5,10.56,10.21,10.3,6855,0,1197325
2012-06-22T00:00:00+00:00,10.39,10.6,10.36,10.51,4486,0,734713
2012-06-25T00:00:00+00:00,10.4,10.53,10.14,10.25,6459,0,1141700
2012-06-26T00:00:00+00:00,10.3,10.33,9.99,10.16,6757,0,1113732
2012-06-27T00:00:00+00:00,10.19,10.35,10.05,10.32,4872,0,796551
2012-06-28T00:00:00+00:00,10.15,10.25,9.67,9.95,5652,0,1422351
2012-06-29T00:00:00+00:00,10.24,10.45,10.08,10.36,5274,0,880260
2012-07-02T00:00:00+00:00,10.29,10.55,10.26,10.55,4527,0,704568
2012-07-03T00:00:00+00:00,10.56,10.89,10.48,10.53,3375,0,529800
2012-07-05T00:00:00+00:00,10.85,10.94,10.5,10.5,5114,0,821013
2012-07-06T00:00:00+00:00,10.37,10.42,10.25,10.26,4647,0,816828
2012-07-09T00:00:00+00:00,10.27,10.38,10.14,10.22,4323,0,724600
2012-07-10T00:00:00+00:00,10.29,10.4,9.8,9.83,4523,0,770986
2012-07-11T00:00:00+00:00,9.87,9.89,9.44,9.64,6659,0,1444329
2012-07-12T00:00:00+00:00,9.53,9.6,9.22,9.51,4497,0,1088119
2012-07-13T00:00:00+00:00,9.52,9.67,9.37,9.47,3474,0,506138
2012-07-16T00:00:00+00:00,9.43,9.48,9.29,9.41,2975,0,517088
2012-07-17T00:00:00+00:00,9.5,9.62,9.35,9.53,2833,0,463892
2012-07-18T00:00:00+00:00,9.5,9.79,9.42,9.66,3180,0,985420
2012-07-19T00:00:00+00:00,9.72,9.78,9.49,9.57,2753,0,443513
2012-07-20T00:00:00+00:00,9.44,9.75,9.22,9.25,3744,0,734310
2012-07-23T00:00:00+00:00,9.02,9.04,8.83,8.84,3282,0,543654
2012-07-24T00:00:00+00:00,8.89,8.95,8.35,8.44,8480,0,1576260
2012-07-25T00:00:00+00:00,8.63,8.65,8.33,8.38,5177,0,766709
2012-07-26T00:00:00+00:00,8.55,8.6,8.15,8.4,7747,0,1422628
2012-07-27T00:00:00+00:00,8.44,8.72,8.28,8.67,4989,0,811368
2012-07-30T00:00:00+00:00,8.68,8.69,8.44,8.45,8006,0,1466038
2012-07-31T00:00:00+00:00,8.43,8.62,8.4,8.46,9352,0,2789442
2012-08-01T00:00:00+00:00,8.52,8.58,8.14,8.15,6219,0,1306082
2012-08-02T00:00:00+00:00,8.06,8.23,7.97,8.2,6508,0,1182458
2012-08-03T00:00:00+00:00,8.39,8.59,8.31,8.52,6679,0,2515702
2012-08-06T00:00:00+00:00,8.55,8.61,8.41,8.51,4084,0,599274
2012-08-07T00:00:00+00:00,8.56,8.62,8.18,8.33,7512,0,1111823
2012-08-08T00:00:00+00:00,8.28,8.83,8.23,8.82,8249,0,1572437
2012-08-09T00:00:00+00:00,7.95,8.32,7.2,7.52,23019,0,5951156
2012-08-10T00:00:00+00:00,7.48,7.57,7.2,7.3,13364,0,2654675
2012-08-13T00:00:00+00:00,7.25,7.31,6.9399999999999995,6.99,10105,0,1623450
2012-08-14T00:00:00+00:00,7.06,7.06,6.74,6.77,12745,0,2263137
2012-08-15T00:00:00+00:00,6.73,6.75,6.47,6.53,16059,0,3774668
2012-08-16T00:00:00+00:00,6.52,7.33,6.52,7.21,16166,0,3485783
2012-08-17T00:00:00+00:00,7.19,7.26,6.84,6.92,10287,0,1861115
2012-08-20T00:00:00+00:00,6.86,6.93,6.76,6.8,11117,0,2048391
2012-08-21T00:00:00+00:00,6.98,7.09,6.88,7.06,7098,0,2146502
2012-08-22T00:00:00+00:00,7.01,7.13,6.95,7.04,7353,0,1342354
2012-08-23T00:00:00+00:00,6.99,7.05,6.82,6.89,4455,0,690477
2012-08-24T00:00:00+00:00,6.84,6.92,6.76,6.79,5774,0,940707
2012-08-27T00:00:00+00:00,6.86,7.05,6.86,7.02,5340,0,823595
2012-08-28T00:00:00+00:00,7.0,7.07,6.93,6.9399999999999995,6946,0,1101854
2012-08-29T00:00:00+00:00,6.9399999999999995,6.96,6.74,6.74,5096,0,786112
2012-08-30T00:00:00+00:00,6.7,6.74,6.5600000000000005,6.58,6046,0,978609
2012-08-31T00:00:00+00:00,6.67,6.67,6.54,6.59,8039,0,2350763
2012-09-04T00:00:00+00:00,6.59,6.6899999999999995,6.45,6.47,7361,0,1276846
2012-09-05T00:00:00+00:00,6.53,6.5600000000000005,6.35,6.38,11889,0,2433521
2012-09-06T00:00:00+00:00,6.44,6.63,6.42,6.55,5632,0,1020307
2012-09-07T00:00:00+00:00,6.59,6.93,6.5600000000000005,6.93,8631,0,1893755
2012-09-10T00:00:00+00:00,6.87,6.93,6.77,6.9,4805,0,828499
2012-09-11T00:00:00+00:00,6.9,7.04,6.86,6.98,6092,0,1344833
2012-09-12T00:00:00+00:00,7.01,7.07,6.76,6.9399999999999995,10312,0,2119134
2012-09-13T00:00:00+00:00,6.97,7.07,6.87,7.02,8356,0,1721925
2012-09-14T00:00:00+00:00,7.07,7.35,7.01,7.22,8747,0,1737911
2012-09-17T00:00:00+00:00,7.2,7.2,6.87,6.92,6565,0,1439406
2012-09-18T00:00:00+00:00,6.88,6.92,6.47,6.6899999999999995,9769,0,1806526
2012-09-19T00:00:00+00:00,6.67,6.68,6.51,6.51,6674,0,1364845
2012-09-20T00:00:00+00:00,6.48,6.5,6.3,6.32,7841,0,1382993
2012-09-21T00:00:00+00:00,6.39,6.42,6.08,6.29,12215,0,2302779
2012-09-24T00:00:00+00:00,6.26,6.38,6.23,6.31,9046,0,1604315
2012-09-25T00:00:00+00:00,6.35,6.37,6.2,6.21,7267,0,1743554
2012-09-26T00:00:00+00:00,6.2,6.28,6.01,6.25,5248,0,858326
2012-09-27T00:00:00+00:00,6.26,6.59,6.16,6.55,7590,0,1302077
2012-09-28T00:00:00+00:00,6.5,6.55,6.39,6.5,6203,0,1014007
2012-10-01T00:00:00+00:00,6.54,6.54,6.21,6.22,7960,0,1481671
2012-10-02T00:00:00+00:00,6.26,6.28,6.18,6.21,4704,0,718263
2012-10-03T00:00:00+00:00,6.2,6.32,6.17,6.32,5333,0,886498
2012-10-04T00:00:00+00:00,6.25,6.32,6.18,6.22,5012,0,1041427
2012-10-05T00:00:00+00:00,6.24,6.3,6.22,6.26,4879,0,764364
2012-10-08T00:00:00+00:00,6.24,6.31,6.22,6.27,3777,0,608931
2012-10-09T00:00:00+00:00,6.25,6.31,6.21,6.23,3797,0,576084
2012-10-10T00:00:00+00:00,6.22,6.32,6.18,6.31,5385,0,795938
2012-10-11T00:00:00+00:00,6.33,6.47,6.31,6.41,6265,0,1208477
2012-10-12T00:00:00+00:00,6.41,6.43,6.24,6.33,4938,0,833796
2012-10-15T00:00:00+00:00,6.32,6.32,6.17,6.22,3393,0,511862
2012-10-16T00:00:00+00:00,6.23,6.53,6.19,6.48,5485,0,1239039
2012-10-17T00:00:00+00:00,6.48,6.8100000000000005,6.44,6.64,4768,0,895629
2012-10-18T00:00:00+00:00,6.64,6.77,6.54,6.68,4698,0,918518
2012-10-19T00:00:00+00:00,6.6,6.67,6.31,6.34,4927,0,786662
2012-10-22T00:00:00+00:00,6.34,6.34,6.18,6.19,3903,0,681086
2012-10-23T00:00:00+00:00,6.11,6.12,5.8100000000000005,6.01,7874,0,1297290
2012-10-24T00:00:00+00:00,6.07,6.15,5.96,6.13,3051,0,464186
2012-10-25T00:00:00+00:00,6.21,6.34,6.14,6.33,3269,0,556293
2012-10-26T00:00:00+00:00,6.37,6.48,6.09,6.13,4170,0,798551
2012-10-31T00:00:00+00:00,6.39,7.53,6.37,7.24,10804,0,1844330
2012-11-01T00:00:00+00:00,7.62,7.6899999999999995,7.5,7.61,9837,0,1855442
2012-11-02T00:00:00+00:00,7.7,7.95,7.63,7.6899999999999995,6879,0,1086439
2012-11-05T00:00:00+00:00,7.72,7.83,7.13,7.46,5586,0,847212
2012-11-06T00:00:00+00:00,7.49,7.68,7.43,7.58,5278,0,1552853
2012-11-07T00:00:00+00:00,7.44,7.52,7.32,7.41,4492,0,649260
2012-11-08T00:00:00+00:00,7.36,7.38,6.71,6.89,5780,0,906215
2012-11-09T00:00:00+00:00,6.82,7.2,6.66,7.09,3582,0,554638
2012-11-12T00:00:00+00:00,7.12,7.33,6.99,7.06,3774,0,507260
2012-11-13T00:00:00+00:00,6.96,7.16,6.93,6.97,4427,0,696753
2012-11-14T00:00:00+00:00,7.01,7.04,6.6899999999999995,6.6899999999999995,3660,0,518330
2012-11-15T00:00:00+00:00,6.7,6.83,6.52,6.59,4465,0,709893
2012-11-16T00:00:00+00:00,6.59,6.66,6.4,6.64,4226,0,700915
2012-11-19T00:00:00+00:00,6.76,7.01,6.71,6.9399999999999995,3057,0,461775
2012-11-20T00:00:00+00:00,6.91,6.91,6.7,6.75,2425,0,327666
2012-11-21T00:00:00+00:00,6.8,6.9399999999999995,6.73,6.88,3140,0,439021
2012-11-23T00:00:00+00:00,6.93,7.17,6.85,7.09,1412,0,225576
2012-11-26T00:00:00+00:00,7.06,7.17,6.95,7.12,3384,0,475327
2012-11-27T00:00:00+00:00,7.08,7.15,6.8,6.95,5449,0,1045918
2012-11-28T00:00:00+00:00,6.89,6.93,6.72,6.77,4506,0,666558
2012-11-29T00:00:00+00:00,6.74,6.92,6.74,6.85,5098,0,734689
2012-11-30T00:00:00+00:00,6.89,6.89,6.73,6.75,4301,0,756723
2012-12-03T00:00:00+00:00,6.8100000000000005,7.16,6.74,6.96,5088,0,738853
2012-12-04T00:00:00+00:00,6.96,6.97,6.7,6.8,4572,0,798104
2012-12-05T00:00:00+00:00,6.85,6.89,6.68,6.68,3865,0,633143
2012-12-06T00:00:00+00:00,6.68,6.6899999999999995,6.48,6.61,4565,0,750542
2012-12-07T00:00:00+00:00,6.67,6.85,6.62,6.85,3411,0,518018
2012-12-10T00:00:00+00:00,6.89,7.0,6.8100000000000005,6.93,2922,0,407647
2012-12-11T00:00:00+00:00,7.02,7.2,7.01,7.12,4577,0,664321
2012-12-12T00:00:00+00:00,7.19,7.19,6.9,6.9,3372,0,460360
2012-12-13T00:00:00+00:00,6.9,6.91,6.74,6.8100000000000005,2885,0,460631
2012-12-14T00:00:00+00:00,6.8,6.89,6.78,6.83,1859,0,290060
2012-12-17T00:00:00+00:00,6.86,7.06,6.76,6.93,3752,0,632274
2012-12-18T00:00:00+00:00,6.95,7.37,6.92,7.27,4349,0,726543
2012-12-19T00:00:00+00:00,7.29,7.47,7.18,7.36,3827,0,627801
2012-12-20T00:00:00+00:00,7.34,7.37,7.06,7.12,4164,0,627875
2012-12-21T00:00:00+00:00,6.97,7.38,6.96,7.36,3183,0,849576
2012-12-24T00:00:00+00:00,7.32,7.41,7.29,7.36,1550,0,258422
2012-12-26T00:00:00+00:00,7.36,7.42,7.22,7.36,2043,0,296745
2012-12-27T00:00:00+00:00,7.33,7.34,7.12,7.29,2805,0,394349
2012-12-28T00:00:00+00:00,7.21,7.33,7.17,7.25,2833,0,388454
2012-12-31T00:00:00+00:00,7.22,7.48,7.11,7.35,4122,0,562164
2013-01-02T00:00:00+00:00,7.64,7.79,7.47,7.53,5536,0,915808
2013-01-03T00:00:00+00:00,7.53,7.7,7.5,7.5600000000000005,2899,0,419603
2013-01-04T00:00:00+00:00,7.55,7.72,7.45,7.66,3022,0,470865
2013-01-07T00:00:00+00:00,7.59,7.83,7.5600000000000005,7.78,3975,0,888710
2013-01-08T00:00:00+00:00,7.75,7.88,7.6899999999999995,7.72,4104,0,822237
2013-01-09T00:00:00+00:00,7.73,7.8100000000000005,7.7,7.78,3464,0,499866
2013-01-10T00:00:00+00:00,7.82,7.97,7.74,7.8,3369,0,495978
2013-01-11T00:00:00+00:00,7.82,8.38,7.8100000000000005,8.3,6652,0,1666927
2013-01-14T00:00:00+00:00,8.31,8.6,8.15,8.46,11037,0,2015234
2013-01-15T00:00:00+00:00,8.37,8.66,8.32,8.65,6360,0,1128115
2013-01-16T00:00:00+00:00,8.62,9.0,8.58,8.94,8398,0,1852559
2013-01-17T00:00:00+00:00,9.0,9.16,8.89,8.98,7836,0,1406830
2013-01-18T00:00:00+00:00,8.85,9.05,8.81,8.87,6851,0,1339394
2013-01-22T00:00:00+00:00,8.86,8.96,8.72,8.78,6693,0,1326818
