time,open,high,low,close,tick_volume,spread,real_volume
2021-09-17T00:00:00+00:00,9.9,9.95,9.36,9.46,1473,0,660169
2021-09-20T00:00:00+00:00,9.4,9.4,8.67,8.72,3637,0,1230843
2021-09-21T00:00:00+00:00,8.91,9.31,8.72,8.98,3513,0,1220466
2021-09-22T00:00:00+00:00,9.13,9.35,8.8,8.86,3176,0,827265
2021-09-23T00:00:00+00:00,9.03,9.46,8.96,9.37,1756,0,695096
2021-09-24T00:00:00+00:00,9.4,9.43,9.12,9.28,907,0,286591
2021-09-27T00:00:00+00:00,9.25,9.26,9.04,9.08,2563,0,580097
2021-09-28T00:00:00+00:00,9.1,9.37,8.92,9.07,1802,0,503296
2021-09-29T00:00:00+00:00,9.09,9.12,8.92,9.0,1458,0,581704
2021-09-30T00:00:00+00:00,9.04,9.08,8.85,8.88,1043,0,377382
2021-10-01T00:00:00+00:00,8.9,8.95,8.26,8.38,2472,0,595528
2021-10-04T00:00:00+00:00,8.38,8.38,7.82,7.84,1408,0,460501
2021-10-05T00:00:00+00:00,7.83,7.9,7.76,7.82,1207,0,292857
2021-10-06T00:00:00+00:00,7.77,7.97,7.77,7.9399999999999995,697,0,232078
2021-10-07T00:00:00+00:00,8.0,8.1,7.91,8.09,1014,0,390013
2021-10-08T00:00:00+00:00,8.16,8.21,7.84,8.0,2808,0,954509
2021-10-11T00:00:00+00:00,8.0,8.24,7.95,8.0,1738,0,538273
2021-10-12T00:00:00+00:00,8.08,8.14,7.8,8.0,1222,0,337624
2021-10-13T00:00:00+00:00,8.12,8.15,7.68,7.72,1295,0,245786
2021-10-14T00:00:00+00:00,7.8,7.84,7.23,7.32,2512,0,611334
2021-10-15T00:00:00+00:00,7.39,7.45,7.03,7.07,2284,0,649853
2021-10-18T00:00:00+00:00,7.2,7.2,6.91,6.92,1584,0,492819
2021-10-19T00:00:00+00:00,6.92,6.98,6.6,6.6899999999999995,1920,0,775849
2021-10-20T00:00:00+00:00,6.71,6.72,6.6,6.68,1456,0,366264
2021-10-21T00:00:00+00:00,6.71,6.89,6.63,6.79,1504,0,461938
2021-10-22T00:00:00+00:00,6.76,6.8,6.6,6.72,1358,0,573097
2021-10-25T00:00:00+00:00,6.75,6.8,6.18,6.24,4428,0,1205303
2021-10-26T00:00:00+00:00,6.5,6.63,6.3,6.33,3526,0,792721
2021-10-27T00:00:00+00:00,6.28,6.3,5.2,5.35,20463,0,6675146
2021-10-28T00:00:00+00:00,5.65,5.76,5.46,5.61,9586,0,3603902
2021-10-29T00:00:00+00:00,5.64,5.78,5.5600000000000005,5.6899999999999995,10660,0,2813149
2021-11-01T00:00:00+00:00,6.38,6.75,6.27,6.45,10036,0,3396155
2021-11-02T00:00:00+00:00,6.49,6.57,6.4,6.49,4125,0,863664
2021-11-03T00:00:00+00:00,6.47,6.78,6.46,6.54,3193,0,1230129
2021-11-04T00:00:00+00:00,6.82,6.92,6.45,6.53,6014,0,1232777
2021-11-05T00:00:00+00:00,6.4,6.43,6.2,6.29,3531,0,954412
2021-11-08T00:00:00+00:00,6.55,6.55,6.09,6.14,6878,0,1724352
2021-11-09T00:00:00+00:00,6.18,6.21,5.86,6.08,5150,0,1663565
2021-11-10T00:00:00+00:00,6.0,6.25,5.9,5.95,4708,0,1303194
2021-11-11T00:00:00+00:00,6.07,6.22,5.8,6.11,5236,0,1713337
2021-11-12T00:00:00+00:00,5.82,6.0,5.65,5.76,6199,0,1815046
2021-11-15T00:00:00+00:00,5.74,5.86,5.65,5.8100000000000005,3615,0,1312598
2021-11-16T00:00:00+00:00,5.83,6.03,5.72,5.99,3711,0,1110304
2021-11-17T00:00:00+00:00,5.98,6.23,5.95,6.07,2971,0,1193667
2021-11-18T00:00:00+00:00,6.08,6.09,5.85,6.01,2953,0,727403
2021-11-19T00:00:00+00:00,5.9,6.03,5.85,5.92,2340,0,759035
2021-11-22T00:00:00+00:00,5.9,6.12,5.78,6.05,4252,0,1675346
2021-11-23T00:00:00+00:00,6.03,6.08,5.74,5.8100000000000005,5322,0,2137441
2021-11-24T00:00:00+00:00,5.84,5.97,5.42,5.92,3843,0,1215498
2021-11-26T00:00:00+00:00,5.71,6.2,5.64,6.02,1672,0,453032
2021-11-29T00:00:00+00:00,6.11,6.18,5.65,6.07,5228,0,1332526
2021-11-30T00:00:00+00:00,6.14,6.33,6.05,6.16,4389,0,1431964
2021-12-01T00:00:00+00:00,6.18,6.38,6.06,6.09,4703,0,1241771
2021-12-02T00:00:00+00:00,6.35,6.72,6.1,6.62,7244,0,2276684
2021-12-03T00:00:00+00:00,6.67,6.7,5.92,6.17,5212,0,1398022
2021-12-06T00:00:00+00:00,6.24,6.5600000000000005,6.0,6.44,4687,0,1087718
2021-12-07T00:00:00+00:00,6.5,6.68,6.4,6.48,3384,0,860544
2021-12-08T00:00:00+00:00,6.5,7.27,6.48,7.19,6156,0,2038565
2021-12-09T00:00:00+00:00,7.11,7.4,6.91,7.04,5854,0,1562331
2021-12-10T00:00:00+00:00,7.1,7.61,7.07,7.3,5992,0,1521962
2021-12-13T00:00:00+00:00,7.4,7.71,7.05,7.16,4625,0,1129575
2021-12-14T00:00:00+00:00,6.9,7.48,6.88,6.98,5400,0,1213339
2021-12-15T00:00:00+00:00,6.97,7.38,6.8,7.28,5012,0,1175415
2021-12-16T00:00:00+00:00,7.35,7.8100000000000005,7.13,7.18,5242,0,1146466
2021-12-17T00:00:00+00:00,7.13,7.17,6.61,6.62,6783,0,1700385
2021-12-20T00:00:00+00:00,6.4,6.72,6.29,6.57,6285,0,1308665
2021-12-21T00:00:00+00:00,6.71,6.71,6.33,6.39,3588,0,1030647
2021-12-22T00:00:00+00:00,6.35,6.37,5.96,6.0,3815,0,1378759
2021-12-23T00:00:00+00:00,6.14,7.18,6.13,6.86,11415,0,2471593
2021-12-27T00:00:00+00:00,6.85,7.02,6.61,6.65,4249,0,803505
2021-12-28T00:00:00+00:00,6.63,6.71,6.5,6.66,4175,0,855723
